"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","3y4LxiYMgDl4RethdzpmNe",0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.276,136.859,250547,4,"spotify:track:3y4LxiYMgDl4RethdzpmNe","https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe"
"2","6ctr1K7KzKErxbfGAynL8A",0.724,0.485,6,-5.919,1,0.0376,0.256,1.35e-05,0.416,0.581,136.057,296800,4,"spotify:track:6ctr1K7KzKErxbfGAynL8A","https://api.spotify.com/v1/audio-analysis/6ctr1K7KzKErxbfGAynL8A"
"3","4cKGldbhGJniI8BrB3K6tb",0.637,0.759,3,-6.389,0,0.0305,0.0504,0,0.0642,0.722,93.898,257067,4,"spotify:track:4cKGldbhGJniI8BrB3K6tb","https://api.spotify.com/v1/audio-analysis/4cKGldbhGJniI8BrB3K6tb"
"4","2gSyc23Hua25fqSFpgAh6W",0.522,0.676,5,-3.571,0,0.16,0.274,0,0.134,0.754,67.427,271333,4,"spotify:track:2gSyc23Hua25fqSFpgAh6W","https://api.spotify.com/v1/audio-analysis/2gSyc23Hua25fqSFpgAh6W"
"5","0dQ8sFlmQakH1r2r9IqlYH",0.556,0.517,9,-8.769,1,0.0287,0.307,0.00115,0.077,0.779,169.938,251253,4,"spotify:track:0dQ8sFlmQakH1r2r9IqlYH","https://api.spotify.com/v1/audio-analysis/0dQ8sFlmQakH1r2r9IqlYH"
"6","6iNcyWk5iUEY7P9zeTc5hm",0.557,0.553,1,-7.954,1,0.0319,0.247,0,0.125,0.239,139.821,239987,4,"spotify:track:6iNcyWk5iUEY7P9zeTc5hm","https://api.spotify.com/v1/audio-analysis/6iNcyWk5iUEY7P9zeTc5hm"
"7","2ypwlOO0Z3NfammOQgOey3",0.528,0.863,6,-5.772,0,0.0368,0.0616,7.48e-06,0.355,0.574,95.468,257400,4,"spotify:track:2ypwlOO0Z3NfammOQgOey3","https://api.spotify.com/v1/audio-analysis/2ypwlOO0Z3NfammOQgOey3"
"8","1e5grnGb7YIcX9EuJM1mtB",0.46,0.822,2,-6.338,1,0.0375,4.99e-05,0.00014,0.147,0.455,155.766,326293,4,"spotify:track:1e5grnGb7YIcX9EuJM1mtB","https://api.spotify.com/v1/audio-analysis/1e5grnGb7YIcX9EuJM1mtB"
"9","2CM7CAL7aJ5WkPU0oGbA96",0.756,0.654,6,-5.143,0,0.288,0.0779,0,0.0745,0.724,93.059,286981,4,"spotify:track:2CM7CAL7aJ5WkPU0oGbA96","https://api.spotify.com/v1/audio-analysis/2CM7CAL7aJ5WkPU0oGbA96"
"10","1kbe64LHKlyD0nXUoa4mum",0.775,0.677,1,-4.632,1,0.0582,0.0054,0.00189,0.0679,0.692,89.008,230200,4,"spotify:track:1kbe64LHKlyD0nXUoa4mum","https://api.spotify.com/v1/audio-analysis/1kbe64LHKlyD0nXUoa4mum"
"11","4Co9WfdUsB4n3ODOQu05Z5",0.703,0.827,2,-9.301,1,0.0634,0.137,0.000125,0.0646,0.708,121.539,253520,4,"spotify:track:4Co9WfdUsB4n3ODOQu05Z5","https://api.spotify.com/v1/audio-analysis/4Co9WfdUsB4n3ODOQu05Z5"
"12","3bbUkaQYGQHkx1TJi7gPSL",0.547,0.87,11,-5.098,0,0.0286,0.00494,3.48e-05,0.161,0.526,99.014,233827,4,"spotify:track:3bbUkaQYGQHkx1TJi7gPSL","https://api.spotify.com/v1/audio-analysis/3bbUkaQYGQHkx1TJi7gPSL"
"13","6PpR4UJF2oaXQn2ycp7Fl3",0.826,0.886,10,-5.147,0,0.0832,0.0951,0,0.0371,0.685,107.9,204754,4,"spotify:track:6PpR4UJF2oaXQn2ycp7Fl3","https://api.spotify.com/v1/audio-analysis/6PpR4UJF2oaXQn2ycp7Fl3"
"14","27cXevtj5VflsCUAZwr9eI",0.738,0.852,7,-6.13,1,0.0766,0.00153,0.0895,0.178,0.841,119.735,225813,4,"spotify:track:27cXevtj5VflsCUAZwr9eI","https://api.spotify.com/v1/audio-analysis/27cXevtj5VflsCUAZwr9eI"
"15","1xGFYbstzGNulrTu8EsIBx",0.77,0.797,5,-2.991,0,0.0794,0.1,0.00285,0.0977,0.795,99.306,265027,4,"spotify:track:1xGFYbstzGNulrTu8EsIBx","https://api.spotify.com/v1/audio-analysis/1xGFYbstzGNulrTu8EsIBx"
"16","2iIg5LCp81QGEpnAFDT8V4",0.755,0.827,0,-6.803,1,0.114,0.0671,0,0.329,0.788,142.122,215867,4,"spotify:track:2iIg5LCp81QGEpnAFDT8V4","https://api.spotify.com/v1/audio-analysis/2iIg5LCp81QGEpnAFDT8V4"
"17","0WWKJsCjOAhymkdt8GuKTt",0.661,0.346,11,-9.115,1,0.03,0.452,0,0.131,0.257,129.752,263667,4,"spotify:track:0WWKJsCjOAhymkdt8GuKTt","https://api.spotify.com/v1/audio-analysis/0WWKJsCjOAhymkdt8GuKTt"
"18","2yiZyjMEByt9sJBZWnWaDR",0.571,0.87,8,-3.877,0,0.0641,0.0198,6.6e-06,0.0564,0.815,172.716,199640,4,"spotify:track:2yiZyjMEByt9sJBZWnWaDR","https://api.spotify.com/v1/audio-analysis/2yiZyjMEByt9sJBZWnWaDR"
"19","2dwhMQsFeHr2S787WxqAqW",0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.738,165.98,347107,4,"spotify:track:2dwhMQsFeHr2S787WxqAqW","https://api.spotify.com/v1/audio-analysis/2dwhMQsFeHr2S787WxqAqW"
"20","7ffwRz8lZyDOE4Vj58Lo72",0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.795,115.061,227707,4,"spotify:track:7ffwRz8lZyDOE4Vj58Lo72","https://api.spotify.com/v1/audio-analysis/7ffwRz8lZyDOE4Vj58Lo72"
"21","5iKYZAcAchghry6h8Iu5IL",0.813,0.487,10,-9.78,0,0.0783,0.235,7.59e-05,0.0928,0.863,99,276225,4,"spotify:track:5iKYZAcAchghry6h8Iu5IL","https://api.spotify.com/v1/audio-analysis/5iKYZAcAchghry6h8Iu5IL"
"22","3rrUfq6K1ySOtLamsbLjeZ",0.717,0.602,8,-4.256,0,0.0668,0.266,0,0.226,0.273,119.495,272707,4,"spotify:track:3rrUfq6K1ySOtLamsbLjeZ","https://api.spotify.com/v1/audio-analysis/3rrUfq6K1ySOtLamsbLjeZ"
"23","00cP99zN0bsUZSpXbAlQXg",0.559,0.637,2,-7.495,1,0.0321,0.304,0.000195,0.0783,0.79,152.885,238067,4,"spotify:track:00cP99zN0bsUZSpXbAlQXg","https://api.spotify.com/v1/audio-analysis/00cP99zN0bsUZSpXbAlQXg"
"24","2j2FjScgrrdSfEV4AZPBaQ",0.647,0.87,0,-4.702,0,0.0798,0.0479,0,0.0485,0.906,165.103,191280,4,"spotify:track:2j2FjScgrrdSfEV4AZPBaQ","https://api.spotify.com/v1/audio-analysis/2j2FjScgrrdSfEV4AZPBaQ"
"25","4N8T6fqT6vbJ1YAIwzX87L",0.627,0.873,9,-5.186,1,0.0467,0.13,0,0.132,0.548,93.029,242893,4,"spotify:track:4N8T6fqT6vbJ1YAIwzX87L","https://api.spotify.com/v1/audio-analysis/4N8T6fqT6vbJ1YAIwzX87L"
"26","6B7qPz0gQ2FlwUvTUPTZ27",0.627,0.629,6,-4.982,0,0.0252,0.235,0,0.0768,0.681,167.974,234960,4,"spotify:track:6B7qPz0gQ2FlwUvTUPTZ27","https://api.spotify.com/v1/audio-analysis/6B7qPz0gQ2FlwUvTUPTZ27"
"27","6znv7i4Wif5fLwI6OjKHZ4",0.618,0.941,7,-3.119,1,0.0341,0.0796,2.51e-06,0.0755,0.934,104.774,218200,4,"spotify:track:6znv7i4Wif5fLwI6OjKHZ4","https://api.spotify.com/v1/audio-analysis/6znv7i4Wif5fLwI6OjKHZ4"
"28","6ukJXqRAorZSchjW4NawEf",0.636,0.688,5,-7.273,0,0.0297,0.0131,0.000871,0.1,0.592,134.987,242867,4,"spotify:track:6ukJXqRAorZSchjW4NawEf","https://api.spotify.com/v1/audio-analysis/6ukJXqRAorZSchjW4NawEf"
"29","3mNecsYFb6LQg7822DPXCP",0.481,0.94,7,-5.204,1,0.066,0.000891,0,0.0939,0.643,96.493,189333,4,"spotify:track:3mNecsYFb6LQg7822DPXCP","https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP"
"30","2eY1BRbRcK6SRb0rD90suw",0.414,0.525,0,-8.436,1,0.0302,0.00312,0.0011,0.149,0.134,138.869,278440,4,"spotify:track:2eY1BRbRcK6SRb0rD90suw","https://api.spotify.com/v1/audio-analysis/2eY1BRbRcK6SRb0rD90suw"
"31","7AQBRTtPhdni9ICDYB0s1v",0.684,0.85,1,-6.084,0,0.0324,0.0339,0.00122,0.0534,0.551,122.005,219480,4,"spotify:track:7AQBRTtPhdni9ICDYB0s1v","https://api.spotify.com/v1/audio-analysis/7AQBRTtPhdni9ICDYB0s1v"
"32","65GZzBP1qyk4zH7c8RIJYD",0.825,0.914,8,-3.207,1,0.102,0.216,2.43e-05,0.228,0.761,118.912,204533,4,"spotify:track:65GZzBP1qyk4zH7c8RIJYD","https://api.spotify.com/v1/audio-analysis/65GZzBP1qyk4zH7c8RIJYD"
"33","2WfhlEjoUII31H6imnQdvF",0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.922,97.004,242560,4,"spotify:track:2WfhlEjoUII31H6imnQdvF","https://api.spotify.com/v1/audio-analysis/2WfhlEjoUII31H6imnQdvF"
"34","58BOuW65NBEkj78UyCE8lA",0.434,0.892,0,-5.23,1,0.0504,0.00977,0,0.403,0.642,148.745,171067,4,"spotify:track:58BOuW65NBEkj78UyCE8lA","https://api.spotify.com/v1/audio-analysis/58BOuW65NBEkj78UyCE8lA"
"35","6vgN6KGstss0GnBbKlMNK9",0.627,0.716,2,-7.175,1,0.0352,0.127,0,0.0344,0.738,101.99,186067,4,"spotify:track:6vgN6KGstss0GnBbKlMNK9","https://api.spotify.com/v1/audio-analysis/6vgN6KGstss0GnBbKlMNK9"
"36","7buEDjMrLXymDYTWbxGjZ8",0.59,0.467,1,-8.385,1,0.0386,0.356,0,0.111,0.295,127.17,273733,4,"spotify:track:7buEDjMrLXymDYTWbxGjZ8","https://api.spotify.com/v1/audio-analysis/7buEDjMrLXymDYTWbxGjZ8"
"37","7mP4fGwTDxoTOfQtxeAiJS",0.729,0.94,4,-4.933,1,0.0382,0.0845,0.000262,0.0963,0.966,113.804,237120,4,"spotify:track:7mP4fGwTDxoTOfQtxeAiJS","https://api.spotify.com/v1/audio-analysis/7mP4fGwTDxoTOfQtxeAiJS"
"38","1PmHkalaUHhh0fz23SBHDL",0.761,0.627,1,-5.554,1,0.0538,0.175,0,0.128,0.895,109.821,263227,4,"spotify:track:1PmHkalaUHhh0fz23SBHDL","https://api.spotify.com/v1/audio-analysis/1PmHkalaUHhh0fz23SBHDL"
"39","4xzhlulgIL4yFEAR9EjHkR",0.769,0.47,7,-9.526,1,0.158,0.054,5.14e-06,0.0628,0.482,82.505,261573,4,"spotify:track:4xzhlulgIL4yFEAR9EjHkR","https://api.spotify.com/v1/audio-analysis/4xzhlulgIL4yFEAR9EjHkR"
"40","1cC11FYZ0whYet1pnzA6sy",0.723,0.869,5,-5.001,0,0.0284,0.0208,0,0.0536,0.96,118.6,181027,4,"spotify:track:1cC11FYZ0whYet1pnzA6sy","https://api.spotify.com/v1/audio-analysis/1cC11FYZ0whYet1pnzA6sy"
"41","5FgtdSf7I5lClThz2ptWvl",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.771,128.007,283748,4,"spotify:track:5FgtdSf7I5lClThz2ptWvl","https://api.spotify.com/v1/audio-analysis/5FgtdSf7I5lClThz2ptWvl"
"42","1MYlx4dBtiyjn7K8YSyfzT",0.947,0.655,5,-4.243,0,0.0609,0.0331,0,0.0433,0.781,104.485,284800,4,"spotify:track:1MYlx4dBtiyjn7K8YSyfzT","https://api.spotify.com/v1/audio-analysis/1MYlx4dBtiyjn7K8YSyfzT"
"43","0Vus6lDjFv1mxLrCowBpE4",0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00444,0.101,0.7,97.923,298960,4,"spotify:track:0Vus6lDjFv1mxLrCowBpE4","https://api.spotify.com/v1/audio-analysis/0Vus6lDjFv1mxLrCowBpE4"
"44","3NEzjZbeSCy72Kx1clSYgC",0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.717,99.581,243159,4,"spotify:track:3NEzjZbeSCy72Kx1clSYgC","https://api.spotify.com/v1/audio-analysis/3NEzjZbeSCy72Kx1clSYgC"
"45","5xcSi6kSAq1MfPXVuzC5gD",0.471,0.868,7,-4.227,1,0.0564,0.00513,7.23e-06,0.22,0.534,186.67,281507,4,"spotify:track:5xcSi6kSAq1MfPXVuzC5gD","https://api.spotify.com/v1/audio-analysis/5xcSi6kSAq1MfPXVuzC5gD"
"46","4jUuqKRr1fB4c1RvU6syls",0.755,0.832,11,-4.869,1,0.0462,0.317,1.9e-05,0.219,0.882,95.044,210853,4,"spotify:track:4jUuqKRr1fB4c1RvU6syls","https://api.spotify.com/v1/audio-analysis/4jUuqKRr1fB4c1RvU6syls"
"47","1MGzWqVA214YfnNoiM6j6c",0.589,0.669,4,-4.082,0,0.0253,0.147,0,0.135,0.0734,103.976,263947,4,"spotify:track:1MGzWqVA214YfnNoiM6j6c","https://api.spotify.com/v1/audio-analysis/1MGzWqVA214YfnNoiM6j6c"
"48","0H0yDqmQAZ9gGvLka1bqeO",0.666,0.792,0,-6.068,1,0.0488,0.0593,1.13e-06,0.104,0.654,123.914,205267,4,"spotify:track:0H0yDqmQAZ9gGvLka1bqeO","https://api.spotify.com/v1/audio-analysis/0H0yDqmQAZ9gGvLka1bqeO"
"49","2c5wml8wsBnPfNSbCZ574T",0.446,0.762,2,-8.971,1,0.0422,0.000103,7.2e-05,0.26,0.273,98.993,359520,4,"spotify:track:2c5wml8wsBnPfNSbCZ574T","https://api.spotify.com/v1/audio-analysis/2c5wml8wsBnPfNSbCZ574T"
