"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","0maGllQEuiHk3UbOBLC05d",0.549,0.854,1,-5.408,1,0.036,0.00115,0,0.082,0.454,124.578,213760,4,"spotify:track:0maGllQEuiHk3UbOBLC05d","https://api.spotify.com/v1/audio-analysis/0maGllQEuiHk3UbOBLC05d"
"2","3unsLiH5FXmaDWtT5Imolu",0.653,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.526,95.982,210200,3,"spotify:track:3unsLiH5FXmaDWtT5Imolu","https://api.spotify.com/v1/audio-analysis/3unsLiH5FXmaDWtT5Imolu"
"3","21Hb463GK8hP890bsNVCfg",0.76,0.897,2,-5.111,1,0.112,0.0157,0.0531,0.297,0.659,113.521,261867,3,"spotify:track:21Hb463GK8hP890bsNVCfg","https://api.spotify.com/v1/audio-analysis/21Hb463GK8hP890bsNVCfg"
"4","23rc0FT9mCa12LjYSeDXlW",0.468,0.64,0,-5.862,1,0.0275,0.154,0,0.154,0.506,79.297,259933,4,"spotify:track:23rc0FT9mCa12LjYSeDXlW","https://api.spotify.com/v1/audio-analysis/23rc0FT9mCa12LjYSeDXlW"
"5","1gaUODQzPR6eNcJtNe0cyZ",0.735,0.58,4,-7.555,0,0.115,0.368,0,0.0671,0.512,83.447,261550,4,"spotify:track:1gaUODQzPR6eNcJtNe0cyZ","https://api.spotify.com/v1/audio-analysis/1gaUODQzPR6eNcJtNe0cyZ"
"6","5rdRPZnY9B2pxJNWImbsFn",0.399,0.681,9,-6.457,1,0.031,0.507,1.23e-06,0.102,0.338,109.716,274293,4,"spotify:track:5rdRPZnY9B2pxJNWImbsFn","https://api.spotify.com/v1/audio-analysis/5rdRPZnY9B2pxJNWImbsFn"
"7","3RmKpob8xzv1pzHEQrMJah",0.909,0.539,8,-4.278,0,0.116,0.243,0,0.0674,0.873,90.038,229933,4,"spotify:track:3RmKpob8xzv1pzHEQrMJah","https://api.spotify.com/v1/audio-analysis/3RmKpob8xzv1pzHEQrMJah"
"8","54PVf8d9j84aJXj4ZTssBr",0.722,0.595,1,-9.928,0,0.0415,0.284,0.000538,0.0694,0.741,79.98,217827,4,"spotify:track:54PVf8d9j84aJXj4ZTssBr","https://api.spotify.com/v1/audio-analysis/54PVf8d9j84aJXj4ZTssBr"
"9","16gvJsVyauI16RqmOrwJJk",0.554,0.82,2,-5.035,1,0.0296,0.0186,4.91e-05,0.161,0.767,79.155,228933,4,"spotify:track:16gvJsVyauI16RqmOrwJJk","https://api.spotify.com/v1/audio-analysis/16gvJsVyauI16RqmOrwJJk"
"10","2tZZGKQDPIk37SkmNm0Od7",0.672,0.593,6,-3.957,0,0.216,0.348,3.36e-06,0.114,0.924,97.887,216267,4,"spotify:track:2tZZGKQDPIk37SkmNm0Od7","https://api.spotify.com/v1/audio-analysis/2tZZGKQDPIk37SkmNm0Od7"
"11","5k3sanOGourYTSWNvphUnz",0.682,0.827,10,-2.594,0,0.042,0.226,0,0.434,0.714,89.979,248733,4,"spotify:track:5k3sanOGourYTSWNvphUnz","https://api.spotify.com/v1/audio-analysis/5k3sanOGourYTSWNvphUnz"
"12","0OaunKfsxkgBvPv68jBbmm",0.849,0.619,0,-4.774,1,0.0695,0.0618,0,0.353,0.665,94.762,227547,4,"spotify:track:0OaunKfsxkgBvPv68jBbmm","https://api.spotify.com/v1/audio-analysis/0OaunKfsxkgBvPv68jBbmm"
"13","7C5XOHS3FXH8PWbAB9WdWS",0.764,0.732,1,-7.232,1,0.139,0.0544,0,0.31,0.644,89.976,213133,4,"spotify:track:7C5XOHS3FXH8PWbAB9WdWS","https://api.spotify.com/v1/audio-analysis/7C5XOHS3FXH8PWbAB9WdWS"
"14","0d2YnyIPgmPQqNSzDg8s8Q",0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.078,116.529,264707,4,"spotify:track:0d2YnyIPgmPQqNSzDg8s8Q","https://api.spotify.com/v1/audio-analysis/0d2YnyIPgmPQqNSzDg8s8Q"
"15","2QsZVnbWVSjKMXK6K3uRBL",0.657,0.629,6,-4.938,1,0.0782,0.194,0,0.254,0.718,93.985,266893,4,"spotify:track:2QsZVnbWVSjKMXK6K3uRBL","https://api.spotify.com/v1/audio-analysis/2QsZVnbWVSjKMXK6K3uRBL"
"16","5mNV8Mz59bzyuQ53gTw0c0",0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.864,129.491,232573,5,"spotify:track:5mNV8Mz59bzyuQ53gTw0c0","https://api.spotify.com/v1/audio-analysis/5mNV8Mz59bzyuQ53gTw0c0"
"17","4LhtNlYHIEZYAAE4UN5x6b",0.799,0.761,6,-3.163,1,0.0967,0.127,0,0.0655,0.729,85.282,237133,4,"spotify:track:4LhtNlYHIEZYAAE4UN5x6b","https://api.spotify.com/v1/audio-analysis/4LhtNlYHIEZYAAE4UN5x6b"
"18","1D70EbZoedMGzZWYZvfQIY",0.852,0.685,7,-6.581,1,0.0645,0.0658,0,0.0381,0.737,101.846,290173,4,"spotify:track:1D70EbZoedMGzZWYZvfQIY","https://api.spotify.com/v1/audio-analysis/1D70EbZoedMGzZWYZvfQIY"
"19","4KoecuyOpZaNFZ0UqVsllc",0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.922,105.014,218440,4,"spotify:track:4KoecuyOpZaNFZ0UqVsllc","https://api.spotify.com/v1/audio-analysis/4KoecuyOpZaNFZ0UqVsllc"
"20","6iajHa34cSiD5s42Cq9miJ",0.706,0.537,7,-6.347,1,0.348,0.00887,0,0.129,0.772,203.746,225947,4,"spotify:track:6iajHa34cSiD5s42Cq9miJ","https://api.spotify.com/v1/audio-analysis/6iajHa34cSiD5s42Cq9miJ"
"21","4IyDlKobNAzDkl6USG7rO2",0.645,0.835,4,-5.975,0,0.0372,0.0597,0.0139,0.158,0.658,90.56,232760,4,"spotify:track:4IyDlKobNAzDkl6USG7rO2","https://api.spotify.com/v1/audio-analysis/4IyDlKobNAzDkl6USG7rO2"
"22","1tJkic0TURTCXw3rBhYgWu",0.732,0.793,7,-7.053,1,0.24,0.278,0,0.418,0.833,95.918,175560,4,"spotify:track:1tJkic0TURTCXw3rBhYgWu","https://api.spotify.com/v1/audio-analysis/1tJkic0TURTCXw3rBhYgWu"
"23","3ckAfCo4YxRXU8CwvF9BIK",0.586,0.873,8,-2.117,1,0.245,0.0976,0,0.183,0.729,161.07,240160,4,"spotify:track:3ckAfCo4YxRXU8CwvF9BIK","https://api.spotify.com/v1/audio-analysis/3ckAfCo4YxRXU8CwvF9BIK"
"24","63j3B2fEUNlPy964K5PVTO",0.756,0.52,0,-6.263,1,0.0313,0.00153,2.63e-06,0.127,0.63,109.926,267347,4,"spotify:track:63j3B2fEUNlPy964K5PVTO","https://api.spotify.com/v1/audio-analysis/63j3B2fEUNlPy964K5PVTO"
"25","0I3q5fE6wg7LIfHGngUTnV",0.843,0.805,4,-5.946,0,0.269,0.142,0,0.0771,0.62,94.946,270507,4,"spotify:track:0I3q5fE6wg7LIfHGngUTnV","https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV"
"26","4ktd4eFTNwfBft4zQxSCqO",0.791,0.81,4,-5.869,0,0.0958,0.00403,1.33e-06,0.425,0.613,97.558,220520,4,"spotify:track:4ktd4eFTNwfBft4zQxSCqO","https://api.spotify.com/v1/audio-analysis/4ktd4eFTNwfBft4zQxSCqO"
"27","6vgN6KGstss0GnBbKlMNK9",0.627,0.716,2,-7.175,1,0.0352,0.127,0,0.0344,0.738,101.99,186067,4,"spotify:track:6vgN6KGstss0GnBbKlMNK9","https://api.spotify.com/v1/audio-analysis/6vgN6KGstss0GnBbKlMNK9"
"28","2YGm6IyhHutoxJDUTow1Fg",0.685,0.779,7,-8.13,0,0.256,0.345,0,0.358,0.643,155.923,225667,4,"spotify:track:2YGm6IyhHutoxJDUTow1Fg","https://api.spotify.com/v1/audio-analysis/2YGm6IyhHutoxJDUTow1Fg"
"29","6GQ3WTaNHMFlVmN4burGat",0.74,0.811,9,-4.148,0,0.0768,0.00155,0.000229,0.107,0.622,103.499,216773,4,"spotify:track:6GQ3WTaNHMFlVmN4burGat","https://api.spotify.com/v1/audio-analysis/6GQ3WTaNHMFlVmN4burGat"
"30","0OvwzS8FX73Bw7ykMRmffU",0.687,0.785,1,-4.953,0,0.325,0.00332,0,0.0516,0.78,186.244,262827,4,"spotify:track:0OvwzS8FX73Bw7ykMRmffU","https://api.spotify.com/v1/audio-analysis/0OvwzS8FX73Bw7ykMRmffU"
"31","2D5QhvAWddOJTvk1XawrTU",0.926,0.568,8,-2.308,0,0.0461,0.2,4.53e-05,0.0806,0.97,92.902,267960,4,"spotify:track:2D5QhvAWddOJTvk1XawrTU","https://api.spotify.com/v1/audio-analysis/2D5QhvAWddOJTvk1XawrTU"
"32","65B1tEOv5W294uCKbmEcFV",0.416,0.446,7,-9.557,0,0.0291,0.0524,0,0.0891,0.274,151.328,294533,4,"spotify:track:65B1tEOv5W294uCKbmEcFV","https://api.spotify.com/v1/audio-analysis/65B1tEOv5W294uCKbmEcFV"
"33","5sC4GlhZ9zCb6gPxSIbX5j",0.711,0.696,7,-5.605,1,0.0511,0.0273,0.000911,0.105,0.725,100.124,249733,4,"spotify:track:5sC4GlhZ9zCb6gPxSIbX5j","https://api.spotify.com/v1/audio-analysis/5sC4GlhZ9zCb6gPxSIbX5j"
"34","13KEdaWIc7T6ozEmnJjHy1",0.78,0.787,0,-6.653,1,0.209,0.533,0.134,0.122,0.676,177.835,237067,4,"spotify:track:13KEdaWIc7T6ozEmnJjHy1","https://api.spotify.com/v1/audio-analysis/13KEdaWIc7T6ozEmnJjHy1"
"35","3opZewONQQhh90M75Qrm83",0.686,0.659,0,-4.525,1,0.0268,0.0957,0,0.594,0.455,116.161,262773,4,"spotify:track:3opZewONQQhh90M75Qrm83","https://api.spotify.com/v1/audio-analysis/3opZewONQQhh90M75Qrm83"
"36","2LJ58vWuLhFQ2bJPqzhveL",0.686,0.742,8,-6.981,1,0.0389,0.418,0.00728,0.0871,0.857,132.495,231493,4,"spotify:track:2LJ58vWuLhFQ2bJPqzhveL","https://api.spotify.com/v1/audio-analysis/2LJ58vWuLhFQ2bJPqzhveL"
"37","1ZlkTsDGC9SMF3oXSXJLFY",0.731,0.936,2,-3.029,1,0.0355,0.2,0.00338,0.0971,0.836,127.918,254707,4,"spotify:track:1ZlkTsDGC9SMF3oXSXJLFY","https://api.spotify.com/v1/audio-analysis/1ZlkTsDGC9SMF3oXSXJLFY"
"38","7q36HE7sjosbeD8AHoOjRL",0.412,0.542,0,-8.427,1,0.0306,0.00394,0.000758,0.124,0.13,138.925,276400,4,"spotify:track:7q36HE7sjosbeD8AHoOjRL","https://api.spotify.com/v1/audio-analysis/7q36HE7sjosbeD8AHoOjRL"
"39","1ak0S3NhwWrUgNlQhJ1412",0.78,0.69,1,-4.958,0,0.0445,0.0565,8.19e-05,0.0716,0.327,98.002,236827,4,"spotify:track:1ak0S3NhwWrUgNlQhJ1412","https://api.spotify.com/v1/audio-analysis/1ak0S3NhwWrUgNlQhJ1412"
"40","0WdaRmHBMhUoLPqHLdb9yg",0.641,0.453,0,-4.98,1,0.0281,0.262,0,0.284,0.207,126.872,248867,4,"spotify:track:0WdaRmHBMhUoLPqHLdb9yg","https://api.spotify.com/v1/audio-analysis/0WdaRmHBMhUoLPqHLdb9yg"
"41","2jZESuj23z92RqbooSsMqV",0.808,0.835,1,-4.586,0,0.273,0.00344,0,0.174,0.635,103.382,207960,4,"spotify:track:2jZESuj23z92RqbooSsMqV","https://api.spotify.com/v1/audio-analysis/2jZESuj23z92RqbooSsMqV"
"42","40ZViEcg2JVcLysJc627Rz",0.62,0.639,10,-5.049,1,0.039,0.144,1.07e-06,0.252,0.643,89.656,244093,4,"spotify:track:40ZViEcg2JVcLysJc627Rz","https://api.spotify.com/v1/audio-analysis/40ZViEcg2JVcLysJc627Rz"
"43","0S0d7Qad5v7ZLQiAuwQxab",0.544,0.866,11,-4.889,0,0.0297,0.00547,1.62e-05,0.15,0.51,99.021,233933,4,"spotify:track:0S0d7Qad5v7ZLQiAuwQxab","https://api.spotify.com/v1/audio-analysis/0S0d7Qad5v7ZLQiAuwQxab"
"44","50aYYSNIEfwUjCvjDgkrQe",0.92,0.487,10,-5.578,0,0.182,0.0103,0,0.0411,0.806,92.836,241400,4,"spotify:track:50aYYSNIEfwUjCvjDgkrQe","https://api.spotify.com/v1/audio-analysis/50aYYSNIEfwUjCvjDgkrQe"
"45","3eWxADd1CLwJVhyPzrCpl8",0.677,0.771,4,-5.852,1,0.0471,0.0465,0,0.165,0.937,99.91,218333,4,"spotify:track:3eWxADd1CLwJVhyPzrCpl8","https://api.spotify.com/v1/audio-analysis/3eWxADd1CLwJVhyPzrCpl8"
