"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","2fyTojfPYs67KBWN4WYRX7",0.85,0.398,7,-9.816,1,0.0534,0.0117,0,0.263,0.717,99.717,258113,4,"spotify:track:2fyTojfPYs67KBWN4WYRX7","https://api.spotify.com/v1/audio-analysis/2fyTojfPYs67KBWN4WYRX7"
"2","7wCH9DbgRs7ujHeqNy6oAS",0.551,0.527,3,-7.119,1,0.0302,0.45,0,0.0867,0.662,133.758,212560,4,"spotify:track:7wCH9DbgRs7ujHeqNy6oAS","https://api.spotify.com/v1/audio-analysis/7wCH9DbgRs7ujHeqNy6oAS"
"3","69MmmKaqTGd2lBh1qNVpeP",0.612,0.706,0,-8.875,1,0.0256,0.418,0,0.0797,0.802,84.083,277200,4,"spotify:track:69MmmKaqTGd2lBh1qNVpeP","https://api.spotify.com/v1/audio-analysis/69MmmKaqTGd2lBh1qNVpeP"
"4","1GrikfH0jDejDvrxo84n4P",0.873,0.591,7,-8.942,1,0.102,0.0788,0.0071,0.104,0.49,123.091,301200,4,"spotify:track:1GrikfH0jDejDvrxo84n4P","https://api.spotify.com/v1/audio-analysis/1GrikfH0jDejDvrxo84n4P"
"5","2LuubKHueqlJbx0ylKGFmy",0.628,0.496,1,-9.308,1,0.0318,0.144,1.05e-06,0.0642,0.182,128.019,332000,4,"spotify:track:2LuubKHueqlJbx0ylKGFmy","https://api.spotify.com/v1/audio-analysis/2LuubKHueqlJbx0ylKGFmy"
"6","1ZvS1DmW1cF0oknYGCVNK7",0.6,0.414,4,-13.182,1,0.0291,0.172,5.91e-06,0.264,0.585,124.43,228000,4,"spotify:track:1ZvS1DmW1cF0oknYGCVNK7","https://api.spotify.com/v1/audio-analysis/1ZvS1DmW1cF0oknYGCVNK7"
"7","2KVVKbrg81ipix7moSsfzI",0.821,0.305,8,-11.922,1,0.111,0.173,0,0.305,0.488,121.924,227800,4,"spotify:track:2KVVKbrg81ipix7moSsfzI","https://api.spotify.com/v1/audio-analysis/2KVVKbrg81ipix7moSsfzI"
"8","1qJemJSZsdqH2DEqXAZWNJ",0.338,0.606,11,-4.772,1,0.0351,0.253,2.52e-06,0.0969,0.378,178.568,312480,4,"spotify:track:1qJemJSZsdqH2DEqXAZWNJ","https://api.spotify.com/v1/audio-analysis/1qJemJSZsdqH2DEqXAZWNJ"
"9","3Uvx1TO0Kg5HgGPk58lHXv",0.562,0.593,5,-9.362,1,0.0263,0.00327,0.00139,0.0967,0.543,80.289,253413,4,"spotify:track:3Uvx1TO0Kg5HgGPk58lHXv","https://api.spotify.com/v1/audio-analysis/3Uvx1TO0Kg5HgGPk58lHXv"
"10","5kHgrRO3hMDPehtH9VhYQc",0.67,0.582,1,-3.574,1,0.224,0.3,0,0.0845,0.708,181.841,207467,4,"spotify:track:5kHgrRO3hMDPehtH9VhYQc","https://api.spotify.com/v1/audio-analysis/5kHgrRO3hMDPehtH9VhYQc"
"11","27ncbKwESFYzgBo9RN9IXe",0.421,0.36,4,-8.872,1,0.0297,0.723,0,0.194,0.0383,99.414,280613,1,"spotify:track:27ncbKwESFYzgBo9RN9IXe","https://api.spotify.com/v1/audio-analysis/27ncbKwESFYzgBo9RN9IXe"
"12","0weAUscowxeqDtpCgtbpgp",0.881,0.874,6,-4.505,1,0.139,0.0175,1.19e-06,0.154,0.859,107.891,227933,4,"spotify:track:0weAUscowxeqDtpCgtbpgp","https://api.spotify.com/v1/audio-analysis/0weAUscowxeqDtpCgtbpgp"
"13","1Ddf5oGQwHnRoacJIr8M1j",0.761,0.632,5,-7.583,0,0.0578,0.035,0,0.0895,0.912,164.049,220133,4,"spotify:track:1Ddf5oGQwHnRoacJIr8M1j","https://api.spotify.com/v1/audio-analysis/1Ddf5oGQwHnRoacJIr8M1j"
"14","7v3IfbATd71qapVuZ190L5",0.815,0.518,5,-8.206,0,0.147,0.013,0,0.0597,0.905,90.062,214600,4,"spotify:track:7v3IfbATd71qapVuZ190L5","https://api.spotify.com/v1/audio-analysis/7v3IfbATd71qapVuZ190L5"
"15","797yAHy8UMEiPJC9bc0H6k",0.607,0.311,7,-10.449,0,0.0286,0.734,4.1e-05,0.0907,0.112,108.107,230467,4,"spotify:track:797yAHy8UMEiPJC9bc0H6k","https://api.spotify.com/v1/audio-analysis/797yAHy8UMEiPJC9bc0H6k"
"16","1siDRjAa8MdxNoCHTiiQ7B",0.815,0.529,6,-10.117,0,0.28,0.0191,0,0.406,0.739,99.439,325933,4,"spotify:track:1siDRjAa8MdxNoCHTiiQ7B","https://api.spotify.com/v1/audio-analysis/1siDRjAa8MdxNoCHTiiQ7B"
"17","4bDkk5cXzzRnxC2iDLussL",0.521,0.422,3,-8.696,1,0.0248,0.673,0,0.159,0.248,76.048,244747,4,"spotify:track:4bDkk5cXzzRnxC2iDLussL","https://api.spotify.com/v1/audio-analysis/4bDkk5cXzzRnxC2iDLussL"
"18","6wAV49hRfOiCTHztORMy8Y",0.735,0.693,1,-5.644,0,0.0294,0.0296,0,0.0836,0.62,115.04,200293,4,"spotify:track:6wAV49hRfOiCTHztORMy8Y","https://api.spotify.com/v1/audio-analysis/6wAV49hRfOiCTHztORMy8Y"
"19","5WTxbyWTpoqhdxEN2szOnl",0.792,0.811,10,-5.198,0,0.0367,0.00602,0.000155,0.224,0.515,108.054,287293,4,"spotify:track:5WTxbyWTpoqhdxEN2szOnl","https://api.spotify.com/v1/audio-analysis/5WTxbyWTpoqhdxEN2szOnl"
"20","225xvV8r1yKMHErSWivnow",0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.14,121.154,298760,4,"spotify:track:225xvV8r1yKMHErSWivnow","https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow"
