"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","6pttm4dCF7dEe20oY5vuvF",0.8,0.459,1,-7.143,1,0.115,0.319,0,0.117,0.693,119.944,231933,4,"spotify:track:6pttm4dCF7dEe20oY5vuvF","https://api.spotify.com/v1/audio-analysis/6pttm4dCF7dEe20oY5vuvF"
"2","3XVBdLihbNbxUwZosxcGuJ",0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.176,118.393,228707,3,"spotify:track:3XVBdLihbNbxUwZosxcGuJ","https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ"
"3","5zF2zGPkL6Ipsn9AfAK6RP",0.714,0.868,5,-4.596,0,0.0363,0.0551,0,0.0987,0.8,95.05,206200,4,"spotify:track:5zF2zGPkL6Ipsn9AfAK6RP","https://api.spotify.com/v1/audio-analysis/5zF2zGPkL6Ipsn9AfAK6RP"
"4","7afSN5zhUhkbpRFpYKYztK",0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0736,82.952,232800,4,"spotify:track:7afSN5zhUhkbpRFpYKYztK","https://api.spotify.com/v1/audio-analysis/7afSN5zhUhkbpRFpYKYztK"
"5","3AszgPDZd9q0DpDFt4HFBy",0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.964,79.504,239240,4,"spotify:track:3AszgPDZd9q0DpDFt4HFBy","https://api.spotify.com/v1/audio-analysis/3AszgPDZd9q0DpDFt4HFBy"
"6","6H7w7e8zC8QYJyqe7fZHVa",0.799,0.916,1,-3.344,1,0.471,0.11,0,0.0746,0.7,126.687,247427,5,"spotify:track:6H7w7e8zC8QYJyqe7fZHVa","https://api.spotify.com/v1/audio-analysis/6H7w7e8zC8QYJyqe7fZHVa"
"7","6fqqAsCYfDOtXAD8Ydo06K",0.925,0.741,9,-5.827,0,0.314,0.0659,0,0.044,0.643,93.035,247107,4,"spotify:track:6fqqAsCYfDOtXAD8Ydo06K","https://api.spotify.com/v1/audio-analysis/6fqqAsCYfDOtXAD8Ydo06K"
"8","2VNJdBmlWLZfz9SQo8ob6V",0.837,0.469,1,-7.666,1,0.137,0.0508,0,0.0664,0.711,138.052,211200,4,"spotify:track:2VNJdBmlWLZfz9SQo8ob6V","https://api.spotify.com/v1/audio-analysis/2VNJdBmlWLZfz9SQo8ob6V"
"9","3UmhLD8OUCwyvK5AMnE23U",0.809,0.761,2,-2.955,1,0.151,0.0617,0,0.106,0.314,105.008,243902,4,"spotify:track:3UmhLD8OUCwyvK5AMnE23U","https://api.spotify.com/v1/audio-analysis/3UmhLD8OUCwyvK5AMnE23U"
"10","7qQfI2F80t2MZcLLVuH6M2",0.544,0.55,10,-6.756,0,0.0248,0.0541,0,0.243,0.232,144.028,236920,4,"spotify:track:7qQfI2F80t2MZcLLVuH6M2","https://api.spotify.com/v1/audio-analysis/7qQfI2F80t2MZcLLVuH6M2"
"11","4PkJ7c9y1CwpuVOiJODnCZ",0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.574,163.118,207467,4,"spotify:track:4PkJ7c9y1CwpuVOiJODnCZ","https://api.spotify.com/v1/audio-analysis/4PkJ7c9y1CwpuVOiJODnCZ"
"12","0YGQ3hZcRLC5YX7o0hdmHg",0.588,0.461,6,-8.686,0,0.161,0.237,1.54e-05,0.0913,0.658,200.053,208573,4,"spotify:track:0YGQ3hZcRLC5YX7o0hdmHg","https://api.spotify.com/v1/audio-analysis/0YGQ3hZcRLC5YX7o0hdmHg"
"13","72iNjNcripCtyG8AZEPVBo",0.251,0.333,9,-7.828,1,0.0336,0.748,1.22e-05,0.0847,0.0706,97.195,273360,5,"spotify:track:72iNjNcripCtyG8AZEPVBo","https://api.spotify.com/v1/audio-analysis/72iNjNcripCtyG8AZEPVBo"
