"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","1cOj24fUMnBSXhtp7waHVW",0.673,0.286,8,-14.643,1,0.0313,0.294,0,0.086,0.2,120.117,256467,4,"spotify:track:1cOj24fUMnBSXhtp7waHVW","https://api.spotify.com/v1/audio-analysis/1cOj24fUMnBSXhtp7waHVW"
"2","36W7sqM1qkSJArXhlVMWAi",0.62,0.493,8,-7.914,1,0.027,0.41,0,0.0588,0.221,128.18,241693,4,"spotify:track:36W7sqM1qkSJArXhlVMWAi","https://api.spotify.com/v1/audio-analysis/36W7sqM1qkSJArXhlVMWAi"
"3","0NFXlV3K5lZzGTPnWhalXH",0.706,0.338,5,-11.237,1,0.0314,0.101,0.000369,0.222,0.33,139.418,337381,4,"spotify:track:0NFXlV3K5lZzGTPnWhalXH","https://api.spotify.com/v1/audio-analysis/0NFXlV3K5lZzGTPnWhalXH"
"4","5lQyKTM5MZsrObdRbIjJv4",0.614,0.473,7,-10.902,0,0.0261,0.223,0.000161,0.16,0.498,92.114,291627,4,"spotify:track:5lQyKTM5MZsrObdRbIjJv4","https://api.spotify.com/v1/audio-analysis/5lQyKTM5MZsrObdRbIjJv4"
"5","63nVsCAdxu9OdeRhe58wiE",0.286,0.473,1,-15.646,0,0.0388,0.115,4.23e-05,0.071,0.457,99.233,345840,4,"spotify:track:63nVsCAdxu9OdeRhe58wiE","https://api.spotify.com/v1/audio-analysis/63nVsCAdxu9OdeRhe58wiE"
"6","5tdKaKLnC4SgtDZ6RlWeal",0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.93,119.49,275533,4,"spotify:track:5tdKaKLnC4SgtDZ6RlWeal","https://api.spotify.com/v1/audio-analysis/5tdKaKLnC4SgtDZ6RlWeal"
"7","6N5DRCQUSXT1qQqmqsO92B",0.699,0.696,11,-13.045,1,0.0458,0.0098,0.000345,0.0427,0.673,135.027,253293,4,"spotify:track:6N5DRCQUSXT1qQqmqsO92B","https://api.spotify.com/v1/audio-analysis/6N5DRCQUSXT1qQqmqsO92B"
"8","2avaSeKHI5l4sLruVfLdi2",0.651,0.665,9,-7.43,0,0.0269,0.221,7.91e-06,0.0403,0.657,97.996,230720,4,"spotify:track:2avaSeKHI5l4sLruVfLdi2","https://api.spotify.com/v1/audio-analysis/2avaSeKHI5l4sLruVfLdi2"
"9","5BXj1QDRU77J1ngVavG1tI",0.489,0.676,0,-8.769,1,0.0367,0.287,0,0.389,0.615,89.735,256960,4,"spotify:track:5BXj1QDRU77J1ngVavG1tI","https://api.spotify.com/v1/audio-analysis/5BXj1QDRU77J1ngVavG1tI"
"10","5qUliRaqliPfqrG3oQrp72",0.658,0.735,2,-8.387,1,0.0337,0.413,1.2e-06,0.0329,0.97,111.46,244133,4,"spotify:track:5qUliRaqliPfqrG3oQrp72","https://api.spotify.com/v1/audio-analysis/5qUliRaqliPfqrG3oQrp72"
"11","6yJxCltgtmGxIgKOS6ndnu",0.502,0.305,9,-16.011,1,0.0339,0.484,3.55e-06,0.117,0.263,131.242,291400,4,"spotify:track:6yJxCltgtmGxIgKOS6ndnu","https://api.spotify.com/v1/audio-analysis/6yJxCltgtmGxIgKOS6ndnu"
