"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","7iL6o9tox1zgHpKUfh9vuC",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.793,90.051,193467,4,"spotify:track:7iL6o9tox1zgHpKUfh9vuC","https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC"
"2","0nmxH6IsSQVT1YEsCB9UMi",0.787,0.527,1,-6.981,1,0.0512,0.0615,0,0.0656,0.828,133.107,187733,4,"spotify:track:0nmxH6IsSQVT1YEsCB9UMi","https://api.spotify.com/v1/audio-analysis/0nmxH6IsSQVT1YEsCB9UMi"
"3","7C86DVl6REN8VPeGEMOf9q",0.735,0.824,10,-4.143,0,0.036,0.615,0,0.158,0.725,100.202,211666,4,"spotify:track:7C86DVl6REN8VPeGEMOf9q","https://api.spotify.com/v1/audio-analysis/7C86DVl6REN8VPeGEMOf9q"
"4","1Nuqm2gavvcmZtEFWvbDbK",0.455,0.764,2,-5.633,1,0.0327,0.00446,0,0.105,0.356,74.021,260507,4,"spotify:track:1Nuqm2gavvcmZtEFWvbDbK","https://api.spotify.com/v1/audio-analysis/1Nuqm2gavvcmZtEFWvbDbK"
"5","0PXWpNBYg52gABrn1qL1bD",0.442,0.793,9,-5.152,1,0.0347,0.0456,0,0.328,0.437,80.985,237267,4,"spotify:track:0PXWpNBYg52gABrn1qL1bD","https://api.spotify.com/v1/audio-analysis/0PXWpNBYg52gABrn1qL1bD"
"6","0l3GEbH3CviUytD6iX4wzg",0.866,0.749,2,-3.977,1,0.253,0.15,0,0.0591,0.878,92.077,249800,4,"spotify:track:0l3GEbH3CviUytD6iX4wzg","https://api.spotify.com/v1/audio-analysis/0l3GEbH3CviUytD6iX4wzg"
"7","47mdv9ScE1lLbKPTMgxtqg",0.547,0.334,10,-10.096,1,0.0355,0.624,0,0.229,0.51,109.757,245211,4,"spotify:track:47mdv9ScE1lLbKPTMgxtqg","https://api.spotify.com/v1/audio-analysis/47mdv9ScE1lLbKPTMgxtqg"
"8","0Ri6sPso4CNTnHn7RroCt4",0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0913,76.193,238560,4,"spotify:track:0Ri6sPso4CNTnHn7RroCt4","https://api.spotify.com/v1/audio-analysis/0Ri6sPso4CNTnHn7RroCt4"
"9","2jHujamO9UuZv8im9eLdOB",0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.223,151.95,223067,3,"spotify:track:2jHujamO9UuZv8im9eLdOB","https://api.spotify.com/v1/audio-analysis/2jHujamO9UuZv8im9eLdOB"
"10","1IRNjfivqiDhzey02C11ge",0.684,0.773,10,-3.05,0,0.351,0.0521,1.49e-05,0.0328,0.873,78.66,249840,4,"spotify:track:1IRNjfivqiDhzey02C11ge","https://api.spotify.com/v1/audio-analysis/1IRNjfivqiDhzey02C11ge"
