"","X","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"14",14,"005lwxGU1tms6HGELIcUv9",0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.711,129.996,179640,4,"spotify:track:005lwxGU1tms6HGELIcUv9","https://api.spotify.com/v1/audio-analysis/005lwxGU1tms6HGELIcUv9"
"15",15,"3tvWMBIblzT5FSjKtIeRR1",0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.458,150.053,249533,4,"spotify:track:3tvWMBIblzT5FSjKtIeRR1","https://api.spotify.com/v1/audio-analysis/3tvWMBIblzT5FSjKtIeRR1"
"16",16,"2VOomzT6VavJOGBeySqaMc",0.706,0.794,11,-4.321,0,0.0568,0.11,0,0.276,0.745,124.93,238627,4,"spotify:track:2VOomzT6VavJOGBeySqaMc","https://api.spotify.com/v1/audio-analysis/2VOomzT6VavJOGBeySqaMc"
"17",17,"0ByMNEPAPpOR5H69DVrTNy",0.853,0.676,6,-5.533,0,0.0715,0.0446,3.37e-05,0.0514,0.558,122.65,267080,4,"spotify:track:0ByMNEPAPpOR5H69DVrTNy","https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy"
"18",18,"1uigwk5hNV84zRd5YQQRTk",0.721,0.88,9,-3.896,0,0.0454,0.191,0,0.0769,0.672,110.021,202907,4,"spotify:track:1uigwk5hNV84zRd5YQQRTk","https://api.spotify.com/v1/audio-analysis/1uigwk5hNV84zRd5YQQRTk"
"19",19,"4CweuuMMzi71pO0MSRgyaT",0.769,0.52,1,-5.14,1,0.212,0.0219,0,0.0762,0.592,140.112,251160,3,"spotify:track:4CweuuMMzi71pO0MSRgyaT","https://api.spotify.com/v1/audio-analysis/4CweuuMMzi71pO0MSRgyaT"
"20",20,"2XbfY2O2v3xwedUJ0J2kkr",0.724,0.768,4,-6.438,0,0.0792,0.0268,2.44e-05,0.176,0.537,125.998,234360,4,"spotify:track:2XbfY2O2v3xwedUJ0J2kkr","https://api.spotify.com/v1/audio-analysis/2XbfY2O2v3xwedUJ0J2kkr"
"21",21,"0rFOs9paloAvEtzwDX1Kmc",0.664,0.491,9,-6.544,1,0.042,0.594,0,0.11,0.245,127.97,196280,4,"spotify:track:0rFOs9paloAvEtzwDX1Kmc","https://api.spotify.com/v1/audio-analysis/0rFOs9paloAvEtzwDX1Kmc"
"22",22,"2H1l4JczUDbiWfQtQElB05",0.716,0.666,4,-7.719,0,0.0539,0.129,0,0.25,0.845,78.498,204733,4,"spotify:track:2H1l4JczUDbiWfQtQElB05","https://api.spotify.com/v1/audio-analysis/2H1l4JczUDbiWfQtQElB05"
"23",23,"1oHClQEgDmmbcEx12Kc5nZ",0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.771,113.029,189693,4,"spotify:track:1oHClQEgDmmbcEx12Kc5nZ","https://api.spotify.com/v1/audio-analysis/1oHClQEgDmmbcEx12Kc5nZ"
"24",24,"28IEbk5a7twNTbUEvWslUb",0.645,0.941,4,-3.425,0,0.0448,0.169,0,0.251,0.88,106.015,208107,4,"spotify:track:28IEbk5a7twNTbUEvWslUb","https://api.spotify.com/v1/audio-analysis/28IEbk5a7twNTbUEvWslUb"
"25",25,"50xeLNGKmskmYUSINhqvfa",0.728,0.582,2,-4.141,1,0.158,0.196,0.000632,0.304,0.42,184.045,240427,4,"spotify:track:50xeLNGKmskmYUSINhqvfa","https://api.spotify.com/v1/audio-analysis/50xeLNGKmskmYUSINhqvfa"
"26",26,"1EzrEOXmMH3G43AXT1y7pA",0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.711,150.953,242187,4,"spotify:track:1EzrEOXmMH3G43AXT1y7pA","https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA"
"27",27,"20ORwCJusz4KS2PbTPVNKo",0.693,0.709,9,-5.787,1,0.0608,0.0352,3.4e-06,0.0688,0.887,79.237,216880,4,"spotify:track:20ORwCJusz4KS2PbTPVNKo","https://api.spotify.com/v1/audio-analysis/20ORwCJusz4KS2PbTPVNKo"
"28",28,"3Ui2jdyxbZQrZohfM0NOgG",0.566,0.766,2,-5.036,1,0.0399,0.431,0,0.101,0.534,168.005,233467,4,"spotify:track:3Ui2jdyxbZQrZohfM0NOgG","https://api.spotify.com/v1/audio-analysis/3Ui2jdyxbZQrZohfM0NOgG"
"29",29,"0G71WvIkF2K6HViJeFvOcM",0.685,0.919,9,-5.039,0,0.203,0.0137,3.29e-05,0.114,0.703,138.95,190453,4,"spotify:track:0G71WvIkF2K6HViJeFvOcM","https://api.spotify.com/v1/audio-analysis/0G71WvIkF2K6HViJeFvOcM"
"30",30,"5619Ojc6t9evEEs3B7Drhe",0.618,0.955,4,-3.836,1,0.0798,0.00221,3.09e-06,0.486,0.804,150.034,179947,4,"spotify:track:5619Ojc6t9evEEs3B7Drhe","https://api.spotify.com/v1/audio-analysis/5619Ojc6t9evEEs3B7Drhe"
"31",31,"48s0QHJgmiNsth3WEO6U4M",0.49,0.849,4,-4.234,1,0.035,0.0593,0,0.082,0.316,92.494,223853,4,"spotify:track:48s0QHJgmiNsth3WEO6U4M","https://api.spotify.com/v1/audio-analysis/48s0QHJgmiNsth3WEO6U4M"
"32",32,"6AdLyvisRKHLAwARaZMGr6",0.752,0.921,5,-4.321,0,0.0696,0.0182,0,0.256,0.635,115.033,236693,4,"spotify:track:6AdLyvisRKHLAwARaZMGr6","https://api.spotify.com/v1/audio-analysis/6AdLyvisRKHLAwARaZMGr6"
"33",33,"1kusepF3AacIEtUTYrw4GV",0.457,0.854,2,-6.2,1,0.265,0.0277,9.62e-05,0.731,0.484,172.231,203760,4,"spotify:track:1kusepF3AacIEtUTYrw4GV","https://api.spotify.com/v1/audio-analysis/1kusepF3AacIEtUTYrw4GV"
"34",34,"1y4eb6hmAvsqlDOl3fx9kk",0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.876,132.032,220227,4,"spotify:track:1y4eb6hmAvsqlDOl3fx9kk","https://api.spotify.com/v1/audio-analysis/1y4eb6hmAvsqlDOl3fx9kk"
"35",35,"16GHcGtW9Io7AuVdNmTjv3",0.375,0.862,11,-3.363,0,0.255,0.071,0,0.211,0.472,159.841,338853,4,"spotify:track:16GHcGtW9Io7AuVdNmTjv3","https://api.spotify.com/v1/audio-analysis/16GHcGtW9Io7AuVdNmTjv3"
"36",36,"0exb0K7vsjf5bXWLJJhAuF",0.648,0.801,5,-7.24,0,0.167,0.154,0,0.339,0.826,78.946,240760,4,"spotify:track:0exb0K7vsjf5bXWLJJhAuF","https://api.spotify.com/v1/audio-analysis/0exb0K7vsjf5bXWLJJhAuF"
