"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","6eBK3edMW7bEzecF1eCezc",0.519,0.372,1,-12.635,1,0.0284,0.0816,4.67e-05,0.0652,0.281,131.227,394133,4,"spotify:track:6eBK3edMW7bEzecF1eCezc","https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc"
"2","07efOAoPwcRdd4W6gi8BRF",0.553,0.702,2,-4.829,1,0.108,0.00532,4.99e-06,0.0446,0.46,201.868,240200,4,"spotify:track:07efOAoPwcRdd4W6gi8BRF","https://api.spotify.com/v1/audio-analysis/07efOAoPwcRdd4W6gi8BRF"
"3","2Bdzf6aG9MlmKtAgve3XLJ",0.564,0.776,6,-9.778,1,0.0851,0.00146,0.351,0.157,0.789,113.532,244160,4,"spotify:track:2Bdzf6aG9MlmKtAgve3XLJ","https://api.spotify.com/v1/audio-analysis/2Bdzf6aG9MlmKtAgve3XLJ"
"4","015qd1I4v00JIoK7yOUgKC",0.706,0.44,4,-11.577,1,0.0493,0.763,0,0.0958,0.396,90.012,292933,4,"spotify:track:015qd1I4v00JIoK7yOUgKC","https://api.spotify.com/v1/audio-analysis/015qd1I4v00JIoK7yOUgKC"
"5","0Lv8gNS3cZPpFF2wVeANcj",0.657,0.47,6,-12.555,0,0.0617,0.24,2.58e-06,0.261,0.523,149.67,210067,5,"spotify:track:0Lv8gNS3cZPpFF2wVeANcj","https://api.spotify.com/v1/audio-analysis/0Lv8gNS3cZPpFF2wVeANcj"
"6","2ENmkocNNewTRbuNd6WJpR",0.637,0.849,1,-6.855,1,0.0362,0.000341,0.0386,0.141,0.93,104.074,209813,4,"spotify:track:2ENmkocNNewTRbuNd6WJpR","https://api.spotify.com/v1/audio-analysis/2ENmkocNNewTRbuNd6WJpR"
"7","1gVgkQFOKa8Wc1HYsJtPdH",0.615,0.129,6,-14.892,1,0.0286,0.468,0,0.114,0.269,91.769,334107,4,"spotify:track:1gVgkQFOKa8Wc1HYsJtPdH","https://api.spotify.com/v1/audio-analysis/1gVgkQFOKa8Wc1HYsJtPdH"
"8","0flZtKtmkZMNqFF7V7Yfmu",0.724,0.692,1,-5.109,1,0.0333,0.0595,0.0108,0.0316,0.722,104.086,350267,4,"spotify:track:0flZtKtmkZMNqFF7V7Yfmu","https://api.spotify.com/v1/audio-analysis/0flZtKtmkZMNqFF7V7Yfmu"
"9","4aocMNrPxcJ3OQChTDhVPj",0.637,0.354,10,-11.964,1,0.0283,0.215,0.000704,0.0961,0.108,126.435,256000,4,"spotify:track:4aocMNrPxcJ3OQChTDhVPj","https://api.spotify.com/v1/audio-analysis/4aocMNrPxcJ3OQChTDhVPj"
"10","3IDsegNBHC4pjGCOMTQYlU",0.702,0.901,1,-4.45,1,0.0264,0.426,0.00153,0.0368,0.907,97.862,236973,4,"spotify:track:3IDsegNBHC4pjGCOMTQYlU","https://api.spotify.com/v1/audio-analysis/3IDsegNBHC4pjGCOMTQYlU"
"11","4wDSLkTUIpRsn3UbCzW9wV",0.756,0.858,2,-9.649,1,0.0682,0.0171,2.17e-05,0.194,0.762,114.144,235320,4,"spotify:track:4wDSLkTUIpRsn3UbCzW9wV","https://api.spotify.com/v1/audio-analysis/4wDSLkTUIpRsn3UbCzW9wV"
"12","7KVrjDjOJiIHwGagvIt3cA",0.366,0.35,1,-8.203,1,0.0339,0.806,0,0.0936,0.0758,62.977,317800,4,"spotify:track:7KVrjDjOJiIHwGagvIt3cA","https://api.spotify.com/v1/audio-analysis/7KVrjDjOJiIHwGagvIt3cA"
"13","6TSM5vkz0WzyZsNAKKYDcw",0.685,0.819,1,-8.686,0,0.0405,0.206,2.23e-06,0.0251,0.934,109.855,246107,4,"spotify:track:6TSM5vkz0WzyZsNAKKYDcw","https://api.spotify.com/v1/audio-analysis/6TSM5vkz0WzyZsNAKKYDcw"
"14","5t5rCnsgRBtcKqTB7SbD1Q",0.273,0.537,2,-9.612,1,0.0306,0.0241,0,0.0922,0.24,81.814,287320,4,"spotify:track:5t5rCnsgRBtcKqTB7SbD1Q","https://api.spotify.com/v1/audio-analysis/5t5rCnsgRBtcKqTB7SbD1Q"
"15","3lHJkG9kcsgsfjlEH2tkxi",0.488,0.647,5,-7.63,0,0.0343,0.487,0,0.374,0.256,150.916,234933,4,"spotify:track:3lHJkG9kcsgsfjlEH2tkxi","https://api.spotify.com/v1/audio-analysis/3lHJkG9kcsgsfjlEH2tkxi"
"16","3fcGGP62sllcNEhuFJVYeC",0.657,0.608,2,-13.565,1,0.0287,0.0088,3.45e-06,0.103,0.739,106.862,189293,4,"spotify:track:3fcGGP62sllcNEhuFJVYeC","https://api.spotify.com/v1/audio-analysis/3fcGGP62sllcNEhuFJVYeC"
"17","2IcvNE6okbSq18lajo3SYE",0.67,0.577,3,-7.706,0,0.0292,0.222,0,0.142,0.699,91.988,291667,4,"spotify:track:2IcvNE6okbSq18lajo3SYE","https://api.spotify.com/v1/audio-analysis/2IcvNE6okbSq18lajo3SYE"
"18","2fXIpPInm70t1vMRm82Kar",0.727,0.988,1,-4.577,1,0.0426,0.0439,0.0013,0.129,0.592,103.179,274893,4,"spotify:track:2fXIpPInm70t1vMRm82Kar","https://api.spotify.com/v1/audio-analysis/2fXIpPInm70t1vMRm82Kar"
"19","5hWdgGVcfTeLPAiHM6EZG9",0.714,0.953,1,-8.354,1,0.0543,0.00234,0.376,0.0245,0.884,121.653,269307,4,"spotify:track:5hWdgGVcfTeLPAiHM6EZG9","https://api.spotify.com/v1/audio-analysis/5hWdgGVcfTeLPAiHM6EZG9"
"20","6BWRvw630R8z2vNMok6quI",0.705,0.821,1,-7.085,1,0.128,0.00244,0.684,0.0572,0.455,99.642,294267,4,"spotify:track:6BWRvw630R8z2vNMok6quI","https://api.spotify.com/v1/audio-analysis/6BWRvw630R8z2vNMok6quI"
"21","3bcquuzFb2brIfxlceHwUK",0.741,0.752,9,-7.009,0,0.0359,0.0411,0.0012,0.0233,0.945,114.851,248093,4,"spotify:track:3bcquuzFb2brIfxlceHwUK","https://api.spotify.com/v1/audio-analysis/3bcquuzFb2brIfxlceHwUK"
"22","2q9xZPaOxWr3n250HpKExl",0.651,0.74,2,-6.244,1,0.0272,0.0862,0,0.142,0.607,102.233,241733,4,"spotify:track:2q9xZPaOxWr3n250HpKExl","https://api.spotify.com/v1/audio-analysis/2q9xZPaOxWr3n250HpKExl"
"23","4WmCoqweV6nXrSogoAo12a",0.686,0.945,6,-6.531,0,0.0371,0.497,8.24e-05,0.0808,0.808,110.389,236893,4,"spotify:track:4WmCoqweV6nXrSogoAo12a","https://api.spotify.com/v1/audio-analysis/4WmCoqweV6nXrSogoAo12a"
"24","1hFtJ5rV3aAm58ErijHdFO",0.641,0.504,7,-12.486,1,0.031,0.197,9.01e-05,0.288,0.292,130.786,288827,4,"spotify:track:1hFtJ5rV3aAm58ErijHdFO","https://api.spotify.com/v1/audio-analysis/1hFtJ5rV3aAm58ErijHdFO"
"25","5KNbCF0FpIWuPE8x6bhGgw",0.688,0.679,1,-11.05,0,0.0259,0.319,0.000301,0.29,0.511,101.872,291867,4,"spotify:track:5KNbCF0FpIWuPE8x6bhGgw","https://api.spotify.com/v1/audio-analysis/5KNbCF0FpIWuPE8x6bhGgw"
"26","55lX3vm1G35mUpawXHK5Te",0.648,0.89,2,-3.834,1,0.0429,0.288,0,0.119,0.793,126.956,213733,4,"spotify:track:55lX3vm1G35mUpawXHK5Te","https://api.spotify.com/v1/audio-analysis/55lX3vm1G35mUpawXHK5Te"
"27","3lRgzwd3g1TewI4zjgbh9V",0.691,0.664,1,-13.074,1,0.0483,0.142,0.37,0.0836,0.689,96.951,281333,4,"spotify:track:3lRgzwd3g1TewI4zjgbh9V","https://api.spotify.com/v1/audio-analysis/3lRgzwd3g1TewI4zjgbh9V"
"28","6XUR0ocrwFB6mWJOIXxISi",0.653,0.753,10,-10.009,0,0.0334,0.00101,0.125,0.28,0.33,118.008,242585,4,"spotify:track:6XUR0ocrwFB6mWJOIXxISi","https://api.spotify.com/v1/audio-analysis/6XUR0ocrwFB6mWJOIXxISi"
"29","6ixo9JA1iCxGVJKTOS2NZv",0.789,0.944,11,-5.166,0,0.101,0.141,0.000121,0.0964,0.854,122.99,248120,4,"spotify:track:6ixo9JA1iCxGVJKTOS2NZv","https://api.spotify.com/v1/audio-analysis/6ixo9JA1iCxGVJKTOS2NZv"
"30","1RYSbUnasW12klBZ9lxWIM",0.672,0.841,9,-5.992,0,0.0285,0.0767,0,0.135,0.822,125.437,267733,4,"spotify:track:1RYSbUnasW12klBZ9lxWIM","https://api.spotify.com/v1/audio-analysis/1RYSbUnasW12klBZ9lxWIM"
"31","5x9MJycRilBm2SNavzt9yF",0.643,0.43,4,-11.694,1,0.0447,0.65,0,0.417,0.476,131.846,242627,4,"spotify:track:5x9MJycRilBm2SNavzt9yF","https://api.spotify.com/v1/audio-analysis/5x9MJycRilBm2SNavzt9yF"
"32","3aZPzF7Sr0zy3K0EkKyEzk",0.663,0.748,6,-5.83,1,0.0463,0.277,0.00318,0.312,0.925,159.719,242640,4,"spotify:track:3aZPzF7Sr0zy3K0EkKyEzk","https://api.spotify.com/v1/audio-analysis/3aZPzF7Sr0zy3K0EkKyEzk"
"33","0whwYFXgGNg14O8hdHguzV",0.449,0.931,6,-8.993,1,0.0648,0.0168,0.261,0.324,0.806,113.808,340627,4,"spotify:track:0whwYFXgGNg14O8hdHguzV","https://api.spotify.com/v1/audio-analysis/0whwYFXgGNg14O8hdHguzV"
"34","0JrdoQMf2TZetkE6aM0sUx",0.531,0.762,10,-5.668,1,0.0302,0.665,1.08e-06,0.0933,0.559,74.014,272360,4,"spotify:track:0JrdoQMf2TZetkE6aM0sUx","https://api.spotify.com/v1/audio-analysis/0JrdoQMf2TZetkE6aM0sUx"
"35","1Ckd4d6vkhvOp5HlAc5Ie2",0.614,0.752,7,-6.271,1,0.0652,0.00328,0,0.379,0.452,95.018,237093,4,"spotify:track:1Ckd4d6vkhvOp5HlAc5Ie2","https://api.spotify.com/v1/audio-analysis/1Ckd4d6vkhvOp5HlAc5Ie2"
"36","55G6KjatHN4CkiT47Omlpz",0.465,0.693,0,-6.265,1,0.0368,0.336,0,0.0973,0.258,75.858,310973,4,"spotify:track:55G6KjatHN4CkiT47Omlpz","https://api.spotify.com/v1/audio-analysis/55G6KjatHN4CkiT47Omlpz"
"37","5m8xVZhlM7E2mL9uuxZpF6",0.754,0.82,1,-8.622,1,0.062,0.0911,1.62e-06,0.0805,0.887,119.835,272893,4,"spotify:track:5m8xVZhlM7E2mL9uuxZpF6","https://api.spotify.com/v1/audio-analysis/5m8xVZhlM7E2mL9uuxZpF6"
"38","0Eb2UmP2jtWwEJigX9akO0",0.702,0.852,6,-8.391,1,0.0774,0.055,0.000689,0.252,0.696,110.61,251867,4,"spotify:track:0Eb2UmP2jtWwEJigX9akO0","https://api.spotify.com/v1/audio-analysis/0Eb2UmP2jtWwEJigX9akO0"
"39","2kDH08boXJyhKMl5hnZbrE",0.469,0.498,1,-12.013,1,0.0311,0.000229,0.0033,0.0919,0.121,123.015,286533,4,"spotify:track:2kDH08boXJyhKMl5hnZbrE","https://api.spotify.com/v1/audio-analysis/2kDH08boXJyhKMl5hnZbrE"
"40","5TehPyJrU16Tw6XK0p97Rd",0.609,0.668,0,-5.738,1,0.026,0.195,0,0.219,0.312,105.419,230680,4,"spotify:track:5TehPyJrU16Tw6XK0p97Rd","https://api.spotify.com/v1/audio-analysis/5TehPyJrU16Tw6XK0p97Rd"
"41","10JIQ4VbdRMlqvSJGvi7El",0.74,0.738,6,-9.849,0,0.0399,0.0303,0.00406,0.0324,0.97,112.589,306533,4,"spotify:track:10JIQ4VbdRMlqvSJGvi7El","https://api.spotify.com/v1/audio-analysis/10JIQ4VbdRMlqvSJGvi7El"
"42","1cItNpcJskTVETprljc7HV",0.407,0.743,6,-9.338,1,0.0458,0.198,0,0.08,0.681,203.548,219289,4,"spotify:track:1cItNpcJskTVETprljc7HV","https://api.spotify.com/v1/audio-analysis/1cItNpcJskTVETprljc7HV"
"43","0FcSJxqqTas3wiT7Nd5EXR",0.513,0.873,0,-9.231,1,0.0506,0.0152,0.000373,0.071,0.919,184.497,402267,4,"spotify:track:0FcSJxqqTas3wiT7Nd5EXR","https://api.spotify.com/v1/audio-analysis/0FcSJxqqTas3wiT7Nd5EXR"
