"","Song","Artist","Year","Spotify ID"
"1","Bad Day","Daniel Powter",2006,"2Pwm2YtneLSWi7vyUpT5fs"
"2","Temperature","Sean Paul",2006,"0k2GOhqsrxDTAbFFSdNJjT"
"3","Promiscuous","Nelly Furtado",2006,"0bRh7pc1nfIv2edfcIUlKh"
"4","You're Beautiful","James Blunt",2006,"0vg4WnUWvze6pBOJDTq99k"
"5","Hips Don't Lie","Shakira",2006,"4JtVOeyOJyPLg72MbGoNn8"
"6","Unwritten","Natasha Bedingfield",2006,"5x45ULRgVLL68exMoRCcGt"
"7","Crazy","Gnarls Barkley",2006,"2N5zMZX7YeL1tico8oQxa9"
"8","Ridin'","Chamillionaire",2006,"3kZoay4ANo86ehb6s4RwS9"
"9","SexyBack","Justin Timberlake",2006,"0O45fw2L5vsWpdsOdXwNAR"
"10","Check On It","Beyonc<U+00E9>",2006,"49YeEoXjdJBaVOjghMPEdR"
"11","Be Without You","Mary J. Blige",2006,"2YegxR5As7BeQuVp2U6pek"
"12","Grillz - Dirty","Nelly",2006,"5tXEx6JhF9FkP1fBlgFlCl"
"13","Over My Head (Cable Car)","The Fray",2006,"6c8QH9FMFKj0ZgNeiyOx4v"
"14","Me & U","Cassie",2006,"7k6IzwMGpxnRghE7YosnXT"
"15","Buttons","The Pussycat Dolls",2006,"3BxWKCI06eQ5Od8TY2JBeA"
"16","Run It!","Chris Brown",2006,"6SPD3JwwRejBhCDiQAQ4he"
"17","So Sick","Ne-Yo",2006,"6brl7bwOHmGFkNw3MBqssT"
"18","It's Goin' Down - feat. Nitti Amended","Yung Joc",2006,"7g7o2dAUn0Dz4h4CLeJSxh"
"19","SOS","Rihanna",2006,"30cSNer6TV8x2utjULVeQ5"
"20","I Write Sins Not Tragedies","Panic! At The Disco",2006,"4bPQs0PHn4xbipzdPfn6du"
"21","Move Along","The All-American Rejects",2006,"2l57cfmCnOkwNX1tky02n1"
"22","Dani California","Red Hot Chili Peppers",2006,"1OFfN6ZiJdDAnSycMIpLwt"
"23","Snap Yo Fingers","Youngbloodz",2006,"6o3s08kk2fQI37vxGZDrJ1"
"24","Lean Wit It, Rock Wit It - feat. Peanut & Charlay","Dem Franchize Boyz",2006,"0YsNWdVVmu2fTq8iRNIePT"
"25","What Hurts The Most","Rascal Flatts",2006,"4bVuIlGQBMWS7vIhcx8Ae4"
