"","Song","Artist","Year","Spotify ID"
"74","Lose Control (feat. Ciara & Fat Man Scoop)","Missy Elliott",2005,"0UaMYEvWZi0ZqiDOoHU3YI"
"75","How We Do","The Game",2005,"6JnlWnDLpweWHrGOjBQJEB"
"76","Oh","Ciara",2005,"7i7UIbm5E0DD7aSOYvwp2v"
"77","Drop It Like It's Hot","Snoop Dogg",2005,"1CDjORoMxLHFURZhH8n0TS"
"78","Hate It Or Love It","The Game",2005,"2wGSgTmgSF3xjRrHkTc25R"
"79","Lovers And Friends","Lil Jon & The East Side Boyz",2005,"41PWz0hAiU9FqsmjR9Wh62"
"80","Soldier ft Lil Wayne","Destiny's Child",2005,"2rtBy1uuf8ktw8dtzJs9D1"
"81","Let Me Hold You","Bow Wow",2005,"28hcjKZ9xAXZ63ZzwceQAe"
"82","Like You","Bow Wow",2005,"4rvSqlJCW4CvLFPRF9YH4c"
"83","Rich Girl","Gwen Stefani",2005,"39qcvV4f0uqDMHxIkSb7tE"
"84","Obsession","Frankie J",2005,"4wuyZn6rUHqLSIPt4nOhQx"
"85","Feel Good Inc","Gorillaz",2005,"0d28khcov6AiegSCpG5TuT"
"86","Run It!","Chris Brown",2005,"7j87H1gMwcz6TYU6kF5yY1"
"87","Over And Over - Album Version / Explicit","Nelly",2005,"2b8QQqf8Vwb7bfz22ja8Fk"
"88","Get It Poppin' (feat. Nelly) - Radio Version","Fat Joe",2005,"3zdDxhDo5SycC7XSAPfdjv"
"89","Soul Survivor","Jeezy",2005,"0Ss50OU9tCozI7JIywkv14"
"90","Pimpin' All Over The World","Ludacris",2005,"6VixoRqnikN4QqegoKUSbH"
"91","Baby, I'm Back","Baby Bash",2005,"3VBLBcal4M8BP8XV3l8QDD"
"92","Outta Control","50 Cent",2005,"6dWNtdXVsT4t5oqN4rpN2U"
"93","U Already Know","112",2005,"0ahRDzkKq0KEi7FRoHb0qk"
