"","Song","Artist","Year","Spotify ID"
"1","We Belong Together","Mariah Carey",2005,"0MtFUqaaEIqImt50RgfqZ4"
"2","Hollaback Girl","Gwen Stefani",2005,"2mGFZPUsk6e8Zjd61jaXdI"
"3","Let Me Love You","Mario",2005,"3ibKnFDaa3GhpPGlOUj7ff"
"4","Since U Been Gone","Kelly Clarkson",2005,"6Bo7elbKiRfaHBMJGEBHqF"
"5","Gold Digger - Originally Performed By Kanye West and Jamie Foxx","Sing Karaoke Sing",2005,"1HdvFDMTNOcwyKjdUK44KN"
"6","Boulevard Of Broken Dreams","Green Day",2005,"1hwJKpe0BPUsq6UUrwBWTw"
"7","Behind These Hazel Eyes","Kelly Clarkson",2005,"3Iw2G3jHDpcIjKAkkXQtr7"
"8","Disco Inferno","50 Cent",2005,"3FaS5pwUOfrhr366NERG5X"
"9","You And Me","Lifehouse",2005,"4T2SmVJPtDdugk5j5xV1d5"
"10","Don't Phunk With My Heart","The Black Eyed Peas",2005,"75fscz2R984pg4bmyP1Q53"
"11","Shake It Off","Mariah Carey",2005,"0MGxfGHgECCGU5xqHD1uc8"
"12","Mr. Brightside","The Killers",2005,"0eGsygTp906u18L0Oimnem"
"13","Just A Lil Bit","50 Cent",2005,"13oiYgOtpjRa4kWxE04jHC"
"14","Pon de Replay","Rihanna",2005,"6GC6lcKgjCdsdIz5OiCUw5"
"15","Beverly Hills","Weezer",2005,"4tUYhIIjUoL1i41fqZaaBM"
"16","Lonely No More","Rob Thomas",2005,"4fB1fCSwu5CVRms3BWxkvT"
"17","Because of You","Kelly Clarkson",2005,"3PHYPaguCDKLK1a9cp3uXZ"
"18","Switch","Will Smith",2005,"3O1kLXCskDrzo9rIYweSVA"
"19","My Humps","The Black Eyed Peas",2005,"2tVouQintSo2ffjVgnv6Sh"
"20","Caught Up","Usher",2005,"7cLb7IWBeclFiXI8GqYNUi"
"21","Scars - Acoustic Version","Papa Roach",2005,"1yroKBwU3gJEeGq1qnxYJO"
"22","Let Me Go - Acoustic Version","3 Doors Down",2005,"5lXn5jltHYohkBphDxYsHs"
"23","Holiday/Boulevard Of Broken Dreams","Green Day",2005,"0MsrWnxQZxPAcov7c74sSo"
"24","Sugar, We're Goin Down","Fall Out Boy",2005,"4zjFqN9fXAw91GNgJOCYX6"
"25","Grind With Me","Pretty Ricky",2005,"1ILtQzEsKALgFVVlbeqCGS"
"26","Photograph","Nickelback",2005,"2tD8PDBMlo9xTo3JC8kz90"
"27","I Just Had Sex","The Lonely Island",2005,"1OmxpKVSvn0LGcM3SQS4OV"
"28","Collide - Acoustic Version","Howie Day",2005,"5rwq6R0Uq0BngM3rdmCeNg"
"29","Wake Me Up When September Ends","Green Day",2005,"3ZffCQKLFLUvYM59XKLbVm"
"30","Slow Down - 12"" Version","Bobby V.",2005,"2FLi5qKmz0tgiSBPvW1jKg"
"31","Some Cut (feat. Cutty)","Trillville",2005,"71mDjdeVK9sqXmamMHaAfX"
"32","Play","David Banner",2005,"61gdV080ZA5U16H2L1aTRz"
"33","Karma","Alicia Keys",2005,"588RGyR1f4Plc8nm7SrdCa"
"34","Speed Of Sound","Coldplay",2005,"7clUVcSOtkNWa58Gw5RfD4"
"35","I Don't Want to Be","Gavin DeGraw",2005,"6ich2xMH5AR39V85miIAN8"
"36","Mockingbird","Eminem",2005,"17baAghWcrewNOcc9dCewx"
"37","La Tortura (Made Famous by Shakira and Alejandro Sanz)","Icons Of Latin Pop",2005,"75y56kC0qGLuOvNj2VY6N9"
"38","She Will Be Loved","Maroon 5",2005,"2vICzUUia22chV8mQKk1Pt"
"39","Wait (The Whisper Song)","Ying Yang Twins",2005,"5Y78yINSOCW6xbOfGWNBg4"
"40","Incomplete","Backstreet Boys",2005,"6Kh4FkETk9i3EUVTerZEuY"
"41","Bring Em Out - Amended","T.I.",2005,"3JTzGbTpfCoczeRBAgUAWt"
"42","Cater 2 U","Destiny's Child",2005,"0FZvjrHpAmLKj574M4VwrF"
"43","1 Thing","Amerie",2005,"6ZyNjT2hYvfV5PuW84dp1E"
"44","Best of You","Foo Fighters",2005,"4nUM7pGcTUK2pY1d2LybrT"
"45","It's Like That","Mariah Carey",2005,"4Y5g6UDNapKOlt12WMkREG"
"46","Goin' Crazy","Natalie",2005,"6qEl8WN6jluCFpzufVl38D"
"47","Inside Your Heaven","Carrie Underwood",2005,"3w8xlZi49MQuQkyyB5bi5e"
"48","Because of You","Kelly Clarkson",2005,"3PHYPaguCDKLK1a9cp3uXZ"
"49","Truth Is","Fantasia",2005,"3QfsB9tPwAjMb5b9P7r3Z5"
"50","Your Body","Pretty Ricky",2005,"0AwL1CLIfKxguVKMb8eQoV"
"51","Beautiful Soul","Jesse McCartney",2005,"1HwpWwa6bnqqRhK8agG4RS"
"52","Cool","Gwen Stefani",2005,"62thQWVLBfguFm1MM4iQjP"
"53","Get Back","Ludacris",2005,"6kSmlGqTteoAGuGGgClf6W"
"54","U Don't Know Me","T.I.",2005,"3lapBUarXrq3pEUKMsHNFT"
"55","These Words","Natasha Bedingfield",2005,"0KYkLT4oMIO4CjFMWn73v1"
"56","Don't Lie","The Black Eyed Peas",2005,"24tVLjWlmZo5rAuyMp1pxo"
"57","Get Right","Jennifer Lopez",2005,"02iimT2BIX1psZjJHIldd4"
"58","Daughters","John Mayer",2005,"294DpgHLbYJBL8jFUUBvWZ"
"59","As Good As I Once Was","Toby Keith",2005,"5KjhrsPiaDtefxGFfTUmaO"
"60","Lose My Breath","Destiny's Child",2005,"2n4uOdMHzEvcZ0KP7iQnay"
"61","Ordinary People","John Legend",2005,"5l0Txn9cjHN2xZJ3tgBs8V"
"62","We Be Burnin' - Legalize It","Sean Paul",2005,"0NdGw6EieDYg2URPjxp3Od"
"63","Just The Girl","The Click Five",2005,"1JURww012QnWAw0zZXi6Aa"
"64","True","Ryan Cabrera",2005,"0jdeV5dSB3kUBRqe1xQJbh"
"65","O","Omarion",2005,"1j8iydbPBXcqOhNkJex7Vx"
"66","Back Then - Amended Version","Mike Jones",2005,"6e5kjwABBy57SPFnGocfRH"
"67","Numb,Encore In the style of Jay-Z and Linkin Park","Sunfly Karaoke",2005,"6Vf3BiEWYk3g42K6pcTbmg"
"68","I'm Sprung - Original","T-Pain",2005,"5h3JktAM1OCwoKm4KxS9pk"
"69","Chariot","Gavin DeGraw",2005,"08kTO4EW0jb07zNsCNM83w"
"70","Mississippi Girl","Faith Hill",2005,"79YeQbd1p7MsuT7wHQLRYY"
"71","Number One Spot","Ludacris",2005,"0Slm3Q4v8tCVuetvm6M0db"
"72","Candy Shop","50 Cent",2005,"5D2mYZuzcgjpchVY1pmTPh"
"73","Don't Cha","The Pussycat Dolls",2005,"6RbNxKgjvKs8SgW5dS4pI6"
