"","Song","Artist","Spotify ID","Year"
"1","Endless Love","Diana Ross","4GBPZmnLHEMdthyo2RDolF","1981"
"2","Bette Davis Eyes","Kim Carnes","0kPeymTUiaidv48eRrMISu","1981"
"3","Lady - 2006 Digital Remaster","Kenny Rogers","3liZoKeEr6fosBe4fiIOyF","1981"
"4","(Just Like) Starting Over","The Sounds Of John Lennon","7tpAUXNjbxqyPhvT4MrQBB","1981"
"5","Jessie's Girl","Rick Springfield","1sH1EgYWUhN8KR3Nx2XYQa","1981"
"6","Celebration","Kool & The Gang","67V2T2fOmI803Y6FS6OJzE","1981"
"7","Kiss On My List - Remastered","Daryl Hall & John Oates","3QDMOnNZKEUrKNniv3LNmz","1981"
"8","I Love A Rainy Night","Eddie Rabbitt","0zvNHIL7ci0ZzIoWU6RO2u","1981"
"9","9 to 5","Dolly Parton","5nzXa1PU1JZM5vY0JebVDE","1981"
"10","Keep on Loving You","REO Speedwagon","3PzK9Rm8DANCry1ivpAuy7","1981"
"11","Theme From ""Greatest American Hero"" (Believe It Or Not)","Joey Scarbury","375ntCG12wzCyfzclwYFwG","1981"
"12","Morning Train (Nine to Five)","Sheena Easton","6CEKntwndUlmWhSRflWA5X","1981"
"13","Being With You - Single Version","Smokey Robinson","4xY0ySGvoW8pBWBk2NjVip","1981"
"14","Queen Of Hearts","Juice Newton","2c2DZHcSLqfCfGEkRMVt1T","1981"
"15","Rapture","Blondie","6F2vo4sxRNQ58VYe3pdiaL","1981"
"16","A Woman Needs Love (Just Like You Do)","Ray Parker, Jr.","40SLZpTphbzARSTdEhMrax","1981"
"17","The Tide Is High","Blondie","4Wljbzc4Zg0Vxv4QAM3tYB","1981"
"18","Just The Two Of Us","Grover Washington, Jr.","70AhDADPvD8cRhjfgBUjhZ","1981"
"19","Slow Hand","The Pointer Sisters","0woCEywARpK9rZvyaEDimi","1981"
"20","Woman","The Sounds Of John Lennon","3FACScEHiaotcmzgfmUqr2","1981"
"21","Sukiyaki - 2000 Digital Remaster","A Taste Of Honey","4FwOQZ6L39ZyHYwmPwlJZw","1981"
"22","The Winner Takes It All","ABBA","5He05uEYvu0f3B8JjAcBom","1981"
"23","More Stars (U.S.A. Version) - Original 12 Inch Version","Stars On 45","5bIPCke6GiZqGAtSzqcTCM","1981"
"24","Angel Of The Morning (Re-Recorded / Remastered)","Juice Newton","0wb75TywskFMNQglxPdtGQ","1981"
"25","Love On The Rocks","Neil Diamond","1GcPgAM56VA4w1WIyV7OI6","1981"
"26","Every Woman in the World","Air Supply","3mI9Z256VhQI6VAHRxFqUf","1981"
"27","The One That You Love","Air Supply","3LlWpVyPuoC8DIEDOZ2G72","1981"
"28","Guilty","Barbra Streisand","60mGckXEG1EzR4VmjYLfEW","1981"
"29","Elvira","The Oak Ridge Boys","0mG66FLhO0iZ6XCAGdjpax","1981"
"30","Take It On the Run","REO Speedwagon","5NJcg1bvft5yNwy140v7Dn","1981"
"31","(There's) No Gettin' Over Me - Remastered","Ronnie Milsap","1LqHxPFZo4ZD5mTIC90A0f","1981"
"32","Woman In Love","Barbra Streisand","2m5xo4HEFHgOQpqqrxCS5u","1981"
"33","Boy From New York City","The Manhattan Transfer","64pQUgnYPq1PzaicU9xaRf","1981"
"34","Urgent (45 Version)","Foreigner","6WThbierq4pPdRzK6NiefQ","1981"
"35","Passion - 2008 Remastered Version","Rod Stewart","2yF4DENCsYzXKOxpppYmmx","1981"
"36","Lady (You Bring Me Up)","Commodores","6q37AlR5VJdfxB142wztD8","1981"
"37","The Best Of Times","Styx","3C7MUqsFGbvDfqKueYmNFu","1981"
"38","Crying","Don McLean","3oL9W9aHlMfCyd1dEBh87L","1981"
"39","Hearts","Marty Balin","150LOyOS0ISsZ9IcwPf6iT","1981"
"40","It's My Turn","Diana Ross","5XmnWof1tWnwtTP2ug1MQk","1981"
"41","You Make My Dreams - Remastered","Daryl Hall & John Oates","7HX9f8AMBl0vQxAoAzLqhS","1981"
"42","I Don't Need You - 2006 Digital Remaster","Kenny Rogers","6yq2lwMOPYLznyOrJ8JxBc","1981"
"43","How 'Bout Us","Champaign","0s4ft4UVLWtpdELSCBnYRy","1981"
"44","Hit Me With Your Best Shot - 1999 Digital Remaster","Pat Benatar","7nrtHjt4Vk4Z5jMHOwaS8F","1981"
"45","The Breakup Song (They Don't Write 'em) [In the Style of ""Greg Kihn Band""] {Karaoke Demonstration Version With Lead Vocal}","The Karaoke Channel","6YxLVpZdcHHlmQuIyGTy9G","1981"
"46","Time","The Alan Parsons Project","48yJZwYYDZX5GKFND7wDfC","1981"
"47","Hungry Heart","Bruce Springsteen","0cb6dNWQ3hfmZjcmDecCMy","1981"
"48","More Than I Can Say - Remastered","Leo Sayer","17M1JFSr2eEvo5dQnCIQim","1981"
"49","Together","Tierra","1DXxj6IzzomGSh22arlw5T","1981"
"50","Too Much Time On My Hands","Styx","4hWUOIDHda9XOb1zDchftP","1981"
"51","What Are We Doin' In Love - 2006 Digital Remaster","Kenny Rogers","0xLqQHCRrQUxqarMGsUoTM","1981"
"52","Who's Crying Now","Journey","11Uatd4av1y0YD2x0mQvao","1981"
"53","De Do Do Do, De Da Da Da","The Police","1HVTaF4KPEXKJ37gDh8BhR","1981"
"54","This Little Girl","Gary U.S. Bonds","2Go3GgCcMjtZVdLUo2CI63","1981"
"55","Stop Draggin' My Heart Around (with Tom Petty and the Heartbreakers)","Stevie Nicks","6v0WLvjyQT398T4C0eMmKi","1981"
"56","Giving It Up For Your Love - Original Hit Version","Delbert McClinton","2xKMAank7uRw7EHAl06Y3g","1981"
"57","A Little In Love - 1987 Remastered Version","Cliff Richard","6IXSfTzUjEsKc9iOvDkIx4","1981"
"58","America","Neil Diamond","7cUvlb50AEfYqfUfUJt4t2","1981"
"59","Ain't Even Done With The Night","John Mellencamp","7CN7AfQnKOpGHivXhk8vwT","1981"
"60","Arthur's Theme (Best That You Can Do) - Remastered","Christopher Cross","5fnOrhQ4KgT5irGCjIccGH","1981"
"61","Another One Bites The Dust - Remastered","Queen","1MbQvPbGV8ZtdvnqvnO8Po","1981"
"62","Games People Play","The Alan Parsons Project","2gQsUHVFY4tpXc3AFU2mcS","1981"
"63","I Can't Stand It","Eric Clapton","4HqdBSLBoGNP3dg7KB8A6R","1981"
"64","While You See A Chance","Steve Winwood","3O454S9h7LuY4x6cBpnVDv","1981"
"65","Master Blaster (Jammin') - Single Version","Stevie Wonder","7wjbLPHL7zD3shAhD8asZb","1981"
"66","Hello Again","Neil Diamond","0uxKo4PZ00H2mnxffpmVog","1981"
"67","Don't Stand So Close To Me","The Police","0NCxcWPutukODIxeSi6bho","1981"
"68","Hey Nineteen","Steely Dan","4GsFbkHkoXCPIIVal984Ks","1981"
"69","I Ain't Gonna Stand For It","Stevie Wonder","6o2NonhsBO71qyrCoPcu1g","1981"
"70","All Those Years Ago","Top Of The Poppers","7p7OaR5roR4FYit7qlooWC","1981"
