Rank,Song,Artist,Year,Spotify ID
1,THRIFT SHOP,Macklemore & Ryan Lewis Featuring Wanz,2013,1CmUZGtH29Kx36C1Hleqlz
2,BLURRED LINES,Robin Thicke,2013,0n4bITAu0Y0nigrz3MFJMb
3,RADIOACTIVE,Imagine Dragons,2013,4G8gkOterJn0Ywt6uhqbhp
4,HARLEM SHAKE,Baauer,2013,01XFgRZfZI7oBagNf1Loml
5,CAN'T HOLD US,Macklemore & Ryan Lewis,2013,3bidbhpOYeV4knp8AIu8Xn
6,MIRRORS,Justin Timberlake,2013,2JZKXgq5zsokN01KWyiY6n
7,JUST GIVE ME A REASON,P!nk,2013,4VC5nFbYO4avKksJ9jN4pY
8,WHEN I WAS YOUR MAN,Bruno Mars,2013,0nJW01T7XtvILxQgC5J7Wh
9,CRUISE,Florida Georgia Line,2013,0i5el041vd6nxrGEU8QRxy
10,ROAR,Katy Perry,2013,6F5c58TMEs1byxUstkzVeM
11,LOCKED OUT OF HEAVEN,Bruno Mars,2013,3w3y8KPTfNeOKPiqUTakBh
12,HO HEY,The Lumineers,2013,0W4Kpfp1w2xkY3PrV714B7
13,STAY,Rihanna,2013,1dEy9Pl81QopSxNsPxXQxv
14,GET LUCKY,Daft Punk,2013,2Foc5Q5nqNiosCNqttzHof
15,ROYALS,Lorde,2013,2dLLR6qlu5UJ5gk0dKz0h3
16,I KNEW YOU WERE TROUBLE.,Taylor Swift,2013,Not On Spotify
17,WE CAN'T STOP,Miley Cyrus,2013,2y4lAQpi5VTNLu2ldeTdUH
18,WRECKING BALL,Miley Cyrus,2013,2vwlzO0Qp8kfEtzTsCXfyE
19,WAKE ME UP!,Avicii,2013,4h8VwCb1MTGoLKueQ1WgbD
20,SUIT & TIE,Justin Timberlake,2013,6dEnpbXyamib2EJnRhTt0G
21,CUPS (PITCH PERFECT'S WHEN I'M GONE),Anna Kendrick,2013,2sCl0FFOzZSmYZs90zOpd1
22,HOLY GRAIL,Jay Z,2013,Not On Spotify
23,SCREAM & SHOUT,will.i.am & Britney Spears,2013,2iJuuzV8P9Yz0VSurttIV5
24,CLARITY,Zedd,2013,60wwxj6Dd9NJlirf84wr2c
25,SAIL,AWOLNATION,2013,5xhQChGGhKLWqBqX4XhtYE
26,DON'T YOU WORRY CHILD,Swedish House Mafia,2013,2V65y3PX4DkRhy1djlxd9p
27,DIAMONDS,Rihanna,2013,7Kt59L2ZZGtOnIhvMwzG6f
28,I LOVE IT,Icona Pop,2013,5hRzAbY2AAO258hL6oqsqO
29,SAFE AND SOUND,Capital Cities,2013,0z9UVN8VBHJ9HdfYsOuuNf
30,TREASURE,Bruno Mars,2013,55h7vJchibLdUkxdlX3fK7
31,THE WAY,Ariana Grande,2013,06EL94D0TA27Ik0Ke5usbj
32,STARTED FROM THE BOTTOM,Drake,2013,6V2D8Lls36APk0THDjBDfE
33,COME & GET IT,Selena Gomez,2013,7Gkphzdh5ouurEt7JT49Yu
34,"HOLD ON, WE'RE GOING HOME",Drake,2013,Not On Spotify
35,DAYLIGHT,Maroon 5,2013,6TwfdLbaxTKzQi3AgsZNzx
36,FEEL THIS MOMENT,Pitbull,2013,0Hf4aIJpsN4Os2f0y0VqWl
37,APPLAUSE,Lady Gaga,2013,2Zj4FUsMtu9PMuJsHbGbdv
38,ONE MORE NIGHT,Maroon 5,2013,4XNrMwGx1SqP01sqkGTDmo
39,LOVE ME,Lil Wayne,2013,Not On Spotify
40,MY SONGS KNOW WHAT YOU DID IN THE DARK (LIGHT EM UP),Fall Out Boy,2013,7s0lDK7y3XLmI7tcsRAbW0
41,F**KIN PROBLEMS,A$AP Rocky,2013,2VaKdAeMHqHzPjPrSU0Svb
42,BEAUTY AND A BEAT,Justin Bieber,2013,190jyVPHYjAqEaOGmMzdyk
43,SAME LOVE,Macklemore & Ryan Lewis,2013,4myTppRgh0rojLxx8RycOp
44,SWEET NOTHING,Calvin Harris,2013,24LS4lQShWyixJ0ZrJXfJ5
45,SUMMERTIME SADNESS,Lana Del Rey & Cedric Gervais,2013,6PUIzlqotEmPuBfjbwYWOB
46,HOME,Phillip Phillips,2013,2ZQyksYO4zzhyHNcueL0CP
47,IT'S TIME,Imagine Dragons,2013,6BtmXhTJMM9sBTHeYYASGz
48,POWER TRIP,J. Cole,2013,7FOJvA3PxiIU0DN3JjQ7jT
49,GIRL ON FIRE,Alicia Keys,2013,4esOae7i4rqTbAu9o5Pxco
50,HEART ATTACK,Demi Lovato,2013,1V6gIisPpYqgFeWbMLI0bA
51,LOVE SOMEBODY,Maroon 5,2013,0HnaqUxvHP5LaWdmWwJpiS
52,I WILL WAIT,Mumford & Sons,2013,2JHBMVs8E7bJJBLkXpKgHn
53,TRY,P!nk,2013,01DSvNTUsVROjnSF5j3UbD
54,WAGON WHEEL,Darius Rucker,2013,3xdjjKMcMOFgo1eQrfbogM
55,GANGNAM STYLE,PSY,2013,03UrZgTINDqvnUMbbIMhql
56,I NEED YOUR LOVE,Calvin Harris,2013,05SBRd4fXgn8FX7bf8BCAE
57,DIE YOUNG,Ke$ha,2013,6mnjcTmK8TewHfyOp3fC9C
58,SOME NIGHTS,fun.,2013,6t6oULCRS6hnI7rm0h5gwl
59,BAD,Wale,2013,Not On Spotify
