Rank,Song,Artist,Year,Spotify ID
60,BOYS 'ROUND HERE,Blake Shelton,2013,39FwE8edwuyiaa4PrGBkP7
61,"GONE, GONE, GONE",Phillip Phillips,2013,5L79aNYCTKiZq7vaOElXYj
62,DEMONS,Imagine Dragons,2013,3LlAyCYU26dvFZBDUIMb7a
63,COUNTING STARS,OneRepublic,2013,6sy3LkhNFjJWlaeSMNwQ62
64,I CRY,Flo Rida,2013,0jnsk9HBra6NMjO2oANoPY
65,LITTLE TALKS,Of Monsters And Men,2013,3a2tuvXCHbW5nuUckuHkKT
66,THE OTHER SIDE,Jason Derulo,2013,5FljCWR0cys07PQ9277GTz
67,BERZERK,Eminem,2013,6Xk7PnitV9jCRorWt2LiVZ
68,CATCH MY BREATH,Kelly Clarkson,2013,5qxPabNDnJQ551Tf4v6k3j
69,CRASH MY PARTY,Luke Bryan,2013,03fT3OHB9KyMtGMt2zwqCT
70,POUR IT UP,Rihanna,2013,76VtA90NKurNqaQpV126Ue
71,22,Taylor Swift,2013,Not On Spotify
72,I WANT CRAZY,Hunter Hayes,2013,2tC3NZsLgXr9CXvOKon19c
73,THE FOX,Ylvis,2013,5HOpkTTVcmZHnthgyxrIL8
74,BEST SONG EVER,One Direction,2013,5T7ZFtCcOgkpjxcuaeZbw0
75,THE A TEAM,Ed Sheeran,2013,1VdZ0vKfR5jneCmWIUAMxK
76,CARRY ON,fun.,2013,7gpy7sfWPNuOKmUNs3XQYE
77,HIGHWAY DON'T CARE,Tim McGraw With Taylor Swift,2013,4wFUdSCer8bdQsrp1M90sa
78,THAT'S MY KIND OF NIGHT,Luke Bryan,2013,5HGibWoxnkYSkl6mHmAlOE
79,SWIMMING POOLS (DRANK),Kendrick Lamar,2013,6REbwUNlppTfcnV4d4ZoZi
80,SURE BE COOL IF YOU DID,Blake Shelton,2013,2byuMQoY8GFXEQ5z3GnXyW
81,#BEAUTIFUL,Mariah Carey,2013,Not On Spotify
82,TROUBLEMAKER,Olly Murs,2013,0gRczqVHrEQQDyizJUtgRc
83,BODY PARTY,Ciara,2013,0rFZaQ4crlGAzuCjWCQ2xu
84,ADORN,Miguel,2013,3trS6e40JCVUOpPVt5OdHj
85,HALL OF FAME,The Script,2013,1X1DWw2pcNZ8zSub3uhlNz
86,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF),Ne-Yo,2013,1Ejsu5JglwIgrFW7Bt2GuL
87,U.O.E.N.O.,Rocko,2013,0HFrCOmhCYXlv4NdEwRAuj
88,NEXT TO ME,Emeli Sande,2013,1Xsxp1SEOxuMzjrFZhtw8u
89,MAMA'S BROKEN HEART,Miranda Lambert,2013,2mXsZsJBThTaJXbNcg5QD4
90,IT GOES LIKE THIS,Thomas Rhett,2013,6GsAD8PgHxmEuIPTG8GP3M
91,BUGATTI,Ace Hood,2013,0uFvvXbmGIXlf5ZgtHyYpf
92,WANTED,Hunter Hayes,2013,0p1BcEcYVO3uk4KDf3gzkY
93,DOWNTOWN,Lady Antebellum,2013,4kY7rYtE4OQkJNq22OIYRI
94,GET YOUR SHINE ON,Florida Georgia Line,2013,3b8QkneNDz4JHKKKlLgYZg
95,#THATPOWER,will.i.am,2013,01TuObJVd7owWchVRuQbQw
96,BRAVE,Sara Bareilles,2013,6Uy6K3KdmUdAfelUp0SeXn
97,LET HER GO,Passenger,2013,0gadJ2b9A4SKsB1RFkBb66
98,RUNNIN' OUTTA MOONLIGHT,Randy Houser,2013,7CL6oaDC9d0QXFMQRkNBmy
99,I'M DIFFERENT,2 Chainz,2013,6J5sxraPPZ4b0CVOGAgpXj
100,STILL INTO YOU,Paramore,2013,1yjY7rpaAQvKwpdUliHx0d
