"","Song","Artist","Spotify ID","Year"
"1","Faith - Remastered","George Michael","0HEmnAUT8PHznIAAmVXqFJ","1988"
"2","Need You Tonight","INXS","5eU8qMd0TpaLqTGDZJaLDs","1988"
"3","Never Gonna Give You Up","Rick Astley","4uLU6hMCjMI75M1A2tKUQC","1988"
"4","Sweet Child O' Mine","Guns N' Roses","1u1DBObkLFscNCpRpXbYb9","1988"
"5","So Emotional","Whitney Houston","2tvBAdXx4spqu0aqT1jRs4","1988"
"6","Heaven Is A Place On Earth","Belinda Carlisle","15vASgdsk0J4BrkZhVTxFG","1988"
"7","Could've Been","Tiffany","1xvGuRbLxTkpb5UdUG7HME","1988"
"8","Hands To Heaven - Original Hit Version","Breathe","1cVXMYFOGZHKqoj5pKTtpi","1988"
"9","Roll With It","Steve Winwood","2QlPByrmEO9XciNBXCrawR","1988"
"10","One More Try - Remastered","George Michael","5932kbyNt445gDTT2chRUS","1988"
"11","Wishing Well","Terence Trent D'Arby","2bvzxeD1hPWEYotw40Euq9","1988"
"12","Anything For You","Gloria Estefan And Miami Sound Machine","6dN8EgnEE9Nbr79NYrijkQ","1988"
"13","The Flame","Cheap Trick","6n10sBG0onSNsFgTy0PILf","1988"
"14","Get Outta My Dreams, Get into My Car","Billy Ocean","3v8vsQfMQio7ohYqFrEsaZ","1988"
"15","Seasons Change - 7"" Version","Exposé","0f24hVOA4gLM8imuvoQ0Uh","1988"
"16","Is This Love","Whitesnake","2PoIKrT2WSEvJlJjlO6eKY","1988"
"17","Wild Wild West","The Escape Club","4Qn1QhHhUT01LfpBnC7xnf","1988"
"18","Pour Some Sugar On Me - Live","Def Leppard","3YdhuJjqZaJKC4xWKUUyYl","1988"
"19","I'll Always Love You","Taylor Dayne","3Zzb3YPzYL1vRtLF0IlDWp","1988"
"20","Man in the Mirror - Remastered Version","Michael Jackson","1nl09AjkuO7BBRF3BFAPsC","1988"
"21","Shake Your Love","Debbie Gibson","6gM3uxq9TPkms83bTSlK10","1988"
"22","Simply Irresistible","Robert Palmer","0bSr5pybJSlgG5OZH441gF","1988"
"23","Hold On To The Nights","Richard Marx","3F2YXxSOC9dPmxXdrh6mYl","1988"
"24","Hungry Eyes","Eric Carmen","25BxqC9Yo7TQ175DLAyMJs","1988"
"25","Shattered Dreams - 2008 Digital Remaster","Johnny Hates Jazz","5KXKhCfPNS4342ly8tTf6w","1988"
"26","Father Figure - Remastered","George Michael","0L0T4tMAaGqLgIVj1MOj9t","1988"
"27","Naughty Girls (Need Love Too)","Samantha Fox","1kCDxLOz1abPEbVtFBpkl1","1988"
"28","A Groovy Kind Of Love","Phil Collins","5huh0htdiJDatAtbHLtpfz","1988"
"29","Love Bites - Live","Def Leppard","6iCCvEH7xhkcsFTXnLVLIK","1988"
"30","Endless Summer Nights","Richard Marx","2iXH35MhsqO5Ry8a7iptpJ","1988"
"31","Foolish Beat","Debbie Gibson","3nyNWWK7Be6E6EUHtQrvvW","1988"
"32","Where Do Broken Hearts Go","Whitney Houston","709znSutWha3sQdPgdSO00","1988"
"33","Angel","Aerosmith","0Kpc3tRv7oC1pVPQV1ikiu","1988"
"34","Hazy Shade of Winter","The Bangles","0P2vAvvWni2tNXOdbH3JFk","1988"
"35","The Way You Make Me Feel - Single Version","Michael Jackson","7KFThZQCAcj8JXdPRtdrXE","1988"
"36","Don't Worry Be Happy","Bobby McFerrin","4hObp5bmIJ3PP3cKA9K9GY","1988"
"37","Make Me Lose Control - Digitally Remastered 1997","Eric Carmen","31HhcRSNcS8Rgv9ldIfh66","1988"
"38","Red Red Wine - 12'' Version","UB40","1tOE1dIyIjsfLJWiQ4ZRJW","1988"
"39","She's Like the Wind","Patrick Swayze","3d4I2tQUz16S8gesU2pLSM","1988"
"40","Bad Medicine","Bon Jovi","0ZbYgFfUB0GZH2nFEH9DVO","1988"
