Rank,Song,Artist,Year,Spotify ID
1,Happy,Pharrell Williams,2014,6NPVjNh8Jhru9xOmyQigds
2,Dark Horse,Katy Perry,2014,5jrdCoLpJSvHHorevXBATy
3,All of Me,John Legend,2014,3U4isOIWM3VvDubwSI3y7a
4,Fancy,Iggy Azalea,2014,3oiMJQAWVaxSubJ7b2VUtX
5,Counting Stars,One Republic,2014,6sy3LkhNFjJWlaeSMNwQ62
6,Talk Dirty,Jason Derulo,2014,5KONnBIQ9LqCxyeSPin26k
7,Rude,Magic,2014,3tCwjWLicbjsMCvXhN0WOE
8,All About That Bass,Meghan Trainor,2014,0ifSeVGUr7py5GggttDhXw
9,Problem,Ariana Grande,2014,7vS3Y0IKjde7Xg85LWIEdP
10,Stay With Me,Sam Smith,2014,5Db9VIdDsN5yu3Eu7CT0i4
11,Timber,Pitbull,2014,3cHyrEgdyYRjgJKSOiOtcS
12,Pompeii,Bastille,2014,3gbBpTdY8lnQwqxNCcf795
13,Shake it Off,Taylor Swift,2014,Not on Spotify
14,Am I Wrong,Nico & Vinz,2014,2wqaekenSQZm7hxQOYt8oE
15,Turn Down For What,DJ Snake & Lil Jon,2014,67awxiNHNyjMXhVgsHuIrs
16,The Monster,Eminem ,2014,48RrDBpOSSl1aLVCalGl5C
17,Say Something,A Great Big World & Christina Aguilera,2014,6Vc5wAMmXdKIAM7WUoEb7N
18,Team,Lorde,2014,3G6hD9B2ZHOsgf4WfNu7X1
19,Let Her Go,Passenger,2014,6GmUVqe73u5YRfUUynZK6I
20,Royals,Lorde,2014,2dLLR6qlu5UJ5gk0dKz0h3
21,Let It Go,Idina Menzel,2014,0qcr5FMsEO85NAQjrlDRKo
22,Wake Me Up! ,Avicii,2014,4h8VwCb1MTGoLKueQ1WgbD
23,Demons,Imagine Dragons,2014,3LlAyCYU26dvFZBDUIMb7a
24,Story of my Life,One Direction,2014,4nVBt6MZDDP6tRVdQTgxJg
25,Chandelier,Sia,2014,2s1sdSqGcKxpPr5lCl7jAV
26,Black Widow,Iggy Azalea,2014,7pNC5ZIKtwUK0ReSpM3P9f
27,Bang Bang,"Jessie J, Ariana Grande, & Nicki Minaj",2014,0puf9yIluy9W0vpMEUoAnN
28,Latch,Disclosure,2014,1BltsyC5W3SAABdxyrDXwi
29,Maps,Maroon 5,2014,4gbVRS8gloEluzf0GzDOFc
30,Loyal,Chris Brown,2014,7kqcudBGM74MXVoYMaoWkC
31,Best Day of my Life,American Authors,2014,5Hroj5K7vLpIG4FNCRIjbP
32,Habits (Stay High),Tove Lo,2014,6YL5zD4SggAZAQcdPv5r0C
33,Summer,Calvin Harris,2014,6YUTL4dYpB9xZO5qExPf05
34,Boom Clap,Charli XCX,2014,0Y1MWB026LYxGvhq4EcMiC
35,Drunk in Love,Beyonce,2014,6jG2YzhxptolDzLHTGLt7S
36,Anaconda,Nicki Minaj,2014,794F99D5BQHS5ZGRXAs7I5
37,Break Free,Ariana Grande,2014,12KUFSHFgT0XCoiSlvdQi4
38,Bailando,Enrique Iglesias,2014,1yM7GIEJ2QniupkEHOyp0a
39,Burn,Ellie Goulding,2014,0xMd5bcWTbyXS7wPrBtZA6
40,Wiggle,Jason Derulo,2014,2sLwPnIP3CUVmIuHranJZU
41,Rather Be,Clean Bandit,2014,3s4U7OHV7gnj42VV72eSZ6
42,Don't Tell 'Em,Jeremih ,2014,0Dc7J9VPV4eOInoxUiZrsL
43,Show Me,Kid Ink,2014,7uc39NPTNiu86GQxTUMzGT
44,Wrecking Ball,Miley Cyrus,2014,2vwlzO0Qp8kfEtzTsCXfyE
45,Not a Bad Thing,Justin Timberlake,2014,1JmPASoql4lnXimD5ICqRP
46,Roar,Katy Perry,2014,6F5c58TMEs1byxUstkzVeM
47,Ain't It Fun,Paramore,2014,1j8z4TTjJ1YOdoFEDwJTQa
48,The Man,Aloe Blacc,2014,Not on Spotify
49,This is How We Roll,Florida Georgia Line,2014,2TR7A4ulH9R1PNwMyd8o8U
50,Classic,MKTO,2014,6FE2iI43OZnszFLuLtvvmg
51,A Sky Full of Stars,Coldplay,2014,0FDzzruyVECATHXKHFs9eJ
52,Don't,Ed Sheeran,2014,1huvTbEYtgltjQRXzrNKGi
53,Na Na,Trey Songz,2014,5maiP9UMnTSgoxPX8X3bdz
54,Hot Boy,Bobby Shmurda,2014,0rFke7eNFHbGuGJUdRgjB2
55,"Hold On, We're Going Home",Drake,2014,14Rcq31SafFBHNEwXrtR2B
56,Sing,Ed Sheeran,2014,6K8qKeWo5MsFED7wCR6Kop
57,Radioactive,Imagine Dragons,2014,4G8gkOterJn0Ywt6uhqbhp
58,My Hitta,YG,2014,4JSc7gbwGilypDRmdYl9Ty
59,Cool Kids,Echosmith,2014,13P5rwmk2EsoFRIz9UCeh9
60,Hey Brother,Avicii,2014,4RXpgGM7A4Hg7cFBoH5KyF
61,Trumpets,Jason Derulo,2014,5KONnBIQ9LqCxyeSPin26k
62,Animals,Maroon 5,2014,2bL2gyO6kBdLkNSkxXNh6x
63,Burnin' it Down,Jason Aldean,2014,4J37kFNUhbX5NV1VFdVLSH
64,Play It Again,Luke Bryan,2014,03fT3OHB9KyMtGMt2zwqCT
65,2 On,Tinashe,2014,3jVtllWS5CFFWLQng8sKsr
66,Dirt,Florida Georgia Line,2014,5CXnIPD6rTjszYYQm6fY2P
67,Love Runs Out,One Republic,2014,5BJSZocnCeSNeYMj3iVqM7
68,Bottoms Up,Brantley Gilbert,2014,477pWnF7WFWb9Qs6g8rs4J
69,Shower,Becky G,2014,3DmW6y7wTEYHJZlLo1r6XJ
70,Me and My Broken Heart,Rixton,2014,1oew3nFNY3vMacJAsvry0S
71,Animals,Martin Garrix,2014,6JEntXLt4z98CcDtIH9sU7
72,Lifestyle,Rich Gang,2014,DTlsMOQjGysXHpwwpHuPl
73,American Kids,Kenny Chesney,2014,1dgWTMoHwTUnQhOQ8SR5fV
