"","Song","Artist","Spotify ID","Year"
"1","I Will Always Love You","Whitney Houston","1cJssTcMltUxhvUZLpn3Ci","1993"
"2","Whoomp! (There It Is)","Tag Team","4DCHUu9qgrtFIY5o184J6z","1993"
"3","(I Can't Help) Falling in Love With You","UB40","7aR1QwbQa26sjDXiVMLik4","1993"
"4","That's The Way Love Goes","Janet Jackson","29rQJydAlO0uMyWvRIZxQg","1993"
"5","Freak Me","Silk","5CdJveJgiGXoGwDFqF6afp","1993"
"6","Weak","SWV","7gxUDSHHsu3q69qb4SQzVN","1993"
"7","If I Ever Fall In Love","Shai","1jCsCYgzQQHk3bDJDuFbNi","1993"
"8","Dreamlover","Mariah Carey","7B46V9G3rBQryzZVtAaWAR","1993"
"9","Rump Shaker - Radio Mix","Wreckx-N-Effect","1XRWHVXbXpqRWYpHOaNsQr","1993"
"10","Informer","Snow","2LjiPAQOVazT8sRyXL3XRs","1993"
"11","Nuthin' But A ""G"" Thang","Pollie Pop","3aJiB41VbS7y7j61HrN9da","1993"
"12","In The Still Of The Nite (I'll Remember)","Boyz II Men","16dbGMVeJg15mLFktHX5LJ","1993"
"13","Don't Walk Away","Jade","7tsRp7QKUBp6hc9bth0h7x","1993"
"14","Knockin' Da' Boots","H-Town","2LP2NrdZlsabtHT0GUCwUa","1993"
"15","Lately","Jodeci","5hIljtQ1fRvDRc1aHdhwWK","1993"
"16","Dazzey Duks (Made Famous by Duice)","Dazzey Duks","6z3lO80S46Qba0hdH185NF","1993"
"17","Show Me Love","Robin S","4t0UsYzmmmZRMTWn77jiGF","1993"
"18","Whole New World (Aladdin's Theme) - From ""Aladdin""/Soundtrack Version","Peabo Bryson","7fLkHVJAJLENmSvhrEHZxV","1993"
"19","If","Janet Jackson","0t414ewhjcIiuPVF3QECz2","1993"
"20","I'm So Into You","SWV","4On14uJ6lcGIFEcQfZDldy","1993"
"21","Love Is","Vanessa Williams And Brian McKnight","7z8NZEvwZU6PzYAzkw3DWE","1993"
"22","Runaway Train","Soul Asylum","2n30j6VY3zozs3YSwcEQSL","1993"
"23","I'll Never Get Over You Getting Over Me - 7"" Version","Exposé","44qy6ywloZIkMPOMOZzm05","1993"
"24","The Ditty (all Because Of You) feat. Terry Troutman","Paperboy","3EcBczt8iD0Uuk3qBmzi7w","1993"
"25","Rhythm Is A Dancer - 12'' Version","SNAP!","5dle7lDSqNS2AcFtbvgkud","1993"
"26","The River of Dreams","Billy Joel","1ndqYQyhyv0kT13ZhSkoh1","1993"
"27","I'm Gonna Be (500 Miles)","The Proclaimers","66S14BkJDxgkYxLl5DCqOz","1993"
"28","Two Princes","Spin Doctors","4ePP9So5xRzspjLFVVbj90","1993"
"29","Right Here - Human Nature Radio Mix","SWV","2vgCM9swUTBS73jS5FmNQE","1993"
"30","I Have Nothing","Whitney Houston","31er9IGsfFbwqy1pH4aiTP","1993"
"31","Mr Wendal - 2002 - Remaster","Arrested Development","6LSTAQ6r7OxsOOlIIYY47Q","1993"
"32","Have I Told You Lately - 2008 Remastered Version","Rod Stewart","6mIY6O7uNGgVqOoX70UAYh","1993"
"33","Saving Forever For You","Shanice","6pVU9bk1Tvbqlq719vJooz","1993"
"34","Ordinary World","Duran Duran","0wokCRaKD0zPNhMRXAgVsr","1993"
"35","I'd Do Anything For Love (But I Won't Do That) - Single Edit","Meat Loaf","391CwgcBxvUHmEKda2b5In","1993"
"36","Slam - Album Version (Edited)","Onyx","226BBqkrXcWm3rSdUB6eXW","1993"
"37","Looking Through Patient Eyes","P.M. Dawn","2SfBzxh1MQSYKQeuhCzHub","1993"
"38","I'm Every Woman (Album Version)","Whitney Houston","4rcK1t8KTbetfO3n8CDyyW","1993"
"39","Baby I'm Yours","Shai","5jnf5Lv2TJX9uYHsFKfrEh","1993"
"40","Come Undone","Duran Duran","0yfNXxlyXdmP0ue1iJijx1","1993"
"41","I Don't Wanna Fight - Single Edit","Tina Turner","4M21CAQGZgBlSwen5VPHa8","1993"
"42","I'd Die Without You","P.M. Dawn","7kFAwFdZcvvqOggZ2dY5jg","1993"
"43","Whoot, There It Is","95 South","1s8kVrqbe6LhBrZWaIzLgu","1993"
"44","Hip Hop Hooray","Naughty By Nature","3fwUpUntnrvggfHhvyQq6D","1993"
"45","Another Sad Love Song","Toni Braxton","70iDnqYvxCPl3mPd3ddxgD","1993"
"46","Will You Be There - Single Version","Michael Jackson","36O7qmyKLHpUY6WdWh8M5g","1993"
"47","Comforter","Shai","6vHJpgX1QTYa9SVXankGVR","1993"
"48","Good Enough - Single Edit","Bobby Brown","5O6rmxKClCySXM6VM5w754","1993"
"49","What's Up?","4 Non Blondes","0jWgAnTrNZmOGmqgvHhZEm","1993"
"50","All That She Wants","Ace of Base","4PifbP29I4IF0I437LTMW3","1993"
"51","7","Prince","7ntO2GqG4NcID6snH3sZNw","1993"
"52","F**k Wit Dre Day (Guide Vocal) - Originally performed by Dr. Dre","Karaoke Beatbox Gang","5Eh3XUgiRyOqtV2oVVT3Hl","1993"
"53","One Last Cry","Brian McKnight","3l9OCOG3Vt6c2lxeMyGSIY","1993"
"54","Just Kickin' It","Xscape","51RvCRzeTqoQgdOBgcpHtT","1993"
"55","I Get Around","2Pac","74kHlIr01X459gqsSdNilW","1993"
"56","Bed Of Roses","Bon Jovi","6qhl8yRJtpqlJD10VPOQtd","1993"
"57","Real Love","Mary J. Blige","6l3FFojHwLpo4W2Vmpy0Ox","1993"
"58","Here We Go Again! - Radio Edit","Portrait","5rIr1MOh4cWwpdln1QqTPS","1993"
"59","Cryin'","Aerosmith","1CShgAvkBtZUy8YO1cNIuC","1993"
"60","Cats In The Cradle","Ugly Kid Joe","57YCtunW2zzriKuLysMe9e","1993"
"61","What About Your Friends","TLC","63PIgPkDf3rswlU4ZWCYAM","1993"
"62","I Got a Man","Positive K","7J61aFBXNNtgWKZ3WV7rLf","1993"
