Rank,Song,Artist,Year,Spotify ID
1,BOOM BOOM POW,The Black Eyed Peas,2009,7xRNsqOQOgWbHV1nbXnfXN
2,POKER FACE,Lady Gaga,2009,3OT3Kg4jyVkdZm4Ncz6JgX
3,JUST DANCE,Lady Gaga Featuring Colby O'Donis,2009,3E5XrOtqMAs7p2wKhwgOjf
4,I GOTTA FEELING,The Black Eyed Peas,2009,4vp2J1l5RD4gMZwGFLfRAu
5,LOVE STORY,Taylor Swift,2009,Not On Spotify
6,RIGHT ROUND,Flo Rida,2009,3GpbwCm3YxiWDvy29Uo3vP
7,I'M YOURS,Jason Mraz,2009,1EzrEOXmMH3G43AXT1y7pA
8,SINGLE LADIES (PUT A RING ON IT),Beyonce,2009,5R9a4t5t5O0IsznsrKPVro
9,HEARTLESS,Kanye West,2009,4EWCNWgDS8707fNSZ1oaA5
10,GIVES YOU HELL,The All-American Rejects,2009,6ihL9TjfRjadfEePzXXyVF
11,YOU BELONG WITH ME,Taylor Swift,2009,5M2FZXOEyH9JurBCxwESB9
12,DEAD AND GONE,T.I. Featuring Justin Timberlake,2009,1k2NovMHKHhgGsHxg0aYAS
13,YOU FOUND ME,The Fray,2009,4IoYz8XqqdowINzfRrFnhi
14,USE SOMEBODY,Kings Of Leon,2009,5VGlqQANWDKJFl0MBG3sg2
15,KNOCK YOU DOWN,Keri Hilson Featuring Kanye West & Ne-Yo,2009,58FUwmyGUqkt53YPUcm7cJ
16,BLAME IT,Jamie Foxx Featuring T-Pain,2009,08uGhvS5MfBk7crUCpnjva
17,I KNOW YOU WANT ME (CALLE OCHO),Pitbull,2009,5RzFJd6W40SDTyZkX6xx45
18,LIVE YOUR LIFE,T.I. Featuring Rihanna,2009,16GHcGtW9Io7AuVdNmTjv3
19,KISS ME THRU THE PHONE,Soulja Boy Tell 'em Featuring Sammie,2009,2q4rjDy9WhaN3o9MvDbO21
20,DOWN,Jay Sean Featuring Lil Wayne,2009,5eCkuGPZNl4mISFNPgr3Dd
21,THE CLIMB,Miley Cyrus,2009,0V8FYVlBFuXXTIvRnMbZyS
22,BEST I EVER HAD,Drake,2009,3fyMH1t6UPeR5croea9PrR
23,MY LIFE WOULD SUCK WITHOUT YOU,Kelly Clarkson,2009,4Dm32oO01YpIubCHaAtKkN
24,HALO,Beyonce,2009,4JehYebiI9JE8sR8MisGVb
25,HOT N COLD,Katy Perry,2009,1y4eb6hmAvsqlDOl3fx9kk
26,SECOND CHANCE,Shinedown,2009,0CwYG1UnRmOx8Q1EzElCIL
27,CIRCUS,Britney Spears,2009,7jk7gqyEonmVVYahZN5zhW
28,DAY 'N' NITE,Kid Cudi,2009,5FEXPoPnzueFJQCPRIrC3c
29,PARTY IN THE U.S.A.,Miley Cyrus,2009,5Q0Nhxo0l2bP3pNjpGJwV1
30,DON'T TRUST ME,3OH!3,2009,6s8T3AuXULZbAMXSYDsai9
