"","Song","Artist","Spotify ID","Year"
"1","End Of The Road","Boyz II Men","1c48FSKfpobDF3VzopU10V","1992"
"2","Baby Got Back","Sir Mix-A-Lot","4pnUuOx2Y5CKqnu2EnUB7A","1992"
"3","Jump","Kris Kross","27AHAtAirQapVldIm4c9ZX","1992"
"4","Save The Best For Last","Vanessa Williams","4yRUjOBsj0cpjabtum0fML","1992"
"5","Baby-Baby-Baby","TLC","1zTuB57LYZa7xu7KUH8kF0","1992"
"6","Tears In Heaven","Eric Clapton","2lJOKQmXQ5yiRyCTE5FyDE","1992"
"7","My Lovin' (You're Never Gonna Get It) - Live","En Vogue","1i5vkLObqwYuvcO4eb8hyI","1992"
"8","All 4 Love","Color Me Badd","2q6D2o8qRY5vcOC4jut0ku","1992"
"9","Just Another Day","Jon Secada","5AoBNJQDXXEnIJGjJjZu3y","1992"
"10","I Love Your Smile","Shanice","5BE3DOk0C26VCMxxT84bec","1992"
"11","To Be With You","Mr. Big","0Yi128S6QgQDnAKg5A0OZw","1992"
"12","I'm Too Sexy","Right Said Fred","2WElktskrNJEwgpp5Vouxk","1992"
"13","Black or White - Remastered Version","Michael Jackson","2PdFSWL1Zpg0lRnujLnNJJ","1992"
"14","Achy Breaky Heart","Billy Ray Cyrus","5PuY53BL7j4zjTFPRRA2zL","1992"
"15","I'll Be There","Mariah Carey","7zAgg3PU31pQAnzEY9dJPr","1992"
"16","November Rain","Guns N' Roses","11C3oTzP4WJ2UlU3TzHtCK","1992"
"17","Life Is A Highway","Tom Cochrane","0hKF8N8aflF1uDzEEnPr2j","1992"
"18","Remember the Time","Michael Jackson","6v5O3M2svc11Z9TMr6yVxI","1992"
"19","Finally","CeCe Peniston","0uqvSVhGgQTIdj9G51vhvv","1992"
"20","This Used To Be My Playground","Madonna","637V2ymBt4Ljlbz4EmRys8","1992"
"21","Sometimes Love Just Ain't Enough","Patty Smyth","3CUV8wsoTTKznGpEovrnZw","1992"
"22","Can't Let Go","Mariah Carey","6zRlkREcJby1wIoyj6DFQ5","1992"
"23","Jump Around","House Of Pain","2oTDOIAdsxPTE7yAp4YOcv","1992"
"24","Diamonds and Pearls - Edit","Prince","5lpv6SbsynNEvUVpLW74t0","1992"
"25","Don't Let the Sun Go Down on Me","George Michael","7l2xCa0dkGV3eiERFEXupj","1992"
"26","Masterpiece","Atlantic Starr","6LmiFEbuHqw8xWJfVBEJyV","1992"
"27","If You Asked Me To","Céline Dion","1dfvK7X30CkKBOLQ2NfBCW","1992"
"28","Giving Him Something He Can Feel","En Vogue","70aBlCLalffIq1c1cng6zO","1992"
"29","Live and Learn","Joe Public","4ScNzmyZZId9kGK9iXuqjn","1992"
"30","Come & Talk To Me","Jodeci","1w837FKxs4YJJ2zp7W1pB6","1992"
"31","Smells Like Teen Spirit","Nirvana","6FyfOXMpEkiIV6cuVx5PgH","1992"
"32","Damn I Wish I Was Your Lover","Sophie B. Hawkins","0RmEn2jcbyrLV4em3bnDZJ","1992"
"33","Tell Me What You Want Me To Do","Tevin Campbell","5FFD1qfYfW3b4zM2vYlMOx","1992"
"34","Ain't 2 Proud 2 Beg","TLC","5kVSEpbyuLIVuPM1i2KivC","1992"
"35","It's So Hard To Say Goodbye To Yesterday","Boyz II Men","264JdkdtNRAGL4M4PnDYHC","1992"
"36","Move This (Shake That Body)","Technotronic","0PAGmTNpVASXq2tegMxSOs","1992"
"37","Bohemian Rhapsody","Queen","4339TrijLVEhPLlbMrVsW4","1992"
"38","Tennessee - 2001 - Remaster","Arrested Development","5K8qwhQQSAj9ebIvlNJY8q","1992"
"39","The Best Things In Life Are Free - Classic Club Edit","Luther Vandross","3E9wmxhFXGLFJJEooJR3Dn","1992"
"40","Make It Happen","Mariah Carey","0yaj3EAVZbhqmi0ZKQxmkE","1992"
"41","The One","Elton John","5QXNPpRqJuDKTi297tfjh2","1992"
"42","Set Adrift On Memory Bliss - Radio Edit","P.M. Dawn","4TK1YzdHTJp3RKxJpllBa9","1992"
"43","Stay [ Feat. Rachel Whitbread & Laura Harding ]","Rachel Whitbread","3gSQhilNTA4DpPzD632CJF","1992"
"44","2 Legit 2 Quit - feat. Saja","MC Hammer","4ZnKSrukEcPuMxGrcZEEh1","1992"
"45","Breakin' My Heart (Pretty Brown Eyes)","Mint Condition","5x6v2IFiiDwPVQ9Q8D7TS3","1992"
"46","Wishing On a Star","The Cover Girls","7EE5va6hu88TSdtbXrEl0J","1992"
"47","She's Playing Hard To Get","Hi-Five","3xRbymJj98leHL7K8Y94WS","1992"
"48","I'd Die Without You","P.M. Dawn","7kFAwFdZcvvqOggZ2dY5jg","1992"
"49","Good For Me","Amy Grant","2GwDKcTJlvoRDaJXkA7ULJ","1992"
"50","All I Want","Toad The Wet Sprocket","2GHYJ0dhVds3PODKnTdiGE","1992"
"51","When A Man Loves A Woman","Michael Bolton","2iiN3nqlkEMIefqSmGgiXe","1992"
"52","I Can't Dance - 2007 Remastered Version","Genesis","0No5Hr1LxZjJHGsQSTy2bm","1992"
"53","Hazard","Richard Marx","6aILdORvFPD0mO7y5q8O1t","1992"
"54","Mysterious Ways","U2","4mWqDrhS85tk5MMV3eCQ9A","1992"
"55","Freedom! '90","George Michael","0hAtIbMd1YPINM7dvr2Us5","1992"
"56","How Do You Talk To An Angel","Jamie Walters & The Heights","6ujN3aI6Rip9InBqJTUUK9","1992"
"57","One","U2","5miTDKGqE3V9iI1NFpNEtB","1992"
"58","Keep On Walkin'","CeCe Peniston","0s2AuUkqr6BN5GjLoTbjaw","1992"
"59","Hold On My Heart - 2007 Remastered Version","Genesis","1MyBPvZABdqqvCDYcS9TjF","1992"
"60","The Way I Feel About You","Karyn White","5LLRxnEQAbnQNzLK0mAC2R","1992"
"61","Beauty And The Beast","Peabo Bryson","5W9bQBePJYAJg6i9g75qHN","1992"
"62","Warm It Up","Kris Kross","4Gv46S98aguDKuKTrbRBus","1992"
"63","In the Closet - Single Version","Michael Jackson","00r8TWNSkGnMDLqpxd4wia","1992"
"64","People Everyday","Arrested Development","6JvodgYcsthsORxPsEYUoe","1992"
"65","No Son Of Mine - 2007 Remastered Version","Genesis","0zFNXLSVDKoHB6NV584U4l","1992"
"66","Wildside","Marky Mark And The Funky Bunch","2U25Ne3teRZLF1wsRnjcfW","1992"
"67","Do I Have To Say The Words?","Bryan Adams","2jstyP5wqWuPfH8GCRUrwr","1992"
"68","Friday I'm In Love","The Cure","0ZEXLvA1oGRMZCbbfRNdky","1992"
"69","Everything About You","Ugly Kid Joe","1O2ACd0zg4GYgQRhLBGYDV","1992"
"70","Blowing Kisses In The Wind","Paula Abdul","1uhsVQi7IADIxZXN1xJnk5","1992"
"71","Thought I'd Died And Gone To Heaven","Bryan Adams","68Qv4S2uJ0nLvdtWPrlOVt","1992"
"72","Rhythm Is A Dancer - 12'' Version","SNAP!","5dle7lDSqNS2AcFtbvgkud","1992"
"73","Addams Groove","MC Hammer","46jqxETXUwgLRsoMGuwFLa","1992"
"74","Missing You Now","Michael Bolton","4O8G0ANVI4ec7KKmcamrCM","1992"
"75","Back To The Hotel - Original","N2DEEP","3BiOCElA3ESRyMsefIgA0L","1992"
"76","Everything Changes","Kathy Troccoli","6EpkaTVcNIXtP0yRJB4avh","1992"
"77","Take This Heart","Richard Marx","1aHCn2d62m0Gghu0nLeaw3","1992"
"78","When I Look Into Your Eyes","Firehouse","1yJWqYYDQge60nZKdLyiZU","1992"
"79","I Wanna Love You","Jade","2BDRHFw5170t2kRHD3uEMU","1992"
"80","Uhh Ahh - Original Version","Boyz II Men","5ldINBZXmoh6qoAzwXl5wX","1992"
"81","Real Love","Mary J. Blige","6l3FFojHwLpo4W2Vmpy0Ox","1992"
"82","Justified And Ancient","The Klf","7L7VSuZMQOUSOPNJkuAqde","1992"
"83","Slow Motion","Color Me Badd","03GzYByXsXHcoEAxjsWv9G","1992"
"84","What About Your Friends","TLC","63PIgPkDf3rswlU4ZWCYAM","1992"
"85","Thinkin' Back","Color Me Badd","5OI4XbIHmAGDNnmP01sD82","1992"
"86","Would I Lie To You?","Charles & Eddie","21MLFi0ISlqDBp7DQHPi7p","1992"
"87","That's What Love Is For","Amy Grant","367dmPOxuMP8FsrZHenNnq","1992"
"88","Keep Coming Back","Richard Marx","0GMFC1osUTm2qKycgHdwWD","1992"
"89","Free Your Mind","En Vogue","1bHwmGAPsDShzHi4b23TBY","1992"
"90","Keep It Comin'","Keith Sweat","2W2ezEfjZdjsXYmaqcCd7M","1992"
"91","Just Take My Heart","Mr. Big","36xlzCtJPntK4Sf5jJbL6r","1992"
"92","I Will Remember You","Amy Grant","76crWZqaiFzlTPGzNtT4w1","1992"
"93","We Got A Love Thang - Silky 7""","Four Tops","459Ld3Od21fp65HwcYNwuv","1992"
"94","Let's Get Rocked - Live","Def Leppard","223kkcMeZ8v5VwzJDkaPR0","1992"
"95","They Want EFX","Das EFX","2rQDtzREtofoyhDNYk95jf","1992"
"96","I Can't Make You Love Me","Bonnie Raitt","69uJi5QsBtqlYkGURTBli8","1992"
