"","Song","Artist","Year","Spotify ID"
"1","Believe","Cher",1999,"2goLsvvODILDzeeiT4dAoR"
"2","No Scrubs","TLC",1999,"0x71Ua6hHfdKWgk4XPmNn6"
"3","Heartbreak Hotel","Whitney Houston",1999,"3EIzVtVW78E6qJqYTa0WUx"
"4","...Baby One More Time","Britney Spears",1999,"3MjUtNVVq3C8Fn0MP3zhXa"
"5","Kiss Me","Sixpence None The Richer",1999,"75fuzn623bYyKISKlFHdCw"
"6","Genie In A Bottle (Album Version)","Christina Aguilera",1999,"4gW7mm93XKmqdPduQ3bpqS"
"7","Every Morning - Remastered","Sugar Ray",1999,"6Neq7tjnknt4URNI8txFL4"
"8","Nobody's Supposed to Be Here","Deborah Cox",1999,"51QxenFmXlJXUN9mpvxlaL"
"9","Livin' la Vida Loca","Ricky Martin",1999,"0Ph6L4l8dYUuXFmb71Ajnd"
"10","Where My Girls At","702",1999,"4VSyH8AkIt3kaR5xIPFVVi"
"11","If You Had My Love","Jennifer Lopez",1999,"1EQgbMBc304Ss86dXBulJA"
"12","Slide","The Goo Goo Dolls",1999,"0eG5CqXwJpa5MBjYyg1lRm"
"13","I Want It That Way","Backstreet Boys",1999,"6e40mgJiCid5HRAGrbpGA6"
"14","I'm Your Angel","C<U+00E9>line Dion",1999,"02nsNxmxmRKR4Tbv3Fcbfh"
"15","All Star","Smash Mouth",1999,"19fm0eNKTeg1JbHCHwPhLe"
"16","Angel","Sarah McLachlan",1999,"0LUT6tGAPHda6esgouKDmi"
"17","Smooth","Santana",1999,"3i3GeK0qLQybu4ah42YmCY"
"18","Unpretty","TLC",1999,"0BUoLE4o9eVahDHvTqak67"
"19","Bills, Bills, Bills","Destiny's Child",1999,"027puauDjNWo1YQsvtqu1t"
"20","Save Tonight","Eagle-Eye Cherry",1999,"2hdhm6piUJnmKXmEmskXCg"
"21","Last Kiss","Pearl Jam",1999,"28Dm6CL7cbB5hv8BLNLHJH"
"22","All I Have to Give","Backstreet Boys",1999,"3hlhefxgyp4MDnN6C2dQ5H"
"23","Bailamos - Wild Wild West/Soundtrack Version","Enrique Iglesias",1999,"2bbeNsFmjZqdoDhjLsKNWe"
"24","What's It Gonna Be?! (feat. Janet Jackson)","Busta Rhymes",1999,"0FpLfrOyHblbDlHUsrPN1N"
"25","What It's Like [Amended Version]","Everlast",1999,"1byBSRxYEiQ5Hb5hEY0vG5"
"26","Fly Away","Lenny Kravitz",1999,"0n0eMsX7WgEtc7dlscbuKU"
"27","Someday - Remastered","Sugar Ray",1999,"6NcHJ23mLQKnVxQcOmT7JW"
"28","That Don't Impress Me Much","Shania Twain",1999,"0KvLsZYwodakWxOQUYAR5I"
"29","Wild Wild West - Album Version With Intro","Will Smith",1999,"5AMvBCtX2rspUdoeJ9IsPN"
"30","Heartbreaker","Mariah Carey",1999,"0jsANwwkkHyyeNyuTFq2XO"
"31","I Still Believe","Mariah Carey",1999,"0lAfiQigXDbf9mb2ziefPz"
"32","The Hardest Thing","98<U+00BA>",1999,"7EEdDKopE2INq8y1sOZuhU"
"33","Summer Girls","LFO",1999,"7uYroF9RRrhRJBrigRvB6H"
"34","Can I Get A...","JAY Z",1999,"4LGMSdeKOUoy5Wf75Je0Hl"
"35","Jumper","Third Eye Blind",1999,"6gkD0tbTaBy9t6meSK4aIL"
"36","Doo Wop (That Thing)","Ms. Lauryn Hill",1999,"2bZfoRmADhlF5gMCSZ4pDS"
"37","Mambo No. 5 (A Little Bit of...)","Lou Bega",1999,"3vJG33adGD5Z39Gb6Cnevi"
"38","Sweet Lady","Tyrese",1999,"1Dx8rIZaXzZPvUQRF2j9hB"
"39","It's Not Right But It's Okay","Whitney Houston",1999,"7isgyyhGbGSh1AD43hxaHX"
"40","(God Must Have Spent) A Little More Time On You","*NSYNC",1999,"4mljNnZ2eaXKSbEAOzLlLE"
"41","Lullaby","Shawn Mullins",1999,"70L4pGAmYv0pTADrgsIxpI"
"42","Anywhere","112",1999,"0Zze3tFRSNwL6KllmYjLgZ"
"43","Tell Me It's Real","K-Ci & JoJo",1999,"6Bd9hh3O9DMjm8hws64D0z"
"44","She's so High","Tal Bachman",1999,"7mnGQesk1TzQLzQ9bYWZPR"
"45","She's All I Ever Had","Ricky Martin",1999,"4Bza6algEDbY8yrm8qMeg7"
"46","Miami","Will Smith",1999,"6e8Ou0wiqAzIpWb2eSxll8"
"47","Hands","Jewel",1999,"1Nchgvmv9DUrB8X1n442EH"
"48","Who Dat","J.T. Money",1999,"28u8fx3Cl3FsYkO3hXKhrI"
"49","From This Moment On","Shania Twain",1999,"7n2vETKqnlDt4670aVs5n5"
"50","You","Jesse Powell",1999,"0hcW7qPqWWJc8189OaqQvX"
"51","If You","Silk",1999,"5DwP705ZZWaTQ8olnVtD0b"
"52","Ex-Factor","Ms. Lauryn Hill",1999,"61AsTu6vfuLieRBzhjskSy"
"53","Give It To You","Jordan Knight",1999,"6miou5rcSI3TqJWTKizJJI"
"54","Black Balloon","The Goo Goo Dolls",1999,"3kI8fSpOQmL5ax63lBOuH3"
"55","Spend My Life With You","Eric Ben<U+00E9>t",1999,"58s4iqgXFzXhBndBkg2AaD"
"56","These Are The Times","Dru Hill",1999,"0OMmiWMwsCNtpQ5aP6fdp9"
"57","I Don't Want To Miss A Thing","Mark Chesnutt",1999,"3FN7JMZaaQ9lSzIaan0YZ1"
"58","I Do (Cherish You)","98<U+00BA>",1999,"5it4Zopso9OdoirmTqGZA4"
"59","Because Of You","98<U+00BA>",1999,"7xoN94HgqWTerSUbG5Hf9O"
"60","I Will Remember You - Live","Sarah McLachlan",1999,"17dJKYDOzbmb30cLXgrWiP"
"61","Chante's Got A Man","Chant<U+00E9> Moore",1999,"2siv7IrEa2khUf70k7vp49"
"62","Happily Ever After","Case",1999,"21fXrzSxu2y51Yqf57QycI"
"63","My Love Is Your Love","Whitney Houston",1999,"65oJfpeYubIP0GRjYR7acK"
"64","All Night Long (feat. P. Diddy)","Faith Evans",1999,"0Rv1ICkeAao0Yx85xpJ29k"
"65","Back That Thang Up","Juvenile",1999,"5NrQjJX3SfWlK6bXGVSTHt"
"66","Man! I Feel Like A Woman!","Shania Twain",1999,"6Agiwgwq5BtflpNynGYsUv"
"67","Steal My Sunshine","Len",1999,"4agp6oHofabdUedr0B1krj"
"68","I Need to Know","Marc Anthony",1999,"7ffwRz8lZyDOE4Vj58Lo72"
"69","So Anxious","Ginuwine",1999,"2zbjlcLi1VQWqDNYdhyx1l"
