"","Song","Artist","Spotify ID","Year"
"1","Call Me","Blondie","0vLwL4xuJ3s7SeaCdvMqkY","1980"
"2","Another Brick In The Wall (Part Two) - Live","Pink Floyd","58CP18keMZKH0KCc3dLrSU","1980"
"3","Magic","Olivia Newton-John","56BSwBKWHYldQOgYLHiehs","1980"
"4","Rock with You - Single Version","Michael Jackson","36eWbpGbM3DxpErvZImHgD","1980"
"5","Do That To Me One More Time","Captain & Tennille","2gFnSurc2aUja58m4Jq41f","1980"
"6","Crazy Little Thing Called Love - Remastered","Queen","4hNKm844QktyaKubGM8Ggk","1980"
"7","Coming Up - Remastered 2011","Paul McCartney","1p2qCWx9dM74mPIv8Vnm2f","1980"
"8","Funkytown - Single Version","Lipps Inc.","2jBHUDhBLIDKHZZhwl1ymh","1980"
"9","It's Still Rock and Roll to Me","Billy Joel","7LbOQt7isddrw3Bs3Czl7E","1980"
"10","The Rose - Remastered Version","Bette Midler","5iUzEn2QzBW0KEWNQO1KQC","1980"
"11","Escape (The Pina Colada Song)","Rupert Holmes","5IMtdHjJ1OtkxbGe4zfUxQ","1980"
"12","Cars","Gary Numan","3CKLPDN1AIOYa7QPpy6oDH","1980"
"13","Cruisin'","Smokey Robinson","12bmwuAgbMVSmLPGJt10Ki","1980"
"14","Working My Way Back To You/Forgive Me, Girl","The Spinners","1wouF9mtyiwZDYiq5YElaq","1980"
"15","Lost In Love","Air Supply","6MhK1gPrgtgRedEjSUz18I","1980"
"16","Little Jeannie","Elton John","4UFA0DDqbcSTkMUyc1OFjd","1980"
"17","Ride Like The Wind","Christopher Cross","62leJoS03BiNzdoQmb9ByN","1980"
"18","Upside Down","Diana Ross","3pbtBomO4Zt5gGiqsYeiBH","1980"
"19","Please Don't Go","KC & The Sunshine Band","5GSoJmOujAzKlAYQvULT97","1980"
"20","Babe","Styx","3m9viZzUHLDXp6XizY2NZq","1980"
"21","With You I'm Born Again","Billy Preston","7wlPnBfcywEctiVWwCdxvn","1980"
"22","Shining Star","The Manhattans","4VO88hvgij1NzgmGpV1MPV","1980"
"23","Still","Commodores","60K5cjp5Kv2MRJw1IisoMh","1980"
"24","Yes/ I'm Ready","The Hit Crew","6Qyd8TE9edKso0Sb2yl0qp","1980"
"25","Sexy Eyes - Single Version","Dr. Hook","6uxGAruWvj6O2hVBBTNITa","1980"
"26","Steal Away","Robbie Dupree","3MshXF4YQRoFw82plcsUge","1980"
"27","Biggest Part Of Me","Ambrosia","0CWD6Vq8az9trL6L5IyrIj","1980"
"28","This Is It","Kenny Loggins","0YO8KsprTrEUEvJevpI7Na","1980"
"29","Cupid / I've Loved You For A Long Time","The Spinners","5z3LawThM0b0jiH5RNuDml","1980"
"30","Let's Get Serious","Jermaine Jackson","7tZ4W5gIoLODwmG4XFxNB9","1980"
"31","Don't Fall In Love With A Dreamer - feat. Kim Carnes","Kenny Rogers","0YgmjGr4XDahHhiVlX2Gya","1980"
"32","Sailing","Christopher Cross","5Ii750a5kcwanAaBfrOlZM","1980"
"33","Longer","Dan Fogelberg","6OKrPnWUC8FccKiLVpxQWQ","1980"
"34","Coward Of The County - 2006 Digital Remaster","Kenny Rogers","5eLACghlJo5ncOG7Ym7L5j","1980"
"35","Ladies Night","Kool & The Gang","5712ELdjcfZsDS9RorYkIF","1980"
"36","Too Hot","Kool & The Gang","1AykNhxVAXM1WMKiNVh91G","1980"
"37","Take Your Time (Do It Right)","The S.O.S Band","6JmI8SpUHoQ4yveHLjTrko","1980"
"38","No More Tears (Enough Is Enough)","Barbra Streisand","1wSPm3y4Lk6ABkVxCmwkZx","1980"
"39","More Love","Kim Carnes","4SRAf6doXKEuMJxrHB8ILC","1980"
"40","Popmuzik","M","6SeqtO22ZK9BIPYtb0YX5I","1980"
"41","Brass In Pocket","Pop Feast","0Jk265z1cOt9V5ba8nw4hQ","1980"
"42","Special Lady","Ray, Goodman & Brown","570KJytRkVHTIocq1qomWF","1980"
"43","Send One Your Love","Stevie Wonder","2dA6KnSEgtUZO5lZa1QsIy","1980"
"44","Second Time Around","Shalamar","58yPFsRHPI4heKjSGtSSCf","1980"
"45","We Don't Talk Anymore - 1987 Remastered Version","Cliff Richard","2pjbLGZLKcaf1nc78KfbWH","1980"
"46","Stomp","The Brothers Johnson","71fd3yTW3z1OfIGOMuiqmI","1980"
"47","Tired of Toein' the Line","Rocky Burnette","5Huuwj6mEuAtyrH5bg6mqM","1980"
"48","Better Love Next Time","Dr. Hook","2RwLs2dPoY8Tt1FumMvimx","1980"
"49","Him","Rupert Holmes","5rMthFHPxRDi4Uxg06iK6H","1980"
"50","Against The Wind","Classic Rock Monsters","2spbdLBZFBpyGvzfV4rBl6","1980"
"51","On The Radio","Donna Summer","2qYbfFYuCavdNuLZrn0PWh","1980"
"52","Emotional Rescue","The Rolling Stones","3ULXwvE0v0G5eEcSAe5h3h","1980"
"53","RISE","Herb Alpert","2Qb8o1LCwaROKAirIMV9He","1980"
"54","All out of Love","Air Supply","72FZ1Qzauw8XpJs8dz4CrH","1980"
"55","Cool Change","Little River Band","4lFUpqyXFvKL3jkNNnAte2","1980"
"56","You're Only Lonely","JD Souther","0qzEkwri1hE0rgxVqdOBAf","1980"
"57","Desire","Andy Gibb","5CQCYZ0SKfpVZHKL5HVixK","1980"
"58","Romeo's Tune","Steve Forbert","6eCWvDQXTITW534IANR5n1","1980"
"59","Don't Let Go","Isaac Hayes","3csommQJ7ozkkPlmuYSFnV","1980"
"60","Don't Do Me Like That","Tom Petty and the Heartbreakers","5AzpZ5ADn1AFPxcEBd2Ugf","1980"
"61","She's Out of My Life - Single Version","Michael Jackson","5CoYwKhisukni6UEDXc2Pr","1980"
"62","Fame","London Theatre Orchestra & Cast","1mie3LbIrkousFz6jwbsaZ","1980"
"63","Fire Lake - Bob Seger & The Silver Bullet Band Tribute","The Original Masters","2zuGQ1Re57BR18z9X3uNTi","1980"
"64","How Do I Make You","Linda Ronstadt","2WX2HSBKkcKVvqTukHZS22","1980"
"65","Into The Night (Re-Recorded In Stereo)","Benny Mardones","0fA1VA1rJ1Yd6nYC4WEoO8","1980"
"66","Let Me Love You Tonight","Pure Prairie League","6vOMU2u38Z9Wru3CqPxcKs","1980"
"67","Misunderstanding - 2007 Remastered Version","Genesis","2JPWiYKyPM9ST26TpKAeYd","1980"
