Rank,Song,Artist,Year,Spotify ID
1,ROLLING IN THE DEEP,Adele,2011,1CkvWZme3pRgbzaxZnTl5X
2,PARTY ROCK ANTHEM,LMFAO Featuring Lauren Bennett & GoonRock,2011,0IkKz2J93C94Ei4BvDop7P
3,FIREWORK,Katy Perry,2011,4lCv7b86sLynZbXhfScfm2
4,E.T.,Katy Perry Featuring Kanye West,2011,6kex4EBAj0WHXDKZMEJaaF
5,GIVE ME EVERYTHING,"""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",2011,4QNpBfC0zvjKqPJcyqBy9W
6,GRENADE,Bruno Mars,2011,2tJulUYLDKOg9XrtVkMgcJ
7,F**K YOU (FORGET YOU),Cee Lo Green,2011,Not On Spotify
8,SUPER BASS,Nicki Minaj,2011,0iYebKFUSfF72fUu2OW6ZT
9,MOVES LIKE JAGGER,Maroon 5 Featuring Christina Aguilera,2011,7LcfRTgAVTs5pQGEQgUEzN
10,JUST CAN'T GET ENOUGH,The Black Eyed Peas,2011,3JA9Jsuxr4xgHXEawAdCp4
11,ON THE FLOOR,Jennifer Lopez Featuring Pitbull,2011,Not On Spotify
12,S&M,Rihanna,2011,2u02eLj96Atd6TBxkH9YvN
13,PUMPED UP KICKS,Foster The People,2011,7w87IxuO7BDcJ3YUqCyMTT
14,LAST FRIDAY NIGHT (T.G.I.F.),Katy Perry,2011,455AfCsOhhLPRc68sE01D8
15,JUST THE WAY YOU ARE,Bruno Mars,2011,7BqBn9nzAq8spo5e7cZ0dJ
16,TONIGHT (I'M LOVIN' YOU),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,4270XtiZeN9yYPR81dn8Ow
17,RAISE YOUR GLASS,P!nk,2011,12lZTPlXwUtrQuhEty6098
18,BORN THIS WAY,Lady Gaga,2011,6r2BECwMgEoRb5yLfp0Hca
19,F**KIN' PERFECT,P!nk,2011,Not On Spotify
20,WHAT'S MY NAME?,Rihanna Featuring Drake,2011,5xZtUAVUVfjBtVtMOgMkyy
21,LOOK AT ME NOW,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,7EKTo6rVJ3XSS7QTd6ep2j
22,DOWN ON ME,Jeremih Featuring 50 Cent,2011,0x3TibRgnSqzkcwrqBd4iX
23,HOW TO LOVE,Lil Wayne,2011,4aX4Oycsk1fhHIee1zqsDe
24,SOMEONE LIKE YOU,Adele,2011,4kflIGfjdZJW4ot2ioixTB
25,GOOD LIFE,OneRepublic,2011,5Pwc4xIPtQLFEnJriah9YJ
26,THE LAZY SONG,Bruno Mars,2011,1ExfPZEiahqhLyajhybFeS
27,TILL THE WORLD ENDS,Britney Spears,2011,38iU2jg98IZZEIJPrP7aWD
28,THE SHOW GOES ON,Lupe Fiasco,2011,4NTWZqvfQTlOMitlVn6tew
29,THE EDGE OF GLORY,Lady Gaga,2011,0JNdS1n0ifOP25XvhwAMgM
30,WE R WHO WE R,Ke$ha,2011,0Ji2g9AlYLVHAMG5PJoHPU
31,BLACK AND YELLOW,Wiz Khalifa,2011,5A6OHHy73AR5tLxgTc98zz
32,TONIGHT TONIGHT,Hot Chelle Rae,2011,6C2XDnr9B6obGMVhHS1Nmo
33,BLOW,Ke$ha,2011,5FQazQxWUHsJ8QDaXLdFzR
34,LIGHTERS,Bad Meets Evil Featuring Bruno Mars,2011,5zpDHEU12zATwLGvozxPw2
35,IF I DIE YOUNG,The Band Perry,2011,4u26EevCNXMhlvE1xFBJwX
36,STEREO HEARTS,Gym Class Heroes Featuring Adam Levine,2011,0qOnSQQF0yzuPWsXrQ9paz
37,THE TIME (DIRTY BIT),The Black Eyed Peas,2011,7vWFaMq63AwkFDhS2OAg5u
38,COMING HOME,Diddy - Dirty Money Featuring Skylar Grey,2011,6Iocm6VMu6bVNYwiDoyQFW
39,HEY BABY (DROP IT TO THE FLOOR),Pitbull Featuring T-Pain,2011,3rfhI32Il2hVRKDkuGeeen
40,ONLY GIRL (IN THE WORLD),Rihanna,2011,6jAsmDJI8iPhGWtS27kZ67
41,6 FOOT 7 FOOT,Lil Wayne Featuring Cory Gunz,2011,0z5ZPs57J2KERwM1tBM2GF
42,JUST A KISS,Lady Antebellum,2011,2nRvKHh2mtOfIQ4jcAkP9q
43,DIRT ROAD ANTHEM,Jason Aldean,2011,0adTN3vBO3pimO3yfxm9vg
44,DYNAMITE,Taio Cruz,2011,1DqdF42leyFIzqNDv9CjId
45,NO HANDS,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,03tqyYWC9Um2ZqU0ZN849H
46,I WANNA GO,Britney Spears,2011,5cCAZS9VhLGEDV4NCfieeg
47,I'M ON ONE,"""DJ Khaled Featuring Drake, Rick Ross & Lil Wayne""",2011,608a1wIsSd5KzMEqm1O7w3
48,YOU MAKE ME FEEL...,Cobra Starship Featuring Sabi,2011,16Of7eeW44kt0a1M0nitHM
49,YEAH 3X,Chris Brown,2011,0AUIjHlr9KfbVoemhhxHS6
50,MOMENT 4 LIFE,Nicki Minaj Featuring Drake,2011,0ConttVd0Ebk3dLNquOmh0
51,I NEED A DOCTOR,Dr. Dre Featuring Eminem & Skylar Grey,2011,70ATm56tH7OrQ1zurYssz0
52,JUST A DREAM,Nelly,2011,3ZdJffjzJWFimSQyxgGIxN
53,MOTIVATION,Kelly Rowland Featuring Lil Wayne,2011,4Cv5dkUBqepa0siwGREihD
54,STEREO LOVE,Edward Maya & Vika Jigulina,2011,11Iv8RCFmeImLOpaHYxKb4
55,JAR OF HEARTS,Christina Perri,2011,0HZhYMZOcUzZKSFwPOti6m
56,ROLL UP,Wiz Khalifa,2011,53DB6LJV9B8sz0p1s6tlGS
57,SEXY AND I KNOW IT,LMFAO,2011,0obBFrPYkSoBJbvHfUIhkv
58,ROCKETEER,Far*East Movement Featuring Ryan Tedder,2011,45sDIKapDyxPl307QpEAwl
59,ALL OF THE LIGHTS,Kanye West,2011,22L7bfCiAkJo5xGSQgmiIO
60,HOLD IT AGAINST ME,Britney Spears,2011,7Dyq1bhhjknLKEGg4k5NLr
61,MORE,Usher,2011,Not on Spotify
62,WHAT THE HELL,Avril Lavigne,2011,5zTzDqrEmseqL2G8ElgBu7
63,WRITTEN IN THE STARS,Tinie Tempah Featuring Eric Turner,2011,61HQWI1Woxup7CnGwVUsdI
64,BOTTOMS UP,Trey Songz Featuring Nicki Minaj,2011,2IpGdrWvIZipmaxo1YRxw5
65,DJ GOT US FALLIN' IN LOVE,Usher Featuring Pitbull,2011,28AUzRo0nQLESL55WDV0um
66,FOR THE FIRST TIME,The Script,2011,09ZcYBGFX16X8GMDrvqQwt
67,HONEY BEE,Blake Shelton,2011,0gY2iq0xJPRoIB1PScKSw4
68,DON'T YOU WANNA STAY,Jason Aldean With Kelly Clarkson,2011,2CAf7WlHg8SlMLHmt55pqs
69,WE FOUND LOVE,Rihanna Featuring Calvin Harris,2011,6qn9YLKt13AGvpq9jfO8py
70,PRETTY GIRL ROCK,Keri Hilson,2011,2Adn2LNgkHMH5TelQVAu4n
71,YOU AND I,Lady Gaga,2011,6rkAY9rk1NTFB94QxG3LJR
72,LIKE A G6,Far*East Movement Featuring Cataracs & Dev,2011,4DvhkX2ic4zWkQeWMwQ2qf
73,WITHOUT YOU,David Guetta Featuring Usher,2011,7rGMKCgeYXpBecQ1FPb3oc
74,BACK TO DECEMBER,Taylor Swift,2011,Not on Spotify
75,TEENAGE DREAM,Katy Perry,2011,55qBw1900pZKfXJ6Q9A2Lc
76,CRAZY GIRL,Eli Young Band,2011,1nVLAEzhBXMJLR5zAl90Nl
77,CHEERS (DRINK TO THAT),Rihanna,2011,46MDLc0Yip6xCMSsdePOAU
78,WHO SAYS,Selena Gomez & The Scene,2011,6dn9ndETOjczUSQO5UhKJa
79,BAREFOOT BLUE JEAN NIGHT,Jake Owen,2011,3ts6xK5GzfMAAriT9AIBmP
80,KNEE DEEP,Zac Brown Band Featuring Jimmy Buffett,2011,1yEwEiTpsaPhQi9lb5EVV4
81,COUNTRY GIRL (SHAKE IT FOR ME),Luke Bryan,2011,0yD66650JxhqKbW76C2qCo
82,REMIND ME,Brad Paisley Duet With Carrie Underwood,2011,4ABua0yuWcpTotImEEJTaw
83,IN THE DARK,Dev,2011,1pbHy9VBpSyZh56xuujZz0
84,BACKSEAT,New Boyz Featuring The Cataracs & Dev,2011,4dWjQ3wEfW6KPaaxCoaPH4
