Rank,Song,Artist,Year,Spotify ID
1,Gangsta's Paradise,Coolio,1995,0RdpN5cjHSlC2tOmnphkF2
2,Waterfalls,TLC,1995,6qspW4YKycviDFjHBOaqUY
3,Creep,TLC,1995,1aWV3uY3SIEZVbmv45oFWS
4,Kiss From A Rose,Seal,1995,0z5E34e7ZT3XKMYQNXh6tH
5,On Bended Knee,Boyz II Men,1995,7MYmo0JJJDmu4MZTSAF9y3
6,Another Night,Real McCoy,1995,3pEuO9J2MTEmec8kUfYYvl
7,Fantasy,Mariah Carey,1995,6xkryXuiZU360Lngd4sx13
8,Take A Bow,Madonna,1995,7izFzcBTx3DVXFeFYDeZKB
9,Don't Take It Personal (Just One of Dem Days),Monica,1995,0JCAezTC5IlK1a9o0YBEsD
10,This Is How We Do It,Montell Jordan,1995,6uQKuonTU8VKBz5SHZuQXD
11,Water Runs Dry,Boyz II Men,1995,7yhmvQh1JOzbNiNFQo4Tfc
12,Freak Like Me,Adina Howard,1995,6Vas6h9lB5mmeVDXdFqlQA
13,Run-Around,Blues Traveler,1995,3y8rEUEUdmAcPCpPoLotnO
14,I Can Love You Like That,All-4-One,1995,4OnZR9U5JRFGF1Yza9j579
15,Have You Ever Really Loved A Woman?,Bryan Adams,1995,6a5Gi94rOk6cpK5NDk1s1x
16,Always,Bon Jovi,1995,5C1nbFH5yZl1jm7h7ScLBO
17,In The Summertime - Feat. Rayvon,Shaggy,1995,10H384Dptw1zuGuWsMWpZ8
18,Total Eclipse Of The Heart 2005,Nicki French,1995,1b5HnOUkPi536sjGJRGWTB
19,You Gotta Be,Des'ree,1995,6CU0zWIWVTEnmWpSjVHM93
20,You Are Not Alone - Single Version,Michael Jackson,1995,3KtIVDOChQMVi3SxHc6RrK
21,One More Chance/Stay With Me Remix,The Notorious B.I.G.,1995,5jcczlLcG8iAHCFazLinKk
22,Here Comes the Hotstepper - Heartical Mix,Ini Kamoze,1995,4HkIzBgEyNr8MogcWVnbqJ
23,Candy Rain,Soul For Real,1995,4GAGWckW9edK3zB6ZS7Tz5
24,I Believe,Blessid Union Of Souls,1995,7qnNnQTGxdzI2wZWpa0vDD
25,Red Light Special,TLC,1995,6dW75XbJ1WAMljOXWjTK46
26,Runaway,Janet Jackson,1995,1FxXNL5NGwKPQvPKUxa3VZ
27,Strong Enough,Sheryl Crow,1995,1iDYoLIMqZjp7CCaI6uFTr
28,"Colors Of The Wind - From ""Pocahontas""/Soundtrack Version",Vanessa Williams,1995,7xG1fakElLbxwyr9eyGEK6
29,Someone to Love,Jon B.,1995,4mKbb9uvBMlVvOUv8fdBt8
30,Only Wanna Be With You,Hootie & The Blowfish,1995,3KELxFGasKxINHhW3vwRtN
31,If You Love Me,Brownstone,1995,0BTGqPIW9acmhhUmENkq5r
32,In The House Of Stone And Light,Martin Page,1995,1QlIB0pkLKR8vEDSW7r42t
33,I Got 5 On It,Luniz,1995,7vfvZp6KZJpxiaW6rI9ieM
34,Baby,Brandy,1995,17aVK3oQdgwVG2l0HpP67W
35,Run Away,Real McCoy,1995,0ibYVniVLMJWvc3eNfYk8T
36,As I Lay Me Down,Sophie B. Hawkins,1995,4x6gUDeNzAB273nhsNIeuG
37,I Got Him All The Time - He's Mine Remix / Album Version,MoKenStef,1995,6EVfqtvyixYMCmxo7JHAwu
38,December (45 Version),Collective Soul,1995,4wx38D1Y9vv9WG3T0J6lTA
39,I'll Be There For You/You're All I Need To Get By,Method Man,1995,7asNwQI80A6OnlHRPwQdal
40,Shy Guy,Diana King,1995,3ldG6XCLDXxWg1N6XhrSKo
41,I'm The Only One,Melissa Etheridge,1995,4veE1jrMbVSy9FRCiYDGkD
42,Every Little Thing I Do,Soul For Real,1995,5u3rsmRYRSKJpFHXPT4p07
43,Before I Let You Go,Blackstreet,1995,455CCMp9OHkIg0St60cxmd
44,Big Poppa,The Notorious B.I.G.,1995,2g8HN35AnVGIk7B8yMucww
45,Sukiyaki,4 P.M.,1995,0cBQbqp5jInL73ZxLBSGlX
46,I Wanna Be Down,Brandy,1995,6N9uyMZf9pbNOuomveWscp
47,I'll Make Love To You,Boyz II Men,1995,61sQYdFNS6sEBYCyr1q5gn
48,Dear Mama,2Pac,1995,6iXcPsToMyTheci6e1L2ya
49,Hold On,Jamie Walters,1995,2kQLJexCx8wPTAqK0x0ijO
50,Keep Their Heads Ringin<U+2019>,Various Artists - Dr. Dre Tribute,1995,4QAEx1QTsrl0fPpa8Fk2Rz
51,The Rhythm Of The Night,Corona,1995,3L9RIFcNF9IDGPRE96EO7N
52,Roll To Me,Del Amitri,1995,1QoJK5Xf8I9r2sjXdxa9Fq
53,Scream,Michael Jackson,1995,5E0hSROoDq1VD1t0ktwi55
54,Freek'n You,Jodeci,1995,43sNw9nvGYGLYnNiwI8oMZ
55,I Wish,Skee-Lo,1995,3LklW07tvdx2AHsgfi1Mng
56,Believe - Radio Edit,Elton John,1995,7sa9hvmSywCFdxAJ9zjCPZ
57,Carnival,Natalie Merchant,1995,4QXhRjZacZ1gZUeL7Ukktw
58,You Don't Know How It Feels,Tom Petty,1995,7MooGz4ZPE4bNxjFegR6Jx
59,Back for Good - Radio Mix,Take That,1995,2BIBtKMUnHyYs3BsEiILTU
60,Tootsee Roll,69 Boyz,1995,0wfuwgtWKZYRYAONxXPjPO
61,You Want This,Janet Jackson,1995,52kDYmU0aE3txkZBKjl0nP
62,Tell Me,Groove Theory,1995,2lp8xjq0WTm3HZKHuDEweg
63,Can't You See,Total,1995,1poK64Wt7p7VwrAbFgD5hS
64,All I Wanna Do,Sheryl Crow,1995,0TxFZthE81cgf5zZvpnkPP
65,This Lil' Game We Play,Subway,1995,6gp5reJaprmqjZnRFbpqK2
66,Come and Get Your Love - Radio Edit,Real McCoy,1995,0XVikcHfkoBvJ5ZU8xQBWn
67,This Ain't A Love Song,Bon Jovi,1995,4Q1UwAB4nL3l4k41vkZoyg
