Rank,Song,Artist,Year,Spotify ID
72,Classic Man,Jidenna (ft. Roman GianArthur),2015,3G7XYAwtxtoGK7fAm4IlD9
73,Ex's & Oh's,Elle King,2015,70eDxAyAraNTiD6lx2ZEnH
74,Dear Future Husband,Meghan Trainor,2015,3cU2wBxuV6nFiuf6PJZNlC
75,Marvin Gaye,Charlie Puth (ft. Meghan Trainor),2015,6ukMqDxnOPOgoHdak7Kyp3
76,Like I'm Gonna Lose You,Meghan Trainor (ft. John Legend),2015,2YlZnw2ikdb837oKMKjBkW
77,Habits (Stay High),Tove Lo,2015,6YL5zD4SggAZAQcdPv5r0C
78,The Hanging Tree,James Newton Howard (ft. Jennifer Lawrence),2015,416MsJxvxSKY96DCmbJIRs
79,Coco,O.T. Genasis,2015,2JI71GHwq2LN8mtq3iCLYo
80,Bang Bang,"Jessie J, Ariana Grande, & Nicki Minaj",2015,0puf9yIluy9W0vpMEUoAnN
81,Lay Me Down,Sam Smith,2015,64GRDrL1efgXclrhVCeuA0
82,Tuesday,I Love Makonnen (ft. Drake),2015,2znzyzlAUc8Z1Ikq9aFOcx
83,Hit The Quan,iLoveMemphis,2015,4OjuzM3rTWp3q60mEldNSF
84,Downtown,"Macklemore & Ryan Lewis (ft. Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz)",2015,5pfJsMwoRYKampPay8amX0
85,House Party,Sam Hunt,2015,1TwLKNsCnhi1HxbIi4bAW0
86,Ayo,Chris Brown & Tyga,2015,0k6DnZMLoEUH8NGD5zh2SE
87,Kick the Dust Up,Luke Bryan,2015,5g15o2Sm55Hn9ShK5yEXgp
88,Blessings,Big Sean (ft. Drake),2015,1bzM1cd6oqFozdr4wK6HdR
89,Budapest,George Ezra,2015,7q0aQpiLv5tIsupcgQ3Ny4
90,Chandelier,Sia,2015,2s1sdSqGcKxpPr5lCl7jAV
91,Heartbeat Song,Kelly Clarkson,2015,7FC9Lng8iXU081lbigu8m8
92,Don't,Ed Sheeran,2015,6gTJaPuj8DT8RjuDJyBgzP
93,Ghost,Ella Henderson,2015,2FiceoWDJ67rrmb5tGBpgE
94,Here,Alessia Cara,2015,1wYZZtamWTQAoj8B812uKQ
95,Waves,Mr. Probz,2015,5Sf3GyLEAzJXxZ5mbCPXTu
96,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015,7qCAVkHWZkF44OzOUKf8Cr
97,She Knows,Ne-Yo (ft. Juicy J),2015,7seTcUFOhn5caSDbiSfsp0
98,Night Changes,One Direction,2015,5O2P9iiztwhomNh8xkR9lJ
99,Back to Back,Drake,2015,5lFDtgWsjRJu8fPOAyJIAK
100,How Deep is Your Love,Calvin Harris & Disciples,2015,22mek4IiqubGD9ctzxc69s
