"","Song","Artist","Spotify ID","Year"
"1","(Everything I Do) I Do It For You","Bryan Adams","6eBK3edMW7bEzecF1eCezc","1991"
"2","I Wanna Sex You Up","Color Me Badd","07efOAoPwcRdd4W6gi8BRF","1991"
"3","Gonna Make You Sweat (Everybody Dance Now)","C & C Music Factory","2Bdzf6aG9MlmKtAgve3XLJ","1991"
"4","Rush, Rush","Paula Abdul","015qd1I4v00JIoK7yOUgKC","1991"
"5","One More Try","Timmy T","0Lv8gNS3cZPpFF2wVeANcj","1991"
"6","Unbelievable","EMF","2ENmkocNNewTRbuNd6WJpR","1991"
"7","More Than Words","Extreme","1gVgkQFOKa8Wc1HYsJtPdH","1991"
"8","I Like The Way","Hi-Five","0flZtKtmkZMNqFF7V7Yfmu","1991"
"9","The First Time","Surface","4aocMNrPxcJ3OQChTDhVPj","1991"
"10","Baby, Baby","Amy Grant","3IDsegNBHC4pjGCOMTQYlU","1991"
"11","Motownphilly - Original Version","Boyz II Men","4wDSLkTUIpRsn3UbCzW9wV","1991"
"12","Because I Love You (The Postman Song)","Stevie B","7KVrjDjOJiIHwGagvIt3cA","1991"
"13","Someday","Mariah Carey","6TSM5vkz0WzyZsNAKKYDcw","1991"
"14","High Enough","Damn Yankees","5t5rCnsgRBtcKqTB7SbD1Q","1991"
"15","All The Man That I Need","Whitney Houston","3lHJkG9kcsgsfjlEH2tkxi","1991"
"16","Right Here Right Now","Jesus Jones","3fcGGP62sllcNEhuFJVYeC","1991"
"17","I Adore Mi Amor","Color Me Badd","2IcvNE6okbSq18lajo3SYE","1991"
"18","Love Will Never Do (Without You)","Janet Jackson","2fXIpPInm70t1vMRm82Kar","1991"
"19","Good Vibrations","Marky Mark And The Funky Bunch","5hWdgGVcfTeLPAiHM6EZG9","1991"
"20","Justify My Love","Madonna","6BWRvw630R8z2vNMok6quI","1991"
"21","Emotions","Mariah Carey","3bcquuzFb2brIfxlceHwUK","1991"
"22","Joyride","Roxette","2q9xZPaOxWr3n250HpKExl","1991"
"23","Romantic","Karyn White","4WmCoqweV6nXrSogoAo12a","1991"
"24","I Don't Wanna Cry","Mariah Carey","1hFtJ5rV3aAm58ErijHdFO","1991"
"25","You're In Love","Wilson Phillips","5KNbCF0FpIWuPE8x6bhGgw","1991"
"26","Every Heartbeat","Amy Grant","55lX3vm1G35mUpawXHK5Te","1991"
"27","Sensitivity","Ralph Tresvant","3lRgzwd3g1TewI4zjgbh9V","1991"
"28","Touch Me (All Night Long)","Cathy Dennis","6XUR0ocrwFB6mWJOIXxISi","1991"
