"","Song","Artist","Year","Spotify ID"
"1","Breathe","Faith Hill",2000,"3y4LxiYMgDl4RethdzpmNe"
"2","I Wanna Know","Joe",2000,"6ctr1K7KzKErxbfGAynL8A"
"3","Everything You Want","Vertical Horizon",2000,"4cKGldbhGJniI8BrB3K6tb"
"4","Say My Name","Destiny's Child",2000,"2gSyc23Hua25fqSFpgAh6W"
"5","I Knew I Loved You","Savage Garden",2000,"0dQ8sFlmQakH1r2r9IqlYH"
"6","Amazed","Lonestar",2000,"6iNcyWk5iUEY7P9zeTc5hm"
"7","Bent - Remastered Version","Matchbox Twenty",2000,"2ypwlOO0Z3NfammOQgOey3"
"8","Higher","Creed",2000,"1e5grnGb7YIcX9EuJM1mtB"
"9","Try Again","Aaliyah",2000,"2CM7CAL7aJ5WkPU0oGbA96"
"10","Jumpin', Jumpin'","Destiny's Child",2000,"1kbe64LHKlyD0nXUoa4mum"
"11","Thong Song","Sisqo",2000,"4Co9WfdUsB4n3ODOQu05Z5"
"12","Kryptonite","3 Doors Down",2000,"3bbUkaQYGQHkx1TJi7gPSL"
"13","There You Go","P!nk",2000,"6PpR4UJF2oaXQn2ycp7Fl3"
"14","Music","Madonna",2000,"27cXevtj5VflsCUAZwr9eI"
"15","Doesn't Really Matter","Janet Jackson",2000,"1xGFYbstzGNulrTu8EsIBx"
"16","What a Girl Wants","Christina Aguilera",2000,"2iIg5LCp81QGEpnAFDT8V4"
"17","Back At One","Brian McKnight",2000,"0WWKJsCjOAhymkdt8GuKTt"
"18","Bye Bye Bye","*NSYNC",2000,"2yiZyjMEByt9sJBZWnWaDR"
"19","You Sang To Me","Marc Anthony",2000,"2dwhMQsFeHr2S787WxqAqW"
"20","I Need to Know","Marc Anthony",2000,"7ffwRz8lZyDOE4Vj58Lo72"
"21","Get It On Tonite","Montell Jordan",2000,"5iKYZAcAchghry6h8Iu5IL"
"22","Incomplete","Sisqo",2000,"3rrUfq6K1ySOtLamsbLjeZ"
