"","Song","Artist","Year","Spotify ID"
"1","Candle In The Wind","Elton John",1997,"1ZvS1DmW1cF0oknYGCVNK7"
"2","Foolish Games","Jewel",1997,"6Ee5Y6kCdlZfoFhyR8xPVt"
"3","I'll Be Missing You (feat. 112)","Diddy",1997,"3QHONiXGMGU3z68mQInncF"
"4","Un-Break My Heart","Toni Braxton",1997,"1wyNvV8uXr35T8ChEypf8n"
"5","Can't Nobody Hold Me Down (feat. Mase)","Diddy",1997,"1EM23A621Z0QyTlWKu7T1l"
"6","I Believe I Can Fly","R. Kelly",1997,"0AIfr4oi192dWLRJZrRz1O"
"7","Don't Let Go (Love)","En Vogue",1997,"1zJy6jwcyZGZKIIXWloVAc"
"8","Wannabe - Radio Edit","Spice Girls",1997,"1Je1IMUlBXcx1Fz0WE7oPT"
"9","Quit Playing Games (With My Heart)","Backstreet Boys",1997,"1nRwyxNsqCLeA17qR8Nfxx"
"10","MMMBop","Hanson",1997,"0lnxrQAd9ZxbhBBe7d8FO8"
"11","You Make Me Wanna...","Usher",1997,"1Ddf5oGQwHnRoacJIr8M1j"
"12","Bitch","Meredith Brooks",1997,"3i6qNxyVgIdUZTTi5m25EM"
"13","Nobody (feat. Athena Cage) - Remastered Single Version","Keith Sweat",1997,"02UYYPOGSBXxGEMce927XV"
"14","Semi-Charmed Life","Third Eye Blind",1997,"6luSHkUXVmx3DKGN4TuRqF"
"15","Barely Breathing (45 Version)","Duncan Sheik",1997,"7eBky33UQEUKp0sNhcU6rW"
"16","Hard To Say I'm Sorry","Az Yet",1997,"2OWzR8QoH7KaLtiN65v32x"
"17","Mo Money Mo Problems (feat. Mase & Puff Daddy)","The Notorious B.I.G.",1997,"2XncSBceg7BwEpbWVI6FLi"
"18","The Freshmen","The Verve Pipe",1997,"21jEuMn2lf37715rwjow2M"
"19","I Want You","Savage Garden",1997,"1IPG1ph2URqWSDGVPMW2Xg"
"20","No Diggity (Re-Recorded / Remastered)","Blackstreet",1997,"5OBGoVvCDEL63OLl6BlHa3"
"21","I Belong To You (Every Time I See Your Face)","Rome",1997,"1nP6feYWJVpbO41aezFtm2"
"22","Hypnotize","The Notorious B.I.G.",1997,"1oLIBuedMjAbHlO4WTGJi3"
"23","Every Time I Close My Eyes","Babyface",1997,"2DLfVnmabQqX3g3dnfvBe2"
"24","In My Bed","Dru Hill",1997,"2v9Obh8z41hUXDqnfdhVON"
"25","Say You'll Be There - Single Mix","Spice Girls",1997,"1yTQ39my3MoNROlFw3RDNy"
"26","Do You Know (What It Takes)","Robyn",1997,"5Pzv0z9cnnUSaiKMUHtYVh"
"27","4 Seasons Of Loneliness","Boyz II Men",1997,"0RwDPdfoitpL7Uk2pN7l1K"
"28","G.H.E.T.T.O.U.T.","Changing Faces",1997,"1iNufwx3I4wskqlCjIt2Y1"
"29","Honey","Mariah Carey",1997,"33SWpfAzf61K2lk4pwth92"
"30","I Believe In You And Me - Film Version","Whitney Houston",1997,"47ydIiJ8DUEorIzYA7cDya"
"31","Da Dip","Freak Nasty",1997,"0hvittV6XhveSZLTbFFE58"
"32","2 Become 1","Spice Girls",1997,"36AWdhZIGLUTkWpJDhe7va"
"33","All For You - Original","Sister Hazel",1997,"2gw6Rk1Lr3lgN5GUXQBKrF"
"34","Cupid","112",1997,"3kVIFDE3G89I2RPVkiRaRj"
"35","Where Have All the Cowboys Gone?","Paula Cole",1997,"2wnqgQ1gEDeD9QW6i6EqLV"
"36","Sunny Came Home","Shawn Colvin",1997,"4mOxpj82q6n3EO7HBZCelX"
"37","Ooh Aah (Just A Little Bit)","Gina G",1997,"3WEdk4BoEaQCSpqEA3JKXM"
"38","Mouth","Merril Bainbridge",1997,"11Ki2bHWXTEug0DAfKcDDD"
"39","All Cried Out - Behind the scenes Video","Allure",1997,"57vYbt3PuAPJhZ4NSZ1y2t"
"40","I'm Still In Love With You","New Edition",1997,"46LEQkbfPT5x2ZanS3STg5"
"41","Invisible Man","98<U+00BA>",1997,"5EOGZmuU56m3fFhqr4HCLe"
"42","Not Tonight","Lil' Kim",1997,"1vMdYJe6OweG41UjDzEYe8"
"43","Look into My Eyes","Bone Thugs-N-Harmony",1997,"4oQgsytVrNH5dOdiLRVKCx"
"44","Get It Together","702",1997,"4eDCsyIHTSu3cQZ5wDIyP7"
"45","All By Myself","C<U+00E9>line Dion",1997,"4n9e8Nx2FijSDVoumQwXPW"
"46","It's All Coming Back to Me Now","C<U+00E9>line Dion",1997,"62WlC9unRXGdRIULjishS0"
"47","My Love Is The Shhh!","Somethin' For The People",1997,"3TS25nchaYIPb2Y2fw6cbb"
"48","Where Do You Go","No Mercy",1997,"1i7Gv6yN5aCyygveod0QDH"
"49","I Finally Found Someone (Duet with Bryan Adams)","Barbra Streisand",1997,"2WthqeuPLwn0CHwCMrlt6L"
"50","I'll Be","Foxy Brown",1997,"6Ag4SYLUGFdnJrCwUIb4mT"
"51","If It Makes You Happy","Sheryl Crow",1997,"6im5Ts56ewHHJFu8qAE8X3"
"52","Never Make A Promise - Radio Edit","Dru Hill",1997,"5pgZYnIqLXfAuzCajPJafv"
"53","When You Love a Woman","Journey",1997,"6OcupDJfgXbC0JR8iIbBrP"
"54","I Don't Want To - Classic Radio Mix","Toni Braxton",1997,"2TIk4bAao8yA3hQ4G9kcsQ"
"55","Everyday Is A Winding Road","Sheryl Crow",1997,"5597gOdXYiVjyIo9MosRTm"
"56","Cold Rock A Party","MC Lyte",1997,"4LX1UlvBCZhwVMFeM2kSgA"
"57","Pony","Ginuwine",1997,"6mz1fBdKATx6qP4oP1I65G"
"58","Building A Mystery","Sarah McLachlan",1997,"0bs5Asrbhr4KNsm59epkDg"
"59","I Love You Always Forever","Donna Lewis",1997,"1PEqh7awkpuepLBSq8ZwqD"
"60","Your Woman","White Town",1997,"4ACxa9buEUnOdYEoPcnMpi"
"61","C U When U Get There - feat. 40 thevz","Coolio",1997,"5HUOEQrW3ChMxPU7HfzKIv"
"62","Change The World","Eric Clapton",1997,"6BQNJ0JFKh8sWjQLI6Zudi"
"63","Tubthumping","Chumbawamba",1997,"5YScXJKtefsgdskIy60N7A"
"64","Gotham City - Remix","R. Kelly",1997,"6zP4MrlpNtGRKgecJ0B36p"
"65","Last Night","Az Yet",1997,"2mj1Z5bqu0UfW4o4a7UxpW"
"66","Big Daddy","Heavy D",1997,"7GW6sIjwySPDVaLLV3w46J"
"67","Smile","Scarface",1997,"2wxO3ZydJTZRi4Bbc02q7i"
"68","What's On Tonight","Montell Jordan",1997,"1q3C05jegoKRuU1biZtVxv"
"69","Secret Garden","Bruce Springsteen",1997,"2F1OoUXOPTi3SN06Xd7L4G"
"70","Fly Like An Eagle","Seal",1997,"1Y5IKAs7tuIqLHxUVjphup"
"71","No Time","Lil' Kim",1997,"5Pe9H08rkbraYpP3dllcfe"
"72","Naked Eye","Luscious Jackson",1997,"6YtkOhiHmf46w1noltVnF2"
"73","Macarena - Bayside Boys Remix","Los Del Rio",1997,"7obdw7ZGr6l1GqSBkFiY11"
"74","On & On","Erykah Badu",1997,"0tNuJpBgtE65diL6Q8Q7fI"
"75","Don't Wanna Be a Player","Joe",1997,"4JyMoznkRseonxgmyrbkuN"
"76","I Shot The Sheriff","Warren G",1997,"5uC1sC1OmVKfU0m5opiY25"
"77","You Should Be Mine (Don't Waste Your Time)","Brian McKnight",1997,"7HP2lzaK7F55mj7J79bjf4"
"78","Don't Cry For Me Argentina","Madonna",1997,"0bLRXQaWzmSXRXPmP6JnEF"
"79","Someone","SWV",1997,"7fCLfDo3os5Q7UDPQV5fMZ"
"80","Go the Distance","Michael Bolton",1997,"6NEzgZRfoHWIyAaJMxUlXl"
"81","One More Time","Real McCoy",1997,"13vDH7LlES2hajU7yR07Mz"
"82","Butta Love","Next",1997,"6fRLVZ4jKzuqyDPlIdbq9q"
"83","Coco Jamboo - Radio Version","Mr. President",1997,"6rQ9qJPvInEqSzlh89LsPJ"
"84","Twisted","Keith Sweat",1997,"69QIVIjPMnI1ABLBqh9P1b"
"85","Barbie Girl","Aqua",1997,"2RSOzvKUnfDDrb2nQPfpQU"
"86","Free To Decide","The Cranberries",1997,"1Ju1n9V6nkCaT1ZepextXi"
"87","Let Me Clear My Throat - Live","DJ Kool",1997,"59xoannYTvoxAuFYGxFeXc"
"88","I Like It (Like That)","The Blackout Allstars",1997,"36m3hYCp3azszZGE7mtEy8"
"89","You're Makin' Me High","Toni Braxton",1997,"32VygCu5knUb9ZmC5acyKZ"
"90","You Must Love Me","Madonna",1997,"78JPL7uIfs6Imm57r1QETk"
"91","Let It Go - Explicit Soundtrack","Ray J",1997,"6igXETl1zKir06CA7NWYo2"
