"","Song","Artist","Spotify ID","Year"
"1","Physical","Olivia Newton-John","3FuL7jThtUAjneBm6puQNk","1982"
"2","Eye of the Tiger","Survivor","2KH16WveTQWT6KOG9Rg6e2","1982"
"3","Ebony And Ivory","Paul McCartney","1h3bcnnIm72UnemGIfm0iZ","1982"
"4","Centerfold","The J. Geils Band","2KCHzneNOkZjY1dxP1kBY4","1982"
"5","Don't You Want Me - 2002 - Remaster","The Human League","7zhtLp2V3lNXdllknAqbKk","1982"
"6","Jack And Diane","The Hit Crew","7bNBUALnqxUMmS8CPtqoSr","1982"
"7","Hurts So Good","John Mellencamp","3D9aRFIrFGDnBJAmP6ODYW","1982"
"8","Hard To Say I'm Sorry","Chicago","2oBhNxof7wQmdSXg9kmHhs","1982"
"9","Tainted Love","Soft Cell","1tVzVPIcCFz5QUMGLPHJEc","1982"
"10","Chariots Of Fire","Vangelis","3hBgVOpgET0AGtdwc5D8Qy","1982"
"11","Harden My Heart","Quarterflash","05pie8YUidROFkxgfc2rzG","1982"
"12","Rosanna","Toto","2stDDUjxONwjQ9xCAUmqpL","1982"
"13","I Can't Go for That (No Can Do) - Remastered","Daryl Hall & John Oates","0yT3JBkQzJNaS2mCXSPI8Z","1982"
"14","867-5309 / Jenny","Tommy Tutone","00MI0oGDVJYM1qWbyUOIhH","1982"
"15","Key Largo","Bertie Higgins","3aGdlqp8i9lJAWG5nqfhUP","1982"
"16","You Should Hear How She Talks About You","Melissa Manchester","4FDRce5rrUuAbsC5VKwSkz","1982"
"17","Waiting For A Girl Like You (2008 Remastered LP Version)","Foreigner","1UrZVcINJBqjKw2rF8V0nm","1982"
"18","Don't Talk to Strangers","Rick Springfield","0774xlCZ2HBLSSdO5sCZKI","1982"
"19","The Sweetest Thing (I've Ever Known)","Juice Newton","3EFgVWb1TAYP3CF17BB4fU","1982"
"20","Always On My Mind","Willie Nelson","3mmn1eswXMsJec8POXQb7p","1982"
"21","Shake It Up","The Cars","5OWokvF4QOqMDQ8ByQsm6V","1982"
"22","Let It Whip","Dazz Band","3bzwN2zFR5eF9tdNKSnbd4","1982"
"23","We Got The Beat","The Go-Go's","3BI2g3xaStu8g05HwlnvaZ","1982"
"24","The Other Woman","Ray Parker, Jr.","2vF3jM9QmkU1DcUu7vr8tv","1982"
"25","Turn Your Love Around","George Benson","6a899bXlCuViXW2Qs8Rdqo","1982"
"26","Sweet Dreams","Air Supply","0lQBXClJb9Z0gyzFXyohVB","1982"
"27","Only The Lonely - Digitally Remastered 99","The Motels","1BZMMt9H0TheQGWQy44KmO","1982"
"28","Who Can It Be Now?","Men At Work","29r3fDexnrto7WABfpblNH","1982"
"29","Hold Me","Fleetwood Mac","4kRMsLX7bJqjIfK44qJ9h6","1982"
"30","Eye in the Sky","The Alan Parsons Project","39qYD4J4BKvZMQgxfXl5bv","1982"
"31","Let's Groove","Earth, Wind & Fire","4ZXxmmsp1Nd7ejbHs2BNBG","1982"
"32","Open Arms","Journey","1m2INxep6LfNa25OEg5jZl","1982"
"33","Leader Of The Band","Dan Fogelberg","6mxla84PBUMF4rrebq5kP4","1982"
"34","Leather And Lace (with Don Henley)","Stevie Nicks","2npStoMbQxG1LcIeF4PZrj","1982"
"35","Even the Nights Are Better","Air Supply","7lPh1t9NAKuHxiUrrDbHhj","1982"
"36","I've Never Been To Me","Charlene","5D1ke8QuVinJEZJ0AZZtxD","1982"
"37","'65 Love Affair","Paul Davis","5nBp8F6tekSrnFg8G2Pvug","1982"
"38","Heat Of The Moment","Asia","2IcvvNK6aZ1uMwTAz5zXJx","1982"
"39","Take It Easy On Me - 2010 Digital Remaster","Little River Band","5p0Et9J14mQUaqZsNiFlsY","1982"
"40","Pac-Man Fever","Buckner & Garcia","0ezj1tzoEWr8Vp20hozP3h","1982"
"41","That Girl","Stevie Wonder","41R8wVfgdViMGnjId2xDMp","1982"
"42","Private Eyes","Daryl Hall & John Oates","098DRq2EpYSun5kAj7NfWa","1982"
"43","Trouble","Lindsey Buckingham","04ijIUVdT4Qy1SBWFUPROY","1982"
"44","Love's Been A Little Bit Hard On Me","Juice Newton","37zpChlZkoFuScXLoiu0WE","1982"
"45","Young Turks - 2008 Remastered Version","Rod Stewart","5n1amEDwVKucAGMqePk9yN","1982"
"46","Freeze-Frame - 2006 - Remaster","The J. Geils Band","4QiBSGoonOPoCcldn0DYCq","1982"
"47","Keep the Fire Burnin'","REO Speedwagon","07wMk0CZVZRMqhF66r40Z8","1982"
"48","Do You Believe In Love - 2006 Digital Remaster","Huey Lewis & The News","1Flq3q4sDw3EYqk8Z9agIe","1982"
"49","Caught Up In You","38 Special","3jYRpwbctfqB77uU7T7K3U","1982"
"50","Why Do Fools Fall In Love","Diana Ross","3btXFxLJ1e69bgieb33x6g","1982"
"51","Love in the First Degree","Alabama","36TkU8oFYnabnDwP6n4p4R","1982"
"52","Hooked On Classics (Parts 1 & 2)","Royal Philharmonic Orchestra conducted by Louis Clark","0nqQwPNem175DbPnA3yCmJ","1982"
"53","Wasted On The Way","Crosby, Stills & Nash","42TFhl9RznJZi5Xcd2PZDb","1982"
"54","Think I'm In Love","Eddie Money","2RvkPf7MIzhdh347w5sjTJ","1982"
"55","Love Is In Control (Finger On The Trigger)","Donna Summer","6W7mw61eqEnjcjfCp7GbJ5","1982"
"56","Personally","Karla Bonoff","2H9DaLWHXqS7eSmouctbrj","1982"
"57","One Hundred Ways","Quincy Jones","0Ng9wyiQw09waMQxGNeqT9","1982"
"58","Blue Eyes","Elton John","28gxmNEk6FvQsaj7RF6jCM","1982"
"59","Our Lips Are Sealed","The Go-Go's","78wTOLl1ANJtgOkOoNNZ06","1982"
"60","You Could Have Been With Me","Sheena Easton","3jcGgPrbEw2zwKP1eGdCGy","1982"
"61","You Can Do Magic","America","5dXED6MP1v1qghkaniirb1","1982"
"62","Did It In a Minute - Remastered","Daryl Hall & John Oates","6hHf43J8jIXM0q9DOZCYmp","1982"
"63","I Ran","A Flock Of Seagulls","10zlwR7kvVbD9OBkeZWr3L","1982"
"64","Somebody's Baby","Jackson Browne","4SlCb8n5Jw52astU7GWPyV","1982"
"65","Oh No","Commodores","5i4FU9RTVjuVA5v6jFUp61","1982"
"66","Take It Away","Paul McCartney","3Zl0tZ2K1LgnJTyEaI1M6N","1982"
"67","It's Gonna Take a Miracle","Deniece Williams","6AeOM7N0rK3tYOINY2k5qy","1982"
"68","Love Will Turn You Around","Kenny Rogers","0gYuak91s15aIDwxB4pRM2","1982"
"69","Don't Stop Believin'","Journey","77NNZQSqzLNqh2A9JhLRkg","1982"
"70","Comin' In And Out Of Your Life","Barbra Streisand","7h8JzycDOWRSRfurjiCjGA","1982"
"71","Gloria (45 Version)","Laura Branigan","0locmm7BcpfpRGGXR7YsBW","1982"
"72","Empty Garden (Hey Hey Johnny)","Elton John","2pbmRBjiVO0afrPVReZiFb","1982"
"73","Yesterday's Songs","Neil Diamond","0nNj8m5ho1lMQy8y5rmtVW","1982"
"74","Crimson And Clover","Rocker Mike","4pog5t08IoGDPENYsWxz83","1982"
"75","Every Little Thing She Does Is Magic","The Police","5o3uzXMmxdGcPIJAmd14yt","1982"
"76","Here I Am","Air Supply","2bNxKXF71YTA1XssEo3XxH","1982"
"77","I Keep Forgettin' (Every Time You're Near)","Michael McDonald","5GvWrvLIqoHroq7YvO260M","1982"
"78","Get Down On It","Kool & The Gang","4cdOa74e9tBGA6FaVT5mgc","1982"
"79","Any Day Now","Ronnie Milsap","0kapmJEBBZ1jy6LNhqtZj8","1982"
"80","Make A Move On Me","Olivia Newton-John","1HKzbaJa69dMplZfb49TN1","1982"
"81","Take My Heart","Kool & The Gang","0TQJdHkhAU45WV3ZjQ5xbF","1982"
"82","Mirror, Mirror - Radio Mix","Diana Ross","2GEigdxii0cIc0nVRohyRm","1982"
"83","Vacation","The Go-Go's","1vJOi8S2MSq3jZsni1gm4x","1982"
"84","(Oh) Pretty Woman","Van Halen","2tIOS5Rm07vQbsaRjdKvPC","1982"
"85","Should I Do It","The Pointer Sisters","4aloxog6eatkPa34BFmj8G","1982"
"86","Hot In The City - 2001 Digital Remaster","Billy Idol","0MHTpNtTcrdseMWAhh7Sdp","1982"
"87","Kids In America","Kim Wilde","0q4xWbV08szzUpGPhVsrcD","1982"
"88","Man On Your Mind - 2010 Digital Remaster","Little River Band","4LzdgN6x9EHyE8MDjrq4lq","1982"
"89","What's Forever For","Michael Martin Murphey","5j2yIrnbgDW51GM95ZjqDj","1982"
"90","Waiting On A Friend","The Rolling Stones","5AhkKqAdObA7yvXyGd6pQn","1982"
"91","Do I Do - Single Version","Stevie Wonder","5OUfoG39D9qGF6FcvX3Yp7","1982"
"92","Working for the Weekend","Loverboy","0sgDEFq9oeC8ueOK0mR5IA","1982"
"93","Arthur's Theme (Best That You Can Do) - Remastered","Christopher Cross","5fnOrhQ4KgT5irGCjIccGH","1982"
"94","Through The Years","Kenny Rogers","5TSSjhWoGjWJfkfa6lziFJ","1982"
"95","Edge of Seventeen","Stevie Nicks","2qDBbppe8HLPFK7W1vx0WY","1982"
