"","Song","Artist","Spotify ID","Year"
"1","Like A Virgin","Madonna","1iaIEmZHrjGzWUmJ9BaFr6","1985"
"2","Wake Me Up Before You Go-Go","Wham!","5XsMz0YfEaHZE0MTb1aujs","1985"
"3","I Want To Know What Love Is (2008 Remastered Version)","Foreigner","5DeXQ3qADuDmqsosnZAK3o","1985"
"4","I Feel For You","Chaka Khan","26vKwxgkbm2jcKyjvmScPK","1985"
"5","Out of Touch - Remastered","Daryl Hall & John Oates","7o67roCVsFiCt7Cf0ZLOJq","1985"
"6","Everybody Wants To Rule The World","Tears For Fears","76798uYU1DhBRVWxSo1bhY","1985"
"7","Money For Nothing","Dire Straits","4yqtwO7MQIIXqoiRBPHAgR","1985"
"8","Crazy For You","Madonna","6B4oVElDIKRNcNUary0WG7","1985"
"9","Take On Me","a-ha","1nbMkRhfldXcmCyB83x8lK","1985"
"10","Everytime You Go Away","Paul Young","0IpfTMKENGLJcULkMnU8Rb","1985"
"11","Easy Lover","Philip Bailey","6OqvA8eljqHDFTso8szjCe","1985"
"12","Can't Fight This Feeling","REO Speedwagon","5WwqdeavrQrbeAMDxGawse","1985"
"13","We Built This City","Starship","0FWRA2sewbJ491kmjRRFw6","1985"
"14","The Power Of Love - 2006 Digital Remaster","Huey Lewis & The News","2olVm1lHicpveMAo4AUDRB","1985"
"15","Don't You (Forget About Me)","Simple Minds","0OzwLNVnzfG43IyQB2RMPH","1985"
"16","Cherish - Single Version","Kool & The Gang","41leurKH9keV9KO7bk83uz","1985"
"17","St. Elmos Fire [Man In Motion]","John Parr","1A2PWRltFrX8iB8IP3CUgo","1985"
"18","We Are The World","The Hit Crew","5q1cXPh7A9ir78qeLss5XL","1985"
"19","Shout","Tears For Fears","0wWNbkx0BR4CBJrTjG0sJ4","1985"
"20","Part-Time Lover","Stevie Wonder","3SP1zxzi8drzJXahGGgdIf","1985"
"21","Saving All My Love for You","Whitney Houston","1lx8ddGT5wCD6W2xmLeRKG","1985"
"22","Heaven","Bryan Adams","0GIOPJKTSxagq3rq07Ch3U","1985"
"23","Everything She Wants","Wham!","3g3PQ6TTd6Dnb4zt2d8B9S","1985"
"24","Cool It Now - Single Version","New Edition","6uPnJMpmcYw9f8oyQZP4XD","1985"
"25","Miami Vice Theme - From ""Miami Vice"" Soundtrack","Jan Hammer","2lNm3PtNIj5DDZa96edje6","1985"
"26","Loverboy","Billy Ocean","0HlKZzvWf9slQlXoNf6S3B","1985"
"27","Lovergirl","Teena Marie","13xKh7WqwxzEFYhYCJJwHg","1985"
"28","Oh Sheila","Ready For The World","5PM96PMKMfD1lLX2lryUsG","1985"
"29","Rhythm Of The Night","DeBarge","12N4F6pvIOmMxS7B8KM41n","1985"
"30","One More Night","Phil Collins","5IlaV4UNciCTDGxWVPfMKL","1985"
"31","Sea Of Love - 2006 Remastered Version","The Honeydrippers","0VMGij4wSGBM5pSTcqjxeD","1985"
"32","A View to a Kill","Duran Duran","0iYCroZis7UePauAkQRgau","1985"
"33","The Wild Boys","Duran Duran","07hTrg8boummuVMUtVRRR0","1985"
"34","You're The Inspiration","Chicago","2Z7bUp8cJKTM9eoj7hvWXG","1985"
"35","Neutron Dance","The Pointer Sisters","41th2RVnBYzhP4EQse7jAC","1985"
"36","We Belong","Pat Benatar","665Jxlgi1HamPKbW1vwzx4","1985"
"37","Nightshift","Commodores","23IK8TF2MSiLnuEjaYPfVV","1985"
"38","Things Can Only Get Better","Howard Jones","3lCMAtfFDcJj9nzZB3ayeB","1985"
"39","Freeway of Love","Aretha Franklin","6fJY8FtkQGKgoAF0XSXhP0","1985"
"40","Never Surrender","Corey Hart","0T6RXLRYzXi3nXq7ZdU74y","1985"
"41","Sussudio","Phil Collins","07zkNvtcmPOFlMOXbma13k","1985"
"42","Strut","Sheena Easton","2OyhKMrcQ38esiohOixowR","1985"
"43","You Give Good Love","Whitney Houston","0t6DdFmFQhQYWhmfa5FJer","1985"
"44","The Search Is Over","Survivor","10b7RJ4vWHQFxpTikfsf6A","1985"
"45","Missing You","Diana Ross","5KMvHV04U7JnyS2KOnxvSv","1985"
"46","Separate Lives (Love Theme From White Nights)","Phil Collins","40JVyQzjWxUzymi6pcjdWn","1985"
"47","Raspberry Beret","Prince","6lOPbNUxDvkUkWpJLebgs7","1985"
"48","Suddenly","Billy Ocean","2Vb1OqfEfmpJyCL6iyMZNO","1985"
"49","The Boys Of Summer","Don Henley","4TIZrHkVMOnEb0L3Vj8zUc","1985"
"50","One Night In Bangkok - Single Version","Björn Ulvaeus","23vGFULTo0MgSlzEs4Fhm2","1985"
"51","If You Love Somebody Set Them Free","Sting","2dRBx1qseaMrnbkfCjjVJK","1985"
"52","Obsession","Animotion","2LfPYFstoasEmLDNK9geH0","1985"
"53","We Don't Need Another Hero (Thunderdome)","Tina Turner","7Mz9qPB9hp1rXBgXvrVAST","1985"
"54","Material Girl","Madonna","22sLuJYcvZOSoLLRYev1s5","1985"
"55","Better Be Good To Me","Tina Turner","6YytY6PPvAEp1MluJ49nP0","1985"
"56","Head Over Heels","Tears For Fears","0fFCTYF5QEU3K1R4HKfmiE","1985"
"57","Axel F","Harold Faltermeyer","090rX2ouW974AT3dFCxJpc","1985"
"58","Smooth Operator - Remastered","Sade","4rOuAGIlNReuhNunv0eZUp","1985"
"59","In My House","Mary Jane Girls","3i749PIamGcEauiV4s1ZN4","1985"
"60","Don't Lose My Number","Phil Collins","0fbOMLSpsvXvBkJBircrcz","1985"
"61","All Through the Night","Cyndi Lauper","4aFMgZl1v5Kt9cEsm5arpZ","1985"
"62","Run To You","Bryan Adams","5BugaNbZM9Lc7qUtd5FDir","1985"
"63","Glory Days","Bruce Springsteen","2fnuoul0x4g8ZYkAYNgAgZ","1985"
"64","Voices Carry","'Til Tuesday","5vuWELDzHEtD5K7yADIBpz","1985"
"65","Misled","Kool & The Gang","1TTRvU5OO7CUZQlj3ujFce","1985"
"66","Would I Lie to You? - Remastered Version","Eurythmics","1lJZSsMoWEbrgaY6CxPMf8","1985"
"67","Be Near Me","ABC","1l3fRzoUngJr6hSMIT1Hfq","1985"
"68","No More Lonely Nights","Paul McCartney","4ybDW0xfRBCPwsjwFOUzZW","1985"
"69","I Can't Hold Back","Survivor","6BtlcfCWVBUEZwFaNJ0QMO","1985"
"70","Summer Of '69","Bryan Adams","5EU1mh0C4Km3k6vGvIDN2J","1985"
"71","Walking On Sunshine","Katrina & The Waves","7CgoQHvMEgePFAzSwWSPFh","1985"
"72","Freedom","Wham!","5BqUktDta4CQRT7fHK6c4x","1985"
"73","Too Late For Goodbyes","Julian Lennon","4FwiCTQiiopyzLJ14cGCsW","1985"
"74","Valotte","Julian Lennon","3r7wIvLStJVlbTZsibIL2t","1985"
"75","Some Like It Hot - 2005 Remastered Version","The Power Station","5fSVerSB7TpXkUF9BxTUcP","1985"
"76","Solid","Ashford & Simpson","4sr4NdrPfds9Qfors9UkiO","1985"
"77","Angel","Madonna","7ov1nZ2QZc3LIuCXXERZP0","1985"
"78","I'm On Fire","Bruce Springsteen","4bSWx86yHmy6OOMsQPU60F","1985"
"79","Method of Modern Love - Remastered","Daryl Hall & John Oates","6hwnwvDfsowuiCVGGA6twB","1985"
"80","Lay Your Hands On Me","Thompson Twins","2bfXIY8f38PYFStQRDVEPS","1985"
"81","Who's Holding Donna Now?","DeBarge","7kmNkO4dyrGHHlAgSmgcnJ","1985"
"82","Lonely Ol' Night","John Mellencamp","6N79OtOCGIEthvMy2AridT","1985"
"83","What About Love?","Heart","7JmsQwxDlC89imxewJcnHO","1985"
"84","California Girls","David Lee Roth","4H3vuLX59XPqdtTpIesGyS","1985"
"85","Fresh","Kool & The Gang","16HsUjdzwuZesFyO7bTi6t","1985"
"86","Do What You Do","Jermaine Jackson","6FSTE58Y4IDxTj8vbfHQc6","1985"
"87","Born in the U.S.A.","Bruce Springsteen","57Uplvs802NVw2msQIMS4P","1985"
"88","Private Dancer - Single Edit","Tina Turner","3KIhwcH2ZK8EFvlP8i5G0Y","1985"
"89","Who's Zoomin' Who?","Aretha Franklin","07hsw9kwHgKs7plrUiSiqe","1985"
"90","Fortress Around Your Heart","Sting","6oPtHUtXhUMrMHjd05aBfC","1985"
"91","Penny Lover","Lionel Richie","1YMQTPPik3ixVxNZ32yZGO","1985"
"92","All She Wants To Do Is Dance","Don Henley","4PTvAfCxtWIZIJoGg8t3sn","1985"
"93","Dress You Up","Madonna","4B2r9HXgUqRcPwUG3BYPlc","1985"
"94","Sentimental Street","Night Ranger","00bFaR6IDOyGSuRDpmFotJ","1985"
"95","Sugar Walls","Sheena Easton","1noELWXA5Cv0Ci4j8crir6","1985"
