"","Song","Artist","Spotify ID","Year"
"70","All This Time","Tiffany","6kaH3id4glNuxGXP0iQQdR","1989"
"71","After All (Love Theme From Chances Are)","Cher","2rwzSujXzpdNH9Nq9cFSg8","1989"
"72","Roni","Bobby Brown","1d4sJjJMzg4U3UmdPAHooT","1989"
"73","Love In An Elevator","Aerosmith","1nZ2TI2hNPGDYyesyaaASn","1989"
"74","Lay Your Hands On Me","Bon Jovi","1P1QNBZVSPXXJok2vPVZof","1989"
"75","The Promise","When In Rome","48p5E25cFPanxuwCTmTpuL","1989"
"76","What I Am","Edie Brickell & New Bohemians","6hHUiDe461VUoTHnsplRYs","1989"
"77","Paradise City","Guns N' Roses","5Fz2wrKAjhKpWeTwvE1Ct3","1989"
"78","I Wanna Have Some Fun","Samantha Fox","2MLtib2ulZ6eeu4zTToYr7","1989"
"79","She Wants to Dance with Me","Rick Astley","40RrsR16maAWMtBX6iav7d","1989"
"80","Dreamin'","Vanessa Williams","0l7wDoxzSKOzimi6tTWey7","1989"
"81","It's No Crime","Babyface","2zFqQ0xLiMHOVUuV5zw9Gq","1989"
"82","Poison","Alice Cooper","1iQpStZpzBb5TOuTDKJKdj","1989"
"83","This Time I Know It's For Real","Donna Summer","4w5ofkn0lFAcF4xngn0LYR","1989"
"84","Smooth Criminal - Radio Edit","Michael Jackson","2GVYPY8Sv7U7cJkDFu3Ft1","1989"
"85","Rock Wit'cha","Bobby Brown","1i1Tn4xFTkUU0XWoV2lajN","1989"
"86","What You Don't Know - Radio Mix","Exposé","5nJXgY6kDVt7PGt1SmjLVi","1989"
"87","Surrender To Me - 2000 Digital Remaster","Heart","0Mqlf5OTGoeUgoeqL1Mzew","1989"
"88","The End Of The Innocence","Don Henley","3NWcFiL6oCEagrFiTdDr1m","1989"
"89","Keep On Movin' - feat. Caron Wheeler","Soul II Soul","4NMtuxWfOPR6yNjAX0AWrR","1989"
