"","Song","Artist","Year","Spotify ID"
"1","How You Remind Me","Nickelback",2002,"56NRHWyi7rKiiUgh72u0oO"
"2","Foolish - Mainstream Edit","Ashanti",2002,"3NT4deyIUzzqL63rNHgYNM"
"3","Hot In Herre","Nelly",2002,"51FEdPwVSWCFspiWtt8gjJ"
"4","Wherever You Will Go","The Calling",2002,"37qI0mchgzUSeUhPiwUWPY"
"5","A Thousand Miles","Vanessa Carlton",2002,"2JFEZO2ZxzffY0wd9MYEu3"
"6","In The End","Linkin Park",2002,"60a0Rd6pjrkxjPbaKzXjfq"
"7","U Got It Bad","Usher",2002,"7J41dYQolQJEtj3UmKLu5r"
"8","Blurry","Puddle Of Mudd",2002,"45E1IBsdnZ4LqIDRORyjti"
"9","Complicated","Avril Lavigne",2002,"5o4cq6gKFAbR1V7wITwB7n"
"10","The Middle","Jimmy Eat World",2002,"5kD9T7GForh8LnRz5ClbL8"
"11","U Don't Have to Call","Usher",2002,"5PCJldueshnwqQVjS16543"
"12","Family Affair","Mary J. Blige",2002,"5q4I6I0ytvTKuYe1Fquxnx"
"13","My Sacrifice","Creed",2002,"0I4j0zbGVEHp1aUNeAacrO"
"14","Without Me","Eminem",2002,"5pBvNeOAJ54zgd5lEOmM3b"
"15","Hero","Enrique Iglesias",2002,"2wvNUDkOu4Y5Ywi1Ju9lct"
"16","All You Wanted","Michelle Branch",2002,"0kr6d8wHDQPlzuET33NVn6"
"17","Get the Party Started","P!nk",2002,"1lkC6oC7SbwgnEBEC05r64"
"18","Wasting My Time","Default",2002,"5dpAN1mjFPL38kh9kWsCiw"
"19","One Last Breath","Creed",2002,"39xlKIt3AQlvCwLWhSurQB"
"20","Whenever, Wherever","Shakira",2002,"0RJWhctsc1G1Hg3Ov2th7x"
"21","Soak Up The Sun","Sheryl Crow",2002,"7F1BUnd7mjogQZHZ2FcME1"
"22","Don't Let Me Get Me - Radio Edit","P!nk",2002,"0aWVhnjyPm8xxBqNBCsHHw"
"23","A Moment Like This","Kelly Clarkson",2002,"6Far9mixuLOSu0Y5ectjfA"
"24","Happy","Ashanti",2002,"2Nu0P68oruhup6YcAi8On3"
"25","No Such Thing - Demo Version","John Mayer",2002,"3ttEQBpVcb0Im3RovYPl3K"
"26","Just Like a Pill","P!nk",2002,"7uz2Rk1sow6wLj3PCXfDeb"
"27","Can't Get You Out Of My Head","Kylie Minogue",2002,"7MoKXLQeI0Bh2QodCjDO4K"
"28","Superman (It's Not Easy)","Five For Fighting",2002,"5RbjZdW8vLZQJpRAZwNIdX"
"29","Cleanin' Out My Closet","Eminem",2002,"7wFmQutRb7XUDo2mlftXa2"
"30","Halfcrazy","Smooth Jazz All Stars",2002,"6BnLVX9hRn1ToxyQ2RwGXv"
"31","Lights, Camera, Action!","Mr. Cheeks",2002,"0MVMYjIk1N3nO8omHZRaOd"
"32","Still Fly","Big Tymers",2002,"3R9qiUjvIuLYm1KWzh6E0L"
"33","A Woman's Worth","Alicia Keys",2002,"1NRorokmYEtr1koWybvaE4"
"34","7 Days","Craig David",2002,"6dN429DyfNQkDQJwBUFWrJ"
"35","Work It","Missy Elliott",2002,"3jagJCUbdqhDSPuxP8cAqF"
"36","Escape","Enrique Iglesias",2002,"0Y33wASIhTQpT54DIs5sF9"
"37","More Than a Woman","Aaliyah",2002,"1v3pDQtNGDVTwFQ75IVKC2"
"38","Hella Good","No Doubt",2002,"64NrL8pIXLdpFyHQ92DX5l"
"39","I Love You","Faith Evans",2002,"6gsmFgUiSTuinJlScwFODv"
"40","Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield",2002,"267sk93o3IxlZzYnfTfKuZ"
"41","Lose Yourself - Soundtrack Version","Eminem",2002,"0j5X6DrzkgY64Mm8NQp5mi"
"42","Butterflies","Michael Jackson",2002,"5ADSOampCIetIqVvg4sawk"
"43","What About Us?","Brandy",2002,"5L10F9RikmCvAVOsNmFslE"
"44","Underneath Your Clothes","Shakira",2002,"6biR1gMwcN71SDt3Eh4eEu"
"45","Differences","Ginuwine",2002,"4qZ73jhiSZIfH9QfAZWIwo"
"46","Luv U Better","LL Cool J",2002,"4Wy0raF0R98yNz18GR9ho0"
"47","Gimme The Light","Sean Paul",2002,"7FnfygSSspSVpitq0ZctYQ"
"48","Gone","*NSYNC",2002,"1C0wnugsGFwt2RRkitpUmK"
"49","Rollout (My Business)","Ludacris",2002,"5xkaSuEOfZvHIEI6uwtS1T"
"50","Here Is Gone","The Goo Goo Dolls",2002,"7p1PhtGLjq0ISncRXBHqXY"
"51","Family Affair","Mary J. Blige",2002,"5q4I6I0ytvTKuYe1Fquxnx"
"52","Days Go By - Radio Edit","Dirty Vegas",2002,"3U6kC4Ko4VT1ZvEKjEZsC1"
"53","Baby","Ashanti",2002,"3iJRy19QMmYIr3mtGY7Hml"
"54","The Good Stuff","Kenny Chesney",2002,"1EKiQ1InQXuodp4M1idrng"
"55","Good Morning Beautiful","Steve Holy",2002,"6XHSxHlbphfjn0Xjrv3E0l"
"56","Rock the Boat","Aaliyah",2002,"6qKfN4X9ShGopT3EbaiNnz"
"57","Drive (For Daddy Gene)","Alan Jackson",2002,"32qiMwmCESGPYtjfnIkIqC"
"58","Standing Still","Jewel",2002,"1V1Zit6cgKzpewBwMjm3zB"
"59","Full Moon","Brandy",2002,"6QxuZMdsElzjC1NnXUfl8c"
"60","Uh Huh","B2K",2002,"4bJ02dcoGEkcSJOhNbx0tp"
"61","A New Day Has Come - Radio Remix","C<U+00E9>line Dion",2002,"6JjYbaUFBYW7bXfMYXQeUo"
"62","Turn Off The Light","Nelly Furtado",2002,"4pUqtEXcZiQxpP5FPciLmb"
"63","Living And Living Well","George Strait",2002,"2221t83il80TwtMqcBEddH"
"64","My List","Toby Keith",2002,"6mMbySRoIhJ5rsYSWSO2AS"
"65","Hands Clean","Alanis Morissette",2002,"150QiRJd7uPtylrfFHGyCO"
"66","Sk8er Boi","Avril Lavigne",2002,"3vgKD50C8hWlQq8HX0Jf8k"
