Rank,Song,Artist,Year,Spotify ID
1,Love Yourself,Justin Bieber,2016,50kpGaPAhYJ3sGmk6vplg0
2,Sorry,Justin Bieber,2016,09CtPGIpYB4BrO8qb1RGsF
3,One Dance,Drake (ft. WizKid & Kyla),2016,12VWzyPDBCc8fqeWCAfNwR
4,Work,Rihanna (ft. Drake),2016,32lmL4vQAAotg6MrJnhlQZ
5,Stressed Out,Twenty One Pilots,2016,3CRDbSIZ4r5MsZ0YwxuEkn
6,Panda,Desiigner,2016,275a9yzwGB6ncAW4SxY7q3
7,Hello,Adele,2016,0ENSn4fwAbCGeFGVUbXEU3
8,Don't Let Me Down,The Chainsmokers (ft. Daya),2016,1i1fxkWeaMmKEB4T7zqbzK
9,Can't Stop the Feeling!,Justin Timberlake,2016,1WkMMavIMc4JZ8cfMmxHkI
10,Closer,The Chainsmokers (ft. Halsey),2016,7BKLCZ1jbUBVqRi2FVlTVw
11,Cheap Thrills,Sia (ft. Sean Paul),2016,3S4px9f4lceWdKf0gWciFu
12,7 Years,Lukas Graham,2016,5kqIPrATaCc2LqxVWzQGbk
13,Needed Me,Rihanna,2016,1Tt4sE4pXi57mTD1GCzsqm
14,My House,Flo Rida,2016,6Knv6wdA0luoMUuuoYi2i1
15,I Took a Pill in Ibiza,Mike Posner,2016,1MtUq6Wp1eQ8PC6BbPCj8P
16,Work from Home,Fifth Harmony (ft. Ty Dolla $ign),2016,4tCtwWceOPWzenK2HAIJSb
17,This is What You Came For,Calvin Harris (ft. Rihanna),2016,0azC730Exh71aQlOt9Zj3y
18,Cake by the Ocean,DNCE,2016,76hfruVvmfQbw0eYn1nmeC
19,"Me, Myself & I",G-Eazy x Bebe Rexha,2016,40YcuQysJ0KlGQTeGUosTC
20,Ride,Twenty One Pilots,2016,2Z8WuEywRWYTKe1NybPQEW
21,Heathens,Twenty One Pilots,2016,6i0V12jOa3mr6uu4WYhUBr
22,Pillowtalk,Zayn,2016,0PDUDa38GO8lMxLCRc4lL1
23,Stitches,Shawn Mendes,2016,5jsw9uXEGuKyJzs0boZ1bT
24,Hotline Bling,Drake,2016,0wwPcA6wtMf6HUMpIRdeP7
25,Cold Water,Major Lazer (ft. Justin Beiber & MO),2016,7zsXy7vlHdItvUSH8EwQss
26,Send My Love (To Your New Lover),Adele,2016,3LGxef3inmn5jMLGDz9lqw
27,Roses,The Chainsmokers (ft. Rozes),2016,3vv9phIu6Y1vX3jcqaGz5Z
28,Treat You Better,Shawn Mendes,2016,3QGsuHI8jO1Rx4JWLUh9jd
29,Too Good,Drake (ft. Rihanna),2016,7fJtPlEZKxu6gvkfBFc5tW
30,Low Life,Future (ft. the Weeknd),2016,7EiZI6JVHllARrX9PUvAdX
31,What Do You Mean?,Justin Bieber,2016,4B0JvthVoAAuygILe3n4Bs
32,The Hills,The Weeknd,2016,7fBv7CLKzipRk6EC6TWHOB
33,Just Like Fire,P!nk,2016,7K5dzhGda2vRTaAWYI3hrb
34,Broccoli,D.R.A.M. (ft. Lil Yachty),2016,0qy5D3OJre7SPJNMOL9I71
35,Don't,Bryson Tiller,2016,3pXF1nA74528Edde4of9CC
36,Dangerous Woman,Ariana Grande,2016,7l94dyN2hX9c6wWcZQuOGJ
37,Jumpman,Drake & Future,2016,27GmP9AWRs744SzKcpJsTZ
38,I Hate U I Love U,gnash (ft. Olivia O'Brien),2016,7vRriwrloYVaoAe3a9wJHe
39,Here,Alessia Cara,2016,1wYZZtamWTQAoj8B812uKQ
40,Same Old Love,Selena Gomez,2016,1BZG99C7Co1r6QUC3zaS59
41,Controlla,Drake,2016,4CpKEkdGbOJV51cSvx7SoG
42,Like I'm Gonna Lose You,Meghan Trainer (ft. John Legend),2016,2YlZnw2ikdb837oKMKjBkW
43,One Call Away,Charlie Puth,2016,7soJgKhQTO8hLP2JPRkL5O
44,Let It Go,James Bay,2016,13HVjjWUZFaWilh2QUJKsP
45,No,Meghan Trainer,2016,3ge54HUrk1ht3EX5SMhIzZ
46,Never Forget You,Zara Larsson & MNEK,2016,6hmhG1b4LEyNuashVvuIAo
47,Let Me Love You,DJ Snake (ft. Justin Bieber),2016,0lYBSQXN6rCTvUZvg9S0lU
48,Don't Mind,Kent Jones,2016,27PmvZoffODNFW2p7ehZTQ
49,H.O.L.Y.,Florida Georgia Line,2016,0BCy325UZyR9z0t0uxwn2N
50,We Don't Talk Anymore,Charlie Puth (ft. Selena Gomez),2016,37FXw5QGFN7uwwsLy8uAc0
51,Into You,Ariana Grande,2016,2meEiZKWkiN28gITzFwQo5
52,Gold,Kiiara,2016,6ZSO7kPn8IMJFymyticbJO
53,Exchange,Bryson Tiller,2016,43PuMrRfbyyuz4QpZ3oAwN
54,679,Fetty Wap (ft. Remy Boyz),2016,5NQbUaeTEOGdD6hHcre0dZ
55,OUI,Jeremih,2016,0PJIbOdMs3bd5AT8liULMQ
56,Hands to Myself,Selena Gomez,2016,1LoriJC05IrHIDwj3q0KC1
57,2 Phones,Kevin Gates,2016,0wdKiSBUT7aZkXUIdJWcwC
58,Starboy,The Weeknd (ft. Daft Punk),2016,7MXVkk9YMctZqd1Srtv4MB
59,For Free,DJ Khaled (ft. Drake),2016,4JDZl9nKIAhAhDjw753u4X
60,Never Be Like You,Flume (ft. Kai),2016,6y0igZArWVi6Iz0rj35c1Y
61,In the Night,The Weeknd,2016,25KybV9BOUlvcnv7nN3Pyo
62,Me Too,Meghan Trainor,2016,1m4dXbkplvaOO4Wbdjbwxs
63,Ex's & Oh's,Elle King,2016,70eDxAyAraNTiD6lx2ZEnH
64,Die A Happy Man,Thomas Rhett,2016,5kNe7PE09d6Kvw5pAsx23n
65,White Iverson,Post Malone,2016,6eT7xZZlB2mwyzJ2sUKG6w
66,Close,Nick Jonas (ft. Love Lo),2016,3lSDIJ2abCrOdDJ6pshUap
67,Unsteady,X Ambassadors,2016,7lGKEWMXVWWTt3X71Bv44I
68,Sucker For Pain,"Lil Wayne, Wi",2016,4dASQiO1Eoo3RJvt74FtXB
69,Down in the DM,Yo Gotti (ft. Nicki Minaj),2016,1LxKKYsJNPeBdOwdudsJzv
70,LUV,Tory Lanez,2016,16Ah4QqH4mgYVXqfC4mdSd
71,Sorry,Beyonce,2016,Not On Spotify
72,Can't Feel My Face,The Weeknd,2016,22VdIZQfgXJea34mQxlt81
73,Hymn For The Weekend,Coldplay,2016,6s3GEN8wK0OMzzzZbXj0fu
74,Say It,Tory Lanez,2016,2Gyc6e2cLxA5hoX1NOvYnU
75,Antidote,Travis Scott,2016,1wHZx0LgzFHyeIZkUydNXq
76,Lost Boy,Ruth B,2016,4h0zU3O9R5xzuTmNO7dNDU
77,Side to Side,Ariana Grande (ft. Nicki Minaj),2016,1pKeFVVUOPjFsOABub0OaV
78,"Sit Still, Look Pretty",Daya,2016,0EGuSSpuu9wmHCtvb4PdLO
79,Wildest Dreams,Taylor Swift,2016,Not on Spotify
80,Middle,DJ Snake (ft. Bipolar Sunshine),2016,0g5EKLgdKvNlln7TNqBByK
81,On My Mind,Ellie Goulding,2016,4nS1sut0R2mgmFitKIShVe
82,Pop Style,Drake (ft. The Throne),2016,23NWj2izXAJ4yL6Nah73wf
83,When We Were Young,Adele,2016,7IWkJwX9C0J7tHurTD7ViL
84,Hide Away,Daya,2016,0uyZ5ckiIUbFZd3P6RWmrj
85,Lean On,Major Lazer & DJ Snake (ft. MO),2016,5wldXGLEOoRXxMWJ8rIUWE
86,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2016,7M9t7BCy51ITF8IMyiemzk
87,All the Way Up,"Fat Joe, Rem",2016,61QSuw5VlC0LTS8WMO356g
88,Watch Me,Silento,2016,5RIVoVdkDLEygELLCniZFr
89,Back to Sleep,Chris Brown,2016,6dlpABcXrQKRU9G00i6Zba
90,No Limit,Usher (ft. Young Thug),2016,4DRDMf5vftalExCy0fHbHl
91,Cut It,O.T. Genasis (ft. Young Dolph),2016,376KnY4TrgBITxjlnbnmIy
92,Really Really,Kevin Gates,2016,10I3CmmwT0BkOVhduDy53o
93,All In My Head (Flex),Fifth Harmony (ft. Fetty Wap),2016,7nD9nN3jord9wWcfW3Gkcm
94,Starving,Hailee Steinfield & Grey (ft. Zedd),2016,4Ce37cRWvM1vIGGynKcs22
95,Adventure of a Lifetime,Coldplay,2016,69uxyAqqPIsUyTO8txoP2M
96,Humble and Kind,Tim McGraw,2016,3Rkk851fZjIsglV2jbBPDd
97,Wicked,Future ,2016,6BbINUfGabVyiNFJpQXn3x
98,Tiimmy Turner,Desiigner,2016,3NJG6vMH1ZsectZkocMEm0
99,See You Again,Wiz Khalifa (ft. Charlie Puth),2016,7wqSzGeodspE3V6RBD5W8L
100,Perfect,One Direction,2016,3NLnwwAQbbFKcEcV8hDItk
