Rank,Song,Artist,Year,Spotify ID
69,THE TIME OF MY LIFE,David Cook,2008,6avyV3xlz2UFeiAUZ0SqyT
70,LOLLI LOLLI (POP THAT BODY),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008,4xWMTkwknjh8FzxNrkwLl6
71,CYCLONE,Baby Bash Featuring T-Pain,2008,27mhCGdAA8gM7b33KIiB3k
72,LOVE LIKE THIS,Natasha Bedingfield Featuring Sean Kingston,2008,49ppqF73rOz5Nyt1paRxIF
73,BURNIN' UP,Jonas Brothers,2008,72jGj8k9C7DIQesDYenUT3
74,LOVE LOCKDOWN,Kanye West,2008,1kxeWHF9PrCVZHvVskv8lg
75,I LUV YOUR GIRL,The-Dream,2008,3wkNK8tJZ2stygNJm8RCRD
76,CRUSH,David Archuleta,2008,4wCD0qOFNRu1Q6O3N6ycm4
77,HYPNOTIZED,Plies Featuring Akon,2008,3LN41NUdHkyNqQhi9gExMm
78,BIG GIRLS DON'T CRY,Fergie,2008,3Q4WeJmzxuDpzMu9QjQqbM
79,GOOD LIFE,Kanye West Featuring T-Pain,2008,1fLdeDTrJWNkwOeFyAVLvF
80,WOMANIZER,Britney Spears,2008,4fixebDZAVToLbUCuEloa2
81,LOVE STORY,Taylor Swift,2008,Not On Spotify
82,JUST FINE,Mary J. Blige,2008,33vzOPcd9FRirYGlCu32x4
83,PIECE OF ME,Britney Spears,2008,2EvwLVrnYbCZEG6Kx5DCRy
84,THE BOSS,Rick Ross Featuring T-Pain,2008,3n5qF6aprwEIjHWuH5jECM
85,ALL SUMMER LONG,Kid Rock,2008,5rX6C5QVvvZB7XckETNych
86,CAN'T HELP BUT WAIT,Trey Songz,2008,5k3VjTwIsOjQ2woGz3Yx71
87,IN LOVE WITH A GIRL,Gavin DeGraw,2008,3zcmWxxUA7Em7X3IBqZGUo
88,MY LIFE,The Game Featuring Lil Wayne,2008,4GXH9A6fzuE0MNtqtzjhLg
89,I REMEMBER,Keyshia Cole,2008,1dObJGQUgJ7tWxJ0byON6W
90,FLASHING LIGHTS,Kanye West Featuring Dwele,2008,0ua0Go4NN4Td7l0Zre6Ce3
91,MRS. OFFICER,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,2008,0EHR9OObFtjlhQB8wSt1m7
92,7 THINGS,Miley Cyrus,2008,5ecZWU5uQOiCVSnPxBZNmT
93,YOU'RE GONNA MISS THIS,Trace Adkins,2008,68Q1r5zDnnYaHkh80yal4A
94,LOVE REMAINS THE SAME,Gavin Rossdale,2008,4dOXc4Suk5eig0jiCqCN5Y
95,FEELS LIKE TONIGHT,Daughtry,2008,2tVCFmn2zKg2wGXS1TCIIA
96,THE WAY I ARE,Timbaland Featuring Keri Hilson,2008,2bLqfJjuC5syrsgDsZfGmn
97,ADDICTED,Saving Abel,2008,3pxCXv0NACYfYnLjFcQW5D
98,INTO THE NIGHT,Santana Featuring Chad Kroeger,2008,5Hv1QAbRWrUSUHaT0CmnMS
99,HEAVEN SENT,Keyshia Cole,2008,2E90KUsor4U2abOJGFKtfx
100,SHE GOT IT,2 Pistols Featuring T-Pain & Tay Dizm,2008,11WuptzKtcVfPMYaf5aook
