Rank,Song,Artist,Year,Spotify ID
1,TIK TOK,Ke$ha,2010,5OMwQFBcte0aWFJFqrr5oj
2,NEED YOU NOW,Lady Antebellum,2010,11EX5yhxr9Ihl3IN1asrfK
3,"HEY, SOUL SISTER",Train,2010,0KpfYajJVVGgQ32Dby7e9i
4,CALIFORNIA GURLS,Katy Perry Featuring Snoop Dogg,2010,6tS3XVuOyu10897O3ae7bi
5,OMG,Usher Featuring will.i.am,2010,3r04p85xiJh9Wqk59YDYdc
6,AIRPLANES,B.o.B Featuring Hayley Williams,2010,6lV2MSQmRIkycDScNtrBXO
7,LOVE THE WAY YOU LIE,Eminem Featuring Rihanna,2010,15JINEqzVMv3SvJTAXAKED
8,BAD ROMANCE,Lady Gaga,2010,5P5cGNzqh6A353N3ShDK6Y
9,DYNAMITE,Taio Cruz,2010,1DqdF42leyFIzqNDv9CjId
10,BREAK YOUR HEART,Taio Cruz Featuring Ludacris,2010,1CdqVF1ywD0ZO1zXtB9yWa
11,NOTHIN' ON YOU,B.o.B Featuring Bruno Mars,2010,59dLtGBS26x7kc0rHbaPrq
12,I LIKE IT,Enrique Iglesias Featuring Pitbull,2010,4nVyHATevhl5RC6Qmoko5H
13,BEDROCK,Young Money Featuring Lloyd,2010,3iL2l5gUqyPS6vDwJFgJTR
14,IN MY HEAD,Jason Derulo,2010,0TyOpxlWwDx98bjkIVHUgY
15,RUDE BOY,Rihanna,2010,60jzFy6Nn4M0iD1d94oteF
16,TELEPHONE,Lady Gaga Featuring Beyonce,2010,1IaYWv32nFFMdljBIjMY5T
17,TEENAGE DREAM,Katy Perry,2010,5qBw1900pZKfXJ6Q9A2Lc
18,JUST THE WAY YOU ARE,Bruno Mars,2010,7BqBn9nzAq8spo5e7cZ0dJ
19,COOLER THAN ME,Mike Posner,2010,2V4bv1fNWfTcyRJKmej6Sj
20,IMMA BE,The Black Eyed Peas,2010,Not on Spotify
21,EMPIRE STATE OF MIND,Jay-Z + Alicia Keys,2010,5sra5UY6sD658OabHL3QtI
22,DJ GOT US FALLIN' IN LOVE,Usher Featuring Pitbull,2010,5tXyNhNcsnn7HbcABntOSf
23,BILLIONAIRE,Travie McCoy Featuring Bruno Mars,2010,2M9ULmQwTaTGmAdXaXpfz5
24,NOT AFRAID,Eminem,2010,7Ie9W94M7OjPoZVV216Xus
25,REPLAY,Iyaz,2010,5vlEg2fT4cFWAqU5QptIpQ
26,SEXY CHICK,David Guetta Featuring Akon,2010,4MKzCHlZvkwJOQRNkdw4zq
27,BREAKEVEN,The Script,2010,38xWaVFKaxZlMFvzNff2aW
28,YOUR LOVE IS MY DRUG,Ke$ha,2010,4AboqNl74jNDpJhPfqYDmj
29,I GOTTA FEELING,The Black Eyed Peas,2010,4vp2J1l5RD4gMZwGFLfRAu
30,FIREFLIES,Owl City,2010,3DamFFqW32WihKkTVlwTYQ
31,SAY AAH,Trey Songz Featuring Fabolous,2010,2fQ6sBFWaLv2Gxos4igHLy
32,FIND YOUR LOVE,Drake,2010,4BycRneKmOs6MhYG9THsuX
33,ALEJANDRO,Lady Gaga,2010,15pu8u4n3q4BKl4tF20c5v
34,RIDIN' SOLO,Jason Derulo,2010,7ksYJ95P5vP87A0GH34CIk
35,JUST A DREAM,Nelly,2010,3ZdJffjzJWFimSQyxgGIxN
36,HOW LOW,Ludacris,2010,1WtTLtofvcjQM3sXSMkDdX
