"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","Walk Like an Egyptian","The Bangles",1987,"1Jwc3ODLQxtbnS8M9TflSP",0.724,0.891,103.022,-7.818,0.0995,0.00344,4.66e-05,0.3,204707
"2","Alone","Heart",1987,"54b8qPFqYqIndfdxiLApea",0.418,0.452,175.088,-13.099,0.0356,0.638,0.00026,0.0959,218733
"3","Shake You Down - Single Version","Gregory Abbott",1987,"4RiagUUJVbGgQpo9S86Wn6",0.787,0.425,94.944,-12.178,0.0278,0.502,0,0.195,245973
"4","I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",1987,"7yqU5HODQU91zj8ahUaUX1",0.709,0.824,118.814,-8.824,0.0453,0.207,0.000307,0.0888,291293
"5","Nothing's Gonna Stop Us Now","Starship",1987,"2vEQ9zBiwbAVXzS2SOxodY",0.643,0.801,95.988,-4.921,0.0228,0.0298,0,0.0719,270333
"6","C'est La Vie","Robbie Nevil",1987,"6Ce9ItNCpk2PkAMq5v6EEV",0.729,0.798,102.108,-12.868,0.0552,0.533,0.00032,0.725,271667
"7","Here I Go Again","Whitesnake",1987,"29pzjF6ZkzcW3ofgOVbF0t",0.216,0.668,174.442,-12.937,0.0952,0.375,0.00318,0.296,308800
"8","The Way It Is","Bruce Hornsby",1987,"6V50MyHPGhEmwYu0Wdyf0t",0.582,0.689,111.166,-12.203,0.0277,0.607,0.0571,0.145,297853
"9","Livin' On A Prayer","Bon Jovi",1987,"7qQnBfwXrw2tZNFG4Uf57N",0.52,0.887,122.528,-3.296,0.0349,0.0665,0.000179,0.186,250627
"10","La Bamba (45 Version)","Los Lobos",1987,"0uMMLry3hzWGn3q3loqMkm",0.506,0.764,156.336,-12.239,0.046,0.144,0.00025,0.247,174187
"11","Everybody Have Fun Tonight","Wang Chung",1987,"13GGjBnHbmVHzSYCeA8gVw",0.742,0.782,128.865,-7.005,0.0366,0.0686,5.52e-05,0.0439,287227
"12","Don't Dream It's Over","Crowded House",1987,"4rr67zXmEYf9ykLigeEsbv",0.439,0.422,81.833,-17.227,0.0409,0.0148,4.84e-05,0.0697,236933
"13","Always","Atlantic Starr",1987,"3smjYriN3K7zQvfikuRwnK",0.606,0.534,130.945,-6.758,0.0256,0.399,0.000973,0.356,288493
"14","With Or Without You","U2",1987,"3bcYb4HwWlytUFLny0e0Q1",0.532,0.353,109.888,-14.672,0.0309,0.000226,0.198,0.123,296160
"15","Looking For A New Love - Radio Edit","Jody Watley",1987,"7BeV8s7R68eqPelMmvp5tu",0.907,0.602,109.191,-7.376,0.0428,0.144,6.71e-05,0.0542,242400
"16","Head To Toe","Lisa Lisa & Cult Jam",1987,"7vGekIpStYxbauCP2HcXPq",0.526,0.653,151.777,-4.897,0.139,0.0207,6.47e-06,0.571,302158
"17","I Think We're Alone Now","Tiffany",1987,"0n1NI4TnEw0SeXSS4DNhhb",0.646,0.892,130.297,-5.406,0.041,3.76e-05,0.00665,0.0915,226520
"18","Mony Mony - 2001 - Remaster","Billy Idol",1987,"3GfGTJ2xzC0rqKgdjNJLOC",0.701,0.758,135.188,-5.568,0.0405,0.004,0,0.13,300213
"19","At This Moment","Billy Vera & The Beaters",1987,"6LDRTOMCSx81hKXAk1LuHd",0.578,0.286,80.975,-7.371,0.0421,0.864,2.68e-05,0.168,234507
"20","The Lady In Red","Chris de Burgh",1987,"3lXQkvrg2G22lDsrZyR8pK",0.544,0.504,154.016,-8.702,0.0298,0.457,1.99e-05,0.0364,257507
"21","Didn't We Almost Have It All","Whitney Houston",1987,"2WxRXUbJJFkJJkFyn8LfVj",0.55,0.62,131.182,-5.349,0.0262,0.377,7e-04,0.157,274667
"22","I Still Haven't Found What I'm Looking For","U2",1987,"5MEMiHV54Y5ODV1zvEPsyp",0.561,0.63,100.646,-12.924,0.0395,0.0205,0.00133,0.0695,277493
