"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","Hold On","Wilson Phillips",1990,"4VZDv8sASBS8UruUBGTFdk",0.679,0.657,97.8,-9.897,0.0255,0.4,0,0.0497,266867
"2","It Must Have Been Love","Roxette",1990,"0U0mMRtYifdTaRltbemBee",0.52,0.652,80.609,-6.655,0.0274,0.34,5.49e-05,0.256,258787
"3","Nothing Compares 2 U","Sinéad O'Connor",1990,"064ZylFGeddMC08XdMoNyj",0.511,0.574,119.917,-7.016,0.0273,0.0425,2.33e-05,0.105,280040
"4","Poison","Bell Biv DeVoe",1990,"5xJkY5PiDpInkBPtaArVax",0.838,0.619,111.867,-9.296,0.221,0.00332,0.00664,0.632,261627
"5","Vogue","Madonna",1990,"27QvYgBk0CHOVHthWnkuWt",0.737,0.88,115.998,-6.449,0.0433,0.00379,0.00351,0.417,316813
"6","Vision of Love","Mariah Carey",1990,"0gLQ6jhJsyYfl7PrD1RZ7X",0.256,0.463,205.362,-10.959,0.0382,0.442,0,0.121,209293
"7","Another Day In Paradise","Phil Collins",1990,"3wNXqTMimmuTEj1iEPftC7",0.792,0.411,101.976,-12.384,0.033,0.786,0.00212,0.0499,322173
"8","Hold On","En Vogue",1990,"6BjqF9DTiAubeE34grUKVq",0.727,0.528,96.934,-8.771,0.0585,0.077,0,0.344,304373
"9","Cradle of Love - 2001 - Remaster","Billy Idol",1990,"1gmSaCrVZBjK8Na7dsThXv",0.602,0.907,144.036,-5.636,0.0529,0.00356,1.03e-06,0.0736,279720
"10","Blaze Of Glory - From ""Young Guns II"" Soundtrack","Jon Bon Jovi",1990,"1sUTfgduT0WIQO8kXKXxLC",0.553,0.611,78.683,-9.967,0.0348,0.0598,2.33e-05,0.0958,335240
"11","Do Me!","Bell Biv DeVoe",1990,"6pNvKPvOknI5zI4o9TB43f",0.717,0.788,107.822,-6.102,0.0369,0.109,1.28e-06,0.394,272533
"12","How Am I Supposed to Live Without You","Michael Bolton",1990,"18QpSu4VH85xAVms1cBoRO",0.532,0.532,140.478,-9.787,0.0295,0.139,0,0.0952,254373
"13","Pump Up The Jam","Technotronic",1990,"1ZtzjvhIcLoogzOpt4rKoa",0.886,0.78,124.778,-10.78,0.102,0.0145,2.96e-06,0.0453,217143
"14","Opposites Attract","Paula Abdul",1990,"7z38bideBRvGAgjXe2SECm",0.783,0.842,117.79,-8.838,0.054,0.0337,2.57e-06,0.0473,263779
