"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Breathe","Faith Hill",2000,"3y4LxiYMgDl4RethdzpmNe",0.529,0.496,136.859,-9.007,0.029,0.173,0,0.251
"2","I Wanna Know","Joe",2000,"6ctr1K7KzKErxbfGAynL8A",0.724,0.485,136.057,-5.919,0.0376,0.256,1.35e-05,0.416
"3","Everything You Want","Vertical Horizon",2000,"4cKGldbhGJniI8BrB3K6tb",0.637,0.759,93.898,-6.389,0.0305,0.0504,0,0.0642
"4","Say My Name","Destiny's Child",2000,"2gSyc23Hua25fqSFpgAh6W",0.522,0.676,67.427,-3.571,0.16,0.274,0,0.134
"5","I Knew I Loved You","Savage Garden",2000,"0dQ8sFlmQakH1r2r9IqlYH",0.556,0.517,169.938,-8.769,0.0287,0.307,0.00115,0.077
"6","Amazed","Lonestar",2000,"6iNcyWk5iUEY7P9zeTc5hm",0.557,0.553,139.821,-7.954,0.0319,0.247,0,0.125
"7","Bent - Remastered Version","Matchbox Twenty",2000,"2ypwlOO0Z3NfammOQgOey3",0.528,0.863,95.468,-5.772,0.0368,0.0616,7.48e-06,0.355
"8","Higher","Creed",2000,"1e5grnGb7YIcX9EuJM1mtB",0.46,0.822,155.766,-6.338,0.0375,4.99e-05,0.00014,0.147
"9","Try Again","Aaliyah",2000,"2CM7CAL7aJ5WkPU0oGbA96",0.756,0.654,93.059,-5.143,0.288,0.0779,0,0.0745
"10","Jumpin', Jumpin'","Destiny's Child",2000,"1kbe64LHKlyD0nXUoa4mum",0.775,0.677,89.008,-4.632,0.0582,0.0054,0.00189,0.0679
"11","Thong Song","Sisqo",2000,"4Co9WfdUsB4n3ODOQu05Z5",0.703,0.827,121.539,-9.301,0.0634,0.137,0.000125,0.0646
"12","Kryptonite","3 Doors Down",2000,"3bbUkaQYGQHkx1TJi7gPSL",0.547,0.87,99.014,-5.098,0.0286,0.00494,3.48e-05,0.161
"13","There You Go","P!nk",2000,"6PpR4UJF2oaXQn2ycp7Fl3",0.826,0.886,107.9,-5.147,0.0832,0.0951,0,0.0371
"14","Music","Madonna",2000,"27cXevtj5VflsCUAZwr9eI",0.738,0.852,119.735,-6.13,0.0766,0.00153,0.0895,0.178
"15","Doesn't Really Matter","Janet Jackson",2000,"1xGFYbstzGNulrTu8EsIBx",0.77,0.797,99.306,-2.991,0.0794,0.1,0.00285,0.0977
"16","What a Girl Wants","Christina Aguilera",2000,"2iIg5LCp81QGEpnAFDT8V4",0.755,0.827,142.122,-6.803,0.114,0.0671,0,0.329
"17","Back At One","Brian McKnight",2000,"0WWKJsCjOAhymkdt8GuKTt",0.661,0.346,129.752,-9.115,0.03,0.452,0,0.131
"18","Bye Bye Bye","*NSYNC",2000,"2yiZyjMEByt9sJBZWnWaDR",0.571,0.87,172.716,-3.877,0.0641,0.0198,6.6e-06,0.0564
"19","You Sang To Me","Marc Anthony",2000,"2dwhMQsFeHr2S787WxqAqW",0.578,0.894,165.98,-5.42,0.0296,0.0103,2.66e-06,0.216
"20","I Need to Know","Marc Anthony",2000,"7ffwRz8lZyDOE4Vj58Lo72",0.813,0.949,115.061,-2.563,0.0336,0.486,9.75e-06,0.112
"21","Get It On Tonite","Montell Jordan",2000,"5iKYZAcAchghry6h8Iu5IL",0.813,0.487,99,-9.78,0.0783,0.235,7.59e-05,0.0928
"22","Incomplete","Sisqo",2000,"3rrUfq6K1ySOtLamsbLjeZ",0.717,0.602,119.495,-4.256,0.0668,0.266,0,0.226
