"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"39","DAMAGED","Danity Kane",2008,"4yHFxB8kzzeuNvoouR8N0N",0.774,0.653,120.01,-5.158,0.05,0.0912,0,0.151
"40","A MILLI","Lil Wayne",2008,"6ScJMrlpiLfZUGtWp4QIVt",0.679,0.684,151.748,-8.559,0.278,0.0527,0.000895,0.177
"41","INDEPENDENT","Webbie Featuring Lil' Phat & Lil' Boosie",2008,"0h2uvuNAFUe5VR71kJmW6B",0.65,0.523,175.553,-6.047,0.0949,4.79e-05,0,0.0527
"42","CAN'T BELIEVE IT","T-Pain Featuring Lil Wayne",2008,"6m1sJMWeAkCG5eECKaGFew",0.578,0.546,120.818,-8.149,0.0552,0.0024,0,0.0908
"43","LIKE YOU'LL NEVER SEE ME AGAIN","Alicia Keys",2008,"0NWJPV3utX0J4tfwzyotNB",0.548,0.658,127.892,-8.063,0.0314,0.164,0.000132,0.109
"44","SENSUAL SEDUCTION","Snoop Dogg",2008,"1wva1IlWLDNLgwipUWcmjy",0.756,0.834,120.214,-4.005,0.077,0.00446,2.76e-05,0.0645
"45","WHAT YOU GOT","Colby O'Donis Featuring Akon",2008,"3MldzywZOH4Uci6bq9noyJ",0.771,0.631,119.965,-6.795,0.0395,0.0308,0,0.168
"46","IT'S NOT MY TIME","3 Doors Down",2008,"0uybt73QFXaLCoxuVf6fhm",0.54,0.928,128.037,-4.823,0.0671,0.00151,2.58e-06,0.135
"47","BETTER IN TIME","Leona Lewis",2008,"2iXBZ32Fz5VDCLeE0JIdX5",0.584,0.7,163.953,-4.251,0.0506,0.512,2.43e-05,0.13
"48","CRANK THAT (SOULJA BOY)","Soulja Boy Tell'em",2008,"66TRwr5uJwPt15mfFkzhbi",0.732,0.724,140.13,-2.104,0.101,0.511,0,0.0491
"49","SHADOW OF THE DAY","Linkin Park",2008,"0OYcEfskah1egYHjYRvbg1",0.534,0.393,110.007,-7.813,0.0292,0.00479,0.0107,0.107
"50","SWEETEST GIRL (DOLLAR BILL)","Wyclef Jean Featuring Akon, Lil Wayne & Niia",2008,"4liGjmhCupa7RP9JaQELYx",0.733,0.744,92.515,-3.51,0.0553,0.0772,0,0.341
"51","MISS INDEPENDENT","Ne-Yo",2008,"34ceTg8ChN5HjrqiIYCn9Q",0.668,0.697,171.884,-5.586,0.122,0.488,0,0.183
"52","FALL FOR YOU","Secondhand Serenade",2008,"7lWF2mVr1KKbVnaT2nSlPo",0.387,0.442,169.481,-7.086,0.0352,0.19,0,0.0788
"53","IN THE AYER","Flo Rida Featuring will.i.am",2008,"6RpiAj9Ofv0Uqp6n2OuRoh",0.83,0.746,125.992,-6.286,0.0579,0.00456,0,0.26
"54","SAY","John Mayer",2008,"6wZI4mdT8JwXgkGURnBQiq",0.485,0.723,167.845,-6.565,0.0317,0.541,1.12e-06,0.075
"55","ONE STEP AT A TIME","Jordin Sparks",2008,"4hbRj5tucVkLUVoAdJUyRi",0.766,0.692,102.028,-4.672,0.0289,0.0825,0,0.0384
"56","HATE THAT I LOVE YOU","Rihanna Featuring Ne-Yo",2008,"7iu0WYLdo4yksKf3seaxzI",0.637,0.719,93.973,-5.443,0.0852,0.305,0,0.114
"57","SUPERSTAR","Lupe Fiasco Featuring Matthew Santos",2008,"7dltD9eEX7X1zk8JJ9BS0e",0.572,0.822,94.812,-6.015,0.361,0.207,0,0.359
"58","SUFFOCATE","J. Holiday",2008,"3nJjIYchBNkYm7B8XfJf5N",0.458,0.445,82.82,-8.391,0.361,0.64,0,0.118
"59","LET IT ROCK","Kevin Rudolf Featuring Lil Wayne",2008,"6TrNRd98WksT9Kkmx9uj6R",0.607,0.781,113.183,-4.276,0.0407,0.00106,0,0.0769
"60","GET LIKE ME","David Banner Featuring Chris Brown",2008,"2IBF9lQ9lgVai8LkskI5L7",0.935,0.747,117.613,-4.231,0.391,0.00417,0,0.207
"61","REALIZE","Colbie Caillat",2008,"5OGkKx8jP0A5KSULEc6XYZ",0.699,0.607,123.95,-6.312,0.0347,0.142,0,0.105
"62","PUT ON","Young Jeezy Featuring Kanye West",2008,"5dANgSy7v091dhiPnEXNrf",0.649,0.785,137.618,-6.031,0.0369,0.0027,0,0.0859
"63","THE TIME OF MY LIFE","David Cook",2008,"6avyV3xlz2UFeiAUZ0SqyT",0.414,0.578,154.96,-6.383,0.0287,0.0541,0,0.124
"64","LOLLI LOLLI (POP THAT BODY)","Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008,"4xWMTkwknjh8FzxNrkwLl6",0.89,0.946,120,-5.673,0.0489,0.0188,0.000128,0.11
"65","CYCLONE","Baby Bash Featuring T-Pain",2008,"27mhCGdAA8gM7b33KIiB3k",0.641,0.72,77.969,-4.326,0.0552,0.0102,0,0.154
"66","LOVE LIKE THIS","Natasha Bedingfield Featuring Sean Kingston",2008,"49ppqF73rOz5Nyt1paRxIF",0.781,0.791,76.998,-3.903,0.0468,0.145,0,0.127
"67","BURNIN' UP","Jonas Brothers",2008,"72jGj8k9C7DIQesDYenUT3",0.667,0.954,114,-3.462,0.0817,0.0296,0,0.331
"68","LOVE LOCKDOWN","Kanye West",2008,"1kxeWHF9PrCVZHvVskv8lg",0.756,0.529,119.573,-7.659,0.0329,0.0539,0.392,0.112
"69","I LUV YOUR GIRL","The-Dream",2008,"3wkNK8tJZ2stygNJm8RCRD",0.686,0.322,89.958,-9.829,0.0386,0.017,0,0.125
"70","CRUSH","David Archuleta",2008,"4wCD0qOFNRu1Q6O3N6ycm4",0.57,0.664,162.084,-4.718,0.0322,0.00836,1.2e-05,0.0719
"71","HYPNOTIZED","Plies Featuring Akon",2008,"3LN41NUdHkyNqQhi9gExMm",0.84,0.571,116.59,-7.421,0.0797,0.16,0,0.406
"72","BIG GIRLS DON'T CRY","Fergie",2008,"3Q4WeJmzxuDpzMu9QjQqbM",0.712,0.647,113.116,-4.277,0.0336,0.239,0,0.0955
"73","GOOD LIFE","Kanye West Featuring T-Pain",2008,"1fLdeDTrJWNkwOeFyAVLvF",0.435,0.802,84.267,-6.871,0.324,0.00376,0,0.467
