"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","I Will Always Love You","Whitney Houston",1993,"1cJssTcMltUxhvUZLpn3Ci",0.303,0.269,132.857,-9.469,0.0368,0.831,3.01e-06,0.0906,263800
"2","Whoomp! (There It Is)","Tag Team",1993,"4DCHUu9qgrtFIY5o184J6z",0.806,0.669,129.473,-7.942,0.0544,0.00133,5.79e-06,0.229,235442
"3","(I Can't Help) Falling in Love With You","UB40",1993,"7aR1QwbQa26sjDXiVMLik4",0.637,0.837,172.455,-8.605,0.0363,0.0393,0.00294,0.142,208097
"4","That's The Way Love Goes","Janet Jackson",1993,"29rQJydAlO0uMyWvRIZxQg",0.703,0.7,97.675,-6.789,0.0693,0.302,0.471,0.0718,265107
"5","Freak Me","Silk",1993,"5CdJveJgiGXoGwDFqF6afp",0.697,0.608,133.879,-10.976,0.0463,0.0295,0,0.276,274533
"6","Weak","SWV",1993,"7gxUDSHHsu3q69qb4SQzVN",0.686,0.648,127.621,-8.479,0.0371,0.0636,0,0.0667,292160
"7","If I Ever Fall In Love","Shai",1993,"1jCsCYgzQQHk3bDJDuFbNi",0.525,0.221,36.71,-11.233,0.0317,0.779,0,0.159,189027
"8","Dreamlover","Mariah Carey",1993,"7B46V9G3rBQryzZVtAaWAR",0.698,0.715,100.665,-6.188,0.0357,0.191,0,0.176,233733
"9","Rump Shaker - Radio Mix","Wreckx-N-Effect",1993,"1XRWHVXbXpqRWYpHOaNsQr",0.875,0.724,102.249,-8.797,0.24,0.00693,0.000616,0.279,237267
"10","Informer","Snow",1993,"2LjiPAQOVazT8sRyXL3XRs",0.762,0.836,98.16,-6.843,0.191,0.045,0,0.386,270160
"11","Nuthin' But A ""G"" Thang","Pollie Pop",1993,"3aJiB41VbS7y7j61HrN9da",0.757,0.771,79.266,-5.657,0.305,0.0261,1.69e-05,0.105,345365
"12","In The Still Of The Nite (I'll Remember)","Boyz II Men",1993,"16dbGMVeJg15mLFktHX5LJ",0.532,0.215,77.94,-13.673,0.0371,0.78,0,0.148,169493
"13","Don't Walk Away","Jade",1993,"7tsRp7QKUBp6hc9bth0h7x",0.831,0.915,102.979,-7.501,0.128,0.147,0.00571,0.196,216373
"14","Knockin' Da' Boots","H-Town",1993,"2LP2NrdZlsabtHT0GUCwUa",0.734,0.583,128.122,-10.652,0.126,0.152,0,0.0472,327693
"15","Lately","Jodeci",1993,"5hIljtQ1fRvDRc1aHdhwWK",0.385,0.317,125.919,-12.71,0.0569,0.666,1.27e-06,0.945,373627
"16","Dazzey Duks (Made Famous by Duice)","Dazzey Duks",1993,"6z3lO80S46Qba0hdH185NF",0.813,0.536,132.186,-8.178,0.124,0.00592,3.51e-06,0.0614,243400
"17","Show Me Love","Robin S",1993,"4t0UsYzmmmZRMTWn77jiGF",0.811,0.833,120.258,-4.259,0.153,0.014,2.06e-05,0.0769,252107
"18","Whole New World (Aladdin's Theme) - From ""Aladdin""/Soundtrack Version","Peabo Bryson",1993,"7fLkHVJAJLENmSvhrEHZxV",0.541,0.195,107.933,-16.997,0.0334,0.644,0,0.152,250400
"19","If","Janet Jackson",1993,"0t414ewhjcIiuPVF3QECz2",0.653,0.976,105.575,-5.173,0.0797,0.0374,0.00173,0.561,271640
"20","I'm So Into You","SWV",1993,"4On14uJ6lcGIFEcQfZDldy",0.843,0.585,99.011,-9.325,0.047,0.0421,0.00139,0.0643,277467
"21","Love Is","Vanessa Williams And Brian McKnight",1993,"7z8NZEvwZU6PzYAzkw3DWE",0.487,0.361,79.857,-9.97,0.0236,0.379,2.88e-05,0.12,284960
"22","Runaway Train","Soul Asylum",1993,"2n30j6VY3zozs3YSwcEQSL",0.614,0.719,117.393,-6.991,0.0381,0.0057,0,0.127,266960
"23","I'll Never Get Over You Getting Over Me - 7"" Version","Exposé",1993,"44qy6ywloZIkMPOMOZzm05",0.321,0.289,167.048,-12.714,0.0306,0.623,0,0.359,230507
"24","The Ditty (all Because Of You) feat. Terry Troutman","Paperboy",1993,"3EcBczt8iD0Uuk3qBmzi7w",0.791,0.715,99.005,-6.192,0.173,0.136,0,0.0576,226853
"25","Rhythm Is A Dancer - 12'' Version","SNAP!",1993,"5dle7lDSqNS2AcFtbvgkud",0.768,0.874,124.251,-7.303,0.034,0.117,0.0628,0.0842,316133
"26","The River of Dreams","Billy Joel",1993,"1ndqYQyhyv0kT13ZhSkoh1",0.641,0.758,89.698,-8.101,0.0561,0.215,1.24e-06,0.0672,246067
"27","I'm Gonna Be (500 Miles)","The Proclaimers",1993,"66S14BkJDxgkYxLl5DCqOz",0.867,0.443,131.928,-9.032,0.041,0.166,0,0.0893,219480
"28","Two Princes","Spin Doctors",1993,"4ePP9So5xRzspjLFVVbj90",0.543,0.912,103.731,-10.71,0.0601,0.00162,2.1e-06,0.0565,256733
"29","Right Here - Human Nature Radio Mix","SWV",1993,"2vgCM9swUTBS73jS5FmNQE",0.607,0.696,94.009,-5.979,0.0745,0.0746,0.0141,0.118,224733
"30","I Have Nothing","Whitney Houston",1993,"31er9IGsfFbwqy1pH4aiTP",0.54,0.401,152.974,-10.499,0.0364,0.576,0,0.164,289160
"31","Mr Wendal - 2002 - Remaster","Arrested Development",1993,"6LSTAQ6r7OxsOOlIIYY47Q",0.893,0.593,109.979,-5.178,0.0983,0.12,0.00888,0.0465,246960
