"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo"
"53","NO LIE","2 Chainz",2012,"4TyY4vah59nsckspWdSGPn",0.641,0.671,130.927
"54","WANT U BACK","Cher Lloyd",2012,"6E11E0lT5Zy7yb6iT3y8DN",0.694,0.891,97.939
"55","DON'T WAKE ME UP","Chris Brown",2012,"12Ns5IphkblPmHxpRILG9t",0.602,0.691,127.967
"56","DANCE (A$$)","Big Sean",2012,"3OVLPcUPS0HbMeAeMP0jZ4",0.822,0.711,79.949
"57","SPRINGSTEEN","Eric Church",2012,"05ZACkzW8YbRq3eFgIfSNB",0.692,0.809,104.023
"58","BROKENHEARTED","Karmin",2012,"4urcG6Nfubqsuqy3juMjBi",0.765,0.765,120.001
"59","NOT OVER YOU","Gavin DeGraw",2012,"6j7hih15xG2cdYwIJnQXsq",0.63,0.894,142.051
"60","STEREO HEARTS","Gym Class Heroes",2012,"0qOnSQQF0yzuPWsXrQ9paz",0.646,0.795,89.99
"61","BACK IN TIME","Pitbull",2012,"2U2ONBrf1HJCDxQlynpD6J",0.731,0.915,127.086
"62","WORK OUT","J. Cole",2012,"6rbeWjEavBHvX2kr6lSogS",0.831,0.427,93.004
"63","RUMOUR HAS IT","Adele",2012,"76N7FdzCI9OsiUnzJVLY2m",0.618,0.753,120.041
"64","LET'S GO","Calvin Harris",2012,"4wkQmYpAaMe41Rc3sYZ7Vz",0.71,0.882,128.016
"65","GOOD GIRL","Carrie Underwood",2012,"20DfkHC5grnKNJCzZQB6KC",0.617,0.839,128.91
"66","PONTOON","Little Big Town",2012,"2Gy3XMLbBxACZ4tXdFRGr7",0.721,0.819,96.02
"67","HO HEY","The Lumineers",2012,"0W4Kpfp1w2xkY3PrV714B7",0.685,0.466,79.936
"68","PARADISE","Coldplay",2012,"6nek1Nin9q48AVZcWs9e9D",0.449,0.585,139.627
"69","BLOWN AWAY","Carrie Underwood",2012,"0vFMQi8ZnOM2y8cuReZTZ2",0.531,0.843,136.991
"70","ROLLING IN THE DEEP","Adele",2012,"1CkvWZme3pRgbzaxZnTl5X",0.729,0.756,104.945
"71","CLIMAX","Usher",2012,"6cNajGUxKP53LIg0LzlfQt",0.647,0.478,135.877
"72","WORK HARD, PLAY HARD","Wiz Khalifa",2012,"62csqLJbdvAKb38rYijV1R",0.818,0.675,139.977
"73","LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF)","Ne-Yo",2012,"1Ejsu5JglwIgrFW7Bt2GuL",0.491,0.676,124.852
"74","POUND THE ALARM","Nicki Minaj",2012,"5kcE7pp02ezLZaUbbMv3Iq",0.735,0.858,124.991
"75","COME OVER","Kenny Chesney",2012,"6BCrbWBpb8d6KWmEqZ41tr",0.466,0.704,176.043
"76","HEART ATTACK","Trey Songz",2012,"1J36RjF8Mx8Yp2QWvFSPmv",0.607,0.854,149.872
"77","DRANK IN MY CUP","Kirko Bangz",2012,"3m8CQnnfJJp4eQMWWl3zay",0.451,0.632,132.89
"78","BIRTHDAY CAKE","Rihanna",2012,"4EfN6bixdOOgoLYR5C4cWo",0.702,0.811,80.005
"79","SO GOOD","B.o.B",2012,"28GUjBGqZVcAV4PHSYzkj2",0.66,0.9,85.51
"80","50 WAYS TO SAY GOODBYE","Train",2012,"2NniAhAtkRACaMeYt48xlD",0.591,0.935,140.043
"81","RED SOLO CUP","Toby Keith",2012,"47nm8czanMUzIqHsnr5x61",0.567,0.557,164.189
"82","LOVE YOU LIKE A LOVE SONG","Selena Gomez & The Scene",2012,"0laYHRpNTS6i8FXdupHkJ4",0.859,0.697,117.008
"83","TURN UP THE MUSIC","Chris Brown",2012,"0UlHiqi7seV02XNHLMtfGK",0.594,0.841,129.925
"84","DIE YOUNG","Ke$ha",2012,"6mnjcTmK8TewHfyOp3fC9C",0.711,0.7,128.001
"85","5 O'CLOCK","T-Pain",2012,"6j236RwzFFj4wqH2tWJNBD",0.4,0.882,167.114
"86","A THOUSAND YEARS","Christina Perri",2012,"6lanRgr6wXibZr8KgzXxBl",0.421,0.407,139.028
"87","TAKE A LITTLE RIDE","Jason Aldean",2012,"1rOoICPf1JpkRpX5PNuJt2",0.464,0.853,163.934
"88","YOU DA ONE","Rihanna",2012,"3Yt9lRtS5V4nbJnwcgFgvC",0.706,0.716,127.044
"89","WE RUN THE NIGHT","Havana Brown",2012,"0mtPNQl5vePVwiI9Vykp7L",0.691,0.846,127.011
"90","IT'S TIME","Imagine Dragons",2012,"6BtmXhTJMM9sBTHeYYASGz",0.656,0.879,104.997
"91","CASHIN' OUT","Ca$h Out",2012,"1POAx4NMLOBPVKZUSsBh92",0.831,0.665,129.989
"92","I DON'T WANT THIS NIGHT TO END","Luke Bryan",2012,"0cV4xwUA4ue2deqq4CZFko",0.616,0.728,111.934
"93","DIAMONDS","Rihanna",2012,"7Kt59L2ZZGtOnIhvMwzG6f",0.555,0.709,91.982
"94","HARD TO LOVE","Lee Brice",2012,"6E9V9TRlVOLjenGjHemzEH",0.638,0.722,103.017
"95","SOMETHIN' 'BOUT A TRUCK","Kip Moore",2012,"6Ymvlzom4TQeoKqAWsZRD8",0.554,0.794,176.01
"96","ADORN","Miguel",2012,"3trS6e40JCVUOpPVt5OdHj",0.625,0.576,179.063
"97","FLY OVER STATES","Jason Aldean",2012,"5r6hrzcBhlnV9eDSKD2WQ9",0.48,0.739,81.519
"98","EVEN IF IT BREAKS YOUR HEART","Eli Young Band",2012,"0Nu9WA8kEbBWEsay2s8Q0U",0.667,0.527,104.032
"99","BURN IT DOWN","Linkin Park",2012,"7oVEtyuv9NBmnytsCIsY5I",0.585,0.972,110.006
