"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","We Belong Together","Mariah Carey",2005,"0MtFUqaaEIqImt50RgfqZ4",0.841,0.472,139.974,-7.917,0.066,0.027,0,0.091
"2","Hollaback Girl","Gwen Stefani",2005,"2mGFZPUsk6e8Zjd61jaXdI",0.925,0.885,110.017,-4.023,0.0904,0.364,4.77e-06,0.0234
"3","Let Me Love You","Mario",2005,"3ibKnFDaa3GhpPGlOUj7ff",0.656,0.578,94.514,-8.97,0.0922,0.235,0,0.118
"4","Since U Been Gone","Kelly Clarkson",2005,"6Bo7elbKiRfaHBMJGEBHqF",0.664,0.741,131.001,-5.318,0.0328,0.00175,0.0379,0.116
"5","Gold Digger - Originally Performed By Kanye West and Jamie Foxx","Sing Karaoke Sing",2005,"1HdvFDMTNOcwyKjdUK44KN",0.721,0.877,184.77,-6.757,0.265,0.129,0,0.266
"6","Boulevard Of Broken Dreams","Green Day",2005,"1hwJKpe0BPUsq6UUrwBWTw",0.49,0.679,167.046,-3.68,0.0309,0.00394,1.54e-05,0.0383
"7","Behind These Hazel Eyes","Kelly Clarkson",2005,"3Iw2G3jHDpcIjKAkkXQtr7",0.541,0.895,90.114,-4.661,0.0433,0.0023,0.000716,0.212
"8","Disco Inferno","50 Cent",2005,"3FaS5pwUOfrhr366NERG5X",0.917,0.667,96.955,-5.131,0.227,0.198,0.000211,0.259
"9","You And Me","Lifehouse",2005,"4T2SmVJPtDdugk5j5xV1d5",0.458,0.428,139.9,-7.835,0.0268,0.115,0,0.161
"10","Don't Phunk With My Heart","The Black Eyed Peas",2005,"75fscz2R984pg4bmyP1Q53",0.69,0.928,130.889,-2.76,0.061,0.00937,0,0.547
"11","Shake It Off","Mariah Carey",2005,"0MGxfGHgECCGU5xqHD1uc8",0.78,0.493,134.086,-6.516,0.124,0.181,0,0.108
"12","Mr. Brightside","The Killers",2005,"0eGsygTp906u18L0Oimnem",0.351,0.928,148.03,-3.71,0.0759,0.00113,0,0.0988
"13","Just A Lil Bit","50 Cent",2005,"13oiYgOtpjRa4kWxE04jHC",0.689,0.66,96.942,-7.687,0.321,0.0418,0.00573,0.272
"14","Pon de Replay","Rihanna",2005,"6GC6lcKgjCdsdIz5OiCUw5",0.779,0.64,99.019,-8.415,0.159,0.000155,0.00077,0.101
"15","Beverly Hills","Weezer",2005,"4tUYhIIjUoL1i41fqZaaBM",0.555,0.825,175.61,-3.779,0.142,0.0907,0,0.32
"16","Lonely No More","Rob Thomas",2005,"4fB1fCSwu5CVRms3BWxkvT",0.622,0.899,85.844,-3.139,0.108,0.0317,0,0.0928
"17","Because of You","Kelly Clarkson",2005,"3PHYPaguCDKLK1a9cp3uXZ",0.586,0.586,139.915,-5.314,0.0316,0.251,0,0.124
"18","Because of You","Kelly Clarkson",2005,"3PHYPaguCDKLK1a9cp3uXZ",0.586,0.586,139.915,-5.314,0.0316,0.251,0,0.124
