"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","Love Yourself","Justin Bieber",2016,"50kpGaPAhYJ3sGmk6vplg0",0.607,0.376,102.541,-9.954,0.453,0.856,0,0.285,233720
"2","Sorry","Justin Bieber",2016,"09CtPGIpYB4BrO8qb1RGsF",0.605,0.768,100.209,-3.724,0.0476,0.0865,0,0.308,200787
"3","One Dance","Drake (ft. WizKid & Kyla)",2016,"12VWzyPDBCc8fqeWCAfNwR",0.785,0.617,103.981,-5.871,0.0522,0.00902,0.00246,0.351,173987
"4","Work","Rihanna (ft. Drake)",2016,"32lmL4vQAAotg6MrJnhlQZ",0.667,0.538,91.296,-6.294,0.0953,0.0644,0,0.0928,219320
"5","Stressed Out","Twenty One Pilots",2016,"3CRDbSIZ4r5MsZ0YwxuEkn",0.734,0.637,169.977,-5.677,0.141,0.0462,2.29e-05,0.0602,202333
"6","Panda","Desiigner",2016,"275a9yzwGB6ncAW4SxY7q3",0.72,0.748,145.22,-5.522,0.393,0.0235,0,0.369,247867
"7","Hello","Adele",2016,"0ENSn4fwAbCGeFGVUbXEU3",0.481,0.451,157.966,-6.095,0.0347,0.336,0,0.0872,295493
"8","Don't Let Me Down","The Chainsmokers (ft. Daya)",2016,"1i1fxkWeaMmKEB4T7zqbzK",0.532,0.869,159.803,-5.094,0.172,0.157,0.00508,0.136,208373
"9","Can't Stop the Feeling!","Justin Timberlake",2016,"1WkMMavIMc4JZ8cfMmxHkI",0.669,0.832,113.035,-5.72,0.0682,0.0106,0,0.0968,237547
"10","Closer","The Chainsmokers (ft. Halsey)",2016,"7BKLCZ1jbUBVqRi2FVlTVw",0.748,0.524,95.01,-5.599,0.0338,0.414,0,0.111,244960
"11","Cheap Thrills","Sia (ft. Sean Paul)",2016,"3S4px9f4lceWdKf0gWciFu",0.628,0.698,89.976,-5.608,0.105,0.0472,0.00143,0.0907,211667
"12","7 Years","Lukas Graham",2016,"5kqIPrATaCc2LqxVWzQGbk",0.765,0.473,119.992,-5.829,0.0514,0.287,0,0.391,237300
"13","Needed Me","Rihanna",2016,"1Tt4sE4pXi57mTD1GCzsqm",0.688,0.325,110.888,-8.083,0.251,0.107,0,0.0837,191600
"14","My House","Flo Rida",2016,"6Knv6wdA0luoMUuuoYi2i1",0.688,0.702,94.006,-4.792,0.0499,0.0215,0,0.128,192191
"15","I Took a Pill in Ibiza","Mike Posner",2016,"1MtUq6Wp1eQ8PC6BbPCj8P",0.665,0.725,101.96,-6.588,0.12,0.034,9.17e-06,0.0864,197933
"16","Work from Home","Fifth Harmony (ft. Ty Dolla $ign)",2016,"4tCtwWceOPWzenK2HAIJSb",0.803,0.585,105.017,-5.861,0.0432,0.103,3.94e-06,0.0644,214480
"17","This is What You Came For","Calvin Harris (ft. Rihanna)",2016,"0azC730Exh71aQlOt9Zj3y",0.63,0.928,123.963,-2.787,0.0331,0.199,0.124,0.148,222160
"18","Cake by the Ocean","DNCE",2016,"76hfruVvmfQbw0eYn1nmeC",0.774,0.765,119.001,-5.439,0.0502,0.156,0,0.0373,219147
"19","Me, Myself & I","G-Eazy x Bebe Rexha",2016,"40YcuQysJ0KlGQTeGUosTC",0.757,0.672,111.996,-6.524,0.0955,0.0186,0,0.158,251467
"20","Ride","Twenty One Pilots",2016,"2Z8WuEywRWYTKe1NybPQEW",0.645,0.713,74.989,-5.355,0.0393,0.00835,0,0.113,214507
"21","Heathens","Twenty One Pilots",2016,"6i0V12jOa3mr6uu4WYhUBr",0.732,0.396,90.024,-9.348,0.0286,0.0841,3.58e-05,0.105,195920
"22","Pillowtalk","Zayn",2016,"0PDUDa38GO8lMxLCRc4lL1",0.584,0.7,124.944,-4.275,0.0456,0.117,0,0.0939,202747
"23","Stitches","Shawn Mendes",2016,"5jsw9uXEGuKyJzs0boZ1bT",0.592,0.752,74.784,-6.589,0.114,0.0196,0,0.0477,206880
"24","Hotline Bling","Drake",2016,"0wwPcA6wtMf6HUMpIRdeP7",0.903,0.621,134.969,-8.132,0.0578,0.00302,0.000186,0.0504,267067
"25","Cold Water","Major Lazer (ft. Justin Beiber & MO)",2016,"7zsXy7vlHdItvUSH8EwQss",0.602,0.797,92.928,-5.084,0.0534,0.055,0,0.187,185360
"26","Send My Love (To Your New Lover)","Adele",2016,"3LGxef3inmn5jMLGDz9lqw",0.69,0.524,164.023,-8.39,0.103,0.0415,3.16e-06,0.17,223080
"27","Roses","The Chainsmokers (ft. Rozes)",2016,"3vv9phIu6Y1vX3jcqaGz5Z",0.713,0.802,100.001,-7.055,0.0561,0.0435,0.00377,0.309,226739
"28","Treat You Better","Shawn Mendes",2016,"3QGsuHI8jO1Rx4JWLUh9jd",0.672,0.81,82.888,-4.104,0.226,0.118,0,0.106,187973
"29","Too Good","Drake (ft. Rihanna)",2016,"7fJtPlEZKxu6gvkfBFc5tW",0.804,0.65,117.984,-7.79,0.118,0.0606,7.05e-05,0.102,263373
"30","Low Life","Future (ft. the Weeknd)",2016,"7EiZI6JVHllARrX9PUvAdX",0.722,0.331,143.974,-7.789,0.0725,0.337,0.283,0.146,313547
"31","What Do You Mean?","Justin Bieber",2016,"4B0JvthVoAAuygILe3n4Bs",0.837,0.571,125.034,-8.273,0.0922,0.61,0.000898,0.0849,205680
"32","The Hills","The Weeknd",2016,"7fBv7CLKzipRk6EC6TWHOB",0.54,0.561,113.295,-6.987,0.0699,0.0635,0,0.137,242253
"33","Just Like Fire","P!nk",2016,"7K5dzhGda2vRTaAWYI3hrb",0.632,0.701,162.958,-5.921,0.146,0.0114,0,0.108,215414
