"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Gangsta's Paradise","Coolio",1995,"0RdpN5cjHSlC2tOmnphkF2",0.652,0.542,80.991,-6.115,0.054,0.132,0,0.16
"2","Waterfalls","TLC",1995,"6qspW4YKycviDFjHBOaqUY",0.77,0.505,171.798,-7.345,0.0828,0.311,7.4e-05,0.0777
"3","Creep","TLC",1995,"1aWV3uY3SIEZVbmv45oFWS",0.811,0.458,92.94,-9.688,0.0402,0.0193,1.41e-06,0.0526
"4","Kiss From A Rose","Seal",1995,"0z5E34e7ZT3XKMYQNXh6tH",0.587,0.493,131.727,-8.368,0.0296,0.63,0,0.224
"5","On Bended Knee","Boyz II Men",1995,"7MYmo0JJJDmu4MZTSAF9y3",0.626,0.532,116.621,-8.097,0.0351,0.413,0,0.116
"6","Another Night","Real McCoy",1995,"3pEuO9J2MTEmec8kUfYYvl",0.813,0.882,125.983,-7.575,0.0402,0.0908,0.00457,0.147
"7","Fantasy","Mariah Carey",1995,"6xkryXuiZU360Lngd4sx13",0.671,0.727,102.358,-7.585,0.035,0.139,0,0.123
"8","Take A Bow","Madonna",1995,"7izFzcBTx3DVXFeFYDeZKB",0.549,0.408,80.133,-7.698,0.024,0.341,0,0.0764
"9","Don't Take It Personal (Just One of Dem Days)","Monica",1995,"0JCAezTC5IlK1a9o0YBEsD",0.731,0.355,175.72,-12.741,0.0603,0.00864,5.14e-05,0.0579
"10","This Is How We Do It","Montell Jordan",1995,"6uQKuonTU8VKBz5SHZuQXD",0.799,0.63,103.647,-9.279,0.0748,0.0159,0,0.453
"11","Water Runs Dry","Boyz II Men",1995,"7yhmvQh1JOzbNiNFQo4Tfc",0.573,0.377,89.599,-12.9,0.0278,0.419,0,0.142
"12","Freak Like Me","Adina Howard",1995,"6Vas6h9lB5mmeVDXdFqlQA",0.655,0.837,91.014,-6.04,0.0723,0.0262,5.85e-06,0.0454
"13","Run-Around","Blues Traveler",1995,"3y8rEUEUdmAcPCpPoLotnO",0.58,0.899,152.311,-5.503,0.0818,0.0721,0,0.0942
