"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Irreplaceable","Beyonc<U+00E9>",2007,"6RX5iL93VZ5fKmyvNXvF1r",0.447,0.694,175.868,-4.637,0.382,0.0293,5.46e-06,0.167
"2","Umbrella","Rihanna",2007,"49FYlytm3dAAraYgpoJZux",0.579,0.821,174.063,-4.616,0.152,0.0117,0,0.0631
"3","The Sweet Escape","Gwen Stefani",2007,"66ZcOcouenzZEnzTJvoFmH",0.755,0.765,119.954,-3.475,0.0356,0.218,0,0.162
"4","Buy U a Drank (Shawty Snappin')","T-Pain",2007,"2aIdVb8v9KTpEZnftkz2mD",0.451,0.55,80.001,-8.137,0.262,0.0108,0,0.0737
"5","Before He Cheats","Carrie Underwood",2007,"0ZUo4YjG4saFnEJhdWp9Bt",0.519,0.749,147.905,-3.318,0.0405,0.271,0,0.119
"6","Hey There Delilah","Plain White T's",2007,"1NarGDteHRuDA9OfGyQ2MG",0.624,0.28,105.087,-10.415,0.029,0.861,1.51e-06,0.116
"7","I Wanna Love You","Akon",2007,"4xAk8Lw82G3YoVSOdVAsBx",0.866,0.46,99.98,-9.252,0.0423,0.0442,0,0.323
"8","Say It Right","Nelly Furtado",2007,"12MTkBZUoOC1BySWtVKLKr",0.872,0.875,116.952,-6.166,0.132,0.0496,0.000988,0.0469
"9","Don't Matter","Akon",2007,"7I6DceMT3utDOHjcYCbrr4",0.79,0.457,125.249,-6.231,0.0414,0.24,0,0.222
"10","Girlfriend","Avril Lavigne",2007,"5HbCnVLXRyZVxnreOPgJCK",0.56,0.959,163.983,-2.433,0.102,0.000738,0.000206,0.209
"11","Makes Me Wonder","Maroon 5",2007,"7FfRF16SWU2h6tfB4lOqtA",0.812,0.861,113.997,-2.415,0.036,0.00485,0.000245,0.0627
"12","Party Like A Rock Star","Shop Boyz",2007,"5kGCh49aqeRMkEOhQ9mcrW",0.617,0.689,145.053,-4.988,0.0412,0.00556,0,0.451
