"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","Physical","Olivia Newton-John",1982,"3FuL7jThtUAjneBm6puQNk",0.829,0.737,123.878,-8.181,0.0441,0.13,6.25e-05,0.284,222400
"2","Eye of the Tiger","Survivor",1982,"2KH16WveTQWT6KOG9Rg6e2",0.817,0.599,108.873,-9.249,0.0328,0.132,0.000311,0.0873,245640
"3","Ebony And Ivory","Paul McCartney",1982,"1h3bcnnIm72UnemGIfm0iZ",0.639,0.459,80.668,-15.045,0.0332,0.168,0,0.15,220773
"4","Centerfold","The J. Geils Band",1982,"2KCHzneNOkZjY1dxP1kBY4",0.646,0.852,114.523,-5.142,0.0481,0.3,0,0.371,217800
"5","Don't You Want Me - 2002 - Remaster","The Human League",1982,"7zhtLp2V3lNXdllknAqbKk",0.734,0.742,117.652,-8.021,0.0382,0.175,0,0.134,240533
"6","Jack And Diane","The Hit Crew",1982,"7bNBUALnqxUMmS8CPtqoSr",0.579,0.399,103.45,-11.103,0.0735,0.199,6.78e-06,0.0882,253187
"7","Hurts So Good","John Mellencamp",1982,"3D9aRFIrFGDnBJAmP6ODYW",0.809,0.739,125.456,-5.35,0.0358,0.0409,0.000163,0.0929,219360
"8","Hard To Say I'm Sorry","Chicago",1982,"2oBhNxof7wQmdSXg9kmHhs",0.339,0.529,65.182,-9.467,0.0412,0.188,0.00122,0.0884,306840
"9","Tainted Love","Soft Cell",1982,"1tVzVPIcCFz5QUMGLPHJEc",0.571,0.507,143.195,-9.085,0.0531,0.125,0,0.669,156907
"10","Chariots Of Fire","Vangelis",1982,"3hBgVOpgET0AGtdwc5D8Qy",0.48,0.378,136.379,-13.317,0.0328,0.0896,0.398,0.118,211209
"11","Harden My Heart","Quarterflash",1982,"05pie8YUidROFkxgfc2rzG",0.501,0.717,123.558,-5.35,0.0588,0.0823,0,0.136,232533
"12","Rosanna","Toto",1982,"2stDDUjxONwjQ9xCAUmqpL",0.537,0.698,82.624,-6.825,0.0337,0.0203,0.000722,0.306,330693
"13","I Can't Go for That (No Can Do) - Remastered","Daryl Hall & John Oates",1982,"0yT3JBkQzJNaS2mCXSPI8Z",0.873,0.373,110.67,-12.685,0.0464,0.0213,2.43e-05,0.0497,309267
"14","867-5309 / Jenny","Tommy Tutone",1982,"00MI0oGDVJYM1qWbyUOIhH",0.73,0.785,137.639,-7.201,0.0456,0.0418,0.00669,0.123,231080
"15","Key Largo","Bertie Higgins",1982,"3aGdlqp8i9lJAWG5nqfhUP",0.503,0.659,101.668,-6.829,0.0356,0.443,0,0.153,198947
"16","You Should Hear How She Talks About You","Melissa Manchester",1982,"4FDRce5rrUuAbsC5VKwSkz",0.797,0.678,132.934,-12.24,0.0514,0.133,0,0.119,255173
"17","Waiting For A Girl Like You (2008 Remastered LP Version)","Foreigner",1982,"1UrZVcINJBqjKw2rF8V0nm",0.321,0.522,202.689,-7.349,0.0339,0.404,9.56e-06,0.0922,288080
"18","Don't Talk to Strangers","Rick Springfield",1982,"0774xlCZ2HBLSSdO5sCZKI",0.798,0.662,123.178,-11.691,0.0471,0.206,0,0.0382,178933
"19","The Sweetest Thing (I've Ever Known)","Juice Newton",1982,"3EFgVWb1TAYP3CF17BB4fU",0.38,0.228,77.177,-14.373,0.0261,0.602,0,0.154,248133
"20","Always On My Mind","Willie Nelson",1982,"3mmn1eswXMsJec8POXQb7p",0.531,0.316,73.403,-12.264,0.0269,0.781,0.00307,0.138,212720
"21","Shake It Up","The Cars",1982,"5OWokvF4QOqMDQ8ByQsm6V",0.692,0.74,147.274,-7.466,0.0329,0.0723,8.83e-05,0.136,215440
"22","Let It Whip","Dazz Band",1982,"3bzwN2zFR5eF9tdNKSnbd4",0.857,0.816,131.99,-6.947,0.0598,0.217,8.21e-05,0.135,282647
"23","We Got The Beat","The Go-Go's",1982,"3BI2g3xaStu8g05HwlnvaZ",0.599,0.985,152.042,-6.696,0.0492,0.0328,0.0568,0.0318,150413
"24","The Other Woman","Ray Parker, Jr.",1982,"2vF3jM9QmkU1DcUu7vr8tv",0.902,0.633,125.698,-9.735,0.0532,0.136,0.000346,0.0906,245267
"25","Turn Your Love Around","George Benson",1982,"6a899bXlCuViXW2Qs8Rdqo",0.627,0.385,205.726,-13.655,0.0537,0.334,0,0.182,230107
"26","Sweet Dreams","Air Supply",1982,"0lQBXClJb9Z0gyzFXyohVB",0.339,0.442,127.738,-8.294,0.0317,0.392,8.09e-06,0.412,317093
"27","Only The Lonely - Digitally Remastered 99","The Motels",1982,"1BZMMt9H0TheQGWQy44KmO",0.649,0.313,115.493,-16.631,0.0339,0.0503,0.0017,0.0864,196200
"28","Who Can It Be Now?","Men At Work",1982,"29r3fDexnrto7WABfpblNH",0.807,0.83,128.501,-4.04,0.0367,0.0444,0.000358,0.0842,203267
"29","Hold Me","Fleetwood Mac",1982,"4kRMsLX7bJqjIfK44qJ9h6",0.709,0.571,124.739,-13.25,0.039,0.247,0.014,0.114,225333
"30","Eye in the Sky","The Alan Parsons Project",1982,"39qYD4J4BKvZMQgxfXl5bv",0.823,0.417,111.928,-12.643,0.032,0.562,0.00098,0.0765,276280
"31","Let's Groove","Earth, Wind & Fire",1982,"4ZXxmmsp1Nd7ejbHs2BNBG",0.877,0.557,125.543,-10.79,0.0723,0.0628,0.0023,0.145,334867
"32","Open Arms","Journey",1982,"1m2INxep6LfNa25OEg5jZl",0.311,0.257,75.336,-9.779,0.031,0.635,0,0.162,198667
"33","Leader Of The Band","Dan Fogelberg",1982,"6mxla84PBUMF4rrebq5kP4",0.538,0.129,125.58,-15.234,0.0391,0.825,0,0.979,293707
