"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Uptown Funk!","Mark Ronson (ft. Bruno Mars)",2015,"32OlwWuMpZ6b0aN2RZOeMS",0.856,0.609,114.988,-7.223,0.0824,0.00801,8.15e-05,0.0344
"2","Thinking Out Loud","Ed Sheeran",2015,"34gCuhDGsG4bRPIf9bb02f",0.781,0.445,78.998,-6.061,0.0295,0.474,0,0.184
"3","See You Again","Wiz Khalifa (ft. Charlie Puth)",2015,"7wqSzGeodspE3V6RBD5W8L",0.689,0.481,80.025,-7.503,0.0815,0.369,1.03e-06,0.0649
"4","Trap Queen","Fetty Wap",2015,"2d8JP84HNLKhmd6IYOoupQ",0.746,0.873,148.075,-3.803,0.128,0.0244,0,0.354
"5","Sugar","Maroon 5",2015,"2iuZJX9X9P0GKaE93xcPjk",0.751,0.768,120.084,-7.089,0.0346,0.052,0,0.0848
"6","Shut Up and Dance","Walk the Moon",2015,"4kbj5MwxO1bq9wjT5g9HaA",0.578,0.866,128.038,-3.804,0.0619,0.00701,0,0.257
"7","Watch Me","Silento",2015,"5RIVoVdkDLEygELLCniZFr",0.825,0.77,139.982,-8.508,0.134,0.265,0,0.334
"8","Earned It (Fifty Shades of Grey)","The Weeknd",2015,"2PIvq1pGrUjY007X5y1UpM",0.664,0.371,119.95,-5.959,0.0306,0.404,0,0.0971
"9","The Hills","The Weeknd",2015,"7fBv7CLKzipRk6EC6TWHOB",0.54,0.561,113.295,-6.987,0.0699,0.0635,0,0.137
"10","Cheerleader","OMI",2015,"2XPc8gL9PwxGURQFcFaDJR",0.777,0.663,118.016,-6.117,0.0305,0.146,1.52e-05,0.174
"11","Can't Feel My Face","The Weeknd",2015,"22VdIZQfgXJea34mQxlt81",0.711,0.783,107.972,-5.407,0.0423,0.109,0,0.0947
"12","Love Me Like You Do","Ellie Goulding",2015,"2l8w0zZVn4AZNuzrht7MRT",0.254,0.617,189.425,-6.612,0.0537,0.24,0,0.125
"13","Take Me to Church","Hozier",2015,"0aOluBqXYd0rFSCsgDyAWX",0.566,0.664,128.945,-5.303,0.0464,0.634,0,0.116
"14","Lean On","Major Lazer & DJ Snake (ft. MO)",2015,"5wldXGLEOoRXxMWJ8rIUWE",0.723,0.809,98.007,-3.081,0.0625,0.00346,0.00123,0.565
"15","Want to Want Me","Jason Derulo",2015,"7oGZAicScQt96OAW4AruYy",0.775,0.68,114.025,-5.508,0.0629,0.00906,0,0.109
"16","Where Are U Now","Skrillex & Diplo with Justin Bieber",2015,"66hayvUbTotekKU3H4ta1f",0.432,0.781,139.432,-4.038,0.0567,0.041,4.21e-06,0.0789
"17","Fight Song","Rachel Platten",2015,"37f4ITSlgPX81ad2EvmVQr",0.564,0.714,175.924,-4.987,0.129,0.0549,0,0.155
"18","679","Fetty Wap (ft. Remy Boyz)",2015,"5NQbUaeTEOGdD6hHcre0dZ",0.618,0.717,190.05,-5.738,0.318,0.00256,0,0.625
"19","Lips Are Movin","Meghan Trainer",2015,"6gj08XDlv9Duc2fPOxUmVD",0.775,0.825,139.091,-5.402,0.0464,0.0506,1.03e-06,0.111
"20","Worth It","Fifth Harmony (ft. Kid Ink)",2015,"41Fflg7qHiVOD6dEPvsCzO",0.884,0.765,99.987,-3.865,0.0882,0.063,7.04e-06,0.118
"21","Post To Be","Omarion (ft. Chris Brown & Jhene Aiko)",2015,"6p5abLu89ZSSpRQnbK9Wqs",0.733,0.676,97.448,-5.655,0.0432,0.0697,0,0.208
"22","Honey, I'm Good","Andy Grammer",2015,"4orphgwPHHRsdEkfUmANSD",0.753,0.796,122.025,-6.406,0.0576,0.0378,0,0.331
"23","I'm Not The Only One","Sam Smith",2015,"0fioLzGM8ngbD1w6fMmm45",0.453,0.496,80.994,-5.785,0.0453,0.554,2.65e-05,0.0772
"24","Good For You","Selena Gomez (ft. A$AP Rocky)",2015,"5XfywqPX6XBOdYQNbOaQvy",0.6,0.67,88.955,-6.455,0.0538,0.174,0,0.0746
"25","All About That Bass","Meghan Trainer",2015,"0ifSeVGUr7py5GggttDhXw",0.811,0.879,134.064,-3.724,0.0514,0.0476,1.91e-06,0.109
"26","Hotling Bling","Drake",2015,"0wwPcA6wtMf6HUMpIRdeP7",0.903,0.621,134.969,-8.132,0.0578,0.00302,0.000186,0.0504
"27","Hey Mama","David Guetta (ft. Nicki Minaj, Bebe Rexha & Afrojack)",2015,"5b2bu6yyATC1zMXDGScJ2d",0.596,0.73,85.979,-4.091,0.151,0.24,0,0.325
"28","G.D.F.R.","Flo Rida (ft. Sage The Gemini & Lookas)",2015,"26rdOwwjC2UnweK3xeS58u",0.657,0.827,145.889,-4.036,0.0734,0.000704,0.00534,0.065
