"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","End Of The Road","Boyz II Men",1992,"1c48FSKfpobDF3VzopU10V",0.642,0.421,74.849,-9.32,0.0237,0.074,0,0.0676
"2","Baby Got Back","Sir Mix-A-Lot",1992,"4pnUuOx2Y5CKqnu2EnUB7A",0.932,0.76,128.492,-7.835,0.281,0.00595,3.79e-06,0.0325
"3","Jump","Kris Kross",1992,"27AHAtAirQapVldIm4c9ZX",0.749,0.745,101.972,-10.625,0.164,0.000501,0.00403,0.333
"4","Save The Best For Last","Vanessa Williams",1992,"4yRUjOBsj0cpjabtum0fML",0.525,0.258,95.958,-14.465,0.0285,0.674,0,0.203
"5","Baby-Baby-Baby","TLC",1992,"1zTuB57LYZa7xu7KUH8kF0",0.679,0.597,184.174,-8.601,0.0439,0.0913,0.000673,0.0487
"6","Tears In Heaven","Eric Clapton",1992,"2lJOKQmXQ5yiRyCTE5FyDE",0.705,0.324,79.051,-11.217,0.0246,0.842,0.00386,0.201
"7","My Lovin' (You're Never Gonna Get It) - Live","En Vogue",1992,"1i5vkLObqwYuvcO4eb8hyI",0.593,0.885,100.182,-4.035,0.269,0.132,0,0.917
"8","All 4 Love","Color Me Badd",1992,"2q6D2o8qRY5vcOC4jut0ku",0.807,0.75,106.389,-8.29,0.0315,0.0347,0.00017,0.149
"9","Just Another Day","Jon Secada",1992,"5AoBNJQDXXEnIJGjJjZu3y",0.717,0.642,105.894,-10.727,0.0287,0.0194,0.000249,0.043
"10","I Love Your Smile","Shanice",1992,"5BE3DOk0C26VCMxxT84bec",0.669,0.813,93.905,-9.707,0.137,0.0119,9.58e-06,0.135
"11","To Be With You","Mr. Big",1992,"0Yi128S6QgQDnAKg5A0OZw",0.696,0.419,83.653,-7.289,0.0419,0.245,0,0.0785
"12","I'm Too Sexy","Right Said Fred",1992,"2WElktskrNJEwgpp5Vouxk",0.683,0.739,122.113,-12.831,0.0494,4.91e-05,0.0122,0.293
"13","Black or White - Remastered Version","Michael Jackson",1992,"2PdFSWL1Zpg0lRnujLnNJJ",0.52,0.86,114.999,-5.64,0.0817,0.117,0.072,0.072
"14","Achy Breaky Heart","Billy Ray Cyrus",1992,"5PuY53BL7j4zjTFPRRA2zL",0.768,0.723,121.828,-6.384,0.0288,0.0729,0,0.112
"15","I'll Be There","Mariah Carey",1992,"7zAgg3PU31pQAnzEY9dJPr",0.402,0.509,81.509,-9.392,0.0324,0.68,0,0.823
"16","November Rain","Guns N' Roses",1992,"11C3oTzP4WJ2UlU3TzHtCK",0.329,0.679,80.029,-8.219,0.0314,0.0259,0.315,0.123
"17","Life Is A Highway","Tom Cochrane",1992,"0hKF8N8aflF1uDzEEnPr2j",0.683,0.751,103.036,-10.184,0.0346,0.0681,8.36e-06,0.248
"18","Remember the Time","Michael Jackson",1992,"6v5O3M2svc11Z9TMr6yVxI",0.836,0.896,107.901,-3.506,0.0599,0.144,0.00334,0.3
"19","Finally","CeCe Peniston",1992,"0uqvSVhGgQTIdj9G51vhvv",0.807,0.653,120.08,-11.01,0.0474,0.00757,0,0.0505
"20","This Used To Be My Playground","Madonna",1992,"637V2ymBt4Ljlbz4EmRys8",0.499,0.308,75.91,-11.692,0.0264,0.754,0.000928,0.125
"21","Sometimes Love Just Ain't Enough","Patty Smyth",1992,"3CUV8wsoTTKznGpEovrnZw",0.557,0.448,82.98,-10.677,0.0248,0.35,0,0.213
"22","Can't Let Go","Mariah Carey",1992,"6zRlkREcJby1wIoyj6DFQ5",0.477,0.533,162.368,-11.049,0.0408,0.591,0.00685,0.139
"23","Jump Around","House Of Pain",1992,"2oTDOIAdsxPTE7yAp4YOcv",0.854,0.71,106.894,-6.32,0.0793,0.0113,8.72e-05,0.166
"24","Diamonds and Pearls - Edit","Prince",1992,"5lpv6SbsynNEvUVpLW74t0",0.548,0.659,81.001,-7.904,0.0345,0.0486,0.16,0.0676
"25","Don't Let the Sun Go Down on Me","George Michael",1992,"7l2xCa0dkGV3eiERFEXupj",0.444,0.458,137.241,-12.006,0.0301,0.481,6.49e-06,0.761
"26","Masterpiece","Atlantic Starr",1992,"6LmiFEbuHqw8xWJfVBEJyV",0.642,0.448,137.831,-10.418,0.0259,0.492,1.74e-05,0.0646
"27","If You Asked Me To","Céline Dion",1992,"1dfvK7X30CkKBOLQ2NfBCW",0.457,0.552,172.35,-6.644,0.0318,0.103,0,0.0317
"28","Giving Him Something He Can Feel","En Vogue",1992,"70aBlCLalffIq1c1cng6zO",0.496,0.298,203.824,-10.175,0.0405,0.306,1.72e-06,0.0875
"29","Live and Learn","Joe Public",1992,"4ScNzmyZZId9kGK9iXuqjn",0.745,0.891,106.641,-9.464,0.0746,0.0867,0,0.124
"30","Come & Talk To Me","Jodeci",1992,"1w837FKxs4YJJ2zp7W1pB6",0.598,0.798,172.068,-7.196,0.121,0.257,0,0.23
"31","Smells Like Teen Spirit","Nirvana",1992,"6FyfOXMpEkiIV6cuVx5PgH",0.5,0.878,116.697,-5.928,0.0484,1.64e-05,0.000249,0.112
"32","Damn I Wish I Was Your Lover","Sophie B. Hawkins",1992,"0RmEn2jcbyrLV4em3bnDZJ",0.563,0.806,95.188,-6.826,0.0496,0.281,1.49e-05,0.363
