"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Look Away - Remastered Version","Chicago",1989,"5VpJrXw5GRP0tSFXAzrRM5",0.394,0.557,172.912,-7.152,0.0324,0.464,0,0.112
"2","My Prerogative","Bobby Brown",1989,"1qT8Evm2p2jfVIq52G3wVs",0.77,0.608,110.148,-10.826,0.0536,0.0748,0,0.221
"3","Every Rose Has Its Thorn - 2003 - Remaster","Poison",1989,"2IJzqbcbQZjcca53yGkX7t",0.534,0.635,140.203,-5.562,0.0312,0.156,1.7e-05,0.378
"4","Straight Up","Paula Abdul",1989,"5xl5582IihbEZAnfj0xyso",0.769,0.826,95.862,-8.252,0.0624,0.267,0.0177,0.0638
"5","Miss You Much","Janet Jackson",1989,"4r5VaK6H1bq0cTGPMTN97Z",0.711,0.975,115.19,-7.903,0.0394,0.0309,0.000132,0.181
"6","Cold Hearted","Paula Abdul",1989,"6jrp8qBMJO6vhAeYVAsdk9",0.879,0.679,122.38,-8.59,0.0421,0.149,0.00871,0.0787
"7","Wind Beneath My Wings","Bette Midler",1989,"43yI1QeWjNMREDMQkz6MXM",0.51,0.458,123.694,-7.566,0.0289,0.551,0,0.0853
"8","Baby, I Love Your Way/Freebird","Will To Power",1989,"0kzSooCGpuphLwn8iTuO9h",0.625,0.435,150.829,-12.02,0.0286,0.02,0.00243,0.201
"9","Giving You The Best That I Got [Single Version]","Anita Baker",1989,"3Pba5taRKCsgkXyHycA0OX",0.629,0.537,105.301,-8.16,0.0337,0.739,0,0.237
"10","Right Here Waiting","Richard Marx",1989,"4LFwNJWoj74Yd71fIr1W8x",0.395,0.252,177.679,-13.589,0.0301,0.8,0,0.101
"11","Waiting for a Star to Fall","Boy Meets Girl",1989,"5J6dMtMyhaNCBojLxpdbzb",0.671,0.86,116.465,-5.192,0.0264,0.0775,2.15e-06,0.159
"12","Lost In Your Eyes","Debbie Gibson",1989,"1x3xnakIkZZGKi5B8ZZIrF",0.34,0.509,143.759,-7.154,0.0286,0.6,0.00122,0.112
"13","Don't Wanna Lose You","Gloria Estefan",1989,"5NFbzd8K2VHwrydjKVetIv",0.547,0.356,82.19,-14.127,0.0244,0.413,1.56e-06,0.128
"14","Heaven","Warrant",1989,"42J9ponGUZ7A9QlZQT6csY",0.537,0.512,142.047,-7.676,0.0258,0.076,0,0.0812
"15","The Look","Roxette",1989,"4N4iWVwNNXIH0qT5KUCIsp",0.634,0.838,95.011,-5.363,0.0413,0.0531,8.34e-06,0.0522
"16","She Drives Me Crazy","Fine Young Cannibals",1989,"2BPfKiV9U0CR1dpUgeUwuH",0.799,0.687,108.804,-5.682,0.0431,0.193,0.000188,0.0307
