"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","How You Remind Me","Nickelback",2002,"56NRHWyi7rKiiUgh72u0oO",0.545,0.777,85.974,-4.986,0.0265,0.000866,0,0.096,222800
"2","Foolish - Mainstream Edit","Ashanti",2002,"3NT4deyIUzzqL63rNHgYNM",0.644,0.574,90.213,-9.137,0.0682,0.379,0,0.129,207200
"3","Hot In Herre","Nelly",2002,"51FEdPwVSWCFspiWtt8gjJ",0.966,0.763,107.05,-4.495,0.145,0.243,0,0.0637,228533
"4","Wherever You Will Go","The Calling",2002,"37qI0mchgzUSeUhPiwUWPY",0.551,0.696,112.024,-6.192,0.0265,0.0392,0,0.127,209360
"5","A Thousand Miles","Vanessa Carlton",2002,"2JFEZO2ZxzffY0wd9MYEu3",0.512,0.712,94.888,-7.475,0.0322,0.375,0,0.142,238240
"6","In The End","Linkin Park",2002,"60a0Rd6pjrkxjPbaKzXjfq",0.553,0.9,105.213,-4.556,0.0584,0.0113,0,0.322,219000
"7","U Got It Bad","Usher",2002,"7J41dYQolQJEtj3UmKLu5r",0.816,0.5,124.037,-4.551,0.03,0.0227,1.53e-06,0.0733,247840
"8","Blurry","Puddle Of Mudd",2002,"45E1IBsdnZ4LqIDRORyjti",0.433,0.933,157.478,-4.505,0.0496,0.009,0,0.143,304600
"9","Complicated","Avril Lavigne",2002,"5o4cq6gKFAbR1V7wITwB7n",0.585,0.776,77.987,-5.898,0.0459,0.0572,7.74e-06,0.3,244507
"10","The Middle","Jimmy Eat World",2002,"5kD9T7GForh8LnRz5ClbL8",0.634,0.886,161.933,-3.466,0.0517,0.0291,0,0.342,168253
"11","U Don't Have to Call","Usher",2002,"5PCJldueshnwqQVjS16543",0.793,0.568,100.005,-4.958,0.0459,0.0478,3.57e-05,0.0304,269400
"12","Family Affair","Mary J. Blige",2002,"5q4I6I0ytvTKuYe1Fquxnx",0.914,0.551,92.889,-3.879,0.0455,0.133,2.61e-05,0.0841,265867
"13","Family Affair","Mary J. Blige",2002,"5q4I6I0ytvTKuYe1Fquxnx",0.914,0.551,92.889,-3.879,0.0455,0.133,2.61e-05,0.0841,265867
"14","My Sacrifice","Creed",2002,"0I4j0zbGVEHp1aUNeAacrO",0.314,0.87,146.284,-6.037,0.0479,9.64e-05,1.32e-06,0.108,295800
"15","Without Me","Eminem",2002,"5pBvNeOAJ54zgd5lEOmM3b",0.919,0.657,112.23,-2.823,0.0907,0.00293,0,0.356,291213
"16","Hero","Enrique Iglesias",2002,"2wvNUDkOu4Y5Ywi1Ju9lct",0.571,0.623,151.972,-6.181,0.0376,0.154,3.9e-05,0.103,264213
"17","All You Wanted","Michelle Branch",2002,"0kr6d8wHDQPlzuET33NVn6",0.499,0.72,96.103,-9.101,0.0286,0.00466,0.00303,0.122,217680
"18","Get the Party Started","P!nk",2002,"1lkC6oC7SbwgnEBEC05r64",0.799,0.903,128.926,-3.366,0.0448,0.00106,0,0.166,192227
"19","Wasting My Time","Default",2002,"5dpAN1mjFPL38kh9kWsCiw",0.449,0.776,148.11,-5.594,0.0322,0.00171,0,0.0698,269307
"20","One Last Breath","Creed",2002,"39xlKIt3AQlvCwLWhSurQB",0.376,0.72,130.656,-5.748,0.0351,0.0102,0.00171,0.209,239373
"21","Whenever, Wherever","Shakira",2002,"0RJWhctsc1G1Hg3Ov2th7x",0.793,0.832,107.647,-4.861,0.0405,0.265,6.84e-06,0.207,197027
"22","Soak Up The Sun","Sheryl Crow",2002,"7F1BUnd7mjogQZHZ2FcME1",0.711,0.715,120.002,-5.774,0.0426,0.0478,0,0.143,291413
"23","Don't Let Me Get Me - Radio Edit","P!nk",2002,"0aWVhnjyPm8xxBqNBCsHHw",0.578,0.884,98.239,-3.792,0.0942,0.00137,0,0.0572,210280
"24","A Moment Like This","Kelly Clarkson",2002,"6Far9mixuLOSu0Y5ectjfA",0.414,0.574,71.796,-3.884,0.0304,0.167,0,0.115,228267
"25","Happy","Ashanti",2002,"2Nu0P68oruhup6YcAi8On3",0.727,0.515,89.488,-6.553,0.0289,0.24,3.65e-06,0.13,262227
"26","No Such Thing - Demo Version","John Mayer",2002,"3ttEQBpVcb0Im3RovYPl3K",0.642,0.411,129.146,-9.484,0.0283,0.785,0.00384,0.103,229467
"27","Just Like a Pill","P!nk",2002,"7uz2Rk1sow6wLj3PCXfDeb",0.67,0.813,102.051,-3.509,0.0276,7.81e-05,0,0.0774,237480
"28","Can't Get You Out Of My Head","Kylie Minogue",2002,"7MoKXLQeI0Bh2QodCjDO4K",0.768,0.55,126.013,-7.604,0.034,0.0269,0.578,0.089,231480
"29","Superman (It's Not Easy)","Five For Fighting",2002,"5RbjZdW8vLZQJpRAZwNIdX",0.518,0.474,106.512,-8.34,0.0287,0.322,0,0.1,221173
"30","Cleanin' Out My Closet","Eminem",2002,"7wFmQutRb7XUDo2mlftXa2",0.905,0.767,147.983,-4.798,0.19,0.0772,0,0.12,298960
"31","Halfcrazy","Smooth Jazz All Stars",2002,"6BnLVX9hRn1ToxyQ2RwGXv",0.771,0.302,102.014,-14.589,0.0323,0.822,0.856,0.114,234933
"32","Lights, Camera, Action!","Mr. Cheeks",2002,"0MVMYjIk1N3nO8omHZRaOd",0.809,0.964,105.515,-6.178,0.118,0.128,0,0.321,264640
"33","Still Fly","Big Tymers",2002,"3R9qiUjvIuLYm1KWzh6E0L",0.675,0.607,177.928,-3.538,0.161,0.0302,8.67e-06,0.339,335613
"34","A Woman's Worth","Alicia Keys",2002,"1NRorokmYEtr1koWybvaE4",0.667,0.41,75.069,-8.323,0.138,0.331,0,0.064,303333
"35","7 Days","Craig David",2002,"6dN429DyfNQkDQJwBUFWrJ",0.622,0.823,166.019,-7.545,0.0512,0.216,0,0.0966,235213
"36","Work It","Missy Elliott",2002,"3jagJCUbdqhDSPuxP8cAqF",0.884,0.677,101.868,-5.603,0.283,0.0778,0,0.0732,263227
"37","Escape","Enrique Iglesias",2002,"0Y33wASIhTQpT54DIs5sF9",0.777,0.855,125.976,-5.322,0.0295,0.0216,0.000609,0.0949,207720
"38","More Than a Woman","Aaliyah",2002,"1v3pDQtNGDVTwFQ75IVKC2",0.644,0.637,86.99,-5.927,0.0914,0.0755,0.000587,0.32,232464
"39","Hella Good","No Doubt",2002,"64NrL8pIXLdpFyHQ92DX5l",0.777,0.673,115.133,-3.953,0.0351,0.0162,0.00892,0.0869,242253
"40","I Love You","Faith Evans",2002,"6gsmFgUiSTuinJlScwFODv",0.489,0.757,168.004,-4.062,0.0926,0.00981,0,0.234,267160
"41","Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield",2002,"267sk93o3IxlZzYnfTfKuZ",0.831,0.708,133.585,-7.265,0.0651,0.0769,5.3e-05,0.0864,162400
"42","Lose Yourself - Soundtrack Version","Eminem",2002,"0j5X6DrzkgY64Mm8NQp5mi",0.69,0.747,171.367,-4.583,0.264,0.00984,0.000685,0.355,326640
"43","Butterflies","Michael Jackson",2002,"5ADSOampCIetIqVvg4sawk",0.708,0.655,89.99,-2.69,0.0883,0.0583,2.1e-06,0.11,279160
"44","What About Us?","Brandy",2002,"5L10F9RikmCvAVOsNmFslE",0.686,0.698,93.118,-2.942,0.223,0.263,0,0.39,253200
"45","Underneath Your Clothes","Shakira",2002,"6biR1gMwcN71SDt3Eh4eEu",0.625,0.592,165.54,-5.279,0.0359,0.653,0,0.106,224427
"46","Differences","Ginuwine",2002,"4qZ73jhiSZIfH9QfAZWIwo",0.561,0.542,62.802,-6.132,0.0605,0.347,0,0.274,265787
