"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Like A Virgin","Madonna",1985,"1iaIEmZHrjGzWUmJ9BaFr6",0.775,0.8,119.725,-3.338,0.036,0.365,0.000216,0.0976
"2","Wake Me Up Before You Go-Go","Wham!",1985,"5XsMz0YfEaHZE0MTb1aujs",0.618,0.764,81.366,-6.027,0.0562,0.186,0,0.12
"3","I Want To Know What Love Is (2008 Remastered Version)","Foreigner",1985,"5DeXQ3qADuDmqsosnZAK3o",0.48,0.529,81.527,-7.825,0.0275,0.17,4.27e-06,0.257
"4","I Feel For You","Chaka Khan",1985,"26vKwxgkbm2jcKyjvmScPK",0.794,0.925,124.884,-3.778,0.0625,0.012,0.319,0.197
"5","Out of Touch - Remastered","Daryl Hall & John Oates",1985,"7o67roCVsFiCt7Cf0ZLOJq",0.806,0.649,114.834,-9.004,0.0347,0.0391,5.55e-05,0.0557
"6","Everybody Wants To Rule The World","Tears For Fears",1985,"76798uYU1DhBRVWxSo1bhY",0.687,0.886,112.073,-8.219,0.0485,0.38,0.00646,0.0702
"7","Money For Nothing","Dire Straits",1985,"4yqtwO7MQIIXqoiRBPHAgR",0.667,0.655,134.212,-9.339,0.0367,0.0491,0.000894,0.0641
"8","Crazy For You","Madonna",1985,"6B4oVElDIKRNcNUary0WG7",0.662,0.719,95.001,-6.606,0.0298,0.107,0,0.102
"9","Take On Me","a-ha",1985,"1nbMkRhfldXcmCyB83x8lK",0.42,0.955,169.209,-3.92,0.178,0.00582,0.000511,0.0931
"10","Everytime You Go Away","Paul Young",1985,"0IpfTMKENGLJcULkMnU8Rb",0.607,0.643,164.256,-11.493,0.0435,0.177,0.000153,0.118
"11","Easy Lover","Philip Bailey",1985,"6OqvA8eljqHDFTso8szjCe",0.75,0.744,128.91,-11.533,0.0359,0.0611,0.00297,0.0753
