"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","Macarena","Los Del Rio",1996,"4oaj36KzXRgDg4McgcTsZK",0.927,0.721,103.018,-12.561,0.0908,0.422,4.36e-05,0.0422,249382
"2","Macarena","Los Del Rio",1996,"4oaj36KzXRgDg4McgcTsZK",0.927,0.721,103.018,-12.561,0.0908,0.422,4.36e-05,0.0422,249382
"3","One Sweet Day - w / Mariah Carey","Boyz II Men",1996,"5OnnCaaLL6ooi2JBWI2Y7t",0.569,0.522,128.216,-8.229,0.0297,0.377,0,0.0848,279440
"4","Because You Loved Me","C<U+00E9>line Dion",1996,"6hRcrByB9i6rYRiHNh170N",0.611,0.507,119.92,-7.975,0.0305,0.304,0,0.107,273067
"5","Nobody Knows","The Tony Rich Project",1996,"2PsHIonOTmX6bSrzIJSjyS",0.64,0.433,176.086,-9.432,0.0374,0.509,4.9e-06,0.103,306933
"6","Always Be My Baby","Mariah Carey",1996,"2aBxt229cbLDOvtL7Xbb9x",0.649,0.531,78.946,-8.335,0.0363,0.457,0,0.249,258133
"7","Tha Crossroads","Bone Thugs-N-Harmony",1996,"0UUSebzzrC8hKiVcX8fBsz",0.684,0.434,144.273,-9.791,0.0618,0.0824,0,0.256,222667
"8","I Love You Always Forever","Donna Lewis",1996,"1PEqh7awkpuepLBSq8ZwqD",0.744,0.453,103.773,-11.977,0.0348,0.627,0.421,0.0898,239960
"9","You're Makin' Me High","Toni Braxton",1996,"32VygCu5knUb9ZmC5acyKZ",0.848,0.555,92.126,-9.167,0.0369,0.0105,1.15e-05,0.0673,267262
"10","Twisted","Keith Sweat",1996,"69QIVIjPMnI1ABLBqh9P1b",0.615,0.514,175.849,-9.759,0.0466,0.393,0,0.248,260667
"11","C'Mon 'N' Ride It (The Train)","Quad City DJ's",1996,"5ScNcfIXafszKASP7Qrwdi",0.836,0.933,136.009,-6.303,0.128,0.1,0,0.376,243946
"12","Missing","Everything But The Girl",1996,"411Ecgzht1ky1mKDSl1N7R",0.676,0.486,123.555,-10.457,0.0327,0.0812,6.08e-05,0.121,247200
"13","Ironic","Alanis Morissette",1996,"29YBihzQOmat0U74k4ukdx",0.456,0.635,170.652,-5.731,0.0573,0.245,0,0.194,228573
"14","Exhale - Shoop Shoop","Whitney Houston",1996,"40Jt7Gswodpx1WNddCpBDQ",0.656,0.429,137.952,-7.903,0.0307,0.43,0,0.158,201573
"15","Til I Hear It From You","Gin Blossoms",1996,"2vaF3iStySjdbbIJBe04P7",0.576,0.744,124.42,-7.95,0.03,0.118,0,0.304,228902
"16","Sittin' Up In My Room","Brandy",1996,"4330XmgVWlx98Y3Naswycg",0.796,0.515,93.278,-8.083,0.0276,0.245,0.00196,0.0515,292067
"17","How Do U Want It - (Explicit)","2Pac",1996,"06jYyAmf4jhb7nxmUO1I6V",0.832,0.854,92.479,-2.243,0.0982,0.125,1.13e-06,0.0493,286893
"18","It's All Coming Back to Me Now","C<U+00E9>line Dion",1996,"62WlC9unRXGdRIULjishS0",0.429,0.487,89.835,-7.074,0.0348,0.752,0,0.0972,456333
"19","Change The World","Eric Clapton",1996,"6BQNJ0JFKh8sWjQLI6Zudi",0.721,0.558,96.887,-8.8,0.0246,0.492,0.00563,0.113,234867
"20","Hey Lover","LL Cool J",1996,"1eQZwiUWnnrem5a7sSexZd",0.707,0.477,88.075,-10.931,0.0683,0.338,0,0.108,284707
"21","Insensitive","Jann Arden",1996,"2OqkSQe1kA8oRgEbw064dS",0.508,0.452,178.695,-10.436,0.0269,0.117,7.5e-05,0.154,257840
"22","Name","The Goo Goo Dolls",1996,"1G8jae4jD8mwkXdodqHsBM",0.464,0.701,73.97,-5.943,0.0341,0.0691,0.00182,0.0766,270000
"23","Who Will Save Your Soul","Jewel",1996,"1SYXw0U7vE9BpUw5bEFvKw",0.686,0.467,126.179,-9.712,0.0419,0.704,0.00103,0.13,239293
"24","Where Do You Go","No Mercy",1996,"1i7Gv6yN5aCyygveod0QDH",0.729,0.816,127.053,-11.018,0.032,0.0354,0.0947,0.0866,272200
"25","I Can't Sleep Baby (If I)","R. Kelly",1996,"4h1iaLi1bn9x5xRWGHT3TS",0.701,0.515,120.202,-7.899,0.0326,0.23,0,0.262,330720
"26","Counting Blue Cars","Dishwalla",1996,"1eRRcsUU6ItJmKA3YXoiy5",0.237,0.822,93.912,-7.435,0.0822,0.00122,0.139,0.897,514467
"27","You Learn","Alanis Morissette",1996,"3V5qEaGZr52PrvHQ1n9JLI",0.468,0.778,84.383,-4.528,0.0338,0.00607,0,0.0895,239400
"28","One Of Us","Joan Osborne",1996,"1xNmF1Uep5OGutizZSbKvd",0.474,0.502,87.612,-7.988,0.0254,0.0136,1.31e-05,0.119,321400
