"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","Faith - Remastered","George Michael",1988,"0HEmnAUT8PHznIAAmVXqFJ",0.887,0.48,95.846,-11.994,0.117,0.0094,3.58e-05,0.0662,193200
"2","Need You Tonight","INXS",1988,"5eU8qMd0TpaLqTGDZJaLDs",0.801,0.723,109.03,-4.985,0.0689,0.0713,0.154,0.0675,180518
"3","Never Gonna Give You Up","Rick Astley",1988,"4uLU6hMCjMI75M1A2tKUQC",0.721,0.939,113.309,-11.823,0.0376,0.115,3.79e-05,0.108,213573
"4","Sweet Child O' Mine","Guns N' Roses",1988,"1u1DBObkLFscNCpRpXbYb9",0.45,0.941,125.138,-4.725,0.0489,0.138,0.123,0.108,355267
"5","So Emotional","Whitney Houston",1988,"2tvBAdXx4spqu0aqT1jRs4",0.701,0.808,119.074,-10.011,0.0505,0.274,6.83e-05,0.0986,278707
"6","Heaven Is A Place On Earth","Belinda Carlisle",1988,"15vASgdsk0J4BrkZhVTxFG",0.637,0.777,122.886,-10.693,0.0335,0.0321,2.33e-06,0.0863,245960
"7","Could've Been","Tiffany",1988,"1xvGuRbLxTkpb5UdUG7HME",0.467,0.256,99.304,-15.507,0.0279,0.525,7.74e-06,0.099,212693
"8","Hands To Heaven - Original Hit Version","Breathe",1988,"1cVXMYFOGZHKqoj5pKTtpi",0.528,0.666,128.732,-3.446,0.0329,0.17,1.03e-05,0.274,258200
"9","Roll With It","Steve Winwood",1988,"2QlPByrmEO9XciNBXCrawR",0.759,0.645,117.254,-13.352,0.0276,0.07,0.0403,0.0986,320733
"10","One More Try - Remastered","George Michael",1988,"5932kbyNt445gDTT2chRUS",0.551,0.291,119.005,-12.544,0.0283,0.434,3.78e-05,0.11,350667
"11","Wishing Well","Terence Trent D'Arby",1988,"2bvzxeD1hPWEYotw40Euq9",0.855,0.461,104.96,-13.096,0.0564,0.0965,0,0.201,210467
"12","Anything For You","Gloria Estefan And Miami Sound Machine",1988,"6dN8EgnEE9Nbr79NYrijkQ",0.569,0.456,143.959,-10.103,0.0336,0.642,0,0.0519,226107
"13","The Flame","Cheap Trick",1988,"6n10sBG0onSNsFgTy0PILf",0.626,0.539,96.993,-10.533,0.0265,0.539,1.05e-05,0.0967,274547
"14","Get Outta My Dreams, Get into My Car","Billy Ocean",1988,"3v8vsQfMQio7ohYqFrEsaZ",0.661,0.911,117.147,-6.571,0.0417,0.0557,5.68e-06,0.349,333507
"15","Seasons Change - 7"" Version","Exposé",1988,"0f24hVOA4gLM8imuvoQ0Uh",0.599,0.618,174.244,-10.795,0.0322,0.223,0.00017,0.326,256800
"16","Is This Love","Whitesnake",1988,"2PoIKrT2WSEvJlJjlO6eKY",0.339,0.632,180.29,-11.465,0.0321,0.0779,0,0.128,285067
"17","Wild Wild West","The Escape Club",1988,"4Qn1QhHhUT01LfpBnC7xnf",0.724,0.907,139.016,-4.78,0.0632,0.0187,4.97e-06,0.0824,244827
"18","Pour Some Sugar On Me - Live","Def Leppard",1988,"3YdhuJjqZaJKC4xWKUUyYl",0.376,0.936,88.509,-5.32,0.108,0.000392,1.19e-05,0.95,305826
"19","I'll Always Love You","Taylor Dayne",1988,"3Zzb3YPzYL1vRtLF0IlDWp",0.617,0.405,85.302,-10.975,0.0227,0.321,4.97e-06,0.102,270600
"20","Man in the Mirror - Remastered Version","Michael Jackson",1988,"1nl09AjkuO7BBRF3BFAPsC",0.803,0.813,100.339,-4.889,0.0362,0.443,9.88e-06,0.111,319493
"21","Shake Your Love","Debbie Gibson",1988,"6gM3uxq9TPkms83bTSlK10",0.783,0.747,120.551,-10.681,0.0478,0.405,0,0.0568,222933
"22","Simply Irresistible","Robert Palmer",1988,"0bSr5pybJSlgG5OZH441gF",0.69,0.841,142.782,-13.357,0.0384,0.163,2.78e-06,0.0441,255093
"23","Hold On To The Nights","Richard Marx",1988,"3F2YXxSOC9dPmxXdrh6mYl",0.353,0.207,144.539,-14.718,0.0306,0.656,0,0.0874,316040
"24","Hungry Eyes","Eric Carmen",1988,"25BxqC9Yo7TQ175DLAyMJs",0.703,0.517,110.52,-12.093,0.0254,0.0215,0,0.0953,248267
"25","Shattered Dreams - 2008 Digital Remaster","Johnny Hates Jazz",1988,"5KXKhCfPNS4342ly8tTf6w",0.655,0.72,121.311,-9.423,0.0312,0.0318,4.71e-05,0.25,207347
"26","Father Figure - Remastered","George Michael",1988,"0L0T4tMAaGqLgIVj1MOj9t",0.689,0.333,101.988,-13.288,0.0262,0.163,3.36e-05,0.0853,336667
"27","Naughty Girls (Need Love Too)","Samantha Fox",1988,"1kCDxLOz1abPEbVtFBpkl1",0.818,0.612,112.819,-14.401,0.0999,0.0464,0.0136,0.0716,311293
"28","A Groovy Kind Of Love","Phil Collins",1988,"5huh0htdiJDatAtbHLtpfz",0.46,0.182,144.066,-14.711,0.0303,0.283,2.57e-05,0.101,209333
"29","Love Bites - Live","Def Leppard",1988,"6iCCvEH7xhkcsFTXnLVLIK",0.316,0.802,131.491,-6.234,0.0377,0.00448,4.17e-05,0.918,448240
"30","Endless Summer Nights","Richard Marx",1988,"2iXH35MhsqO5Ry8a7iptpJ",0.582,0.467,165.21,-12.597,0.0391,0.12,0,0.298,270693
"31","Foolish Beat","Debbie Gibson",1988,"3nyNWWK7Be6E6EUHtQrvvW",0.451,0.525,155.919,-8.578,0.0255,0.153,9.36e-05,0.337,274347
"32","Where Do Broken Hearts Go","Whitney Houston",1988,"709znSutWha3sQdPgdSO00",0.573,0.502,123.797,-7.283,0.0268,0.58,0,0.0784,275267
"33","Angel","Aerosmith",1988,"0Kpc3tRv7oC1pVPQV1ikiu",0.406,0.789,85.645,-4.71,0.0321,0.276,0,0.087,306933
"34","Hazy Shade of Winter","The Bangles",1988,"0P2vAvvWni2tNXOdbH3JFk",0.48,0.866,150.43,-7.142,0.0446,0.00887,0,0.097,167160
"35","The Way You Make Me Feel - Single Version","Michael Jackson",1988,"7KFThZQCAcj8JXdPRtdrXE",0.738,0.812,171.76,-6.035,0.182,0.0497,0.000168,0.102,266347
"36","Don't Worry Be Happy","Bobby McFerrin",1988,"4hObp5bmIJ3PP3cKA9K9GY",0.675,0.166,68.837,-22.602,0.171,0.88,7.14e-05,0.0461,294400
"37","Make Me Lose Control - Digitally Remastered 1997","Eric Carmen",1988,"31HhcRSNcS8Rgv9ldIfh66",0.723,0.576,109.043,-10.471,0.0248,0.06,0,0.121,285000
"38","Red Red Wine - 12'' Version","UB40",1988,"1tOE1dIyIjsfLJWiQ4ZRJW",0.814,0.363,89.157,-15.675,0.0644,0.00614,0.000177,0.101,320933
"39","She's Like the Wind","Patrick Swayze",1988,"3d4I2tQUz16S8gesU2pLSM",0.596,0.349,124.932,-14.097,0.0295,0.273,2.38e-05,0.167,232240
"40","Bad Medicine","Bon Jovi",1988,"0ZbYgFfUB0GZH2nFEH9DVO",0.529,0.981,118.69,-2.077,0.0365,0.0235,0,0.0794,316520
"41","I Don't Wanna Go On With You Like That","Elton John",1988,"4hiIkbV6VqAtVhaX8TijiB",0.679,0.768,135.41,-8.602,0.0386,0.000164,0.129,0.0652,441400
"42","Together Forever","Rick Astley",1988,"1N9bMjIVVq2gLMbAecDnul",0.669,0.989,115.158,-5.448,0.0464,0.186,3.12e-05,0.123,201503
"43","Monkey - Remastered","George Michael",1988,"2nzPzkGP9QSZ1lqvXTfyzT",0.683,0.879,97.062,-9.487,0.0459,0.0955,0.0828,0.448,306120
"44","Devil Inside","INXS",1988,"2LcvSXZhzngl9Zwxlh34sN",0.572,0.716,75.234,-6.375,0.0559,0.00449,0.566,0.134,313467
"45","Should've Known Better","Richard Marx",1988,"5j1zOOvkxxe4uZZ2Jgl8r4",0.548,0.704,169.119,-13.061,0.0402,0.0751,0.00051,0.0463,250240
"46","I Don't Wanna Live Without Your Love - Remastered Version","Chicago",1988,"7egxDkaA0A2vXaB6p7zJvo",0.425,0.641,145.745,-6.672,0.0384,0.177,3.94e-05,0.065,235787
"47","The Locomotion - Live in New York","Kylie Minogue",1988,"2UkbUBGDyf2CMXNuWi7CvQ",0.332,0.628,142.397,-6.791,0.0676,0.668,0,0.863,296543
"48","What Have I Done To Deserve This? (With Dusty Springfield) - 2001 Remastered Version","Pet Shop Boys",1988,"1UfEtRArkQFUUY6gtR69sO",0.711,0.875,118.022,-5.24,0.0336,0.129,0.00126,0.159,260413
"49","Make It Real","The Jets",1988,"3sasIFIs1FUbB9gp03JUts",0.662,0.319,80.02,-12.333,0.035,0.171,2.43e-06,0.104,259720
"50","What's On Your Mind - Pure Energy","Information Society",1988,"1k82KNC5Ds6HRUXbf6EaHE",0.766,0.734,118.221,-11.217,0.056,0.00665,0.0238,0.209,275533
"51","Tell It to My Heart","Taylor Dayne",1988,"0uyoXwOQ3U5tGfNNmR5Y1p",0.679,0.934,118.092,-10.949,0.0477,0.0542,3e-05,0.177,220467
"52","Out Of The Blue","Debbie Gibson",1988,"3A0wRQczzSNVtZfK8IBOMt",0.655,0.649,125.592,-10.018,0.0295,0.0188,3.13e-06,0.186,233333
"53","Don't You Want Me","Jody Watley",1988,"7r4ZN8F22eBQeN0aMqwzgN",0.88,0.588,111.985,-12.532,0.0395,0.0668,9.16e-06,0.0515,253600
"54","Desire","U2",1988,"4D01oA1mGouaAT7fubvKRT",0.498,0.826,108.536,-9.456,0.0462,0.000216,0.00274,0.11,179360
"55","I Get Weak","Belinda Carlisle",1988,"4Izbs7Qd0mXaDtnX7X5p7o",0.579,0.724,103.384,-10.574,0.0285,0.354,1.73e-06,0.1,293107
"56","Sign Your Name","Terence Trent D'Arby",1988,"3LwKYLjjQJfMjirlY61uW9",0.89,0.537,109.153,-6.792,0.0434,0.181,5.69e-06,0.0652,276427
"57","I Want To Be Your Man (Remastered Version)","Roger",1988,"7lJgjvQRJEXcdu19n3Zn5T",0.408,0.513,81.925,-12.146,0.0762,0.0468,0,0.112,251333
"58","Girlfriend - Radio Edit","Pebbles",1988,"7ETvGW4DrxnocSxcrJOL90",0.814,0.765,119.062,-9.365,0.0508,0.135,0.316,0.134,344307
"59","Dirty Diana","Michael Jackson",1988,"5sqPn6Z32jbyYI59O8D9lg",0.745,0.769,131.407,-5.644,0.0539,0.247,0.000388,0.291,280760
"60","Mercedes Boy","Pebbles",1988,"1ci5FGk5faD2gWyYl995yw",0.799,0.335,114.779,-14.812,0.0768,0.0549,0.0159,0.31,295893
"61","Perfect World - 2006 Digital Remaster","Huey Lewis & The News",1988,"0WBHEpJjcLd0tkuoClGboV",0.769,0.811,110.749,-5.609,0.0303,0.16,0,0.166,247000
"62","New Sensation","INXS",1988,"2bxY1baYlyXNzmjOkFvqId",0.68,0.967,115.748,-2.771,0.0664,0.0661,1.75e-06,0.0808,219813
"63","Catch Me I'm Falling","Pretty Poison",1988,"6zVXRnA6LkhMpHpJsyUbQv",0.745,0.853,118.61,-7.257,0.038,0.00325,0.164,0.0688,294373
"64","If It Isn't Love","New Edition",1988,"6oGPZcErzd9Hjw3E4sDBrq",0.606,0.879,97.955,-11.421,0.0391,0.114,1.79e-05,0.381,310293
"65","Rocket 2 U","The Jets",1988,"5a32EAeh9xKF6KK5osk1jt",0.886,0.633,119.509,-6.98,0.0465,0.0144,1.93e-05,0.108,258893
"66","One Good Woman","Peter Cetera",1988,"7ttAAvkXzs3IC1Qm3H1N3k",0.761,0.48,124.163,-14.141,0.0298,0.537,0.000151,0.0535,277973
"67","Don't Be Cruel","Cheap Trick",1988,"5vxfS9zboIlkCU3tHdGvB1",0.545,0.62,167.935,-12.835,0.0347,0.0318,6.62e-05,0.372,188333
"68","Candle In The Wind","Elton John",1988,"1ZvS1DmW1cF0oknYGCVNK7",0.6,0.414,124.43,-13.182,0.0291,0.172,5.91e-06,0.264,228000
"69","Everything Your Heart Desires - Remastered 2003","Daryl Hall & John Oates",1988,"4wU74pLflJoS9UpWKUiFRN",0.706,0.836,99.9,-6.93,0.0419,0.178,0,0.276,299760
"70","Say You Will (2008 Remastered LP Version)","Foreigner",1988,"6oXa5pLk2L2ZfmeUPHxP35",0.693,0.816,126.068,-4.488,0.027,0.195,0,0.0406,255520
"71","I Want Her","Keith Sweat",1988,"4v2FrTDC6TcMt8AUj6U6Uz",0.74,0.467,107.848,-12.066,0.0425,0.0145,1.55e-06,0.173,360107
"72","Pink Cadillac","Natalie Cole",1988,"3ApyzBQoR5c6vSyMlUwrwI",0.901,0.576,124.995,-10.314,0.0566,0.41,9.72e-05,0.0447,268667
"73","Fast Car","Tracy Chapman",1988,"2M9ro2krNb7nr7HSprkEgo",0.711,0.292,103.951,-15.523,0.037,0.313,0,0.131,296800
"74","The Valley Road","Bruce Hornsby",1988,"15Hgsooff9mLjxUhg2uXZz",0.619,0.55,126.163,-9.682,0.0291,0.411,0.00637,0.0835,282293
"75","Don't Be Cruel - Radio Edit","Bobby Brown",1988,"5hVGFQDpLRzVUVrZ4tKOnG",0.746,0.907,101.821,-6.92,0.0404,0.000287,2.34e-06,0.05,295067
"76","Always On My Mind - 2003 Remastered Version","Pet Shop Boys",1988,"2SWn864dJI5RNyrp3F4Kp1",0.533,0.889,124.768,-4.566,0.0362,0.00366,0.0593,0.338,237653
"77","Piano In The Dark","Brenda Russell",1988,"70RPjUR5l0jmBQndfNXP0z",0.737,0.317,99.735,-16.973,0.0252,0.428,0.000114,0.0924,320800
"78","When It's Love","Van Halen",1988,"7gG1RvwQRrofiL3tvq8pBI",0.563,0.623,99.34,-12.327,0.0252,0.0494,0.000159,0.184,337907
"79","Don't Shed A Tear - Original Hit Version","Paul Carrack",1988,"1iIJqJ2TkadCzgxaDwu2Wd",0.644,0.657,109.785,-11.167,0.0307,0.0609,7.55e-05,0.0498,295427
"80","We'll Be Together","Sting",1988,"22FshJbV8R7yYuPwYyZwM6",0.846,0.689,116.439,-9.812,0.0444,0.127,0,0.0644,231000
"81","I Hate Myself for Loving You","Joan Jett",1988,"2HXixVqzzm9rEUIMAWzshl",0.611,0.883,117.928,-11.225,0.0539,0.0846,1.2e-06,0.192,246800
"82","I Don't Want To Live Without You (2008 Remastered LP Version)","Foreigner",1988,"0s4oyRzaYgi8L1djUKlpXl",0.415,0.598,199.76,-6.21,0.0317,0.446,5.24e-05,0.0954,237467
"83","Nite And Day","Al B. Sure!",1988,"1acz4dYqwZTZw6TgRBmmf2",0.655,0.477,92.097,-9.616,0.0421,0.029,0.000221,0.0518,238013
"84","Don't You Know What The Night Can Do?","Steve Winwood",1988,"5Pm6zNr7i5606OzSc3vs4v",0.597,0.381,171.983,-17.251,0.0355,0.223,0.00108,0.0624,415333
"85","One Moment in Time","Whitney Houston",1988,"3jaUZhLiZOcgoJiGGd3hFD",0.267,0.571,155.886,-5.994,0.0333,0.422,0,0.122,284640
"86","Can't Stay Away from You","Gloria Estefan",1988,"2iCTC5llCMML8tQq2jvk4a",0.588,0.381,155.706,-11.976,0.0403,0.547,9.51e-05,0.0516,236760
"87","Kissing a Fool - Remastered","George Michael",1988,"1sEGwuvScFU2uNzlI7Aepy",0.28,0.384,77.949,-9.845,0.031,0.114,1.33e-06,0.0831,280720
"88","Cherry Bomb","John Mellencamp",1988,"1NkoPsSffzDOir92bPzmML",0.753,0.938,113.837,-3.267,0.0289,0.0433,1.12e-06,0.0635,287067
"89","I Still Believe - English Version","Brenda K. Starr",1988,"7D8LfO2ijOq9DnaVntnc3Q",0.546,0.563,58.996,-8.778,0.0283,0.279,0,0.102,229240
"90","I Found Someone","Cher",1988,"7cm9QkrwSWH0scegcO8XZ2",0.54,0.568,102.904,-10.804,0.0269,0.59,0,0.152,224360
"91","Never Tear Us Apart","INXS",1988,"1qQSRy9DjrGh3jtsSCU6B1",0.665,0.686,96.848,-5.849,0.0268,0.0518,0.000176,0.174,185694
"92","Valerie","Steve Winwood",1988,"3nQuDlaVZApyrG6tdsETe0",0.722,0.518,116.289,-10.78,0.0296,0.593,0.00453,0.0854,246667
"93","Just Like Paradise","David Lee Roth",1988,"13wQ3arfFztwlASWhx6RBg",0.611,0.853,135.558,-4.983,0.034,0.0219,0,0.671,243280
"94","Nothin' But A Good Time - 2006 - Remaster","Poison",1988,"1NW32mer4GFgDvDZ0idTUt",0.57,0.973,129.073,-2.771,0.0763,0.0182,0,0.203,223667
"95","Wait","White Lion",1988,"6JfuiqeGiP8CM7WsKp9EZ4",0.201,0.786,149.413,-7.601,0.0606,0.00142,0,0.148,297933
"96","Prove Your Love","Taylor Dayne",1988,"6bN9fDpAkPA7qkAH6LmVlW",0.537,0.913,118.898,-9.892,0.0392,0.243,1.61e-05,0.399,206440
