"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Believe","Cher",1999,"2goLsvvODILDzeeiT4dAoR",0.652,0.917,132.975,-6.72,0.0548,0.0082,0,0.0509
"2","No Scrubs","TLC",1999,"0x71Ua6hHfdKWgk4XPmNn6",0.799,0.642,92.907,-5.523,0.13,0.0463,0,0.0616
"3","Heartbreak Hotel","Whitney Houston",1999,"3EIzVtVW78E6qJqYTa0WUx",0.717,0.54,133.809,-7.496,0.0689,0.046,0,0.0264
"4","...Baby One More Time","Britney Spears",1999,"3MjUtNVVq3C8Fn0MP3zhXa",0.759,0.699,92.96,-5.745,0.0307,0.202,0.000131,0.443
"5","Kiss Me","Sixpence None The Richer",1999,"75fuzn623bYyKISKlFHdCw",0.529,0.741,100.004,-5.661,0.0268,0.116,1.23e-06,0.0736
"6","Genie In A Bottle (Album Version)","Christina Aguilera",1999,"4gW7mm93XKmqdPduQ3bpqS",0.618,0.794,175.822,-6.985,0.126,0.173,0.000226,0.144
"7","Every Morning - Remastered","Sugar Ray",1999,"6Neq7tjnknt4URNI8txFL4",0.829,0.674,109.917,-4.493,0.0362,0.0838,0.00174,0.102
"8","Nobody's Supposed to Be Here","Deborah Cox",1999,"51QxenFmXlJXUN9mpvxlaL",0.662,0.531,119.957,-5.3,0.0361,0.202,1.16e-05,0.595
"9","Livin' la Vida Loca","Ricky Martin",1999,"0Ph6L4l8dYUuXFmb71Ajnd",0.425,0.954,178.043,-3.756,0.0476,0.00411,0,0.0555
"10","Where My Girls At","702",1999,"4VSyH8AkIt3kaR5xIPFVVi",0.719,0.736,92.179,-7.517,0.052,0.0373,0.0028,0.193
"11","If You Had My Love","Jennifer Lopez",1999,"1EQgbMBc304Ss86dXBulJA",0.68,0.625,94.02,-7,0.0353,0.0645,5.81e-05,0.109
"12","Slide","The Goo Goo Dolls",1999,"0eG5CqXwJpa5MBjYyg1lRm",0.371,0.845,112.198,-4.199,0.0399,0.00753,0,0.0556
"13","I Want It That Way","Backstreet Boys",1999,"6e40mgJiCid5HRAGrbpGA6",0.689,0.702,99.031,-5.642,0.0261,0.216,0,0.159
"14","I'm Your Angel","C<U+00E9>line Dion",1999,"02nsNxmxmRKR4Tbv3Fcbfh",0.604,0.514,112.689,-7.381,0.029,0.682,0,0.231
"15","All Star","Smash Mouth",1999,"19fm0eNKTeg1JbHCHwPhLe",0.738,0.861,104.027,-5.916,0.0324,0.0369,0,0.0942
"16","Angel","Sarah McLachlan",1999,"0LUT6tGAPHda6esgouKDmi",0.532,0.0744,117.131,-16.092,0.0355,0.949,1.22e-05,0.106
"17","Smooth","Santana",1999,"3i3GeK0qLQybu4ah42YmCY",0.612,0.924,115.953,-3.877,0.0316,0.159,4.34e-05,0.103
"18","Unpretty","TLC",1999,"0BUoLE4o9eVahDHvTqak67",0.648,0.622,88.684,-6.063,0.0428,0.00152,5.97e-05,0.109
"19","Bills, Bills, Bills","Destiny's Child",1999,"027puauDjNWo1YQsvtqu1t",0.845,0.572,127.68,-5.1,0.17,0.114,0,0.0838
"20","Save Tonight","Eagle-Eye Cherry",1999,"2hdhm6piUJnmKXmEmskXCg",0.545,0.699,119.589,-8.76,0.0338,9.44e-05,5.79e-05,0.12
"21","Last Kiss","Pearl Jam",1999,"28Dm6CL7cbB5hv8BLNLHJH",0.618,0.741,112.029,-5.18,0.0277,0.336,0,0.103
"22","All I Have to Give","Backstreet Boys",1999,"3hlhefxgyp4MDnN6C2dQ5H",0.731,0.574,95.995,-7.114,0.029,0.0644,0,0.0675
"23","Bailamos - Wild Wild West/Soundtrack Version","Enrique Iglesias",1999,"2bbeNsFmjZqdoDhjLsKNWe",0.64,0.873,99.898,-4.514,0.0409,0.0606,0.00159,0.151
"24","What's It Gonna Be?! (feat. Janet Jackson)","Busta Rhymes",1999,"0FpLfrOyHblbDlHUsrPN1N",0.797,0.934,116.438,-4.507,0.0926,0.204,0,0.119
"25","What It's Like [Amended Version]","Everlast",1999,"1byBSRxYEiQ5Hb5hEY0vG5",0.652,0.584,85.191,-6.703,0.0269,0.0916,0.00686,0.114
"26","Fly Away","Lenny Kravitz",1999,"0n0eMsX7WgEtc7dlscbuKU",0.597,0.868,160.022,-5.096,0.0527,0.0214,0,0.664
"27","Someday - Remastered","Sugar Ray",1999,"6NcHJ23mLQKnVxQcOmT7JW",0.743,0.67,110.832,-4.547,0.0293,0.0108,0.0702,0.22
"28","That Don't Impress Me Much","Shania Twain",1999,"0KvLsZYwodakWxOQUYAR5I",0.745,0.869,125.005,-4.828,0.0574,0.153,0,0.139
"29","Wild Wild West - Album Version With Intro","Will Smith",1999,"5AMvBCtX2rspUdoeJ9IsPN",0.861,0.597,107.016,-7.221,0.162,0.0983,0,0.176
"30","Heartbreaker","Mariah Carey",1999,"0jsANwwkkHyyeNyuTFq2XO",0.524,0.816,200.031,-5.872,0.37,0.384,0,0.349
"31","I Still Believe","Mariah Carey",1999,"0lAfiQigXDbf9mb2ziefPz",0.545,0.521,59.006,-7.652,0.0301,0.183,0,0.0987
"32","The Hardest Thing","98<U+00BA>",1999,"7EEdDKopE2INq8y1sOZuhU",0.721,0.507,87.986,-7.022,0.0295,0.173,0,0.0696
"33","Summer Girls","LFO",1999,"7uYroF9RRrhRJBrigRvB6H",0.814,0.808,99.816,-5.034,0.155,0.161,0,0.0616
"34","Can I Get A...","JAY Z",1999,"4LGMSdeKOUoy5Wf75Je0Hl",0.863,0.7,88.557,-10.079,0.17,0.0628,2.63e-05,0.102
"35","Jumper","Third Eye Blind",1999,"6gkD0tbTaBy9t6meSK4aIL",0.609,0.542,91.066,-9.227,0.0304,0.0123,0.0017,0.29
"36","Doo Wop (That Thing)","Ms. Lauryn Hill",1999,"2bZfoRmADhlF5gMCSZ4pDS",0.535,0.505,99.935,-8.926,0.245,0.0393,0,0.0923
"37","Mambo No. 5 (A Little Bit of...)","Lou Bega",1999,"3vJG33adGD5Z39Gb6Cnevi",0.607,0.817,174.19,-6.861,0.401,0.103,0,0.322
"38","Sweet Lady","Tyrese",1999,"1Dx8rIZaXzZPvUQRF2j9hB",0.588,0.522,66.024,-6.254,0.0383,0.233,0,0.24
"39","It's Not Right But It's Okay","Whitney Houston",1999,"7isgyyhGbGSh1AD43hxaHX",0.81,0.777,127.962,-8.075,0.0733,0.158,0.00082,0.062
"40","(God Must Have Spent) A Little More Time On You","*NSYNC",1999,"4mljNnZ2eaXKSbEAOzLlLE",0.6,0.544,83.992,-8.863,0.0358,0.441,0,0.255
"41","Lullaby","Shawn Mullins",1999,"70L4pGAmYv0pTADrgsIxpI",0.626,0.731,79.971,-8,0.0455,0.0211,0.00231,0.249
"42","Anywhere","112",1999,"0Zze3tFRSNwL6KllmYjLgZ",0.589,0.477,125.867,-9.025,0.29,0.114,0,0.188
"43","Tell Me It's Real","K-Ci & JoJo",1999,"6Bd9hh3O9DMjm8hws64D0z",0.687,0.532,134.283,-6.763,0.0338,0.214,0,0.124
"44","She's so High","Tal Bachman",1999,"7mnGQesk1TzQLzQ9bYWZPR",0.537,0.84,124.269,-4.626,0.0363,0.2,2.15e-06,0.0998
"45","She's All I Ever Had","Ricky Martin",1999,"4Bza6algEDbY8yrm8qMeg7",0.393,0.765,81.088,-5.924,0.0481,0.0172,0,0.227
"46","Miami","Will Smith",1999,"6e8Ou0wiqAzIpWb2eSxll8",0.877,0.534,108.171,-6.18,0.151,0.0339,1.73e-05,0.0441
"47","Hands","Jewel",1999,"1Nchgvmv9DUrB8X1n442EH",0.634,0.571,127.222,-7.757,0.0285,0.501,0.00107,0.0938
"48","Who Dat","J.T. Money",1999,"28u8fx3Cl3FsYkO3hXKhrI",0.822,0.841,87.019,-5.695,0.228,0.0146,0,0.265
"49","From This Moment On","Shania Twain",1999,"7n2vETKqnlDt4670aVs5n5",0.428,0.514,135.819,-5.021,0.0271,0.382,0,0.186
"50","You","Jesse Powell",1999,"0hcW7qPqWWJc8189OaqQvX",0.722,0.327,112.249,-9.612,0.026,0.299,0.000661,0.0549
"51","If You","Silk",1999,"5DwP705ZZWaTQ8olnVtD0b",0.628,0.477,99.216,-8.77,0.0325,0.184,0,0.0726
"52","Ex-Factor","Ms. Lauryn Hill",1999,"61AsTu6vfuLieRBzhjskSy",0.593,0.619,80.02,-9.003,0.0976,0.118,0,0.484
"53","Give It To You","Jordan Knight",1999,"6miou5rcSI3TqJWTKizJJI",0.829,0.669,134.86,-7.449,0.0608,0.0547,0,0.0589
"54","Black Balloon","The Goo Goo Dolls",1999,"3kI8fSpOQmL5ax63lBOuH3",0.328,0.691,104.242,-6.154,0.0294,0.0674,3.36e-05,0.247
"55","Spend My Life With You","Eric Ben<U+00E9>t",1999,"58s4iqgXFzXhBndBkg2AaD",0.583,0.435,72.01,-8.784,0.0386,0.434,5.49e-05,0.102
"56","These Are The Times","Dru Hill",1999,"0OMmiWMwsCNtpQ5aP6fdp9",0.717,0.483,109.961,-9.314,0.0284,0.13,0,0.0866
"57","I Don't Want To Miss A Thing","Mark Chesnutt",1999,"3FN7JMZaaQ9lSzIaan0YZ1",0.493,0.49,122.087,-10.316,0.0345,0.0329,0,0.245
"58","I Do (Cherish You)","98<U+00BA>",1999,"5it4Zopso9OdoirmTqGZA4",0.573,0.483,81.002,-7.408,0.037,0.61,0,0.0989
"59","Because Of You","98<U+00BA>",1999,"7xoN94HgqWTerSUbG5Hf9O",0.732,0.658,104.503,-6.147,0.0269,0.296,0,0.113
"60","I Will Remember You - Live","Sarah McLachlan",1999,"17dJKYDOzbmb30cLXgrWiP",0.362,0.404,73.437,-11.111,0.0285,0.637,6.64e-05,0.864
"61","Chante's Got A Man","Chant<U+00E9> Moore",1999,"2siv7IrEa2khUf70k7vp49",0.746,0.629,111.566,-7.053,0.0668,0.218,0,0.05
"62","Happily Ever After","Case",1999,"21fXrzSxu2y51Yqf57QycI",0.746,0.615,120.049,-7.124,0.0345,0.191,0,0.0861
"63","My Love Is Your Love","Whitney Houston",1999,"65oJfpeYubIP0GRjYR7acK",0.77,0.475,82.511,-9.512,0.159,0.0557,4.81e-06,0.0607
"64","All Night Long (feat. P. Diddy)","Faith Evans",1999,"0Rv1ICkeAao0Yx85xpJ29k",0.713,0.779,100.404,-4.726,0.238,0.00946,0,0.0805
"65","Back That Thang Up","Juvenile",1999,"5NrQjJX3SfWlK6bXGVSTHt",0.681,0.749,191.63,-4.867,0.287,0.0919,0,0.152
"66","Man! I Feel Like A Woman!","Shania Twain",1999,"6Agiwgwq5BtflpNynGYsUv",0.665,0.771,124.949,-3.001,0.0371,0.479,0,0.098
"67","Steal My Sunshine","Len",1999,"4agp6oHofabdUedr0B1krj",0.413,0.829,191.477,-11.111,0.529,0.394,0,0.108
"68","I Need to Know","Marc Anthony",1999,"7ffwRz8lZyDOE4Vj58Lo72",0.813,0.949,115.061,-2.563,0.0336,0.486,9.75e-06,0.112
"69","So Anxious","Ginuwine",1999,"2zbjlcLi1VQWqDNYdhyx1l",0.733,0.395,96.085,-11.959,0.0366,0.279,2.37e-06,0.468
"70","Faded Pictures","Case",1999,"1CAw3ethNuSDPf3E7luSFF",0.64,0.527,164.029,-7.683,0.286,0.145,3.98e-06,0.134
"71","Back At One","Brian McKnight",1999,"0CjrIEPmqIKnBHy99hun3v",0.659,0.364,129.776,-9.174,0.0317,0.559,0,0.129
"72","When a Woman's Fed Up","R. Kelly",1999,"015A6ZcNAWSSuwY7iDcD1b",0.682,0.579,76.915,-6.526,0.101,0.467,2.21e-06,0.0952
"73","How Forever Feels","Kenny Chesney",1999,"2HmMklpgK8vGCpJmPpz1yG",0.723,0.674,124.9,-7.427,0.0297,0.0986,1.83e-05,0.279
"74","Amazed","Lonestar",1999,"5oQx6XZyrOOkGbme8DA9GO",0.56,0.541,139.76,-7.97,0.0288,0.23,0,0.118
"75","Sometimes","Britney Spears",1999,"6D1BT7ESiQnGOFDl8FHJbp",0.742,0.779,96.019,-4.763,0.025,0.424,0,0.265
"76","Ghetto Cowboy - Clean Album Version","Mo Thugs Family",1999,"4pWZJLiBjcVf60chJssSxt",0.693,0.637,170.26,-5.487,0.158,0.00096,0.00498,0.0908
"77","Out Of My Head","Fastball",1999,"5tOjRq5shlEdm15nmJBq7Z",0.599,0.666,156.206,-7.461,0.0324,0.366,0.00158,0.169
"78","Hard Knock Life (Ghetto Anthem)","JAY Z",1999,"5Tl0HJvynZtKdSUMKbFVVX",0.883,0.659,77.03,-6.017,0.294,0.0814,0.00119,0.0285
"79","Jamboree","Naughty By Nature",1999,"3MPKTMJIxlORqcxw542HHK",0.849,0.635,92.003,-9.425,0.266,0.0344,0,0.082
"80","Take Me There","Blackstreet",1999,"4TQOC2AhsD96oPxAC6NB6w",0.578,0.872,95.49,-4.92,0.0939,0.215,0.000264,0.608
"81","Stay The Same","Joey McIntyre",1999,"1Z3BhlpRdSIWlPuuvVIOg2",0.629,0.513,130.017,-6.766,0.0293,0.0239,0,0.122
"82","Iris","The Goo Goo Dolls",1999,"6vrUTGn5p8IrfTZ0J6sIVM",0.291,0.79,155.667,-5.683,0.0363,0.00133,5.61e-06,0.0811
"83","Satisfy You","Diddy",1999,"00FROhC5g4iJdax5US8jRr",0.764,0.594,87.261,-10.05,0.185,0.591,0,0.145
"84","Better Days (And The Bottom Drops Out)","Citizen King",1999,"460Wn6Dq2uMviG5nPXtPnb",0.758,0.896,94.911,-3.311,0.0501,0.173,3.18e-05,0.136
"85","Music of My Heart","*NSYNC",1999,"679kEY6AiqHRbKjsX7zhZN",0.568,0.569,112.052,-6.558,0.0304,0.395,0,0.106
"86","Write This Down","George Strait",1999,"1TanmIWbaUj5NVwJ3k4XPd",0.719,0.687,123.878,-7.494,0.028,0.11,2.14e-05,0.286
"87","When You Believe (from The Prince of Egypt)","Mariah Carey",1999,"2izVExEYERUnsRr6mb840Q",0.389,0.464,125.284,-6.905,0.0299,0.334,0,0.108
"88","God Must Have Spent a Little More Time on You","Alabama",1999,"5yhAgqhBrE6xd0nuJvlnTR",0.628,0.474,84.876,-9.671,0.0249,0.0844,0,0.121
