"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo"
"29","Maps","Maroon 5",2014,"4gbVRS8gloEluzf0GzDOFc",0.745,0.714,120.025
"30","Loyal","Chris Brown",2014,"7kqcudBGM74MXVoYMaoWkC",0.845,0.506,99.051
"31","Best Day of my Life","American Authors",2014,"5Hroj5K7vLpIG4FNCRIjbP",0.673,0.902,100.016
"32","Habits (Stay High)","Tove Lo",2014,"6YL5zD4SggAZAQcdPv5r0C",0.729,0.653,110.045
"33","Summer","Calvin Harris",2014,"6YUTL4dYpB9xZO5qExPf05",0.596,0.856,127.949
"34","Boom Clap","Charli XCX",2014,"0Y1MWB026LYxGvhq4EcMiC",0.659,0.911,91.999
"35","Drunk in Love","Beyonce",2014,"6jG2YzhxptolDzLHTGLt7S",0.589,0.621,140.03
"36","Anaconda","Nicki Minaj",2014,"794F99D5BQHS5ZGRXAs7I5",0.965,0.609,129.992
"37","Break Free","Ariana Grande",2014,"12KUFSHFgT0XCoiSlvdQi4",0.687,0.702,129.956
"38","Bailando","Enrique Iglesias",2014,"1yM7GIEJ2QniupkEHOyp0a",0.722,0.845,90.958
"39","Burn","Ellie Goulding",2014,"0xMd5bcWTbyXS7wPrBtZA6",0.516,0.772,87.038
"40","Wiggle","Jason Derulo",2014,"2sLwPnIP3CUVmIuHranJZU",0.697,0.621,81.946
"41","Rather Be","Clean Bandit",2014,"3s4U7OHV7gnj42VV72eSZ6",0.799,0.586,120.97
"42","Don't Tell 'Em","Jeremih ",2014,"0Dc7J9VPV4eOInoxUiZrsL",0.851,0.525,97.988
"43","Show Me","Kid Ink",2014,"7uc39NPTNiu86GQxTUMzGT",0.712,0.52,98.096
"44","Wrecking Ball","Miley Cyrus",2014,"2vwlzO0Qp8kfEtzTsCXfyE",0.53,0.422,119.964
"45","Not a Bad Thing","Justin Timberlake",2014,"1JmPASoql4lnXimD5ICqRP",0.594,0.729,86.032
"46","Roar","Katy Perry",2014,"6F5c58TMEs1byxUstkzVeM",0.671,0.766,89.968
"47","Ain't It Fun","Paramore",2014,"1j8z4TTjJ1YOdoFEDwJTQa",0.61,0.893,104.031
"48","This is How We Roll","Florida Georgia Line",2014,"2TR7A4ulH9R1PNwMyd8o8U",0.56,0.933,132.083
"49","Classic","MKTO",2014,"6FE2iI43OZnszFLuLtvvmg",0.72,0.791,102.071
"50","A Sky Full of Stars","Coldplay",2014,"0FDzzruyVECATHXKHFs9eJ",0.551,0.636,124.996
"51","Don't","Ed Sheeran",2014,"1huvTbEYtgltjQRXzrNKGi",0.806,0.608,95.049
"52","Na Na","Trey Songz",2014,"5maiP9UMnTSgoxPX8X3bdz",0.67,0.476,96.975
"53","Hot Boy","Bobby Shmurda",2014,"0rFke7eNFHbGuGJUdRgjB2",0.859,0.5,83.981
"54","Hold On, We're Going Home","Drake",2014,"14Rcq31SafFBHNEwXrtR2B",0.772,0.407,100.006
"55","Sing","Ed Sheeran",2014,"6K8qKeWo5MsFED7wCR6Kop",0.818,0.67,119.988
"56","Radioactive","Imagine Dragons",2014,"4G8gkOterJn0Ywt6uhqbhp",0.478,0.799,136.268
"57","My Hitta","YG",2014,"4JSc7gbwGilypDRmdYl9Ty",0.661,0.5,171.076
"58","Cool Kids","Echosmith",2014,"13P5rwmk2EsoFRIz9UCeh9",0.719,0.671,130.027
"59","Hey Brother","Avicii",2014,"4RXpgGM7A4Hg7cFBoH5KyF",0.537,0.777,124.943
"60","Talk Dirty","Jason Derulo",2014,"5KONnBIQ9LqCxyeSPin26k",0.635,0.691,82.142
"61","Trumpets","Jason Derulo",2014,"5KONnBIQ9LqCxyeSPin26k",0.635,0.691,82.142
"62","Animals","Maroon 5",2014,"2bL2gyO6kBdLkNSkxXNh6x",0.465,0.744,189.928
"63","Burnin' it Down","Jason Aldean",2014,"4J37kFNUhbX5NV1VFdVLSH",0.676,0.795,135.924
"64","Play It Again","Luke Bryan",2014,"03fT3OHB9KyMtGMt2zwqCT",0.51,0.898,144.056
"65","2 On","Tinashe",2014,"3jVtllWS5CFFWLQng8sKsr",0.742,0.595,101.013
"66","Dirt","Florida Georgia Line",2014,"5CXnIPD6rTjszYYQm6fY2P",0.554,0.875,121.976
"67","Love Runs Out","One Republic",2014,"5BJSZocnCeSNeYMj3iVqM7",0.714,0.933,120.019
"68","Bottoms Up","Brantley Gilbert",2014,"477pWnF7WFWb9Qs6g8rs4J",0.479,0.87,170.047
"69","Shower","Becky G",2014,"3DmW6y7wTEYHJZlLo1r6XJ",0.699,0.529,119.987
"70","Me and My Broken Heart","Rixton",2014,"1oew3nFNY3vMacJAsvry0S",0.544,0.774,174.121
"71","Animals","Martin Garrix",2014,"6JEntXLt4z98CcDtIH9sU7",0.675,0.866,128.007
"72","American Kids","Kenny Chesney",2014,"1dgWTMoHwTUnQhOQ8SR5fV",0.733,0.589,170.097
"73","Brave","Sara Bareilles",2014,"6Uy6K3KdmUdAfelUp0SeXn",0.551,0.836,185.063
"74","Sweater Weather","The Neghbourhood",2014,"2QjOHCTQ1Jl3zawyYOpxh6",0.612,0.807,124.053
"75","Leave the Night On","Sam Hunt",2014,"3wx2kQWPn9p5UppQbNhPAk",0.516,0.953,171.971
"76","New Flame","Chris Brown",2014,"3nw9J97nUugT84SIJdjhAV",0.709,0.638,141.994
"77","Love Never Felt So Good","Michael Jackson & Justin Timberlake",2014,"48td6xvpokdYwvbl3JIiXP",0.775,0.719,117.513
"78","Drunk on a Plane","Dierks Bentley",2014,"1soxUgYIZb1qx1c7o1Lc7z",0.439,0.754,205.958
"79","BIRTHDAY","Katy Perry",2014,"2xLOMHjkOK8nzxJ4r6yOKR",0.716,0.669,125.975
"80","BARTENDER","Lady Antebellum",2014,"6olKv2HP3XgBpvVxAswowe",0.626,0.936,101.01
"81","LA LA LA","Naughty Boy",2014,"36pLU2ywVeBKEF0rrKtmCB",0.77,0.649,125.096
"82","BLURRED LINES","Robin Thicke",2014,"0n4bITAu0Y0nigrz3MFJMb",0.862,0.608,120.002
"83","DO WHAT U WANT","Lady Gaga",2014,"44JqKUXiWTaRrDQUx7CwsT",0.798,0.821,97.492
"84","CAN'T REMEMBER TO FORGET YOU","Shakira",2014,"0BBj0SW3vef8UNzTg4lwH9",0.697,0.813,137.976
"85","AMNESIA","5 Seconds Of Summer",2014,"1JCCdiru7fhstOIF4N7WJC",0.572,0.499,101.593
"86","NO MEDIOCRE","T.I.",2014,"38aECKrbMv2F5FsYYCewCQ",0.78,0.45,95.486
"87","COME WITH ME NOW","KONGOS",2014,"2kWowW0k4oFymhkr7LmvzO",0.654,0.726,103.987
"88","BELIEVE ME","Lil Wayne",2014,"6t2eIONH4Sax3R21QWiKNp",0.84,0.483,91.992
"89","23","Mike WiLL Made-It",2014,"20FZrLl9zSbO9b3DhaqO6M",0.863,0.605,140.031
"90","BEACHIN'","Jake Owen",2014,"5dNGORzxFb5z3v7vSAFkTU",0.527,0.902,181.964
"91","WHITE WALLS","Macklemore & Ryan Lewis",2014,"6I3KeXBT0E9MoMqYz8srVq",0.767,0.782,116.491
"92","SHE LOOKS SO PERFECT","5 Seconds Of Summer",2014,"1gugDOSMREb34Xo0c1PlxM",0.493,0.956,160.006
"93","STAY THE NIGHT","Zedd",2014,"2QtJA4gbwe1AcanB2p21aP",0.595,0.746,127.96
"94","PARTITION","Beyonce",2014,"5hgnY0mVcVetszbb85qeDg",0.412,0.441,185.571
"95","STUDIO","ScHoolboy Q",2014,"29gsi1zZrZxdStACmTQB0Z",0.644,0.581,133.965
"96","0 TO 100 / THE CATCH UP","Drake",2014,"4jtyUzZm9WLc2AdaJ1dso7",0.707,0.709,89.094
"97","I DON'T DANCE","Lee Brice",2014,"5aj0xPGiEUN3aI2oOYu14S",0.587,0.559,92.036
"98","SOMETHIN' BAD","Miranda Lambert Duet With Carrie Underwood",2014,"6s9m5J92By7jii22Q2XtY2",0.68,0.888,90.076
"99","ADORE YOU","Miley Cyrus",2014,"5AnCLGg35ziFOloEnXK4uu",0.583,0.655,119.759
