"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo"
"1","Happy","Pharrell Williams",2014,"6NPVjNh8Jhru9xOmyQigds",0.652,0.757,159.911
"2","Dark Horse","Katy Perry",2014,"5jrdCoLpJSvHHorevXBATy",0.646,0.587,131.932
"3","All of Me","John Legend",2014,"3U4isOIWM3VvDubwSI3y7a",0.422,0.264,119.93
"4","Fancy","Iggy Azalea",2014,"3oiMJQAWVaxSubJ7b2VUtX",0.911,0.707,94.964
"5","Counting Stars","One Republic",2014,"6sy3LkhNFjJWlaeSMNwQ62",0.663,0.714,121.99
"6","Talk Dirty","Jason Derulo",2014,"5KONnBIQ9LqCxyeSPin26k",0.635,0.691,82.142
"7","Trumpets","Jason Derulo",2014,"5KONnBIQ9LqCxyeSPin26k",0.635,0.691,82.142
"8","Rude","Magic",2014,"3tCwjWLicbjsMCvXhN0WOE",0.743,0.807,144.062
"9","All About That Bass","Meghan Trainor",2014,"0ifSeVGUr7py5GggttDhXw",0.811,0.879,134.064
"10","Problem","Ariana Grande",2014,"7vS3Y0IKjde7Xg85LWIEdP",0.66,0.805,103.009
"11","Stay With Me","Sam Smith",2014,"5Db9VIdDsN5yu3Eu7CT0i4",0.479,0.419,85.014
"12","Timber","Pitbull",2014,"3cHyrEgdyYRjgJKSOiOtcS",0.581,0.963,129.992
"13","Pompeii","Bastille",2014,"3gbBpTdY8lnQwqxNCcf795",0.681,0.715,127.429
"14","Am I Wrong","Nico & Vinz",2014,"2wqaekenSQZm7hxQOYt8oE",0.725,0.68,119.939
"15","Turn Down For What","DJ Snake & Lil Jon",2014,"67awxiNHNyjMXhVgsHuIrs",0.818,0.799,100.014
"16","The Monster","Eminem ",2014,"48RrDBpOSSl1aLVCalGl5C",0.786,0.857,110.038
"17","Say Something","A Great Big World & Christina Aguilera",2014,"6Vc5wAMmXdKIAM7WUoEb7N",0.407,0.147,141.284
"18","Team","Lorde",2014,"3G6hD9B2ZHOsgf4WfNu7X1",0.696,0.59,99.984
"19","Let Her Go","Passenger",2014,"6GmUVqe73u5YRfUUynZK6I",0.479,0.545,74.897
"20","Royals","Lorde",2014,"2dLLR6qlu5UJ5gk0dKz0h3",0.616,0.432,84.778
"21","Let It Go","Idina Menzel",2014,"0qcr5FMsEO85NAQjrlDRKo",0.539,0.488,137.073
"22","Wake Me Up! ","Avicii",2014,"4h8VwCb1MTGoLKueQ1WgbD",0.518,0.784,124.102
"23","Demons","Imagine Dragons",2014,"3LlAyCYU26dvFZBDUIMb7a",0.499,0.73,90.058
"24","Story of my Life","One Direction",2014,"4nVBt6MZDDP6tRVdQTgxJg",0.6,0.663,121.07
"25","Chandelier","Sia",2014,"2s1sdSqGcKxpPr5lCl7jAV",0.399,0.787,117.089
"26","Black Widow","Iggy Azalea",2014,"7pNC5ZIKtwUK0ReSpM3P9f",0.741,0.726,163.991
"27","Bang Bang","Jessie J, Ariana Grande, & Nicki Minaj",2014,"0puf9yIluy9W0vpMEUoAnN",0.703,0.789,150.058
"28","Latch","Disclosure",2014,"1BltsyC5W3SAABdxyrDXwi",0.502,0.732,122.025
