"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","ROLLING IN THE DEEP","Adele",2011,"1CkvWZme3pRgbzaxZnTl5X",0.729,0.756,104.945,-5.119,0.0294,0.131,0,0.0527,228293
"2","PARTY ROCK ANTHEM","LMFAO Featuring Lauren Bennett & GoonRock",2011,"0IkKz2J93C94Ei4BvDop7P",0.739,0.725,130.024,-4.153,0.165,0.0235,0,0.257,262173
"3","FIREWORK","Katy Perry",2011,"4lCv7b86sLynZbXhfScfm2",0.638,0.826,124.072,-4.968,0.0479,0.139,0,0.0803,227880
"4","E.T.","Katy Perry Featuring Kanye West",2011,"6kex4EBAj0WHXDKZMEJaaF",0.696,0.817,98.064,-3.862,0.109,0.075,0,0.187,216409
"5","GIVE ME EVERYTHING","""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",2011,"4QNpBfC0zvjKqPJcyqBy9W",0.671,0.939,129.023,-3.206,0.161,0.192,0,0.298,252307
"6","GRENADE","Bruno Mars",2011,"2tJulUYLDKOg9XrtVkMgcJ",0.706,0.558,110.443,-7.237,0.0593,0.146,0,0.118,223253
"7","SUPER BASS","Nicki Minaj",2011,"0iYebKFUSfF72fUu2OW6ZT",0.727,0.866,127.01,-4.288,0.185,0.282,3.87e-06,0.585,200013
"8","MOVES LIKE JAGGER","Maroon 5 Featuring Christina Aguilera",2011,"7LcfRTgAVTs5pQGEQgUEzN",0.714,0.748,128.03,-4.471,0.0546,0.0106,0,0.325,201160
"9","JUST CAN'T GET ENOUGH","The Black Eyed Peas",2011,"3JA9Jsuxr4xgHXEawAdCp4",0.483,0.648,93.939,-8.651,0.327,0.187,0,0.0812,219427
"10","S&M","Rihanna",2011,"2u02eLj96Atd6TBxkH9YvN",0.764,0.673,127.941,-4.946,0.0437,0.0156,6.56e-05,0.195,243533
"11","PUMPED UP KICKS","Foster The People",2011,"7w87IxuO7BDcJ3YUqCyMTT",0.733,0.71,127.975,-5.849,0.0292,0.145,0.115,0.0956,239600
"12","LAST FRIDAY NIGHT (T.G.I.F.)","Katy Perry",2011,"455AfCsOhhLPRc68sE01D8",0.649,0.815,126.03,-3.796,0.0415,0.00125,4.31e-05,0.671,230747
"13","JUST THE WAY YOU ARE","Bruno Mars",2011,"7BqBn9nzAq8spo5e7cZ0dJ",0.637,0.843,109.012,-5.413,0.0432,0.0151,0,0.0876,220733
"14","TONIGHT (I'M LOVIN' YOU)","Enrique Iglesias Featuring Ludacris & DJ Frank E",2011,"4270XtiZeN9yYPR81dn8Ow",0.659,0.882,125.985,-4.623,0.0465,0.0258,9.2e-06,0.144,231653
"15","RAISE YOUR GLASS","P!nk",2011,"12lZTPlXwUtrQuhEty6098",0.7,0.695,122.028,-4.973,0.0897,0.00629,0,0.0319,203333
"16","BORN THIS WAY","Lady Gaga",2011,"6r2BECwMgEoRb5yLfp0Hca",0.59,0.817,123.895,-5.069,0.157,0.0049,0,0.283,260253
"17","WHAT'S MY NAME?","Rihanna Featuring Drake",2011,"5xZtUAVUVfjBtVtMOgMkyy",0.705,0.781,100.008,-2.927,0.0792,0.247,0,0.107,263173
"18","LOOK AT ME NOW","Chris Brown Featuring Lil Wayne & Busta Rhymes",2011,"7EKTo6rVJ3XSS7QTd6ep2j",0.764,0.694,146.075,-5.745,0.189,0.0439,3.67e-06,0.18,223933
"19","DOWN ON ME","Jeremih Featuring 50 Cent",2011,"0x3TibRgnSqzkcwrqBd4iX",0.697,0.577,160.035,-7.653,0.127,0.0436,0,0.11,228453
"20","HOW TO LOVE","Lil Wayne",2011,"4aX4Oycsk1fhHIee1zqsDe",0.641,0.667,154.025,-6.252,0.0538,0.000165,3.22e-06,0.113,240307
"21","SOMEONE LIKE YOU","Adele",2011,"4kflIGfjdZJW4ot2ioixTB",0.559,0.33,135.109,-8.251,0.0285,0.892,0,0.0975,285040
"22","THE LAZY SONG","Bruno Mars",2011,"1ExfPZEiahqhLyajhybFeS",0.738,0.804,174.943,-3.851,0.0621,0.332,0,0.279,190213
"23","TILL THE WORLD ENDS","Britney Spears",2011,"38iU2jg98IZZEIJPrP7aWD",0.693,0.705,131.951,-5.747,0.0665,0.0228,0,0.202,237947
"24","THE SHOW GOES ON","Lupe Fiasco",2011,"4NTWZqvfQTlOMitlVn6tew",0.591,0.889,143.067,-3.839,0.115,0.0189,0,0.155,239613
"25","THE EDGE OF GLORY","Lady Gaga",2011,"0JNdS1n0ifOP25XvhwAMgM",0.583,0.77,127.973,-6.433,0.0401,0.000391,0.00993,0.109,320587
"26","WE R WHO WE R","Ke$ha",2011,"0Ji2g9AlYLVHAMG5PJoHPU",0.734,0.821,119.993,-4.893,0.0406,0.00709,0.00281,0.127,204150
"27","BLACK AND YELLOW","Wiz Khalifa",2011,"5A6OHHy73AR5tLxgTc98zz",0.684,0.834,164.02,-4.524,0.0675,0.0646,0,0.271,217667
"28","TONIGHT TONIGHT","Hot Chelle Rae",2011,"6C2XDnr9B6obGMVhHS1Nmo",0.584,0.79,123.961,-6.544,0.0412,0.0444,4.22e-05,0.0734,214950
"29","BLOW","Ke$ha",2011,"5FQazQxWUHsJ8QDaXLdFzR",0.752,0.73,120.032,-3.897,0.0412,0.00272,3.62e-05,0.175,218825
"30","LIGHTERS","Bad Meets Evil Featuring Bruno Mars",2011,"5zpDHEU12zATwLGvozxPw2",0.651,0.671,90.135,-8.183,0.27,0.343,0,0.119,303813
"31","IF I DIE YOUNG","The Band Perry",2011,"4u26EevCNXMhlvE1xFBJwX",0.594,0.502,130.674,-6.564,0.0281,0.402,0,0.287,222773
"32","STEREO HEARTS","Gym Class Heroes Featuring Adam Levine",2011,"0qOnSQQF0yzuPWsXrQ9paz",0.646,0.795,89.99,-3.293,0.0976,0.0319,0,0.267,210960
"33","THE TIME (DIRTY BIT)","The Black Eyed Peas",2011,"7vWFaMq63AwkFDhS2OAg5u",0.829,0.798,127.991,-7.808,0.0776,0.0782,3.78e-06,0.59,307640
"34","COMING HOME","Diddy - Dirty Money Featuring Skylar Grey",2011,"6Iocm6VMu6bVNYwiDoyQFW",0.353,0.822,167.905,-1.866,0.232,0.155,0,0.332,238693
"35","HEY BABY (DROP IT TO THE FLOOR)","Pitbull Featuring T-Pain",2011,"3rfhI32Il2hVRKDkuGeeen",0.595,0.913,128.021,-3.428,0.0884,0.0435,0,0.259,234453
"36","ONLY GIRL (IN THE WORLD)","Rihanna",2011,"6jAsmDJI8iPhGWtS27kZ67",0.78,0.714,125.924,-4.155,0.0382,0.119,4.1e-06,0.217,235520
"37","6 FOOT 7 FOOT","Lil Wayne Featuring Cory Gunz",2011,"0z5ZPs57J2KERwM1tBM2GF",0.377,0.738,80.846,-5.32,0.311,0.000683,0,0.319,248587
"38","JUST A KISS","Lady Antebellum",2011,"2nRvKHh2mtOfIQ4jcAkP9q",0.593,0.639,142.881,-5.826,0.0307,0.446,0,0.0998,218840
"39","DIRT ROAD ANTHEM","Jason Aldean",2011,"0adTN3vBO3pimO3yfxm9vg",0.677,0.739,127.04,-5.068,0.0352,0.32,2.36e-06,0.12,229413
"40","DYNAMITE","Taio Cruz",2011,"1DqdF42leyFIzqNDv9CjId",0.75,0.78,119.985,-3.155,0.0898,0.00622,0,0.0263,203867
"41","NO HANDS","Waka Flocka Flame Featuring Roscoe Dash & Wale",2011,"03tqyYWC9Um2ZqU0ZN849H",0.76,0.595,131.497,-6.366,0.0391,0.00544,0,0.241,263773
"42","I WANNA GO","Britney Spears",2011,"5cCAZS9VhLGEDV4NCfieeg",0.696,0.546,130.002,-6.55,0.0414,0.00379,3.8e-06,0.332,210267
"43","I'M ON ONE","""DJ Khaled Featuring Drake, Rick Ross & Lil Wayne""",2011,"608a1wIsSd5KzMEqm1O7w3",0.508,0.809,149.999,-3.454,0.292,0.058,0,0.608,296147
"44","YOU MAKE ME FEEL...","Cobra Starship Featuring Sabi",2011,"16Of7eeW44kt0a1M0nitHM",0.668,0.857,131.959,-2.944,0.0535,0.0191,6.71e-06,0.0385,215693
"45","YEAH 3X","Chris Brown",2011,"0AUIjHlr9KfbVoemhhxHS6",0.702,0.883,129.999,-3.239,0.0437,0.000407,1.27e-06,0.0885,241093
"46","MOMENT 4 LIFE","Nicki Minaj Featuring Drake",2011,"0ConttVd0Ebk3dLNquOmh0",0.684,0.884,97.919,-3.875,0.251,0.371,0,0.199,279307
"47","I NEED A DOCTOR","Dr. Dre Featuring Eminem & Skylar Grey",2011,"70ATm56tH7OrQ1zurYssz0",0.591,0.934,155.968,-4.389,0.437,0.0996,1.81e-06,0.348,283733
"48","JUST A DREAM","Nelly",2011,"3ZdJffjzJWFimSQyxgGIxN",0.554,0.764,90,-6.129,0.031,0.0413,0,0.123,237800
"49","MOTIVATION","Kelly Rowland Featuring Lil Wayne",2011,"4Cv5dkUBqepa0siwGREihD",0.721,0.668,140.919,-5.561,0.0505,0.176,0.000104,0.0732,231173
"50","STEREO LOVE","Edward Maya & Vika Jigulina",2011,"11Iv8RCFmeImLOpaHYxKb4",0.775,0.726,126.999,-5.629,0.0369,0.0399,0.0235,0.11,185120
"51","JAR OF HEARTS","Christina Perri",2011,"0HZhYMZOcUzZKSFwPOti6m",0.349,0.348,74.541,-6.142,0.0316,0.726,0,0.12,246587
"52","ROLL UP","Wiz Khalifa",2011,"53DB6LJV9B8sz0p1s6tlGS",0.523,0.805,125.358,-5.473,0.192,0.0524,0,0.0914,227773
"53","SEXY AND I KNOW IT","LMFAO",2011,"0obBFrPYkSoBJbvHfUIhkv",0.698,0.875,129.986,-4.164,0.322,0.115,0,0.166,199480
"54","ROCKETEER","Far*East Movement Featuring Ryan Tedder",2011,"45sDIKapDyxPl307QpEAwl",0.666,0.819,95.999,-6.053,0.0466,0.166,0,0.261,211253
"55","ALL OF THE LIGHTS","Kanye West",2011,"22L7bfCiAkJo5xGSQgmiIO",0.558,0.794,142.156,-3.234,0.0533,0.0724,2.15e-05,0.19,299613
"56","HOLD IT AGAINST ME","Britney Spears",2011,"7Dyq1bhhjknLKEGg4k5NLr",0.648,0.722,132.973,-4.813,0.0427,0.0103,0,0.24,228827
"57","WHAT THE HELL","Avril Lavigne",2011,"5zTzDqrEmseqL2G8ElgBu7",0.571,0.932,150.014,-3.68,0.0576,0.00448,0.00939,0.117,220627
"58","WRITTEN IN THE STARS","Tinie Tempah Featuring Eric Turner",2011,"61HQWI1Woxup7CnGwVUsdI",0.644,0.945,91.017,-3.534,0.0717,0.0587,0,0.184,219560
"59","BOTTOMS UP","Trey Songz Featuring Nicki Minaj",2011,"2IpGdrWvIZipmaxo1YRxw5",0.845,0.601,74.008,-5.283,0.161,0.0205,0,0.385,242013
"60","DJ GOT US FALLIN' IN LOVE","Usher Featuring Pitbull",2011,"28AUzRo0nQLESL55WDV0um",0.663,0.861,119.963,-3.398,0.109,0.0338,0,0.082,220800
"61","FOR THE FIRST TIME","The Script",2011,"09ZcYBGFX16X8GMDrvqQwt",0.396,0.629,173.794,-4.78,0.0287,0.0328,0,0.183,252853
"62","HONEY BEE","Blake Shelton",2011,"0gY2iq0xJPRoIB1PScKSw4",0.481,0.849,205.57,-5.131,0.0385,0.00167,1.49e-06,0.121,210720
"63","DON'T YOU WANNA STAY","Jason Aldean With Kelly Clarkson",2011,"2CAf7WlHg8SlMLHmt55pqs",0.445,0.627,143.821,-4.825,0.0318,0.105,0,0.0858,256440
"64","WE FOUND LOVE","Rihanna Featuring Calvin Harris",2011,"6qn9YLKt13AGvpq9jfO8py",0.737,0.758,128.007,-4.389,0.057,0.0253,0.0019,0.169,215227
"65","PRETTY GIRL ROCK","Keri Hilson",2011,"2Adn2LNgkHMH5TelQVAu4n",0.665,0.882,160.023,-4.968,0.251,0.203,0,0.085,243920
"66","YOU AND I","Lady Gaga",2011,"6rkAY9rk1NTFB94QxG3LJR",0.5,0.716,127.066,-5.194,0.0558,0.0933,0,0.0931,307347
"67","LIKE A G6","Far*East Movement Featuring Cataracs & Dev",2011,"4DvhkX2ic4zWkQeWMwQ2qf",0.352,0.843,165.29,-7.983,0.482,0.00738,0,0.0883,216893
"68","WITHOUT YOU","David Guetta Featuring Usher",2011,"7rGMKCgeYXpBecQ1FPb3oc",0.606,0.612,127.882,-3.676,0.028,0.211,3.7e-06,0.128,208135
"69","TEENAGE DREAM","Katy Perry",2011,"55qBw1900pZKfXJ6Q9A2Lc",0.719,0.804,119.999,-4.581,0.0355,0.0132,3.02e-06,0.139,227760
"70","CRAZY GIRL","Eli Young Band",2011,"1nVLAEzhBXMJLR5zAl90Nl",0.358,0.708,150.966,-3.736,0.0315,6e-04,0.00498,0.281,200707
"71","CHEERS (DRINK TO THAT)","Rihanna",2011,"46MDLc0Yip6xCMSsdePOAU",0.578,0.908,79.987,-3.544,0.0396,0.019,0,0.289,261747
"72","WHO SAYS","Selena Gomez & The Scene",2011,"6dn9ndETOjczUSQO5UhKJa",0.676,0.931,101.018,-2.8,0.0495,0.0668,0,0.149,195267
"73","BAREFOOT BLUE JEAN NIGHT","Jake Owen",2011,"3ts6xK5GzfMAAriT9AIBmP",0.6,0.808,172.016,-4.679,0.0403,0.208,0,0.196,167427
"74","KNEE DEEP","Zac Brown Band Featuring Jimmy Buffett",2011,"1yEwEiTpsaPhQi9lb5EVV4",0.715,0.584,90.987,-8.231,0.0296,0.432,1.41e-06,0.095,203173
"75","COUNTRY GIRL (SHAKE IT FOR ME)","Luke Bryan",2011,"0yD66650JxhqKbW76C2qCo",0.645,0.904,105.97,-4.532,0.0462,0.0293,0,0.0834,225560
"76","REMIND ME","Brad Paisley Duet With Carrie Underwood",2011,"4ABua0yuWcpTotImEEJTaw",0.485,0.726,140.781,-4.2,0.0327,0.0603,1.75e-05,0.225,271907
"77","IN THE DARK","Dev",2011,"1pbHy9VBpSyZh56xuujZz0",0.751,0.82,124.965,-4.23,0.0918,0.00331,0.00043,0.335,226227
"78","BACKSEAT","New Boyz Featuring The Cataracs & Dev",2011,"4dWjQ3wEfW6KPaaxCoaPH4",0.595,0.923,125.029,-3.449,0.144,0.0693,0,0.505,224093
"79","HEADLINES","Drake",2011,"7kfTqGMzIHFWeBeOJALzRf",0.649,0.547,152.04,-7.311,0.0954,0.341,0.00014,0.092,235987
"80","BEST THING I NEVER HAD","Beyonce",2011,"3lBRNqXjPp2j3JMTCXDTNO",0.545,0.649,99.099,-4.062,0.0324,0.143,1.57e-05,0.0894,253747
"81","DON'T WANNA GO HOME","Jason Derulo",2011,"1r3myKmjWoOqRip99CmSj1",0.671,0.808,121.956,-4.861,0.0652,0.02,0,0.134,206080
"82","WHERE THEM GIRLS AT","David Guetta Featuring Flo Rida & Nicki Minaj",2011,"3djPwpsQAnp8B8gC81e7fk",0.662,0.873,129.902,-3.116,0.0395,0.0292,0,0.224,210081
"83","SHE AIN'T YOU","Chris Brown",2011,"4QczAMpo49owCaNZgtoIvv",0.634,0.716,91.039,-6.502,0.128,0.0341,0,0.0877,248107
"84","TAKE A BACK ROAD","Rodney Atkins",2011,"7B6m8tHAYZsOKOKMU5SR2n",0.581,0.856,169.902,-4,0.0783,0.183,0,0.0871,209427
"85","PLEASE DON'T GO","Mike Posner",2011,"6jg5SRvdGxvJ0DzNV0UqEK",0.699,0.882,120.016,-3.896,0.0311,0.00296,0.0544,0.13,196813
"86","SURE THING","Miguel",2011,"0JXXNGljqupsJaZsgSbMZV",0.684,0.603,81,-8.127,0.0989,0.0275,0.000311,0.191,195373
"87","PRICE TAG","Jessie J Featuring B.o.B",2011,"5mvKuE9Lf9ARVXVXA32kK9",0.646,0.843,174.904,-3.882,0.177,0.0314,2.39e-06,0.247,223053
"88","GOD GAVE ME YOU","Blake Shelton",2011,"0w9LJae3sVlZlH2CnxTInF",0.483,0.844,151.977,-5.043,0.0314,0.00481,7.29e-05,0.405,229533
"89","SHE WILL","Lil Wayne Featuring Drake",2011,"3FFcZZq3Z3EJrhUecwcMdG",0.357,0.847,97.408,-4.881,0.0524,0.000475,0,0.272,305840
"90","ARE YOU GONNA KISS ME OR NOT","Thompson Square",2011,"6xtXdS8ALTfK0g9hOG1PSX",0.485,0.701,151.948,-3.807,0.0288,0.039,0,0.0977,184920
"91","ANIMAL","Neon Trees",2011,"1fBl642IhJOE5U319Gy2Go",0.486,0.831,148.026,-5.5,0.0506,0.000392,0,0.363,212293
"92","YOU AND TEQUILA","Kenny Chesney Featuring Grace Potter",2011,"1t2hJFgJyUPD2crOafMUEk",0.691,0.454,135.839,-9.13,0.0256,0.437,0.00227,0.0783,242840
"93","COLDER WEATHER","Zac Brown Band",2011,"1M2l9ReoabUnvl6Y8jLUe7",0.667,0.381,135.979,-7.494,0.0294,0.458,0,0.116,273893
"94","MY LAST","Big Sean Featuring Chris Brown",2011,"70tFuqBcduJv15bEnOPRTh",0.325,0.785,88.048,-5.632,0.25,0.114,0,0.28,254120
