"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo"
"25","SECOND CHANCE","Shinedown",2009,"0CwYG1UnRmOx8Q1EzElCIL",0.46,0.796,100.011
"26","CIRCUS","Britney Spears",2009,"7jk7gqyEonmVVYahZN5zhW",0.791,0.733,114.98
"27","DAY 'N' NITE","Kid Cudi",2009,"5FEXPoPnzueFJQCPRIrC3c",0.878,0.446,138.035
"28","PARTY IN THE U.S.A.","Miley Cyrus",2009,"5Q0Nhxo0l2bP3pNjpGJwV1",0.454,0.708,192.18
"29","DON'T TRUST ME","3OH!3",2009,"6s8T3AuXULZbAMXSYDsai9",0.802,0.507,129.999
"30","RUN THIS TOWN","Jay-Z, Rihanna & Kanye West",2009,"4FcUA8s8XXabKQEFRA8vxy",0.437,0.809,172.05
"31","LET IT ROCK","Kevin Rudolf Featuring Lil Wayne",2009,"2vVc2G9w2JteBgxpSUVwX5",0.618,0.773,113.164
"32","FIRE BURNING","Sean Kingston",2009,"2oENJa1T33GJ0w8dC167G4",0.839,0.804,122.973
"33","WHATCHA SAY","Jason DeRulo",2009,"2zJZwWF7BTGIIvrAlgzJEx",0.615,0.711,144.036
"34","LOVEGAME","Lady Gaga",2009,"2nP53cGOPLojPkoWVZo4sY",0.892,0.641,105.059
"35","WAKING UP IN VEGAS","Katy Perry",2009,"6fvxos1qSHrIgOkKw4dhWS",0.524,0.878,130.989
"36","BIRTHDAY SEX","Jeremih",2009,"4NpDZPwSXmL0cCTaJuVrCw",0.675,0.545,60.048
"37","SOBER","Pink",2009,"6olUplztLFFfU7fMYmFXOP",0.699,0.601,98.04
"38","WOMANIZER","Britney Spears",2009,"4fixebDZAVToLbUCuEloa2",0.724,0.695,139
"39","WHATEVER YOU LIKE","T.I.",2009,"3IcIIZMMS7UArJJPtEHXG8",0.742,0.471,86.467
"40","OBSESSED","Mariah Carey",2009,"3tvWMBIblzT5FSjKtIeRR1",0.68,0.687,150.053
"41","MAD","Ne-Yo",2009,"6Hn9Uc1mMNfqChXU3txNke",0.729,0.652,129.987
"42","GOOD GIRLS GO BAD","Cobra Starship Featuring Leighton Meester",2009,"7kMfu3KUydmrFVGEAhjtyl",0.594,0.874,119.964
"43","LOVE LOCKDOWN","Kanye West",2009,"1kxeWHF9PrCVZHvVskv8lg",0.756,0.529,119.573
"44","SO WHAT","Pink",2009,"6qYGUxPjQt5PJtWdiNppZx",0.535,0.886,126.012
"45","HOTEL ROOM SERVICE","Pitbull",2009,"6Rb0ptOEjBjPPQUlQtQGbL",0.851,0.629,125.984
"46","CRACK A BOTTLE","Eminem, Dr. Dre & 50 Cent",2009,"4dK00wCxlqWEeN8BoM1BHT",0.674,0.879,84.08
"47","IF I WERE A BOY","Beyonce",2009,"26NX1wPt1TRCH536yocd6i",0.632,0.518,90.007
"48","TURNIN ME ON","Keri Hilson Featuring Lil Wayne",2009,"1jEtDqwYCKpR0mlrMrrITx",0.67,0.582,159.937
"49","I HATE THIS PART","The Pussycat Dolls",2009,"4mYd9FQyU5eekDJyVeIRgS",0.746,0.61,111.567
"50","GOTTA BE SOMEBODY","Nickelback",2009,"06T10fEzN8ZCcqzQZYA184",0.536,0.89,115.998
"51","PLEASE DON'T LEAVE ME","Pink",2009,"2tAtg37styBgPSHzKnJQYB",0.591,0.841,138.037
"52","PAPARAZZI","Lady Gaga",2009,"3FF6jZY1wDHXJUUN18qsLx",0.758,0.688,114.93
"53","BEAUTIFUL","Akon Featuring Colby O'Donis & Kardinal Offishall",2009,"7rv0UuxMX7CpUUwEE1jVrd",0.739,0.938,130.018
"54","VIVA LA VIDA","Coldplay",2009,"1mea3bSkSGXuIRvnydlB5b",0.485,0.619,138.017
"55","RIGHT NOW (NA NA NA)","Akon",2009,"1ARJhjuI6TNYZCxYygFQ4F",0.816,0.851,137.968
"56","BATTLEFIELD","Jordin Sparks",2009,"1Nme6K1PYAh7p7uygyuRdf",0.613,0.634,144.953
"57","MISS INDEPENDENT","Ne-Yo",2009,"34ceTg8ChN5HjrqiIYCn9Q",0.668,0.697,171.884
"58","FIREFLIES","Owl City",2009,"3DamFFqW32WihKkTVlwTYQ",0.591,0.649,90.002
"59","NEW DIVIDE","Linkin Park",2009,"6Wx88Mv6b9ofjKMKkdwOJd",0.493,0.808,117.971
"60","EMPIRE STATE OF MIND","Jay-Z + Alicia Keys",2009,"5sra5UY6sD658OabHL3QtI",0.479,0.368,92.959
"61","NO SURPRISE","Daughtry",2009,"04Sl2hULaCVM7Iw8kzXPHN",0.481,0.779,96.029
"62","SHE WOLF","Shakira",2009,"4cS2HQ6jK80vqdY9ofpztx",0.865,0.69,121.983
"63","BREAK UP","Mario Featuring Gucci Mane & Sean Garrett",2009,"4UP5HP7IAnNdxD01g1lzQp",0.44,0.517,73.881
"64","SWEET DREAMS","Beyonce",2009,"1FKxKGONukVFXWVJxAKmlz",0.694,0.825,121.949
"65","EVERY GIRL","Young Money",2009,"2Cyab0ISyJABtu99wgjBKz",0.482,0.769,76.301
"66","FALLIN' FOR YOU","Colbie Caillat",2009,"1le5KVGTF1xWf2aUj7ruLy",0.648,0.825,117.038
"67","UNTOUCHED","The Veronicas",2009,"5iyKbjiCVHS7YaMjuvPOeo",0.698,0.472,90.006
"68","IF TODAY WAS YOUR LAST DAY","Nickelback",2009,"1YPfmWeMqn7OoguNcfqzaK",0.474,0.93,89.937
"69","THROW IT IN THE BAG","Fabolous Featuring The-Dream",2009,"6c0GmyBsE7mQtrVvxJaWc3",0.852,0.559,86.018
"70","LOVE DRUNK","Boys Like Girls",2009,"20X9OeC606XNwEtDBOym5u",0.44,0.976,150.005
"71","I LOVE COLLEGE","Asher Roth",2009,"1akgiRM3mN2nxu2AX6ACCW",0.708,0.815,86.493
"72","IF U SEEK AMY","Britney Spears",2009,"2hdy9Wt9qp7M7d0U3ossu2",0.717,0.587,129.954
"73","BIG GREEN TRACTOR","Jason Aldean",2009,"1YWM2rkA6Aqto0v08edz44",0.616,0.596,137.077
"74","DISTURBIA","Rihanna",2009,"2VOomzT6VavJOGBeySqaMc",0.706,0.794,124.93
"75","21 GUNS","Green Day",2009,"64yrDBpcdwEdNY9loyEGbX",0.268,0.742,159.779
"76","TURN MY SWAG ON","Soulja Boy Tell'em",2009,"6ATrsVaZT7XjkCynxM8cTS",0.468,0.673,150.093
"77","ROCKIN' THAT THANG","The-Dream",2009,"4I7l40CRYeSWEQ5CVyLt7w",0.802,0.731,157.145
"78","CHICKEN FRIED","Zac Brown Band",2009,"4dGJf1SER1T6ooX46vwzRB",0.566,0.713,169.864
"79","DIVA","Beyonce",2009,"5Ssv6DaKrW0HczVqx6zXdl",0.875,0.551,146.092
"80","THEN","Brad Paisley",2009,"3XKbdb9GB6u3hsnUklQTav",0.493,0.643,144.717
"81","HER DIAMONDS","Rob Thomas",2009,"3LtwmK1OfN0dGs9jf3qSjn",0.555,0.924,87.606
"82","HOW DO YOU SLEEP?","Jesse McCartney Featuring Ludacris",2009,"4GEEixNkGl7ySoY71E009f",0.293,0.761,173.92
"83","ONE TIME","Justin Bieber",2009,"1Z4UKak2eNteHFZkwiYPNz",0.831,0.233,159.827
"84","I RUN TO YOU","Lady Antebellum",2009,"2YVCkTYJpv5jelYrHYoEG8",0.656,0.786,113.963
"85","GREEN LIGHT","John Legend Featuring Andre 3000",2009,"3FQ26GroLnhQEja48FKYqT",0.597,0.733,128.918
"86","PEOPLE ARE CRAZY","Billy Currington",2009,"5sC1qOC9QclptSIE2Zx7fz",0.654,0.682,141.96
"87","WHATEVER IT IS","Zac Brown Band",2009,"4o8STNAL91xc7EvuvqSKk1",0.686,0.576,83.971
"88","ALREADY GONE","Kelly Clarkson",2009,"7fkXzzIVo98CgjOkpd9H0V",0.447,0.206,66.734
"89","GOODBYE","Kristinia DeBarge",2009,"0e8CxZ3UlZIIV3ZRkzHN34",0.747,0.383,112.445
"90","SAY HEY (I LOVE YOU)","Michael Franti & Spearhead Featuring Cherine Anderson",2009,"0nnxf8p851ZR49KFnGWVsB",0.743,0.981,93.003
"91","POP CHAMPAGNE","Jim Jones & Ron Browz Featuring Juelz Santana",2009,"7LufXm3AnMJ8xNaAOzXZRJ",0.773,0.752,119.993
"92","PRETTY WINGS","Maxwell",2009,"3yUJKPsjvThlcQWTS9ttYx",0.367,0.771,115.917
"93","NEVER SAY NEVER","The Fray",2009,"57uX2vR9j9DNiANDYfXw1i",0.23,0.492,160.139
