"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo"
"1","BOOM BOOM POW","The Black Eyed Peas",2009,"7xRNsqOQOgWbHV1nbXnfXN",0.869,0.851,130.09
"2","POKER FACE","Lady Gaga",2009,"3OT3Kg4jyVkdZm4Ncz6JgX",0.848,0.828,119
"3","JUST DANCE","Lady Gaga Featuring Colby O'Donis",2009,"3E5XrOtqMAs7p2wKhwgOjf",0.818,0.732,119.002
"4","I GOTTA FEELING","The Black Eyed Peas",2009,"4vp2J1l5RD4gMZwGFLfRAu",0.741,0.748,127.965
"5","RIGHT ROUND","Flo Rida",2009,"3GpbwCm3YxiWDvy29Uo3vP",0.72,0.672,124.986
"6","I'M YOURS","Jason Mraz",2009,"1EzrEOXmMH3G43AXT1y7pA",0.686,0.457,150.953
"7","SINGLE LADIES (PUT A RING ON IT)","Beyonce",2009,"5R9a4t5t5O0IsznsrKPVro",0.426,0.584,193.437
"8","HEARTLESS","Kanye West",2009,"4EWCNWgDS8707fNSZ1oaA5",0.789,0.65,87.983
"9","GIVES YOU HELL","The All-American Rejects",2009,"6ihL9TjfRjadfEePzXXyVF",0.714,0.725,99.988
"10","YOU BELONG WITH ME","Taylor Swift",2009,"5M2FZXOEyH9JurBCxwESB9",0.472,0.971,134.981
"11","DEAD AND GONE","T.I. Featuring Justin Timberlake",2009,"1k2NovMHKHhgGsHxg0aYAS",0.713,0.746,135.021
"12","YOU FOUND ME","The Fray",2009,"4IoYz8XqqdowINzfRrFnhi",0.338,0.803,151.994
"13","USE SOMEBODY","Kings Of Leon",2009,"5VGlqQANWDKJFl0MBG3sg2",0.276,0.715,137.028
"14","KNOCK YOU DOWN","Keri Hilson Featuring Kanye West & Ne-Yo",2009,"58FUwmyGUqkt53YPUcm7cJ",0.593,0.883,155.171
"15","BLAME IT","Jamie Foxx Featuring T-Pain",2009,"08uGhvS5MfBk7crUCpnjva",0.673,0.614,176.052
"16","I KNOW YOU WANT ME (CALLE OCHO)","Pitbull",2009,"5RzFJd6W40SDTyZkX6xx45",0.82,0.731,127.076
"17","LIVE YOUR LIFE","T.I. Featuring Rihanna",2009,"16GHcGtW9Io7AuVdNmTjv3",0.375,0.862,159.841
"18","KISS ME THRU THE PHONE","Soulja Boy Tell 'em Featuring Sammie",2009,"2q4rjDy9WhaN3o9MvDbO21",0.761,0.724,149.936
"19","DOWN","Jay Sean Featuring Lil Wayne",2009,"5eCkuGPZNl4mISFNPgr3Dd",0.597,0.357,84.864
"20","THE CLIMB","Miley Cyrus",2009,"0V8FYVlBFuXXTIvRnMbZyS",0.326,0.625,160.542
"21","BEST I EVER HAD","Drake",2009,"3fyMH1t6UPeR5croea9PrR",0.427,0.861,161.776
"22","MY LIFE WOULD SUCK WITHOUT YOU","Kelly Clarkson",2009,"4Dm32oO01YpIubCHaAtKkN",0.526,0.882,144.982
"23","HALO","Beyonce",2009,"4JehYebiI9JE8sR8MisGVb",0.508,0.72,79.983
"24","HOT N COLD","Katy Perry",2009,"1y4eb6hmAvsqlDOl3fx9kk",0.706,0.841,132.032
