"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","THRIFT SHOP","Macklemore & Ryan Lewis Featuring Wanz",2013,"1CmUZGtH29Kx36C1Hleqlz",0.781,0.526,94.992,-6.985,0.293,0.0619,0,0.0457,235613
"2","BLURRED LINES","Robin Thicke",2013,"0n4bITAu0Y0nigrz3MFJMb",0.862,0.608,120.002,-4.762,0.0402,0.00373,6.14e-06,0.0856,263827
"3","RADIOACTIVE","Imagine Dragons",2013,"4G8gkOterJn0Ywt6uhqbhp",0.478,0.799,136.268,-3.614,0.0638,0.126,0.000106,0.76,186813
"4","HARLEM SHAKE","Baauer",2013,"01XFgRZfZI7oBagNf1Loml",0.452,0.794,137.825,-5.151,0.0483,0.0111,0.00182,0.416,196664
"5","CAN'T HOLD US","Macklemore & Ryan Lewis",2013,"3bidbhpOYeV4knp8AIu8Xn",0.641,0.922,146.078,-4.457,0.0786,0.0291,0,0.0862,258343
"6","MIRRORS","Justin Timberlake",2013,"2JZKXgq5zsokN01KWyiY6n",0.574,0.512,76.899,-6.664,0.0503,0.234,0,0.0946,484147
"7","JUST GIVE ME A REASON","P!nk",2013,"4VC5nFbYO4avKksJ9jN4pY",0.778,0.547,95.002,-7.273,0.0489,0.346,0.000302,0.132,242733
"8","WHEN I WAS YOUR MAN","Bruno Mars",2013,"0nJW01T7XtvILxQgC5J7Wh",0.612,0.28,72.795,-8.648,0.0434,0.932,0,0.088,213827
"9","CRUISE","Florida Georgia Line",2013,"0i5el041vd6nxrGEU8QRxy",0.464,0.945,148.012,-3.342,0.0354,0.0189,0,0.0575,208960
"10","ROAR","Katy Perry",2013,"6F5c58TMEs1byxUstkzVeM",0.671,0.766,89.968,-4.81,0.0323,0.00569,6.85e-06,0.549,223546
"11","LOCKED OUT OF HEAVEN","Bruno Mars",2013,"3w3y8KPTfNeOKPiqUTakBh",0.726,0.698,143.994,-4.165,0.0431,0.049,0,0.309,233478
"12","HO HEY","The Lumineers",2013,"0W4Kpfp1w2xkY3PrV714B7",0.685,0.466,79.936,-9.074,0.0304,0.794,2.06e-06,0.0915,163133
"13","STAY","Rihanna",2013,"1dEy9Pl81QopSxNsPxXQxv",0.619,0.324,111.927,-10.146,0.0271,0.949,5.42e-05,0.114,240707
