"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Call Me","Blondie",1980,"0vLwL4xuJ3s7SeaCdvMqkY",0.551,0.628,142.167,-13.799,0.036,0.0336,0.000194,0.151
"2","Another Brick In The Wall (Part Two) - Live","Pink Floyd",1980,"58CP18keMZKH0KCc3dLrSU",0.641,0.553,102.035,-12.623,0.0352,0.0391,0.116,0.986
"3","Magic","Olivia Newton-John",1980,"56BSwBKWHYldQOgYLHiehs",0.7,0.618,103.816,-5.992,0.0267,0.0177,2.87e-05,0.112
"4","Rock with You - Single Version","Michael Jackson",1980,"36eWbpGbM3DxpErvZImHgD",0.8,0.698,114.526,-7.181,0.0393,0.0584,0.000147,0.138
"5","Do That To Me One More Time","Captain & Tennille",1980,"2gFnSurc2aUja58m4Jq41f",0.676,0.435,89.965,-11.85,0.0258,0.654,0.00273,0.0901
"6","Crazy Little Thing Called Love - Remastered","Queen",1980,"4hNKm844QktyaKubGM8Ggk",0.612,0.658,76.954,-10.234,0.0433,0.269,9.13e-06,0.173
"7","Coming Up - Remastered 2011","Paul McCartney",1980,"1p2qCWx9dM74mPIv8Vnm2f",0.816,0.749,128.935,-7.198,0.0502,0.397,0.0956,0.0673
"8","Funkytown - Single Version","Lipps Inc.",1980,"2jBHUDhBLIDKHZZhwl1ymh",0.917,0.512,122.138,-11.063,0.0601,0.00318,0.406,0.0967
"9","It's Still Rock and Roll to Me","Billy Joel",1980,"7LbOQt7isddrw3Bs3Czl7E",0.745,0.655,141.429,-7.589,0.166,0.0958,1.99e-06,0.0895
"10","The Rose - Remastered Version","Bette Midler",1980,"5iUzEn2QzBW0KEWNQO1KQC",0.258,0.0971,65.346,-13.002,0.0302,0.94,0,0.122
"11","Escape (The Pina Colada Song)","Rupert Holmes",1980,"5IMtdHjJ1OtkxbGe4zfUxQ",0.834,0.496,138.791,-13.653,0.0597,0.501,3.07e-06,0.0449
"12","Cars","Gary Numan",1980,"3CKLPDN1AIOYa7QPpy6oDH",0.488,0.595,128.013,-9.074,0.0533,0.0421,0.000465,0.143
"13","Cruisin'","Smokey Robinson",1980,"12bmwuAgbMVSmLPGJt10Ki",0.504,0.537,168.348,-8.108,0.0385,0.145,0,0.143
"14","Working My Way Back To You/Forgive Me, Girl","The Spinners",1980,"1wouF9mtyiwZDYiq5YElaq",0.837,0.703,121.556,-9.385,0.0415,0.415,2.73e-05,0.153
"15","Lost In Love","Air Supply",1980,"6MhK1gPrgtgRedEjSUz18I",0.59,0.589,114.471,-9.859,0.03,0.37,1.22e-06,0.162
"16","Little Jeannie","Elton John",1980,"4UFA0DDqbcSTkMUyc1OFjd",0.611,0.439,143.428,-14.879,0.0275,0.378,5.52e-06,0.0644
"17","Ride Like The Wind","Christopher Cross",1980,"62leJoS03BiNzdoQmb9ByN",0.669,0.707,124.335,-13.66,0.0478,0.347,0.000716,0.0997
"18","Upside Down","Diana Ross",1980,"3pbtBomO4Zt5gGiqsYeiBH",0.877,0.843,107.848,-8.518,0.0672,0.175,0.0522,0.0447
"19","Please Don't Go","KC & The Sunshine Band",1980,"5GSoJmOujAzKlAYQvULT97",0.491,0.541,97.008,-13.303,0.0303,0.017,1.05e-06,0.04
"20","Babe","Styx",1980,"3m9viZzUHLDXp6XizY2NZq",0.325,0.322,83.616,-7.744,0.0302,0.635,0,0.0884
"21","With You I'm Born Again","Billy Preston",1980,"7wlPnBfcywEctiVWwCdxvn",0.303,0.32,82,-11.435,0.0366,0.875,0.000709,0.112
