"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","When Doves Cry","Prince",1984,"51H2y6YrNNXcy3dfc3qSbA",0.729,0.989,126.47,-4.613,0.049,0.0102,4.45e-05,0.443
"2","What's Love Got To Do WIth It - 1997 Digital Remaster","Tina Turner",1984,"4QjjabJx7K14tHwxEVI0Xc",0.848,0.567,97.854,-5.636,0.0476,0.214,1.55e-06,0.0916
"3","Say Say Say","Paul McCartney",1984,"4InXjGfCi4hJVWlqPuY6Im",0.813,0.54,117.526,-15.603,0.0565,0.0464,0.000507,0.0335
"4","Footloose","Kenny Loggins",1984,"4FA8jE1vcop4S3XqUWdSnP",0.583,0.905,173.982,-6.132,0.0733,0.0984,0.00019,0.0593
"5","Against All Odds","Phil Collins",1984,"2Wl3rABbAd3Hl3zNFM6hQ7",0.355,0.448,99.147,-10.929,0.0388,0.458,0.794,0.779
"6","Jump - Remastered Version","Van Halen",1984,"19kuZ0IExry8qYJ4lU2A0r",0.546,0.843,129.894,-5.821,0.0326,0.12,4.98e-05,0.0618
"7","Hello","Lionel Richie",1984,"1vFO4WIvw4fQ0oHkyt4rEC",0.413,0.356,60.741,-9.789,0.0325,0.503,0,0.125
"8","Owner Of A Lonely Heart","Yes",1984,"2GoPjrA7Hs6uI5A3MG3Me4",0.736,0.734,125.011,-7.978,0.0339,0.251,0.00306,0.306
"9","Ghostbusters","Ray Parker, Jr.",1984,"300zfRaCgTmEm5Eqe3HqZZ",0.779,0.717,115.384,-9.7,0.0335,0.0125,0.0536,0.355
"10","Karma Chameleon","Culture Club",1984,"48O0GrGJWml3DzHhC5sJ7a",0.676,0.577,91.98,-12.031,0.0365,0.186,0,0.148
"11","Missing You","John Waite",1984,"5P6Wv0hlcnczhElizTY0UE",0.742,0.493,104.313,-12.055,0.0283,0.118,0,0.0484
"12","All Night Long (All Night)","Lionel Richie",1984,"2P0COBqN70Hd2KYQj4KRjk",0.736,0.625,108.85,-10.977,0.0475,0.124,0.00122,0.0533
"13","Let's Hear It For The Boy","Deniece Williams",1984,"5TIc5WzpyxVZxAjYm9oJi8",0.783,0.573,122.744,-8.521,0.0462,0.177,8.5e-05,0.043
"14","Dancing In The Dark","Bruce Springsteen",1984,"4moXVLw4YS7tVNmjs8v60A",0.525,0.842,148.803,-12.12,0.0353,0.0549,0,0.275
"15","Girls Just Want to Have Fun","Cyndi Lauper",1984,"0uqOqX59mgWBqfPAdX0BDK",0.704,0.646,120.54,-9.415,0.037,0.453,1.42e-05,0.549
"16","The Reflex","Duran Duran",1984,"4DDgVahgRnITUk6Wnu5FWR",0.556,0.9,126.686,-6.11,0.097,0.123,0,0.571
"17","Time After Time","Cyndi Lauper",1984,"5tzbM8m70V977Ezpfk8IPS",0.726,0.449,130.388,-9.206,0.0286,0.487,1.34e-06,0.0824
"18","Jump (For My Love) - Single Remix","The Pointer Sisters",1984,"2TIKxe1afsEcYWBvyTgQt3",0.858,0.752,134.386,-10.577,0.0889,0.108,1.56e-05,0.145
"19","Talking in Your Sleep","The Romantics",1984,"08JKuFJCHJVw1SgHHjwsS9",0.734,0.821,129.771,-11.586,0.0329,0.0208,0.000103,0.0932
"20","Self Control","Laura Branigan",1984,"6JNJERZGJwDVgkmbohBw7u",0.814,0.686,106.68,-12.172,0.0342,0.219,0.00386,0.155
